Date,Open,High,Low,Close,Adj Close,Volume
2015-08-26,0.55,0.61,0.55,0.6,0.6,7769428.0
2015-08-27,0.61,0.675,0.61,0.67,0.67,2676221.0
2015-08-28,0.68,0.71,0.68,0.69,0.69,896259.0
2015-08-31,0.69,0.69,0.65,0.66,0.66,360641.0
2015-09-01,0.65,0.655,0.64,0.64,0.64,401634.0
2015-09-02,0.625,0.67,0.61,0.645,0.645,2220630.0
2015-09-03,0.64,0.65,0.64,0.64,0.64,378000.0
2015-09-04,0.645,0.645,0.625,0.625,0.625,168500.0
2015-09-07,0.625,0.64,0.61,0.64,0.64,249837.0
2015-09-08,0.64,0.64,0.62,0.62,0.62,24775.0
2015-09-09,0.64,0.64,0.625,0.63,0.63,274299.0
2015-09-10,0.63,0.63,0.61,0.61,0.61,235968.0
2015-09-11,0.61,0.61,0.6,0.61,0.61,229619.0
2015-09-14,0.61,0.61,0.595,0.595,0.595,17000.0
2015-09-15,0.61,0.62,0.59,0.6,0.6,183146.0
2015-09-16,0.59,0.615,0.59,0.61,0.61,160637.0
2015-09-17,0.61,0.61,0.61,0.61,0.61,0.0
2015-09-18,0.59,0.635,0.57,0.635,0.635,256634.0
2015-09-21,0.63,0.63,0.63,0.63,0.63,2349.0
2015-09-22,0.605,0.625,0.605,0.625,0.625,95740.0
2015-09-23,0.605,0.62,0.605,0.62,0.62,31218.0
2015-09-24,0.62,0.625,0.59,0.625,0.625,108627.0
2015-09-25,0.625,0.625,0.6,0.62,0.62,45587.0
2015-09-28,0.6,0.62,0.59,0.615,0.615,124214.0
2015-09-29,0.6,0.61,0.6,0.61,0.61,13619.0
2015-09-30,0.615,0.62,0.615,0.62,0.62,75894.0
2015-10-01,0.61,0.615,0.61,0.61,0.61,80000.0
2015-10-02,0.605,0.615,0.605,0.615,0.615,175937.0
2015-10-04,0.605,0.62,0.605,0.605,0.605,52886.0
2015-10-05,0.62,0.665,0.62,0.665,0.665,292419.0
2015-10-06,0.65,0.67,0.64,0.655,0.655,45130.0
2015-10-07,0.635,0.66,0.635,0.66,0.66,23511.0
2015-10-08,0.65,0.65,0.65,0.65,0.65,32000.0
2015-10-11,0.63,0.65,0.63,0.65,0.65,244000.0
2015-10-12,0.635,0.65,0.63,0.63,0.63,81106.0
2015-10-13,0.63,0.645,0.63,0.635,0.635,187902.0
2015-10-14,0.64,0.72,0.64,0.69,0.69,339576.0
