Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,4.07,4.1,4.06,4.1,4.1,135601.0
2012-01-03,4.1,4.14,4.1,4.12,4.12,235566.0
2012-01-04,5.4,5.4,5.4,5.4,5.4,2616.0
2012-01-05,4.12,4.16,4.12,4.14,4.14,130052.0
2012-01-08,5.4,5.43,5.39,5.43,5.43,14652.0
2012-01-09,5.37,5.4,5.37,5.4,5.4,2547.0
2012-01-10,4.14,4.16,4.14,4.15,4.15,291645.0
2012-01-11,5.4,5.4,5.4,5.4,5.4,9850.0
2012-01-12,5.41,5.43,5.41,5.43,5.43,8660.0
2012-01-15,5.42,5.43,5.38,5.4,5.4,6664.0
2012-01-16,5.4,5.4,5.37,5.38,5.38,5829.0
2012-01-17,4.17,4.18,4.15,4.18,4.18,166220.0
2012-01-18,5.4,5.41,5.4,5.41,5.41,3800.0
2012-01-19,5.41,5.43,5.41,5.43,5.43,13570.0
2012-01-22,5.43,5.46,5.43,5.45,5.45,3700.0
2012-01-23,5.41,5.41,5.41,5.41,5.41,14103.0
2012-01-24,5.47,5.5,5.47,5.49,5.49,7526.0
2012-01-26,5.51,5.51,5.46,5.5,5.5,49772.0
2012-01-29,5.52,5.56,5.52,5.56,5.56,52116.0
2012-01-30,4.48,4.48,4.48,4.48,4.48,0.0
2012-01-31,4.32,4.33,4.28,4.32,4.32,237001.0
2012-02-01,5.55,5.57,5.55,5.57,5.57,5662.0
2012-02-02,4.29,4.31,4.23,4.25,4.25,260194.0
2012-02-05,4.27,4.3,4.26,4.27,4.27,353489.0
2012-02-06,5.5,5.55,5.5,5.54,5.54,19337.0
2012-02-07,5.49,5.52,5.49,5.51,5.51,26617.0
2012-02-08,5.52,5.52,5.51,5.51,5.51,30115.0
2012-02-09,5.5,5.5,5.47,5.47,5.47,21843.0
2012-02-12,5.42,5.46,5.42,5.45,5.45,33328.0
2012-02-13,5.42,5.45,5.42,5.45,5.45,19200.0
2012-02-14,5.4,5.4,5.4,5.4,5.4,10717.0
2012-02-15,5.36,5.36,5.32,5.32,5.32,4700.0
