Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,8.3,8.3,8.3,8.3,5.808986,900.0
2012-01-03,8.3,8.3,8.3,8.3,5.808986,0.0
2012-01-04,8.31,8.31,8.31,8.31,5.8159839999999985,123.0
2012-01-05,8.43,8.43,8.43,8.43,5.8999690000000005,5435.0
2012-01-08,8.43,8.43,8.43,8.43,5.8999690000000005,0.0
2012-01-09,8.43,8.43,8.43,8.43,5.8999690000000005,0.0
2012-01-10,8.56,8.56,8.56,8.56,5.990954,189.0
2012-01-11,8.56,8.56,8.56,8.56,5.990954,0.0
2012-01-12,8.56,8.56,8.56,8.56,5.990954,0.0
2012-01-15,8.26,8.26,8.25,8.25,5.7739910000000005,28.0
2012-01-16,8.24,8.24,8.24,8.24,5.766992,228.0
2012-01-17,8.38,8.38,8.37,8.37,5.857977,870.0
2012-01-18,8.15,8.16,8.15,8.16,5.711002,767.0
2012-01-19,8.23,8.27,8.23,8.23,5.759993,394.0
2012-01-22,8.23,8.23,8.23,8.23,5.759993,109.0
2012-01-23,8.23,8.27,8.23,8.26,5.780989,1251.0
2012-01-24,8.27,8.27,8.27,8.27,5.787989,16.0
2012-01-26,8.33,8.5,8.33,8.37,5.857977,2166.0
2012-01-29,8.59,8.59,8.59,8.59,6.01195,437.0
2012-01-30,8.59,8.59,8.59,8.59,6.01195,0.0
2012-01-31,8.5,8.5,8.5,8.5,5.948961,37.0
2012-02-01,8.45,8.48,8.45,8.48,5.9349620000000005,1881.0
2012-02-02,8.65,8.65,8.65,8.65,6.053941,1238.0
2012-02-05,8.65,8.65,8.65,8.65,6.053941,0.0
2012-02-06,8.65,8.65,8.65,8.65,6.053941,0.0
2012-02-07,8.65,8.65,8.65,8.65,6.053941,0.0
2012-02-08,7.75,8.35,7.75,8.31,5.8159839999999985,65272.0
2012-02-09,8.31,8.31,8.31,8.31,5.8159839999999985,0.0
2012-02-12,8.1,8.33,8.1,8.3,5.808986,1462.0
2012-02-13,8.3,8.3,8.3,8.3,5.808986,0.0
2012-02-14,8.3,8.3,8.3,8.3,5.808986,0.0
2012-02-15,8.06,8.06,8.06,8.06,5.6410160000000005,1500.0
2012-02-16,8.06,8.06,8.06,8.06,5.6410160000000005,0.0
2012-02-19,7.9,8.0,7.9,8.0,5.599022,400.0
2012-02-20,7.84,7.84,7.84,7.84,5.4870410000000005,26.0
2012-02-21,7.87,8.05,7.87,7.96,5.571027,5509.0
2012-02-22,8.05,8.07,8.03,8.07,5.648013,4821.0
2012-02-23,8.04,8.04,8.03,8.03,5.620018,294.0
2012-02-26,8.03,8.03,8.03,8.03,5.620018,3556.0
2012-02-27,7.82,7.82,7.75,7.75,5.424053,1106.0
2012-02-28,8.0,8.07,8.0,8.07,5.648013,794.0
2012-02-29,7.99,8.0,7.86,7.86,5.501039,501.0
2012-03-01,7.81,7.81,7.81,7.81,5.4660449999999985,572.0
2012-03-04,7.81,7.81,7.81,7.81,5.501051,0.0
