Date,Open,High,Low,Close,Adj Close,Volume
2018-09-20,,,,,,
2018-09-21,0.6,0.6,0.5,0.56,0.56,10870260.0
2018-09-24,0.625,0.755,0.61,0.665,0.665,12159000.0
2018-09-25,0.7,0.7170000000000001,0.63,0.655,0.655,4050121.0
2018-09-26,0.655,0.67,0.605,0.615,0.615,3131067.0
2018-09-27,0.61,0.61,0.57,0.59,0.59,2787461.0
2018-09-28,0.61,0.625,0.575,0.595,0.595,1463039.0
2018-10-01,0.59,0.6,0.57,0.575,0.575,751741.0
2018-10-02,0.585,0.615,0.565,0.57,0.57,1455909.0
2018-10-03,0.57,0.64,0.57,0.62,0.62,1139736.0
2018-10-04,0.64,0.67,0.62,0.655,0.655,2588696.0
2018-10-05,0.625,0.65,0.6,0.625,0.625,1562027.0
2018-10-07,0.625,0.625,0.575,0.58,0.58,876009.0
2018-10-08,0.58,0.58,0.56,0.56,0.56,498084.0
2018-10-09,0.565,0.595,0.49,0.525,0.525,3158482.0
2018-10-10,0.5,0.52,0.465,0.52,0.52,1571636.0
2018-10-11,0.52,0.54,0.5,0.53,0.53,418405.0
2018-10-14,0.54,0.54,0.515,0.52,0.52,306217.0
2018-10-15,0.52,0.55,0.515,0.54,0.54,379000.0
2018-10-16,0.535,0.565,0.52,0.545,0.545,946960.0
2018-10-17,0.535,0.535,0.49,0.515,0.515,803293.0
2018-10-18,0.51,0.51,0.49,0.495,0.495,498272.0
2018-10-21,0.52,0.52,0.495,0.495,0.495,154594.0
2018-10-22,0.5,0.5,0.455,0.47,0.47,507068.0
2018-10-23,0.45,0.47,0.43,0.445,0.445,727493.0
2018-10-24,0.435,0.435,0.36,0.36,0.36,1961810.0
2018-10-25,0.38,0.39,0.345,0.37,0.37,588072.0
2018-10-28,0.38,0.38,0.34,0.36,0.36,628085.0
2018-10-29,0.365,0.4,0.34,0.4,0.4,805487.0
2018-10-30,0.41,0.415,0.375,0.39,0.39,307397.0
2018-10-31,0.4,0.4,0.375,0.385,0.385,381955.0
2018-11-01,0.485,0.535,0.395,0.41,0.41,5702358.0
2018-11-04,0.415,0.415,0.37,0.38,0.38,1595985.0
2018-11-05,0.385,0.395,0.375,0.38,0.38,668095.0
2018-11-06,0.38,0.38,0.355,0.355,0.355,849863.0
2018-11-07,0.365,0.385,0.36,0.37,0.37,549256.0
2018-11-08,0.38,0.38,0.355,0.365,0.365,776709.0
2018-11-11,0.36,0.38,0.36,0.38,0.38,1362825.0
2018-11-12,0.4,0.405,0.365,0.365,0.365,1270198.0
2018-11-13,0.37,0.39,0.365,0.38,0.38,746298.0
2018-11-14,0.375,0.38,0.365,0.37,0.37,201348.0
2018-11-15,0.37,0.37,0.365,0.37,0.37,253637.0
2018-11-18,0.375,0.375,0.36,0.365,0.365,171484.0
2018-11-19,0.36,0.36,0.34,0.345,0.345,480856.0
2018-11-20,0.35,0.35,0.33,0.33,0.33,318498.0
2018-11-21,0.33,0.35,0.33,0.335,0.335,165601.0
2018-11-22,0.34,0.34,0.325,0.33,0.33,145303.0
2018-11-25,0.335,0.335,0.325,0.335,0.335,220593.0
2018-11-26,0.335,0.34,0.325,0.33,0.33,196312.0
2018-11-27,0.33,0.35,0.33,0.335,0.335,1210480.0
2018-11-28,0.345,0.345,0.33,0.34,0.34,57535.0
2018-11-29,0.335,0.35,0.335,0.335,0.335,557280.0
2018-12-02,0.335,0.34,0.32,0.325,0.325,386768.0
2018-12-03,0.315,0.315,0.24,0.24,0.24,4973882.0
2018-12-04,0.22,0.235,0.2,0.21,0.21,6447653.0
2018-12-05,0.205,0.21,0.18,0.185,0.185,4176268.0
2018-12-06,0.23,0.245,0.205,0.205,0.205,4232308.0
2018-12-09,0.2,0.2,0.19,0.195,0.195,2594841.0
2018-12-10,0.195,0.195,0.185,0.19,0.19,706619.0
2018-12-11,0.19,0.21,0.19,0.205,0.205,659092.0
2018-12-12,0.21,0.21,0.2,0.2,0.2,298040.0
2018-12-13,0.2,0.2,0.19,0.2,0.2,274610.0
2018-12-16,0.2,0.2,0.19,0.19,0.19,549619.0
2018-12-17,0.195,0.195,0.19,0.19,0.19,95111.0
2018-12-18,0.195,0.195,0.18,0.18,0.18,749528.0
2018-12-19,0.18,0.22,0.175,0.185,0.185,1634008.0
2018-12-20,0.185,0.195,0.18,0.18,0.18,526300.0
2018-12-23,0.19,0.19,0.19,0.19,0.19,103727.0
2018-12-26,0.19,0.2,0.19,0.195,0.195,207057.0
2018-12-27,0.22,0.245,0.22,0.24,0.24,2005106.0
2018-12-30,0.23,0.245,0.22,0.245,0.245,423992.0
2019-01-01,0.245,0.28,0.245,0.265,0.265,953310.0
2019-01-02,0.26,0.265,0.24,0.26,0.26,686490.0
2019-01-03,0.26,0.27,0.255,0.265,0.265,188166.0
2019-01-06,0.27,0.3,0.27,0.3,0.3,1239387.0
2019-01-07,0.3,0.32,0.29,0.295,0.295,959650.0
2019-01-08,0.29,0.3,0.29,0.295,0.295,487380.0
2019-01-09,0.3,0.31,0.295,0.295,0.295,373800.0
2019-01-10,0.3,0.305,0.29,0.29,0.29,124001.0
2019-01-13,0.29,0.31,0.29,0.3,0.3,288105.0
2019-01-14,0.315,0.32,0.29,0.29,0.29,1064001.0
2019-01-15,0.29,0.305,0.285,0.305,0.305,238452.0
2019-01-16,0.3,0.3,0.28,0.28,0.28,342525.0
2019-01-17,0.28,0.295,0.28,0.285,0.285,175956.0
2019-01-20,0.29,0.29,0.27,0.28,0.28,336939.0
2019-01-21,0.28,0.28,0.275,0.28,0.28,50342.0
2019-01-22,0.28,0.285,0.27,0.27,0.27,207661.0
2019-01-23,0.272,0.275,0.27,0.27,0.27,46057.0
2019-01-24,0.285,0.295,0.285,0.295,0.295,234929.0
2019-01-28,0.3,0.32,0.3,0.31,0.31,790634.0
2019-01-29,0.315,0.32,0.315,0.315,0.315,148434.0
2019-01-30,0.32,0.33,0.31,0.31,0.31,354358.0
2019-01-31,0.315,0.335,0.315,0.33,0.33,472454.0
2019-02-03,0.335,0.35,0.33,0.35,0.35,1036980.0
2019-02-04,0.355,0.355,0.34,0.34,0.34,253086.0
2019-02-05,0.335,0.335,0.31,0.335,0.335,732000.0
2019-02-06,0.35,0.38,0.345,0.37,0.37,1726528.0
2019-02-07,0.37,0.37,0.35,0.35,0.35,580262.0
2019-02-10,0.355,0.415,0.355,0.38,0.38,748918.0
2019-02-11,0.39,0.395,0.38,0.39,0.39,176599.0
2019-02-12,0.395,0.415,0.395,0.4,0.4,662681.0
2019-02-13,0.405,0.415,0.375,0.375,0.375,480121.0
2019-02-14,0.38,0.395,0.38,0.385,0.385,49078.0
2019-02-17,0.39,0.41,0.39,0.4,0.4,210684.0
2019-02-18,0.4,0.405,0.4,0.4,0.4,161403.0
2019-02-19,0.4,0.4,0.39,0.39,0.39,27155.0
2019-02-20,0.4,0.43,0.4,0.42,0.42,857890.0
2019-02-21,0.42,0.455,0.415,0.445,0.445,752285.0
2019-02-24,0.455,0.46,0.42,0.42,0.42,509073.0
2019-02-25,0.43,0.435,0.41,0.43,0.43,331045.0
2019-02-26,0.44,0.45,0.42,0.425,0.425,218102.0
2019-02-27,0.43,0.43,0.39,0.425,0.425,1216211.0
2019-02-28,0.41,0.41200000000000003,0.39,0.39,0.39,154752.0
2019-03-03,0.4,0.405,0.395,0.4,0.4,111461.0
2019-03-04,0.4,0.405,0.395,0.395,0.395,85144.0
2019-03-05,0.4,0.4,0.345,0.355,0.355,1254295.0
2019-03-06,0.38,0.39,0.355,0.37,0.37,419884.0
2019-03-07,0.37,0.375,0.35,0.36,0.36,985755.0
2019-03-10,0.365,0.365,0.34,0.355,0.355,485031.0
2019-03-11,0.36,0.36,0.345,0.35,0.35,229389.0
2019-03-12,0.355,0.355,0.315,0.33,0.33,241049.0
2019-03-13,0.33,0.33,0.32,0.32,0.32,57787.0
2019-03-14,0.32,0.34,0.315,0.34,0.34,215129.0
2019-03-17,0.34,0.36,0.34,0.355,0.355,274876.0
2019-03-18,0.36,0.38,0.35,0.36,0.36,551696.0
2019-03-19,0.365,0.38,0.36,0.38,0.38,140338.0
2019-03-20,0.38,0.39,0.37,0.38,0.38,443027.0
2019-03-21,0.38,0.385,0.37,0.375,0.375,127005.0
2019-03-24,0.375,0.38,0.37,0.37,0.37,81058.0
2019-03-25,0.37,0.37,0.35,0.365,0.365,157490.0
2019-03-26,0.365,0.37,0.36,0.37,0.37,57744.0
2019-03-27,0.37,0.38,0.37,0.37,0.37,113806.0
2019-03-28,0.37,0.37,0.35,0.36,0.36,136100.0
2019-03-31,0.36,0.38,0.35,0.38,0.38,60993.0
2019-04-01,0.38,0.38,0.36,0.375,0.375,130218.0
2019-04-02,0.37,0.395,0.37,0.39,0.39,752656.0
2019-04-03,0.395,0.43,0.395,0.42,0.42,1738559.0
2019-04-04,0.42,0.435,0.395,0.395,0.395,903806.0
2019-04-08,0.425,0.43,0.41,0.43,0.43,486452.0
2019-04-09,0.43,0.43,0.405,0.415,0.415,482920.0
2019-04-10,0.415,0.43,0.415,0.4275,0.4275,141007.0
2019-04-11,0.43,0.49,0.43,0.485,0.485,1481736.0
2019-04-12,0.49,0.505,0.475,0.48,0.48,528254.0
2019-04-15,0.485,0.515,0.485,0.495,0.495,587245.0
2019-04-16,0.5,0.5,0.475,0.485,0.485,448357.0
2019-04-17,0.485,0.52,0.485,0.52,0.52,321271.0
2019-04-18,0.525,0.525,0.5,0.505,0.505,184342.0
2019-04-23,0.52,0.52,0.495,0.515,0.515,244349.0
2019-04-24,0.52,0.53,0.5,0.505,0.505,196419.0
2019-04-26,0.51,0.51,0.46,0.47,0.47,642046.0
2019-04-29,0.495,0.515,0.49,0.49,0.49,403237.0
2019-04-30,0.51,0.51,0.495,0.51,0.51,352219.0
2019-05-01,0.515,0.555,0.515,0.555,0.555,635196.0
2019-05-02,0.56,0.565,0.53,0.55,0.55,500209.0
2019-05-03,0.55,0.55,0.53,0.55,0.55,243295.0
2019-05-06,0.555,0.58,0.54,0.555,0.555,409854.0
2019-05-07,0.56,0.57,0.547,0.56,0.56,351132.0
2019-05-08,0.565,0.565,0.54,0.56,0.56,183825.0
2019-05-09,0.565,0.565,0.54,0.55,0.55,212835.0
2019-05-10,0.55,0.55,0.54,0.54,0.54,46658.0
2019-05-13,0.55,0.56,0.54,0.56,0.56,220420.0
2019-05-14,0.55,0.55,0.53,0.54,0.54,379973.0
2019-05-15,0.545,0.58,0.54,0.58,0.58,280816.0
2019-05-16,0.61,0.65,0.61,0.625,0.625,468925.0
2019-05-17,0.63,0.64,0.62,0.62,0.62,263159.0
2019-05-20,0.64,0.645,0.6,0.61,0.61,354198.0
2019-05-21,0.61,0.61,0.61,0.61,0.61,0.0
2019-05-22,0.63,0.63,0.61,0.61,0.61,165741.0
2019-05-23,0.625,0.64,0.615,0.62,0.62,127232.0
2019-05-24,0.63,0.655,0.63,0.65,0.65,359111.0
2019-05-27,0.655,0.68,0.64,0.66,0.66,708473.0
2019-05-28,0.66,0.66,0.66,0.66,0.66,0.0
2019-05-29,0.685,0.69,0.65,0.69,0.69,278160.0
2019-05-30,0.7,0.75,0.69,0.74,0.74,629051.0
2019-05-31,0.755,0.77,0.665,0.705,0.705,693990.0
2019-06-03,0.725,0.725,0.66,0.67,0.67,462241.0
2019-06-04,0.67,0.675,0.61,0.635,0.635,476411.0
2019-06-05,0.695,0.72,0.64,0.67,0.67,767703.0
