Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,,,,,,
2018-11-27,0.081,0.081,0.058,0.058,0.058,13162757.0
2018-11-28,0.058,0.061,0.056,0.056,0.056,4741472.0
2018-11-29,0.056,0.058,0.047,0.048,0.048,4363625.0
2018-12-02,0.05,0.057,0.048,0.052,0.052,4567203.0
2018-12-03,0.053,0.056,0.053,0.053,0.053,1280610.0
2018-12-04,0.054,0.054,0.052,0.053,0.053,1640809.0
2018-12-05,0.053,0.058,0.053,0.057,0.057,999632.0
2018-12-06,0.056,0.06,0.055,0.059,0.059,1263916.0
2018-12-09,0.06,0.07,0.06,0.065,0.065,2208844.0
2018-12-10,0.065,0.071,0.065,0.071,0.071,1468102.0
2018-12-11,0.07,0.07,0.065,0.068,0.068,1141347.0
2018-12-12,0.068,0.068,0.064,0.064,0.064,861276.0
2018-12-13,0.061,0.064,0.059,0.06,0.06,761242.0
2018-12-16,0.06,0.065,0.06,0.06,0.06,148530.0
2018-12-17,0.063,0.063,0.061,0.061,0.061,152052.0
2018-12-18,0.06,0.06,0.054,0.054,0.054,673819.0
2018-12-19,0.055,0.056,0.054,0.055,0.055,423103.0
2018-12-20,0.055,0.055,0.052,0.053,0.053,280700.0
2018-12-23,0.058,0.058,0.055,0.055,0.055,33550.0
2018-12-26,0.053,0.064,0.053,0.064,0.064,841545.0
2018-12-27,0.063,0.063,0.062,0.062,0.062,200000.0
2018-12-30,0.06,0.065,0.06,0.062,0.062,231453.0
2019-01-01,0.062,0.062,0.06,0.06,0.06,301465.0
2019-01-02,0.061,0.061,0.06,0.06,0.06,116612.0
2019-01-03,0.06,0.063,0.06,0.062,0.062,223178.0
2019-01-06,0.061,0.061,0.06,0.06,0.06,116171.0
2019-01-07,0.06,0.06,0.057,0.057,0.057,496754.0
2019-01-08,0.06,0.06,0.059,0.06,0.06,33124.0
2019-01-09,0.058,0.058,0.058,0.058,0.058,51471.0
2019-01-10,0.058,0.058,0.056,0.057,0.057,392084.0
2019-01-13,0.057,0.057,0.057,0.057,0.057,66568.0
2019-01-14,0.057,0.057,0.053,0.054,0.054,711142.0
2019-01-15,0.055,0.055,0.052,0.052,0.052,316660.0
2019-01-16,0.052,0.053,0.052,0.052,0.052,115685.0
2019-01-17,0.053,0.053,0.053,0.053,0.053,142941.0
2019-01-20,0.054,0.054,0.048,0.048,0.048,1355313.0
2019-01-21,0.048,0.048,0.04,0.04,0.04,3382134.0
2019-01-22,0.044,0.044,0.04,0.04,0.04,812757.0
2019-01-23,0.044,0.044,0.042,0.042,0.042,441726.0
