Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,,,,,,
2018-11-14,1.585,1.617,1.585,1.6,1.6,1103373.0
2018-11-15,,,,,,
2018-11-18,,,,,,
2018-11-19,,,,,,
2018-11-20,,,,,,
2018-11-21,,,,,,
2018-11-22,,,,,,
2018-11-25,,,,,,
2018-11-26,,,,,,
2018-11-27,,,,,,
2018-11-28,,,,,,
2018-11-29,,,,,,
2018-12-02,1.54,1.635,1.51,1.62,1.62,440242.0
2018-12-03,1.595,1.595,1.505,1.54,1.54,541180.0
2018-12-04,1.49,1.625,1.415,1.48,1.48,860622.0
2018-12-05,1.495,1.555,1.38,1.5,1.5,1372003.0
2018-12-06,1.475,1.585,1.43,1.5,1.5,503271.0
2018-12-09,1.5,1.5,1.405,1.44,1.44,904831.0
2018-12-10,1.495,1.495,1.41,1.465,1.465,391609.0
2018-12-11,1.465,1.5,1.415,1.47,1.47,1194558.0
2018-12-12,1.5,1.63,1.465,1.53,1.53,449713.0
2018-12-13,1.49,1.545,1.49,1.52,1.52,491605.0
2018-12-16,1.625,1.625,1.56,1.56,1.56,928453.0
2018-12-17,1.595,1.62,1.485,1.52,1.52,696052.0
2018-12-18,1.5,1.6,1.46,1.575,1.575,586999.0
2018-12-19,1.59,1.607,1.525,1.555,1.555,1216044.0
2018-12-20,1.63,1.63,1.445,1.49,1.49,1288020.0
2018-12-23,1.5,1.51,1.45,1.5,1.5,262099.0
2018-12-26,1.51,1.51,1.455,1.495,1.495,521481.0
2018-12-27,1.535,1.54,1.425,1.475,1.475,283056.0
2018-12-30,1.535,1.535,1.455,1.48,1.48,121876.0
2019-01-01,1.455,1.5,1.415,1.435,1.435,456327.0
2019-01-02,1.405,1.465,1.405,1.465,1.465,365152.0
2019-01-03,1.43,1.535,1.41,1.49,1.49,1070697.0
2019-01-06,1.47,1.49,1.435,1.46,1.46,348007.0
2019-01-07,1.41,1.45,1.39,1.44,1.44,668476.0
2019-01-08,1.415,1.465,1.4,1.435,1.435,1152711.0
2019-01-09,1.45,1.455,1.4,1.435,1.435,575251.0
2019-01-10,1.445,1.445,1.405,1.43,1.43,387607.0
2019-01-13,1.425,1.48,1.42,1.47,1.47,1021414.0
2019-01-14,1.46,1.48,1.435,1.445,1.445,441092.0
2019-01-15,1.43,1.45,1.405,1.42,1.42,490106.0
2019-01-16,1.44,1.455,1.405,1.445,1.445,616241.0
2019-01-17,1.43,1.47,1.41,1.41,1.41,477240.0
2019-01-20,1.46,1.495,1.43,1.455,1.455,414151.0
2019-01-21,1.455,1.475,1.445,1.455,1.455,377399.0
2019-01-22,1.475,1.495,1.45,1.47,1.47,352307.0
2019-01-23,1.44,1.47,1.43,1.45,1.45,385422.0
2019-01-24,1.47,1.47,1.415,1.455,1.455,584072.0
2019-01-28,1.445,1.46,1.415,1.425,1.425,351563.0
2019-01-29,1.425,1.43,1.4,1.41,1.41,473638.0
2019-01-30,1.41,1.41,1.335,1.355,1.355,1154811.0
2019-01-31,1.35,1.39,1.315,1.35,1.35,576680.0
2019-02-03,1.375,1.385,1.32,1.355,1.355,427831.0
2019-02-04,1.34,1.37,1.34,1.355,1.355,462758.0
2019-02-05,1.37,1.415,1.355,1.37,1.37,535941.0
2019-02-06,1.39,1.46,1.375,1.43,1.43,831370.0
2019-02-07,1.445,1.455,1.405,1.415,1.415,387212.0
2019-02-10,1.43,1.44,1.38,1.425,1.425,501659.0
2019-02-11,1.42,1.455,1.405,1.43,1.43,412223.0
2019-02-12,1.445,1.47,1.41,1.435,1.435,463077.0
2019-02-13,1.4,1.46,1.4,1.435,1.435,331261.0
2019-02-14,1.43,1.445,1.4,1.445,1.445,753365.0
2019-02-17,1.45,1.46,1.445,1.45,1.45,669867.0
2019-02-18,1.455,1.455,1.405,1.43,1.43,411040.0
2019-02-19,1.435,1.445,1.415,1.43,1.43,413371.0
2019-02-20,1.43,1.445,1.405,1.43,1.43,1820217.0
2019-02-21,1.415,1.515,1.415,1.49,1.49,1235744.0
2019-02-24,1.49,1.52,1.485,1.52,1.52,860590.0
2019-02-25,1.5,1.58,1.5,1.55,1.55,1709515.0
2019-02-26,1.56,1.6,1.55,1.6,1.6,1070581.0
2019-02-27,1.595,1.645,1.55,1.625,1.625,1297275.0
