Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-03,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-04,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-05,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-08,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-09,0.13,0.13,0.13,0.13,0.11623499999999999,46759.0
2012-01-10,0.14,0.14,0.14,0.14,0.125176,29000.0
2012-01-11,0.13,0.13,0.13,0.13,0.11623499999999999,54.0
2012-01-12,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-15,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-16,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-17,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-18,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-19,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-22,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-23,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-24,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-26,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-29,,,,,,
2012-01-30,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-01-31,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-01,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-02,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-05,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-06,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-07,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-08,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-09,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-12,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-13,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-14,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-15,0.13,0.13,0.13,0.13,0.11623499999999999,11428.0
2012-02-16,0.13,0.13,0.13,0.13,0.11623499999999999,82858.0
2012-02-19,0.12,0.12,0.12,0.12,0.107294,3667.0
2012-02-20,0.13,0.13,0.13,0.13,0.11623499999999999,200000.0
2012-02-21,0.13,0.13,0.13,0.13,0.11623499999999999,0.0
2012-02-22,0.13,0.15,0.13,0.15,0.13411800000000001,1019688.0
2012-02-23,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-02-26,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-02-27,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-02-28,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-02-29,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-03-01,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-03-04,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-03-05,0.15,0.15,0.15,0.15,0.13411800000000001,0.0
2012-03-06,0.16,0.16,0.16,0.16,0.143059,37186.0
2012-03-07,0.16,0.16,0.16,0.16,0.143059,0.0
2012-03-08,0.16,0.16,0.16,0.16,0.143059,0.0
2012-03-11,0.16,0.16,0.16,0.16,0.143059,0.0
2012-03-12,0.16,0.16,0.16,0.16,0.143059,0.0
2012-03-13,0.17,0.17,0.17,0.17,0.152,43325.0
2012-03-14,0.17,0.17,0.17,0.17,0.152,0.0
2012-03-15,0.17,0.17,0.17,0.17,0.152,32500.0
2012-03-18,0.17,0.17,0.17,0.17,0.152,0.0
2012-03-19,0.17,0.17,0.17,0.17,0.152,0.0
2012-03-20,0.17,0.17,0.17,0.17,0.152,0.0
2012-03-21,0.17,0.17,0.17,0.17,0.152,0.0
2012-03-22,0.17,0.17,0.17,0.17,0.152,0.0
2012-03-25,0.18,0.18,0.18,0.18,0.160941,50000.0
2012-03-26,0.18,0.18,0.18,0.18,0.160941,50000.0
2012-03-27,0.18,0.18,0.18,0.18,0.160941,0.0
2012-03-28,0.18,0.18,0.18,0.18,0.160941,0.0
2012-03-29,0.18,0.18,0.18,0.18,0.160941,0.0
2012-04-02,0.18,0.18,0.18,0.18,0.160941,0.0
2012-04-03,0.18,0.18,0.18,0.18,0.160941,0.0
2012-04-04,0.18,0.18,0.18,0.18,0.160941,0.0
2012-04-05,0.18,0.18,0.18,0.18,0.160941,0.0
2012-04-10,0.18,0.18,0.18,0.18,0.160941,0.0
2012-04-11,0.165,0.17,0.165,0.17,0.152,39589.0
2012-04-12,0.17,0.17,0.17,0.17,0.152,0.0
2012-04-13,0.18,0.2,0.18,0.2,0.178824,1161837.0
2012-04-16,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-17,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-18,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-19,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-20,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-23,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-24,0.2,0.2,0.2,0.2,0.178824,0.0
2012-04-26,0.19,0.19,0.19,0.19,0.169882,1.0
2012-04-27,0.19,0.19,0.19,0.19,0.169882,0.0
2012-04-30,0.19,0.19,0.19,0.19,0.169882,0.0
2012-05-01,0.165,0.165,0.165,0.165,0.147529,5000.0
2012-05-02,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-03,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-04,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-07,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-08,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-09,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-10,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-11,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-14,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-15,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-16,0.165,0.165,0.165,0.165,0.147529,0.0
2012-05-17,0.17,0.17,0.17,0.17,0.152,115800.0
2012-05-18,0.17,0.17,0.17,0.17,0.152,57945.0
2012-05-21,0.17,0.17,0.17,0.17,0.152,0.0
2012-05-22,0.17,0.17,0.17,0.17,0.152,0.0
2012-05-23,0.17,0.17,0.17,0.17,0.152,0.0
2012-05-24,0.17,0.17,0.17,0.17,0.152,0.0
2012-05-25,0.16,0.16,0.16,0.16,0.143059,19490.0
2012-05-28,0.16,0.16,0.16,0.16,0.143059,0.0
2012-05-29,0.16,0.18,0.16,0.18,0.160941,884446.0
2012-05-30,0.2,0.2,0.2,0.2,0.178824,90000.0
2012-05-31,0.2,0.2,0.2,0.2,0.178824,0.0
2012-06-01,0.2,0.2,0.2,0.2,0.178824,0.0
2012-06-04,0.185,0.185,0.185,0.185,0.16541199999999998,3111.0
2012-06-05,0.185,0.185,0.185,0.185,0.16541199999999998,0.0
2012-06-06,0.185,0.185,0.185,0.185,0.16541199999999998,0.0
2012-06-07,0.18,0.18,0.18,0.18,0.160941,12000.0
2012-06-08,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-12,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-13,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-14,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-15,0.2,0.2,0.2,0.2,0.178824,3996822.0
2012-06-18,0.18,0.18,0.18,0.18,0.160941,4000.0
2012-06-19,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-20,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-21,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-22,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-25,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-26,0.18,0.18,0.18,0.18,0.160941,14000.0
2012-06-27,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-28,0.18,0.18,0.18,0.18,0.160941,0.0
2012-06-29,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-02,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-03,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-04,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-05,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-06,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-09,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-10,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-11,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-12,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-13,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-16,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-17,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-18,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-19,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-20,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-23,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-24,0.18,0.18,0.18,0.18,0.160941,0.0
2012-07-25,0.16,0.16,0.16,0.16,0.143059,137000.0
2012-07-26,0.16,0.16,0.16,0.16,0.143059,0.0
2012-07-27,0.16,0.16,0.16,0.16,0.143059,0.0
2012-07-30,0.16,0.16,0.16,0.16,0.143059,0.0
2012-07-31,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-01,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-02,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-03,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-06,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-07,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-08,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-09,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-10,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-13,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-14,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-15,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-16,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-17,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-20,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-21,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-22,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-23,0.16,0.16,0.16,0.16,0.143059,70000.0
2012-08-24,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-27,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-28,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-29,0.16,0.16,0.16,0.16,0.143059,0.0
2012-08-30,0.16,0.16,0.16,0.16,0.143059,35000.0
2012-08-31,0.17,0.17,0.17,0.17,0.152,190826.0
2012-09-03,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-04,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-05,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-06,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-07,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-10,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-11,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-12,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-13,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-14,0.17,0.17,0.17,0.17,0.152,0.0
2012-09-17,0.19,0.19,0.19,0.19,0.169882,15000.0
2012-09-18,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-19,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-20,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-21,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-24,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-25,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-26,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-27,0.19,0.19,0.19,0.19,0.169882,0.0
2012-09-28,0.19,0.19,0.19,0.19,0.169882,0.0
2012-10-01,0.19,0.19,0.19,0.19,0.169882,0.0
2012-10-02,0.16,0.16,0.16,0.16,0.143059,108000.0
2012-10-03,0.16,0.18,0.16,0.18,0.160941,111000.0
2012-10-04,0.165,0.165,0.15,0.16,0.143059,39925.0
2012-10-05,0.16,0.16,0.16,0.16,0.143059,0.0
2012-10-07,0.17,0.17,0.17,0.17,0.152,4016.0
2012-10-08,0.17,0.17,0.17,0.17,0.152,10000.0
2012-10-09,0.17,0.17,0.17,0.17,0.152,0.0
2012-10-10,0.17,0.17,0.17,0.17,0.152,0.0
2012-10-11,0.17,0.17,0.17,0.17,0.152,0.0
2012-10-14,0.17,0.17,0.17,0.17,0.152,0.0
2012-10-15,0.17,0.17,0.17,0.17,0.152,0.0
2012-10-16,0.19,0.195,0.19,0.195,0.174353,567677.0
2012-10-17,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-18,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-21,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-22,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-23,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-24,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-25,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-28,0.195,0.195,0.195,0.195,0.174353,0.0
2012-10-29,0.2,0.2,0.2,0.2,0.178824,15000.0
2012-10-30,0.2,0.2,0.2,0.2,0.178824,0.0
2012-10-31,0.2,0.2,0.2,0.2,0.178824,0.0
2012-11-01,0.2,0.21,0.2,0.21,0.18776500000000002,65000.0
2012-11-04,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-05,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-06,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-07,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-08,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-11,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-12,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-13,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-14,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-15,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-18,0.21,0.21,0.21,0.21,0.18776500000000002,0.0
2012-11-19,0.2,0.2,0.2,0.2,0.178824,53825.0
2012-11-20,0.2,0.2,0.2,0.2,0.178824,0.0
2012-11-21,0.2,0.2,0.2,0.2,0.178824,0.0
2012-11-22,0.2,0.2,0.2,0.2,0.178824,0.0
