Date,Open,High,Low,Close,Adj Close,Volume
2019-02-27,,,,,,
2019-02-28,3.1,3.1,3.03,3.04,2.988428,80796.0
2019-03-03,3.03,3.05,3.02,3.05,2.998259,37503.0
2019-03-04,3.04,3.04,3.02,3.03,2.978598,37633.0
2019-03-05,3.02,3.02,3.01,3.01,2.958937,67318.0
2019-03-06,3.01,3.01,3.0,3.0,2.949107,37430.0
2019-03-07,3.02,3.03,3.01,3.03,2.978598,18901.0
2019-03-10,3.03,3.03,3.0,3.0,2.949107,49998.0
2019-03-11,3.02,3.02,3.0,3.01,2.958937,40000.0
2019-03-12,3.01,3.03,3.01,3.02,2.968768,23648.0
2019-03-13,3.0,3.02,3.0,3.02,2.968768,68347.0
2019-03-14,3.04,3.04,3.01,3.04,2.988428,20276.0
2019-03-17,3.01,3.05,3.0,3.05,2.998259,190457.0
2019-03-18,3.06,3.06,3.0,3.0,2.949107,73463.0
2019-03-19,3.0,3.02,3.0,3.02,2.968768,32183.0
2019-03-20,3.02,3.02,3.0,3.0,2.949107,35466.0
2019-03-21,3.0,3.02,3.0,3.0,2.949107,34080.0
2019-03-24,3.02,3.05,3.02,3.05,2.998259,7890.0
2019-03-25,3.05,3.06,3.02,3.05,2.998259,30274.0
2019-03-26,3.05,3.1,3.05,3.08,3.02775,71547.0
2019-03-27,3.05,3.05,3.04,3.04,3.04,4000.0
2019-03-28,3.05,3.05,3.04,3.04,3.04,4000.0
2019-03-31,3.02,3.04,3.01,3.02,3.02,116375.0
2019-04-01,3.02,3.02,2.99,2.99,2.99,96366.0
2019-04-02,2.99,3.0,2.99,3.0,3.0,35552.0
2019-04-03,2.99,3.02,2.99,3.0,3.0,21666.0
2019-04-04,3.0,3.02,3.0,3.0,3.0,39855.0
2019-04-08,3.01,3.04,3.0,3.02,3.02,69365.0
2019-04-09,3.02,3.02,3.02,3.02,3.02,0.0
2019-04-10,3.0,3.01,3.0,3.0,3.0,17605.0
2019-04-11,3.0,3.01,3.0,3.0,3.0,8602.0
2019-04-12,2.98,3.02,2.98,2.98,2.98,75073.0
2019-04-15,2.98,3.0,2.98,3.0,3.0,9963.0
2019-04-16,3.0,3.02,2.99,3.01,3.01,34786.0
2019-04-17,3.01,3.02,3.0,3.0,3.0,15501.0
2019-04-18,3.0,3.0,2.98,2.98,2.98,24143.0
2019-04-23,2.98,2.99,2.95,2.99,2.99,100785.0
2019-04-24,2.99,3.02,2.99,2.99,2.99,61943.0
2019-04-26,3.01,3.02,2.99,2.99,2.99,110115.0
2019-04-29,3.01,3.03,3.0,3.0,3.0,37626.0
2019-04-30,3.0,3.0,2.99,2.99,2.99,18685.0
2019-05-01,3.0,3.07,3.0,3.03,3.03,43062.0
2019-05-02,3.06,3.07,3.0,3.0,3.0,64536.0
2019-05-03,3.01,3.04,2.99,2.99,2.99,95001.0
2019-05-06,2.99,3.02,2.99,2.99,2.99,19133.0
2019-05-07,3.0,3.02,2.99,2.99,2.99,72405.0
2019-05-08,3.0,3.0,2.99,2.99,2.99,40468.0
2019-05-09,3.0,3.0,2.99,2.99,2.99,16253.0
2019-05-10,3.0,3.0,2.99,2.99,2.99,16441.0
2019-05-13,3.0,3.02,3.0,3.01,3.01,67192.0
2019-05-14,3.01,3.01,2.98,3.0,3.0,22372.0
2019-05-15,3.0,3.02,2.96,3.0,3.0,87392.0
2019-05-16,3.0,3.0,2.97,2.97,2.97,39149.0
2019-05-17,3.0,3.0,2.98,3.0,3.0,73252.0
2019-05-20,2.98,3.01,2.98,3.0,3.0,81621.0
2019-05-21,2.98,3.01,2.98,3.0,3.0,81621.0
2019-05-22,2.99,3.01,2.99,3.0,3.0,54780.0
2019-05-23,3.01,3.01,2.94,2.95,2.95,318280.0
2019-05-24,2.95,3.0,2.95,3.0,3.0,45406.0
2019-05-27,3.0,3.02,2.98,3.02,3.02,52528.0
2019-05-28,3.0,3.02,2.98,3.02,3.02,52528.0
2019-05-29,2.99,2.99,2.97,2.98,2.98,64285.0
2019-05-30,2.98,3.0,2.97,3.0,3.0,78474.0
2019-05-31,2.98,2.99,2.98,2.98,2.98,74665.0
2019-06-03,2.99,2.99,2.97,2.99,2.99,47221.0
2019-06-04,2.99,2.99,2.98,2.98,2.98,23078.0
2019-06-05,2.98,2.98,2.98,2.98,2.98,52419.0
