Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,5.08,5.1,5.06,5.1,5.1,105033.0
2012-01-03,5.12,5.18,5.11,5.12,5.12,82490.0
2012-01-04,5.16,5.18,5.12,5.16,5.16,80194.0
2012-01-05,5.15,5.18,5.12,5.15,5.15,89749.0
2012-01-08,5.13,5.16,5.13,5.14,5.14,77011.0
2012-01-09,5.16,5.19,5.15,5.18,5.18,119943.0
2012-01-10,5.19,5.2,5.17,5.2,5.2,185020.0
2012-01-11,5.19,5.2,5.17,5.2,5.2,68073.0
2012-01-12,5.2,5.21,5.17,5.17,5.17,118282.0
2012-01-15,5.16,5.17,5.12,5.12,5.12,133235.0
2012-01-16,5.15,5.2,5.15,5.17,5.17,124703.0
2012-01-17,5.19,5.19,5.14,5.18,5.18,121470.0
2012-01-18,5.19,5.19,5.14,5.19,5.19,103826.0
2012-01-19,5.16,5.19,5.16,5.18,5.18,135747.0
2012-01-22,5.17,5.19,5.16,5.18,5.18,143339.0
2012-01-23,5.19,5.23,5.17,5.21,5.21,177878.0
2012-01-24,5.21,5.26,5.2,5.22,5.22,155206.0
2012-01-26,5.2,5.25,5.19,5.22,5.22,188574.0
2012-01-29,5.22,5.28,5.22,5.26,5.26,161307.0
2012-01-30,5.62,5.62,5.62,5.62,5.62,0.0
2012-01-31,5.27,5.29,5.24,5.25,5.25,178476.0
2012-02-01,5.28,5.3,5.26,5.27,5.27,140698.0
2012-02-02,5.3,5.3,5.27,5.3,5.3,143924.0
2012-02-05,5.33,5.4,5.32,5.4,5.4,232766.0
2012-02-06,5.4,5.46,5.37,5.44,5.44,137002.0
2012-02-07,5.46,5.5,5.4,5.5,5.5,258315.0
2012-02-08,5.5,5.5,5.46,5.47,5.47,158366.0
2012-02-09,5.49,5.5,5.44,5.49,5.49,169585.0
2012-02-12,5.48,5.49,5.45,5.45,5.45,155956.0
2012-02-13,5.3,5.3,5.25,5.27,5.27,177096.0
2012-02-14,5.25,5.3,5.25,5.29,5.29,109481.0
2012-02-15,5.27,5.27,5.24,5.24,5.24,106856.0
2012-02-16,5.26,5.32,5.22,5.24,5.24,85427.0
2012-02-19,5.25,5.3,5.22,5.24,5.24,187555.0
2012-02-20,5.24,5.26,5.16,5.22,5.22,204104.0
2012-02-21,5.21,5.26,5.21,5.21,5.21,117349.0
2012-02-22,5.2,5.23,5.19,5.23,5.23,124298.0
2012-02-23,5.22,5.3,5.21,5.25,5.25,93373.0
2012-02-26,5.26,5.29,5.23,5.24,5.24,125904.0
2012-02-27,5.24,5.26,5.19,5.23,5.23,100009.0
2012-02-28,5.59,5.59,5.59,5.59,5.59,0.0
2012-02-29,5.2,5.21,5.11,5.13,5.13,153149.0
2012-03-01,5.16,5.18,5.12,5.12,5.12,164680.0
2012-03-04,5.12,5.15,5.09,5.15,5.15,189769.0
2012-03-05,5.15,5.16,5.1,5.1,5.1,163246.0
2012-03-06,5.1,5.1,5.05,5.06,5.06,195183.0
2012-03-07,5.06,5.13,5.06,5.08,5.08,231224.0
2012-03-08,5.12,5.17,5.1,5.11,5.11,241780.0
2012-03-11,5.12,5.14,5.1,5.14,5.14,98575.0
2012-03-12,5.14,5.18,5.14,5.18,5.18,164088.0
2012-03-13,5.2,5.22,5.18,5.18,5.18,148152.0
2012-03-14,5.19,5.19,5.1,5.15,5.15,171589.0
2012-03-15,5.12,5.15,5.12,5.12,5.12,241476.0
2012-03-18,5.13,5.15,5.11,5.11,5.11,159795.0
2012-03-19,5.11,5.15,5.1,5.11,5.11,217965.0
2012-03-20,5.11,5.14,5.1,5.12,5.12,219853.0
2012-03-21,5.11,5.14,5.11,5.12,5.12,191914.0
2012-03-22,5.11,5.14,5.1,5.1,5.1,135754.0
2012-03-25,5.13,5.13,5.1,5.11,5.11,159315.0
2012-03-26,5.14,5.17,5.11,5.11,5.11,187515.0
2012-03-27,5.12,5.18,5.12,5.16,5.16,141895.0
2012-03-28,5.15,5.18,5.14,5.15,5.15,257744.0
2012-03-29,5.16,5.21,5.16,5.19,5.19,203995.0
2012-04-02,5.21,5.21,5.15,5.2,5.2,334889.0
2012-04-03,5.19,5.21,5.17,5.2,5.2,97074.0
2012-04-04,5.18,5.2,5.16,5.2,5.2,121925.0
2012-04-05,5.18,5.2,5.14,5.2,5.2,356612.0
2012-04-10,5.19,5.19,5.14,5.14,5.14,142545.0
2012-04-11,5.13,5.14,5.12,5.12,5.12,158691.0
2012-04-12,5.12,5.14,5.11,5.12,5.12,142105.0
2012-04-13,5.16,5.19,5.16,5.18,5.18,164325.0
2012-04-16,5.15,5.17,5.14,5.14,5.14,209855.0
2012-04-17,5.15,5.19,5.15,5.19,5.19,205131.0
2012-04-18,5.2,5.22,5.19,5.21,5.21,157903.0
2012-04-19,5.21,5.23,5.2,5.23,5.23,207714.0
2012-04-20,5.23,5.25,5.21,5.25,5.25,192990.0
2012-04-23,5.24,5.24,5.21,5.21,5.21,189757.0
2012-04-24,5.2,5.25,5.2,5.22,5.22,248062.0
2012-04-26,5.24,5.27,5.23,5.23,5.23,292957.0
