Date,Open,High,Low,Close,Adj Close,Volume
2016-11-15,2.65,2.66,2.45,2.47,2.283643,22372546.0
2016-11-16,2.4,2.49,2.35,2.49,2.302134,2519756.0
2016-11-17,2.49,2.54,2.46,2.5,2.311379,1341965.0
2016-11-20,2.5,2.5,2.44,2.46,2.274397,829119.0
2016-11-21,2.42,2.42,2.37,2.38,2.2004330000000003,803227.0
2016-11-22,2.35,2.4,2.25,2.3,2.1264689999999997,382977.0
2016-11-23,2.29,2.41,2.29,2.36,2.181942,538034.0
2016-11-24,2.37,2.42,2.37,2.39,2.209679,2002800.0
2016-11-27,2.4,2.41,2.4,2.4,2.2189240000000003,817907.0
2016-11-28,2.39,2.4,2.38,2.39,2.209679,29355.0
2016-11-29,2.4,2.41,2.32,2.35,2.1726970000000003,1457201.0
2016-11-30,2.36,2.4,2.35,2.38,2.2004330000000003,69354.0
2016-12-01,2.35,2.4,2.35,2.38,2.2004330000000003,171024.0
2016-12-04,2.38,2.45,2.38,2.45,2.265152,762619.0
2016-12-05,2.45,2.45,2.35,2.36,2.181942,223265.0
2016-12-06,2.35,2.35,2.3,2.35,2.1726970000000003,104854.0
2016-12-07,2.35,2.39,2.3,2.31,2.135714,151946.0
2016-12-08,2.38,2.38,2.34,2.34,2.163451,15594.0
2016-12-11,2.36,2.4,2.35,2.38,2.2004330000000003,442734.0
2016-12-12,2.39,2.42,2.36,2.42,2.237415,649469.0
2016-12-13,2.365,2.41,2.365,2.41,2.22817,557053.0
2016-12-14,2.4,2.4,2.36,2.38,2.2004330000000003,97588.0
2016-12-15,2.39,2.42,2.39,2.4,2.2189240000000003,338452.0
2016-12-18,2.36,2.41,2.36,2.41,2.22817,456381.0
2016-12-19,2.41,2.47,2.41,2.47,2.283643,506077.0
2016-12-20,2.42,2.5,2.42,2.5,2.311379,1520224.0
2016-12-21,2.51,2.52,2.5,2.5,2.311379,248143.0
2016-12-22,2.5,2.52,2.5,2.5,2.311379,39724.0
2016-12-27,2.51,2.52,2.5,2.5,2.311379,1512694.0
2016-12-28,2.52,2.52,2.42,2.52,2.32987,1862.0
