Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,3.1,3.1,3.025,3.025,3.025,10800.0
2012-01-03,2.95,3.2,2.8,3.2,3.2,48086.0
2012-01-04,3.2,3.2,3.2,3.2,3.2,0.0
2012-01-05,3.2,3.2,3.2,3.2,3.2,0.0
2012-01-08,3.35,3.5,2.9,3.0,3.0,65425.0
2012-01-09,3.0,3.05,2.95,3.0,3.0,9164.0
2012-01-10,3.0,3.05,2.975,3.0,3.0,19220.0
2012-01-11,3.0,3.0,2.95,2.95,2.95,51520.0
2012-01-12,2.925,2.95,2.85,2.85,2.85,28978.0
2012-01-15,2.85,2.875,2.85,2.875,2.875,967.0
2012-01-16,2.925,2.975,2.9,2.975,2.975,11680.0
2012-01-17,2.925,2.95,2.9,2.95,2.95,19000.0
2012-01-18,2.9,3.05,2.875,3.0,3.0,23429.0
2012-01-19,3.0,3.0,3.0,3.0,3.0,0.0
2012-01-22,3.0,3.0,3.0,3.0,3.0,0.0
2012-01-23,2.5,2.8,2.25,2.75,2.75,84140.0
2012-01-24,2.75,3.0,2.75,2.75,2.75,12567.0
2012-01-26,2.7,2.7,2.6,2.6,2.6,6901.0
2012-01-29,2.6,2.65,2.475,2.6,2.6,11590.0
2012-01-30,2.6,2.675,2.6,2.675,2.675,44000.0
2012-01-31,2.675,2.675,2.55,2.55,2.55,12113.0
2012-02-01,2.55,2.55,2.4,2.45,2.45,35447.0
2012-02-02,2.425,2.475,2.425,2.45,2.45,21600.0
2012-02-05,2.4,2.45,2.4,2.45,2.45,7290.0
2012-02-06,2.5,2.5,2.5,2.5,2.5,5141.0
2012-02-07,2.45,2.5,2.375,2.5,2.5,26310.0
2012-02-08,2.35,2.4,2.35,2.35,2.35,62280.0
2012-02-09,2.4,2.5,2.4,2.45,2.45,26986.0
2012-02-12,2.475,2.475,2.325,2.375,2.375,40508.0
2012-02-13,2.35,2.35,2.3,2.35,2.35,18150.0
2012-02-14,2.35,2.35,2.35,2.35,2.35,8000.0
2012-02-15,2.35,2.375,2.15,2.375,2.375,129640.0
2012-02-16,2.375,2.375,2.35,2.35,2.35,11100.0
2012-02-19,2.375,2.5,2.35,2.5,2.5,37931.0
2012-02-20,2.6,2.9,2.6,2.8,2.8,55156.0
2012-02-21,2.8,2.825,2.7,2.8,2.8,12410.0
2012-02-22,2.8,2.875,2.8,2.875,2.875,13720.0
2012-02-23,2.875,2.875,2.725,2.75,2.75,38972.0
2012-02-26,2.175,2.625,2.1,2.625,2.625,11199.0
2012-02-27,2.6,2.6,2.525,2.575,2.575,4584.0
2012-02-28,2.5,2.75,2.475,2.75,2.75,6810.0
2012-02-29,2.6,2.9,2.6,2.9,2.9,5360.0
2012-03-01,2.75,2.95,2.75,2.95,2.95,10543.0
2012-03-04,2.8,2.925,2.75,2.75,2.75,8500.0
2012-03-05,2.8,3.0,2.8,2.9,2.9,86705.0
2012-03-06,2.875,2.9,2.6,2.7,2.7,38503.0
2012-03-07,2.7,2.75,2.5,2.55,2.55,55169.0
2012-03-08,2.325,2.325,2.125,2.175,2.175,199698.0
2012-03-11,2.2,2.2,2.15,2.15,2.15,36702.0
2012-03-12,2.125,2.125,1.95,1.95,1.95,220627.0
2012-03-13,2.0,2.025,1.975,2.025,2.025,88272.0
2012-03-14,2.0,2.075,1.95,2.075,2.075,127760.0
2012-03-15,2.1,2.2,2.075,2.15,2.15,246343.0
2012-03-18,2.15,2.225,2.1,2.125,2.125,105502.0
2012-03-19,2.125,2.175,2.075,2.075,2.075,66326.0
2012-03-20,2.075,2.125,2.025,2.1,2.1,52276.0
2012-03-21,2.1,2.1,2.0,2.025,2.025,161588.0
2012-03-22,2.05,2.225,2.025,2.225,2.225,175258.0
2012-03-25,2.175,2.2,2.15,2.2,2.2,73503.0
2012-03-26,2.15,2.15,2.1,2.125,2.125,121518.0
2012-03-27,2.125,2.175,2.125,2.175,2.175,52426.0
2012-03-28,2.15,2.15,2.025,2.05,2.05,240510.0
2012-03-29,2.05,2.05,2.0,2.05,2.05,79765.0
2012-04-02,1.975,2.0,1.925,1.925,1.925,99596.0
2012-04-03,1.95,2.0,1.9,1.9,1.9,35940.0
2012-04-04,1.875,1.9,1.8,1.825,1.825,166544.0
2012-04-05,1.85,1.85,1.75,1.8,1.8,98907.0
2012-04-10,1.775,1.775,1.7,1.7,1.7,76687.0
2012-04-11,1.675,1.675,1.575,1.6,1.6,103338.0
2012-04-12,1.625,1.725,1.625,1.625,1.625,41691.0
2012-04-13,1.65,1.65,1.625,1.65,1.65,30797.0
2012-04-16,1.6,1.675,1.6,1.6,1.6,84774.0
2012-04-17,1.6,1.65,1.6,1.6,1.6,55450.0
2012-04-18,1.65,1.675,1.55,1.6,1.6,47095.0
2012-04-19,1.6,1.7,1.6,1.7,1.7,36309.0
2012-04-20,1.7,1.775,1.7,1.7,1.7,46181.0
2012-04-23,1.7,1.8,1.7,1.7,1.7,79500.0
2012-04-24,1.675,1.675,1.625,1.675,1.675,21117.0
2012-04-26,1.675,1.675,1.6,1.625,1.625,35668.0
2012-04-27,1.625,1.625,1.6,1.6,1.6,16202.0
2012-04-30,1.625,1.675,1.625,1.65,1.65,22200.0
2012-05-01,1.6,1.65,1.6,1.6,1.6,76400.0
2012-05-02,1.6,1.65,1.575,1.65,1.65,40530.0
2012-05-03,1.575,1.625,1.55,1.6,1.6,10108.0
2012-05-04,1.6,1.6,1.45,1.5,1.5,46900.0
2012-05-07,1.475,1.475,1.4,1.4,1.4,42337.0
2012-05-08,1.375,1.425,1.3,1.325,1.325,32074.0
2012-05-09,1.275,1.35,1.25,1.35,1.35,19500.0
2012-05-10,1.275,1.35,1.2,1.35,1.35,23167.0
2012-05-11,1.35,1.35,1.35,1.35,1.35,7400.0
2012-05-14,1.3,1.35,1.275,1.35,1.35,3600.0
2012-05-15,1.25,1.35,1.225,1.35,1.35,27095.0
2012-05-16,1.2,1.25,1.2,1.2,1.2,13410.0
2012-05-17,1.2,1.25,1.2,1.2,1.2,20840.0
2012-05-18,1.175,1.175,1.15,1.175,1.175,15600.0
2012-05-21,1.25,1.25,1.25,1.25,1.25,1000.0
2012-05-22,1.225,1.4,1.225,1.375,1.375,94300.0
2012-05-23,1.35,1.35,1.3,1.3,1.3,17343.0
2012-05-24,1.2,1.25,1.2,1.25,1.25,3084.0
2012-05-25,1.35,1.375,1.35,1.35,1.35,11900.0
2012-05-28,1.35,1.35,1.3,1.3,1.3,5200.0
2012-05-29,1.3,1.4,1.175,1.2,1.2,37150.0
2012-05-30,1.25,1.425,1.25,1.4,1.4,31554.0
2012-05-31,1.375,1.45,1.3,1.45,1.45,37707.0
2012-06-01,1.3,1.45,1.3,1.45,1.45,30900.0
2012-06-04,1.425,1.425,1.275,1.35,1.35,11042.0
2012-06-05,1.275,1.35,1.275,1.35,1.35,14500.0
2012-06-06,1.375,1.45,1.375,1.45,1.45,26000.0
2012-06-07,1.475,1.5,1.4,1.475,1.475,60672.0
2012-06-08,1.4,1.425,1.375,1.425,1.425,28020.0
2012-06-12,1.35,1.475,1.325,1.475,1.475,69856.0
2012-06-13,1.475,1.65,1.45,1.55,1.55,219996.0
2012-06-14,1.525,1.55,1.5,1.5,1.5,63800.0
2012-06-15,1.5,1.55,1.45,1.5,1.5,52103.0
2012-06-18,1.5,1.5,1.425,1.425,1.425,22763.0
2012-06-19,1.35,1.375,1.35,1.375,1.375,26304.0
2012-06-20,1.425,1.45,1.35,1.425,1.425,26207.0
2012-06-21,1.375,1.425,1.35,1.4,1.4,500708.0
2012-06-22,1.4,1.65,1.375,1.625,1.625,362518.0
2012-06-25,1.675,1.775,1.55,1.625,1.625,262692.0
2012-06-26,1.6,1.6,1.525,1.575,1.575,65750.0
2012-06-27,1.575,1.65,1.5,1.625,1.625,153426.0
2012-06-28,1.65,1.675,1.625,1.65,1.65,82464.0
2012-06-29,1.65,1.875,1.625,1.8,1.8,575516.0
2012-07-02,1.825,1.875,1.8,1.825,1.825,135736.0
2012-07-03,1.85,1.925,1.85,1.875,1.875,243144.0
2012-07-04,1.9,1.925,1.85,1.85,1.85,176138.0
2012-07-05,1.825,1.825,1.8,1.825,1.825,56997.0
2012-07-06,1.825,1.825,1.6,1.75,1.75,197091.0
2012-07-09,1.725,1.775,1.7,1.775,1.775,70715.0
2012-07-10,1.75,1.8,1.75,1.775,1.775,43224.0
2012-07-11,1.8,1.85,1.75,1.825,1.825,41276.0
2012-07-12,1.825,1.85,1.75,1.75,1.75,53463.0
2012-07-13,1.75,1.775,1.75,1.775,1.775,237847.0
2012-07-16,1.775,1.775,1.7,1.7,1.7,110964.0
2012-07-17,1.7,1.725,1.7,1.725,1.725,28237.0
2012-07-18,1.7,1.725,1.675,1.725,1.725,92926.0
2012-07-19,1.7,1.7,1.7,1.7,1.7,33600.0
2012-07-20,1.725,1.75,1.7,1.7,1.7,175130.0
2012-07-23,1.675,1.7,1.65,1.65,1.65,178204.0
2012-07-24,1.65,1.65,1.5,1.5,1.5,150754.0
2012-07-25,1.5,1.525,1.475,1.5,1.5,157587.0
2012-07-26,1.475,1.525,1.475,1.525,1.525,82500.0
2012-07-27,1.475,1.5,1.45,1.5,1.5,66788.0
2012-07-30,1.525,1.55,1.475,1.5,1.5,42601.0
2012-07-31,1.45,1.5,1.45,1.475,1.475,44296.0
2012-08-01,1.475,1.475,1.45,1.475,1.475,9780.0
2012-08-02,1.475,1.575,1.475,1.575,1.575,13167.0
2012-08-03,1.5,1.5,1.5,1.5,1.5,10000.0
2012-08-06,1.525,1.625,1.525,1.6,1.6,140751.0
2012-08-07,1.625,1.625,1.525,1.55,1.55,25148.0
2012-08-08,1.5,1.55,1.5,1.525,1.525,32253.0
2012-08-09,1.525,1.525,1.525,1.525,1.525,1310.0
2012-08-10,1.525,1.525,1.475,1.475,1.475,10400.0
2012-08-13,1.5,1.525,1.5,1.525,1.525,4037.0
2012-08-14,1.5,1.55,1.475,1.5,1.5,18819.0
2012-08-15,1.5,1.5,1.45,1.45,1.45,12983.0
2012-08-16,1.45,1.5,1.45,1.5,1.5,36767.0
2012-08-17,1.5,1.7,1.5,1.625,1.625,255313.0
2012-08-20,1.7,1.75,1.6,1.7,1.7,193979.0
2012-08-21,1.65,1.65,1.55,1.625,1.625,83150.0
2012-08-22,1.625,1.625,1.5,1.55,1.55,56364.0
2012-08-23,1.55,1.6,1.5,1.6,1.6,28242.0
2012-08-24,1.6,1.6,1.55,1.55,1.55,33690.0
2012-08-27,1.6,1.675,1.5,1.55,1.55,102036.0
2012-08-28,1.525,1.625,1.5,1.55,1.55,31200.0
2012-08-29,1.55,1.575,1.45,1.55,1.55,126156.0
2012-08-30,1.55,1.55,1.5,1.525,1.525,25969.0
2012-08-31,1.525,1.55,1.45,1.55,1.55,29338.0
2012-09-03,1.525,1.525,1.475,1.5,1.5,42703.0
2012-09-04,1.5,1.5,1.45,1.5,1.5,24782.0
2012-09-05,1.45,1.5,1.45,1.5,1.5,80122.0
2012-09-06,1.5,1.5,1.45,1.5,1.5,18060.0
2012-09-07,1.475,1.525,1.45,1.5,1.5,55860.0
2012-09-10,1.475,1.475,1.4,1.4,1.4,143773.0
2012-09-11,1.4,1.425,1.375,1.425,1.425,26889.0
2012-09-12,1.4,1.45,1.375,1.375,1.375,63820.0
2012-09-13,1.375,1.375,1.25,1.25,1.25,16343.0
2012-09-14,1.25,1.35,1.15,1.35,1.35,69090.0
2012-09-17,1.3,1.3,1.25,1.25,1.25,43640.0
2012-09-18,1.25,1.25,1.2,1.2,1.2,34461.0
2012-09-19,1.3,1.425,1.3,1.425,1.425,57950.0
2012-09-20,1.35,1.35,1.35,1.35,1.35,15975.0
2012-09-21,1.35,1.35,1.275,1.275,1.275,24175.0
2012-09-24,1.35,1.4,1.275,1.4,1.4,48000.0
2012-09-25,1.4,1.4,1.225,1.25,1.25,135904.0
2012-09-26,1.225,1.25,1.15,1.15,1.15,24996.0
2012-09-27,1.175,1.175,0.975,1.0,1.0,103319.0
2012-09-28,1.025,1.25,1.025,1.2,1.2,65001.0
2012-10-01,1.225,1.275,1.175,1.2,1.2,28293.0
2012-10-02,1.175,1.2,1.15,1.2,1.2,61300.0
2012-10-03,1.175,1.25,1.15,1.15,1.15,25754.0
2012-10-04,1.15,1.15,1.05,1.15,1.15,34900.0
2012-10-05,1.225,1.275,1.175,1.275,1.275,43520.0
2012-10-07,1.25,1.25,1.175,1.2,1.2,36000.0
2012-10-08,1.2,1.225,1.2,1.225,1.225,13605.0
2012-10-09,1.2,1.2,1.2,1.2,1.2,7566.0
2012-10-10,1.2,1.2,1.2,1.2,1.2,913.0
2012-10-11,1.125,1.125,1.125,1.125,1.125,12827.0
2012-10-14,1.125,1.125,1.1,1.1,1.1,11460.0
2012-10-15,1.1,1.3,1.1,1.25,1.25,149218.0
2012-10-16,1.325,1.325,1.15,1.15,1.15,37891.0
2012-10-17,1.15,1.15,1.05,1.15,1.15,28150.0
2012-10-18,1.175,1.175,1.075,1.1,1.1,24575.0
2012-10-21,1.05,1.225,1.05,1.1,1.1,51496.0
2012-10-22,1.175,1.2,1.05,1.2,1.2,19093.0
2012-10-23,1.075,1.175,1.05,1.175,1.175,21769.0
2012-10-24,1.075,1.175,1.05,1.175,1.175,11800.0
2012-10-25,1.125,1.125,1.125,1.125,1.125,1000.0
2012-10-28,1.1,1.1,1.025,1.025,1.025,32157.0
2012-10-29,1.05,1.05,1.0,1.0,1.0,25734.0
2012-10-30,1.0,1.05,1.0,1.0,1.0,6350.0
2012-10-31,1.05,1.1,1.05,1.1,1.1,10500.0
2012-11-01,1.0,1.1,1.0,1.0,1.0,12200.0
2012-11-04,1.075,1.075,1.075,1.075,1.075,400.0
2012-11-05,1.075,1.075,1.0,1.0,1.0,24170.0
2012-11-06,1.0,1.075,1.0,1.075,1.075,5539.0
2012-11-07,1.05,1.05,0.975,1.0,1.0,11600.0
2012-11-08,1.0,1.0,0.925,0.925,0.925,51945.0
2012-11-11,0.95,0.95,0.925,0.925,0.925,26000.0
2012-11-12,0.925,0.925,0.925,0.925,0.925,10000.0
2012-11-13,0.95,1.05,0.95,1.05,1.05,32166.0
2012-11-14,1.0,1.0,0.975,0.975,0.975,23715.0
2012-11-15,0.975,1.05,0.975,1.05,1.05,2110.0
2012-11-18,1.05,1.05,0.975,1.0,1.0,24933.0
2012-11-19,1.0,1.0,1.0,1.0,1.0,0.0
2012-11-20,1.0,1.1,1.0,1.05,1.05,85784.0
