Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.2,0.215,0.2,0.205,0.205,653326.0
2012-01-03,0.205,0.215,0.205,0.215,0.215,847621.0
2012-01-04,0.21,0.21,0.205,0.21,0.21,252030.0
2012-01-05,0.205,0.215,0.205,0.21,0.21,981797.0
2012-01-08,0.215,0.225,0.215,0.22,0.22,1231844.0
2012-01-09,0.225,0.23,0.22,0.22,0.22,474517.0
2012-01-10,0.22,0.23,0.22,0.225,0.225,316344.0
2012-01-11,0.225,0.225,0.22,0.225,0.225,257216.0
2012-01-12,0.225,0.23,0.225,0.225,0.225,493696.0
2012-01-15,0.23,0.235,0.23,0.23,0.23,559806.0
2012-01-16,0.245,0.255,0.24,0.25,0.25,2008635.0
2012-01-17,0.25,0.25,0.24,0.24,0.24,1201734.0
2012-01-18,0.25,0.25,0.235,0.235,0.235,717000.0
2012-01-19,0.245,0.245,0.24,0.24,0.24,926826.0
2012-01-22,0.24,0.245,0.235,0.235,0.235,1014020.0
2012-01-23,0.24,0.245,0.24,0.24,0.24,1378327.0
2012-01-24,0.24,0.245,0.235,0.24,0.24,621672.0
2012-01-26,0.24,0.245,0.235,0.245,0.245,2283639.0
2012-01-29,0.245,0.25,0.235,0.245,0.245,2206399.0
2012-01-30,0.24,0.24,0.235,0.235,0.235,2972433.0
2012-01-31,0.235,0.235,0.23,0.23,0.23,945985.0
2012-02-01,0.235,0.235,0.225,0.225,0.225,1198458.0
2012-02-02,0.225,0.23,0.225,0.23,0.23,627219.0
2012-02-05,0.23,0.23,0.22,0.225,0.225,1207636.0
2012-02-06,0.225,0.23,0.22,0.225,0.225,1113504.0
2012-02-07,0.22,0.23,0.22,0.22,0.22,583620.0
2012-02-08,0.23,0.23,0.225,0.23,0.23,537201.0
2012-02-09,0.225,0.225,0.22,0.225,0.225,449902.0
2012-02-12,0.225,0.225,0.22,0.22,0.22,489272.0
2012-02-13,0.225,0.225,0.22,0.225,0.225,276514.0
2012-02-14,0.225,0.225,0.22,0.22,0.22,281779.0
2012-02-15,0.225,0.225,0.215,0.22,0.22,309692.0
2012-02-16,0.225,0.225,0.215,0.215,0.215,98151.0
2012-02-19,0.225,0.225,0.215,0.215,0.215,264991.0
2012-02-20,0.215,0.22,0.215,0.22,0.22,159028.0
2012-02-21,0.225,0.225,0.22,0.225,0.225,191641.0
2012-02-22,0.225,0.235,0.225,0.23,0.23,1549242.0
2012-02-23,0.235,0.235,0.225,0.225,0.225,853339.0
2012-02-26,0.23,0.235,0.225,0.23,0.23,276988.0
2012-02-27,0.23,0.23,0.225,0.23,0.23,503590.0
2012-02-28,0.23,0.23,0.225,0.23,0.23,541730.0
2012-02-29,0.225,0.23,0.22,0.225,0.225,722533.0
2012-03-01,0.225,0.225,0.215,0.22,0.22,464199.0
2012-03-04,0.22,0.22,0.21,0.215,0.215,785749.0
2012-03-05,0.215,0.22,0.21,0.22,0.22,603692.0
2012-03-06,0.21,0.215,0.205,0.21,0.21,274622.0
2012-03-07,0.215,0.215,0.2,0.205,0.205,1115836.0
2012-03-08,0.21,0.21,0.205,0.205,0.205,439363.0
2012-03-11,0.205,0.215,0.205,0.205,0.205,557341.0
2012-03-12,0.21,0.215,0.2,0.2,0.2,675785.0
2012-03-13,0.2,0.2,0.195,0.195,0.195,1041924.0
2012-03-14,0.2,0.205,0.195,0.2,0.2,582346.0
2012-03-15,0.195,0.2,0.195,0.2,0.2,208752.0
2012-03-18,0.2,0.205,0.195,0.2,0.2,537399.0
2012-03-19,0.205,0.22,0.205,0.205,0.205,944697.0
2012-03-20,0.205,0.21,0.205,0.205,0.205,212000.0
2012-03-21,0.205,0.21,0.2,0.21,0.21,268457.0
2012-03-22,0.21,0.215,0.21,0.215,0.215,778073.0
2012-03-25,0.215,0.22,0.215,0.22,0.22,522050.0
2012-03-26,0.22,0.23,0.22,0.23,0.23,1485334.0
2012-03-27,0.23,0.24,0.22,0.235,0.235,910450.0
2012-03-28,0.225,0.225,0.215,0.22,0.22,789532.0
2012-03-29,0.215,0.22,0.21,0.215,0.215,655807.0
2012-04-02,0.215,0.22,0.21,0.21,0.21,357927.0
2012-04-03,0.215,0.22,0.215,0.22,0.22,602465.0
2012-04-04,0.21,0.215,0.205,0.215,0.215,241189.0
2012-04-05,0.205,0.205,0.205,0.205,0.205,281058.0
2012-04-10,0.215,0.225,0.205,0.215,0.215,1145400.0
2012-04-11,0.21,0.215,0.205,0.215,0.215,660930.0
2012-04-12,0.215,0.215,0.205,0.205,0.205,275211.0
2012-04-13,0.205,0.21,0.205,0.21,0.21,327839.0
2012-04-16,0.205,0.21,0.2,0.205,0.205,87094.0
2012-04-17,0.21,0.21,0.205,0.205,0.205,327468.0
2012-04-18,0.21,0.21,0.205,0.205,0.205,866240.0
2012-04-19,0.21,0.215,0.205,0.21,0.21,452042.0
2012-04-20,0.21,0.21,0.2,0.205,0.205,285920.0
2012-04-23,0.2,0.205,0.2,0.2,0.2,729544.0
2012-04-24,0.2,0.205,0.195,0.195,0.195,359078.0
2012-04-26,0.195,0.195,0.195,0.195,0.195,187581.0
2012-04-27,0.205,0.205,0.2,0.2,0.2,202001.0
2012-04-30,0.2,0.205,0.195,0.195,0.195,312446.0
2012-05-01,0.2,0.2,0.195,0.195,0.195,980955.0
2012-05-02,0.195,0.2,0.195,0.195,0.195,204940.0
2012-05-03,0.195,0.195,0.195,0.195,0.195,283300.0
2012-05-04,0.195,0.2,0.19,0.195,0.195,302931.0
2012-05-07,0.19,0.19,0.18,0.18,0.18,1429011.0
2012-05-08,0.18,0.18,0.175,0.18,0.18,372871.0
2012-05-09,0.17,0.175,0.165,0.175,0.175,1164513.0
2012-05-10,0.17,0.17,0.165,0.17,0.17,586755.0
2012-05-11,0.17,0.17,0.165,0.17,0.17,531374.0
2012-05-14,0.17,0.17,0.165,0.17,0.17,513800.0
2012-05-15,0.16,0.16,0.15,0.16,0.16,2670374.0
2012-05-16,0.15,0.15,0.14,0.15,0.15,1350556.0
2012-05-17,0.14,0.145,0.14,0.145,0.145,678296.0
2012-05-18,0.14,0.14,0.13,0.14,0.14,1320336.0
2012-05-21,0.14,0.14,0.135,0.14,0.14,517307.0
2012-05-22,0.14,0.14,0.135,0.14,0.14,219425.0
2012-05-23,0.135,0.135,0.13,0.135,0.135,116174.0
2012-05-24,0.13,0.14,0.13,0.135,0.135,743047.0
2012-05-25,0.14,0.14,0.135,0.135,0.135,159778.0
2012-05-28,0.135,0.14,0.13,0.135,0.135,274715.0
2012-05-29,0.135,0.17,0.135,0.165,0.165,923410.0
2012-05-30,0.17,0.17,0.15,0.17,0.17,469076.0
2012-05-31,0.155,0.165,0.155,0.16,0.16,98904.0
2012-06-01,0.155,0.16,0.15,0.15,0.15,454116.0
2012-06-04,0.145,0.145,0.135,0.14,0.14,147306.0
2012-06-05,0.14,0.145,0.14,0.145,0.145,365595.0
2012-06-06,0.15,0.15,0.14,0.145,0.145,134800.0
2012-06-07,0.145,0.145,0.135,0.135,0.135,698689.0
2012-06-08,0.14,0.14,0.13,0.135,0.135,457000.0
2012-06-12,0.135,0.145,0.125,0.13,0.13,751722.0
2012-06-13,0.13,0.13,0.13,0.13,0.13,99387.0
2012-06-14,0.125,0.13,0.125,0.125,0.125,95688.0
2012-06-15,0.13,0.135,0.125,0.125,0.125,287192.0
2012-06-18,0.13,0.14,0.13,0.135,0.135,163516.0
2012-06-19,0.135,0.14,0.135,0.135,0.135,180000.0
2012-06-20,0.14,0.14,0.135,0.14,0.14,216500.0
2012-06-21,0.135,0.135,0.135,0.135,0.135,59075.0
2012-06-22,0.135,0.135,0.13,0.135,0.135,384922.0
2012-06-25,0.135,0.135,0.13,0.13,0.13,176988.0
2012-06-26,0.13,0.13,0.115,0.115,0.115,761568.0
2012-06-27,0.12,0.12,0.115,0.12,0.12,1009420.0
2012-06-28,0.12,0.12,0.12,0.12,0.12,467525.0
2012-06-29,0.115,0.125,0.11,0.12,0.12,1645139.0
2012-07-02,0.12,0.125,0.12,0.125,0.125,360941.0
2012-07-03,0.13,0.135,0.13,0.13,0.13,140449.0
2012-07-04,0.135,0.135,0.125,0.13,0.13,496258.0
2012-07-05,0.13,0.13,0.13,0.13,0.13,166000.0
2012-07-06,0.13,0.13,0.12,0.12,0.12,647000.0
2012-07-09,0.125,0.125,0.12,0.12,0.12,225916.0
2012-07-10,0.125,0.125,0.115,0.115,0.115,154851.0
2012-07-11,0.12,0.12,0.115,0.12,0.12,53000.0
2012-07-12,0.12,0.12,0.12,0.12,0.12,72864.0
2012-07-13,0.12,0.12,0.115,0.115,0.115,179829.0
2012-07-16,0.12,0.125,0.12,0.125,0.125,50989.0
2012-07-17,0.12,0.12,0.115,0.12,0.12,48500.0
2012-07-18,0.12,0.125,0.115,0.115,0.115,424885.0
2012-07-19,0.115,0.12,0.11,0.115,0.115,323500.0
2012-07-20,0.115,0.115,0.11,0.115,0.115,290996.0
2012-07-23,0.115,0.115,0.11,0.115,0.115,68215.0
2012-07-24,0.115,0.12,0.115,0.12,0.12,94198.0
2012-07-25,0.12,0.12,0.11,0.115,0.115,100893.0
2012-07-26,0.115,0.115,0.105,0.115,0.115,325111.0
2012-07-27,0.115,0.115,0.11,0.11,0.11,294238.0
2012-07-30,0.115,0.115,0.105,0.105,0.105,225699.0
2012-07-31,0.11,0.11,0.09699999999999999,0.105,0.105,1142533.0
2012-08-01,0.105,0.105,0.095,0.1,0.1,94668.0
2012-08-02,0.099,0.1,0.09699999999999999,0.09699999999999999,0.09699999999999999,381700.0
2012-08-03,0.09699999999999999,0.099,0.095,0.099,0.099,301696.0
2012-08-06,0.096,0.099,0.095,0.099,0.099,229341.0
2012-08-07,0.099,0.099,0.092,0.096,0.096,129093.0
2012-08-08,0.09699999999999999,0.09699999999999999,0.091,0.092,0.092,408315.0
2012-08-09,0.092,0.092,0.08800000000000001,0.09,0.09,868692.0
2012-08-10,0.092,0.09699999999999999,0.092,0.092,0.092,259971.0
2012-08-13,0.09699999999999999,0.09699999999999999,0.092,0.092,0.092,241428.0
2012-08-14,0.096,0.09699999999999999,0.09300000000000001,0.09300000000000001,0.09300000000000001,149092.0
2012-08-15,0.09699999999999999,0.098,0.09300000000000001,0.094,0.094,126551.0
2012-08-16,0.098,0.098,0.095,0.095,0.095,295110.0
2012-08-17,0.09699999999999999,0.1,0.095,0.1,0.1,705777.0
2012-08-20,0.11,0.115,0.1,0.115,0.115,1456680.0
2012-08-21,0.12,0.14,0.12,0.125,0.125,1441658.0
2012-08-22,0.125,0.125,0.11,0.12,0.12,779761.0
2012-08-23,0.125,0.125,0.12,0.12,0.12,1173942.0
2012-08-24,0.12,0.125,0.12,0.125,0.125,407600.0
2012-08-27,0.12,0.12,0.11,0.11,0.11,196258.0
2012-08-28,0.11,0.11,0.11,0.11,0.11,105404.0
2012-08-29,0.105,0.105,0.105,0.105,0.105,189338.0
2012-08-30,0.11,0.11,0.1,0.105,0.105,130377.0
2012-08-31,0.105,0.11,0.105,0.105,0.105,80000.0
2012-09-03,0.105,0.105,0.1,0.105,0.105,224000.0
2012-09-04,0.105,0.105,0.1,0.105,0.105,53239.0
2012-09-05,0.105,0.105,0.105,0.105,0.105,0.0
2012-09-06,0.105,0.105,0.105,0.105,0.105,0.0
2012-09-07,0.1,0.1,0.1,0.1,0.1,6179.0
2012-09-10,0.105,0.105,0.1,0.1,0.1,400754.0
2012-09-11,0.1,0.11,0.1,0.11,0.11,142450.0
2012-09-12,0.105,0.105,0.105,0.105,0.105,110277.0
2012-09-13,0.105,0.105,0.1,0.1,0.1,360569.0
2012-09-14,0.1,0.1,0.095,0.096,0.096,485409.0
2012-09-17,0.096,0.1,0.096,0.1,0.1,144000.0
2012-09-18,0.099,0.099,0.09699999999999999,0.099,0.099,53874.0
2012-09-19,0.1,0.1,0.095,0.095,0.095,101712.0
2012-09-20,0.095,0.1,0.095,0.096,0.096,272167.0
2012-09-21,0.09699999999999999,0.099,0.09699999999999999,0.099,0.099,106000.0
2012-09-24,0.1,0.1,0.095,0.095,0.095,185265.0
2012-09-25,0.096,0.098,0.096,0.096,0.096,85417.0
2012-09-26,0.095,0.096,0.094,0.094,0.094,221089.0
2012-09-27,0.095,0.095,0.092,0.092,0.092,120633.0
2012-09-28,0.092,0.094,0.092,0.09300000000000001,0.09300000000000001,110000.0
2012-10-01,0.09300000000000001,0.09300000000000001,0.092,0.092,0.092,60000.0
2012-10-02,0.092,0.09300000000000001,0.09,0.09,0.09,180368.0
2012-10-03,0.09,0.09,0.086,0.08900000000000001,0.08900000000000001,409696.0
2012-10-04,0.08900000000000001,0.09,0.08800000000000001,0.08800000000000001,0.08800000000000001,314232.0
2012-10-05,0.08800000000000001,0.09,0.08800000000000001,0.08800000000000001,0.08800000000000001,81295.0
2012-10-07,0.09,0.09,0.087,0.087,0.087,220083.0
2012-10-08,0.087,0.09,0.087,0.087,0.087,76444.0
2012-10-09,0.086,0.087,0.085,0.085,0.085,459412.0
2012-10-10,0.085,0.085,0.08199999999999999,0.08199999999999999,0.08199999999999999,47384.0
