Date,Open,High,Low,Close,Adj Close,Volume
2016-08-30,0.23,0.25,0.22,0.245,0.245,740582.0
2016-08-31,0.24,0.26,0.235,0.26,0.26,419229.0
2016-09-01,0.25,0.26,0.25,0.26,0.26,112289.0
2016-09-02,0.26,0.27,0.26,0.26,0.26,265000.0
2016-09-05,0.26,0.27,0.255,0.27,0.27,226000.0
2016-09-06,0.27,0.27,0.255,0.255,0.255,87500.0
2016-09-07,0.26,0.27,0.255,0.26,0.26,207001.0
2016-09-08,0.26,0.28,0.26,0.28,0.28,203097.0
2016-09-09,0.28,0.28,0.265,0.265,0.265,192151.0
2016-09-12,0.27,0.27,0.26,0.26,0.26,150905.0
2016-09-13,0.26,0.26,0.26,0.26,0.26,26524.0
2016-09-14,0.26,0.26,0.26,0.26,0.26,30752.0
2016-09-15,0.255,0.255,0.24,0.24,0.24,274042.0
2016-09-16,0.235,0.24,0.235,0.24,0.24,95799.0
2016-09-19,0.24,0.25,0.24,0.25,0.25,85000.0
2016-09-20,0.25,0.25,0.25,0.25,0.25,25000.0
2016-09-21,0.24,0.24,0.24,0.24,0.24,20000.0
2016-09-22,0.24,0.24,0.24,0.24,0.24,114789.0
2016-09-23,0.24,0.24,0.24,0.24,0.24,190000.0
2016-09-26,0.24,0.24,0.24,0.24,0.24,0.0
2016-09-27,0.24,0.25,0.24,0.25,0.25,48769.0
2016-09-28,0.24,0.24,0.24,0.24,0.24,60000.0
2016-09-29,0.24,0.24,0.24,0.24,0.24,169504.0
2016-09-30,0.24,0.26,0.24,0.25,0.25,205496.0
2016-10-02,0.245,0.245,0.235,0.245,0.245,120000.0
2016-10-03,0.245,0.27,0.245,0.27,0.27,412041.0
2016-10-04,0.265,0.265,0.255,0.26,0.26,316910.0
2016-10-05,0.26,0.26,0.26,0.26,0.26,30000.0
2016-10-06,0.26,0.265,0.26,0.265,0.265,58800.0
2016-10-09,0.265,0.265,0.255,0.255,0.255,109289.0
2016-10-10,0.255,0.27,0.255,0.27,0.27,115000.0
2016-10-11,0.265,0.265,0.255,0.255,0.255,61930.0
2016-10-12,0.26,0.26,0.255,0.255,0.255,168500.0
2016-10-13,0.255,0.255,0.245,0.25,0.25,232040.0
2016-10-16,0.25,0.25,0.24,0.25,0.25,130920.0
2016-10-17,0.255,0.255,0.25,0.25,0.25,125409.0
2016-10-18,0.245,0.27,0.245,0.27,0.27,115520.0
2016-10-19,0.27,0.28,0.27,0.28,0.28,188235.0
2016-10-20,0.29,0.29,0.27,0.29,0.29,285317.0
2016-10-23,0.29,0.32,0.29,0.32,0.32,863823.0
2016-10-24,0.32,0.32,0.29,0.29,0.29,250323.0
2016-10-25,0.28,0.29,0.275,0.29,0.29,109095.0
2016-10-26,0.28,0.28,0.265,0.265,0.265,166651.0
2016-10-27,0.265,0.265,0.255,0.255,0.255,85273.0
2016-10-30,0.255,0.26,0.255,0.26,0.26,79896.0
2016-10-31,0.26,0.26,0.26,0.26,0.26,0.0
2016-11-01,0.25,0.25,0.215,0.215,0.215,135240.0
2016-11-02,0.235,0.235,0.225,0.225,0.225,173780.0
2016-11-03,0.23,0.24,0.23,0.24,0.24,60000.0
2016-11-06,0.24,0.24,0.235,0.235,0.235,85680.0
2016-11-07,0.235,0.235,0.235,0.235,0.235,0.0
2016-11-08,0.24,0.25,0.24,0.25,0.25,29680.0
2016-11-09,0.25,0.25,0.25,0.25,0.25,0.0
2016-11-10,0.235,0.235,0.195,0.195,0.195,213062.0
