Date,Open,High,Low,Close,Adj Close,Volume
2018-04-09,,,,,,
2018-04-10,1.2,1.2,1.2,1.2,1.2,25000.0
2018-04-11,1.2,1.25,1.2,1.25,1.25,11233.0
2018-04-12,1.25,1.25,1.25,1.25,1.25,425.0
2018-04-13,1.25,1.25,1.25,1.25,1.25,18000.0
2018-04-16,1.25,1.25,1.215,1.215,1.215,71000.0
2018-04-17,1.25,1.28,1.25,1.28,1.28,45256.0
2018-04-18,1.28,1.31,1.28,1.295,1.295,136775.0
2018-04-19,1.305,1.425,1.305,1.35,1.35,72930.0
2018-04-20,1.35,1.38,1.35,1.36,1.36,103662.0
2018-04-23,1.35,1.35,1.25,1.3,1.3,39688.0
2018-04-24,1.28,1.335,1.275,1.335,1.335,58315.0
2018-04-26,1.28,1.355,1.28,1.32,1.32,60789.0
2018-04-27,1.32,1.32,1.285,1.285,1.285,21883.0
2018-04-30,1.285,1.285,1.24,1.27,1.27,25061.0
2018-05-01,1.25,1.25,1.2,1.2,1.2,62896.0
2018-05-02,1.2,1.2,1.195,1.2,1.2,47226.0
2018-05-03,1.195,1.195,1.195,1.195,1.195,14594.0
2018-05-04,1.195,1.2,1.195,1.2,1.2,827.0
2018-05-07,1.2,1.22,1.2,1.2,1.2,110428.0
2018-05-08,1.2,1.2,1.2,1.2,1.2,5985.0
2018-05-09,1.2,1.2,1.2,1.2,1.2,7207.0
2018-05-10,1.205,1.23,1.205,1.23,1.23,15332.0
2018-05-11,1.21,1.22,1.21,1.22,1.22,1348.0
2018-05-14,1.2,1.22,1.2,1.205,1.205,21425.0
2018-05-15,1.205,1.23,1.2,1.225,1.225,37015.0
2018-05-16,1.2,1.235,1.195,1.235,1.235,189658.0
2018-05-17,1.2,1.2,1.2,1.2,1.2,7708.0
2018-05-18,1.2,1.2,1.18,1.18,1.18,12719.0
2018-05-21,1.18,1.18,1.18,1.18,1.18,1130.0
2018-05-22,1.18,1.195,1.18,1.19,1.19,12775.0
2018-05-23,1.19,1.21,1.16,1.16,1.16,27023.0
2018-05-24,1.16,1.165,1.16,1.16,1.16,13312.0
2018-05-25,1.165,1.165,1.14,1.145,1.145,5494.0
2018-05-28,1.14,1.155,1.12,1.15,1.15,21480.0
2018-05-29,1.14,1.155,1.12,1.15,1.15,21480.0
2018-05-30,1.125,1.125,1.12,1.12,1.12,10247.0
2018-05-31,1.125,1.15,1.12,1.15,1.15,13051.0
2018-06-01,1.13,1.13,1.065,1.07,1.07,54094.0
2018-06-04,1.09,1.1,1.08,1.1,1.1,10650.0
2018-06-05,1.1,1.12,1.095,1.095,1.095,57356.0
2018-06-06,1.12,1.195,1.12,1.185,1.185,39765.0
2018-06-07,1.2,1.205,1.16,1.2,1.2,49578.0
2018-06-08,1.3,1.34,1.28,1.34,1.34,291849.0
2018-06-12,1.37,1.4,1.37,1.4,1.4,223614.0
2018-06-13,1.4,1.4,1.38,1.38,1.38,61335.0
2018-06-14,1.385,1.415,1.385,1.4,1.4,179839.0
2018-06-15,1.4,1.42,1.37,1.42,1.42,50522.0
2018-06-18,1.4,1.42,1.37,1.42,1.42,50522.0
