Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,4.84,4.84,4.79,4.83,3.785102,155691.0
2012-01-03,4.87,5.0,4.83,4.99,3.910487,365824.0
2012-01-04,4.78,4.89,4.78,4.83,3.785102,330931.0
2012-01-05,4.8,4.87,4.8,4.82,3.777264,217732.0
2012-01-08,4.95,4.98,4.8,4.86,3.808611,254625.0
2012-01-09,4.8,4.99,4.8,4.99,3.910487,554819.0
2012-01-10,4.94,4.95,4.76,4.78,3.745918,1204961.0
2012-01-11,4.76,4.83,4.73,4.75,3.722407,295856.0
2012-01-12,4.79,4.84,4.78,4.82,3.777264,682855.0
2012-01-15,4.78,4.85,4.76,4.81,3.769427,287037.0
2012-01-16,4.82,4.91,4.8,4.9,3.839958,1101139.0
2012-01-17,4.81,5.03,4.8,5.0,3.918324,1014946.0
2012-01-18,5.04,5.04,4.94,4.97,3.894814,393020.0
2012-01-19,5.0,5.0,4.88,4.94,3.871305,455040.0
2012-01-22,4.99,4.99,4.92,4.92,3.85563,147225.0
2012-01-23,4.88,4.94,4.86,4.89,3.832121,248719.0
2012-01-24,4.89,4.93,4.85,4.91,3.847793,439052.0
2012-01-26,4.83,4.87,4.81,4.83,3.785102,561207.0
2012-01-29,4.85,4.88,4.76,4.79,3.753755,675899.0
2012-01-30,4.9,4.91,4.8,4.8,3.76159,1063699.0
2012-01-31,4.77,4.79,4.69,4.73,3.706734,630586.0
2012-02-01,4.85,4.91,4.78,4.79,3.753755,384720.0
2012-02-02,4.78,4.88,4.78,4.86,3.808611,529718.0
2012-02-05,4.9,4.95,4.87,4.9,3.839958,491932.0
2012-02-06,4.94,4.98,4.88,4.95,3.879139,360426.0
2012-02-07,4.97,5.07,4.93,5.03,3.941834,449214.0
2012-02-08,5.07,5.08,4.92,5.04,3.94967,237253.0
2012-02-09,5.07,5.08,4.93,5.02,3.933997,808212.0
2012-02-12,5.05,5.27,5.02,5.1,3.99669,992947.0
2012-02-13,5.03,5.18,5.02,5.06,3.965344,505606.0
2012-02-14,5.2,5.29,4.98,4.98,3.902651,1415705.0
2012-02-15,4.98,5.08,4.93,5.01,3.926161,1946358.0
2012-02-16,5.02,5.23,5.02,5.1,3.99669,989172.0
