Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.72,0.75,0.72,0.735,0.735,86839.0
2012-01-03,0.75,0.81,0.735,0.765,0.765,140294.0
2012-01-04,0.795,0.81,0.765,0.795,0.795,330102.0
2012-01-05,0.81,0.855,0.795,0.81,0.81,102139.0
2012-01-08,0.81,0.9,0.795,0.9,0.9,151788.0
2012-01-09,0.87,0.96,0.87,0.945,0.945,95983.0
2012-01-10,0.96,1.05,0.96,1.005,1.005,314685.0
2012-01-11,1.02,1.08,0.99,1.08,1.08,244142.0
2012-01-12,1.065,1.065,0.975,0.975,0.975,242832.0
2012-01-15,0.96,0.96,0.9,0.915,0.915,276768.0
2012-01-16,1.02,1.08,0.975,1.035,1.035,800638.0
2012-01-17,1.05,1.05,0.99,0.99,0.99,237721.0
2012-01-18,1.02,1.035,0.96,0.96,0.96,439878.0
2012-01-19,1.02,1.095,1.02,1.05,1.05,566391.0
2012-01-22,1.05,1.05,1.05,1.05,1.05,0.0
2012-01-23,1.05,1.05,1.05,1.05,1.05,0.0
2012-01-24,1.05,1.05,1.05,1.05,1.05,0.0
2012-01-26,1.02,1.14,0.975,0.99,0.99,1628317.0
2012-01-29,0.99,1.02,0.96,0.96,0.96,311745.0
2012-01-30,0.96,0.96,0.945,0.96,0.96,149024.0
2012-01-31,0.975,0.99,0.975,0.975,0.975,152672.0
2012-02-01,0.99,0.99,0.975,0.99,0.99,224012.0
2012-02-02,0.99,0.99,0.975,0.99,0.99,394082.0
2012-02-05,0.99,1.02,0.99,1.02,1.02,1156649.0
2012-02-06,1.02,1.02,1.005,1.005,1.005,1097197.0
2012-02-07,1.005,1.11,1.005,1.095,1.095,3087757.0
2012-02-08,1.11,1.215,1.11,1.215,1.215,2245485.0
2012-02-09,1.17,1.185,1.14,1.185,1.185,695195.0
2012-02-12,1.17,1.275,1.155,1.275,1.275,1100352.0
2012-02-13,1.245,1.275,1.215,1.245,1.245,1102995.0
2012-02-14,1.23,1.245,1.17,1.185,1.185,383378.0
2012-02-15,1.2,1.215,1.155,1.17,1.17,546227.0
2012-02-16,1.185,1.2,1.17,1.185,1.185,418179.0
2012-02-19,1.2,1.2,1.17,1.17,1.17,431535.0
2012-02-20,1.17,1.17,1.11,1.17,1.17,454257.0
2012-02-21,1.155,1.29,1.155,1.275,1.275,2603287.0
2012-02-22,1.275,1.305,1.215,1.215,1.215,1176101.0
2012-02-23,1.245,1.245,1.215,1.215,1.215,670116.0
2012-02-26,1.23,1.26,1.215,1.26,1.26,533667.0
2012-02-27,1.23,1.35,1.23,1.29,1.29,1497078.0
2012-02-28,1.29,1.29,1.245,1.275,1.275,282507.0
2012-02-29,1.23,1.245,1.185,1.2,1.2,449463.0
2012-03-01,1.2,1.2,1.155,1.17,1.17,752614.0
2012-03-04,1.17,1.185,1.14,1.17,1.17,513186.0
2012-03-05,1.17,1.17,1.125,1.14,1.14,287290.0
2012-03-06,1.14,1.14,1.095,1.14,1.14,330314.0
2012-03-07,1.155,1.17,1.095,1.155,1.155,1131839.0
2012-03-08,1.185,1.305,1.185,1.305,1.305,1331619.0
2012-03-11,1.305,1.35,1.26,1.26,1.26,540078.0
2012-03-12,1.275,1.32,1.23,1.26,1.26,642570.0
2012-03-13,1.26,1.38,1.26,1.32,1.32,1214063.0
2012-03-14,1.305,1.32,1.275,1.275,1.275,648054.0
2012-03-15,1.29,1.305,1.275,1.275,1.275,774607.0
2012-03-18,1.275,1.305,1.26,1.29,1.29,597393.0
2012-03-19,1.29,1.44,1.29,1.395,1.395,2062277.0
2012-03-20,1.41,1.425,1.365,1.365,1.365,1514084.0
2012-03-21,1.38,1.38,1.335,1.335,1.335,1498387.0
2012-03-22,1.32,1.335,1.305,1.32,1.32,603796.0
2012-03-25,1.32,1.32,1.26,1.275,1.275,1317113.0
2012-03-26,1.26,1.35,1.245,1.29,1.29,2464251.0
2012-03-27,1.29,1.335,1.29,1.335,1.335,577705.0
2012-03-28,1.32,1.335,1.29,1.32,1.32,913597.0
2012-03-29,1.335,1.335,1.305,1.32,1.32,291730.0
2012-04-02,1.29,1.305,1.26,1.305,1.305,480444.0
2012-04-03,1.29,1.29,1.23,1.23,1.23,751997.0
2012-04-04,1.23,1.23,1.185,1.23,1.23,426662.0
2012-04-05,1.2,1.215,1.17,1.185,1.185,403218.0
2012-04-10,1.17,1.185,1.125,1.17,1.17,1025848.0
2012-04-11,1.14,1.155,1.11,1.14,1.14,600829.0
2012-04-12,1.185,1.23,1.185,1.185,1.185,771212.0
2012-04-13,1.2,1.2,1.155,1.2,1.2,378175.0
2012-04-16,1.17,1.17,1.125,1.14,1.14,285574.0
2012-04-17,1.14,1.155,1.125,1.14,1.14,333651.0
2012-04-18,1.14,1.14,1.11,1.125,1.125,370859.0
2012-04-19,1.14,1.185,1.125,1.17,1.17,581042.0
2012-04-20,1.185,1.2,1.14,1.155,1.155,131712.0
2012-04-23,1.17,1.2,1.17,1.2,1.2,326051.0
2012-04-24,1.17,1.185,1.14,1.155,1.155,166030.0
2012-04-26,1.17,1.185,1.155,1.155,1.155,263945.0
2012-04-27,1.17,1.17,1.125,1.125,1.125,472683.0
2012-04-30,1.155,1.17,1.11,1.155,1.155,551164.0
2012-05-01,1.125,1.155,1.11,1.155,1.155,251379.0
2012-05-02,1.155,1.185,1.125,1.185,1.185,655198.0
2012-05-03,1.185,1.2,1.155,1.2,1.2,780766.0
2012-05-04,1.185,1.215,1.17,1.215,1.215,466426.0
2012-05-07,1.17,1.17,1.065,1.11,1.11,841239.0
2012-05-08,1.11,1.11,1.05,1.05,1.05,580752.0
2012-05-09,1.05,1.08,1.02,1.065,1.065,515030.0
2012-05-10,1.08,1.08,1.035,1.08,1.08,323046.0
2012-05-11,1.065,1.08,1.02,1.065,1.065,162865.0
2012-05-14,1.035,1.11,1.035,1.08,1.08,908072.0
2012-05-15,1.035,1.035,0.975,0.99,0.99,573958.0
2012-05-16,0.93,0.93,0.87,0.87,0.87,304067.0
2012-05-17,0.9,0.93,0.855,0.9,0.9,591771.0
2012-05-18,0.855,0.9,0.75,0.84,0.84,1001330.0
2012-05-21,0.855,0.87,0.825,0.84,0.84,389235.0
2012-05-22,0.885,0.93,0.87,0.885,0.885,1273112.0
2012-05-23,0.9,0.93,0.885,0.93,0.93,729329.0
2012-05-24,0.915,0.915,0.885,0.9,0.9,807648.0
2012-05-25,0.885,0.915,0.87,0.87,0.87,847795.0
2012-05-28,0.885,0.915,0.87,0.9,0.9,610168.0
2012-05-29,0.9,0.945,0.87,0.945,0.945,716497.0
2012-05-30,0.72,0.72,0.6,0.675,0.675,3269013.0
2012-05-31,0.66,0.705,0.645,0.675,0.675,2054663.0
2012-06-01,0.75,0.78,0.72,0.72,0.72,1739761.0
2012-06-04,0.705,0.72,0.66,0.72,0.72,814485.0
2012-06-05,0.735,0.75,0.69,0.75,0.75,1405938.0
2012-06-06,0.75,0.795,0.75,0.795,0.795,400278.0
2012-06-07,0.84,0.84,0.765,0.84,0.84,526461.0
2012-06-08,0.78,0.84,0.765,0.795,0.795,226189.0
2012-06-12,0.795,0.84,0.795,0.81,0.81,218066.0
2012-06-13,0.78,0.78,0.75,0.78,0.78,51248.0
2012-06-14,0.75,0.75,0.72,0.75,0.75,136916.0
2012-06-15,0.75,0.75,0.69,0.735,0.735,276300.0
2012-06-18,0.735,0.735,0.69,0.72,0.72,150975.0
2012-06-19,0.72,0.72,0.69,0.69,0.69,141502.0
