Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1.0,1.0,1.0,1.0,1.0,0.0
2012-01-03,1.04,1.04,1.04,1.04,1.04,39000.0
2012-01-04,1.0,1.0,1.0,1.0,1.0,0.0
2012-01-05,1.02,1.02,1.02,1.02,1.02,0.0
2012-01-08,1.02,1.02,1.02,1.02,1.02,0.0
2012-01-09,1.04,1.04,1.01,1.01,1.01,26609.0
2012-01-10,1.02,1.02,1.02,1.02,1.02,191.0
2012-01-11,1.04,1.05,1.04,1.05,1.05,169207.0
2012-01-12,1.03,1.03,1.03,1.03,1.03,0.0
2012-01-15,1.03,1.03,1.03,1.03,1.03,0.0
2012-01-16,1.04,1.04,1.04,1.04,1.04,11000.0
2012-01-17,1.05,1.05,1.05,1.05,1.05,17299.0
2012-01-18,1.025,1.025,1.025,1.025,1.025,5000.0
2012-01-19,1.02,1.02,1.02,1.02,1.02,3660.0
2012-01-22,1.02,1.02,1.02,1.02,1.02,10000.0
2012-01-23,1.025,1.03,1.025,1.03,1.03,24216.0
2012-01-24,1.02,1.02,1.01,1.01,1.01,90000.0
2012-01-26,1.03,1.03,1.03,1.03,1.03,13154.0
2012-01-29,1.03,1.03,1.03,1.03,1.03,7407.0
2012-01-30,1.05,1.05,1.05,1.05,1.05,0.0
2012-01-31,1.04,1.04,1.04,1.04,1.04,24471.0
2012-02-01,1.05,1.05,1.05,1.05,1.05,0.0
2012-02-02,1.035,1.035,1.035,1.035,1.035,341.0
2012-02-05,1.05,1.05,1.05,1.05,1.05,0.0
2012-02-06,1.045,1.045,1.04,1.04,1.04,30417.0
2012-02-07,1.07,1.07,1.07,1.07,1.07,79.0
2012-02-08,1.1,1.1,1.1,1.1,1.1,5295.0
2012-02-09,1.08,1.08,1.075,1.075,1.075,29626.0
2012-02-12,1.05,1.05,1.045,1.045,1.045,3179.0
2012-02-13,1.05,1.05,1.05,1.05,1.05,0.0
2012-02-14,1.045,1.045,1.045,1.045,1.045,1000.0
2012-02-15,1.045,1.045,1.045,1.045,1.045,18000.0
2012-02-16,1.06,1.06,1.045,1.045,1.045,73238.0
2012-02-19,1.045,1.045,1.045,1.045,1.045,14000.0
2012-02-20,1.05,1.05,1.05,1.05,1.05,1904.0
2012-02-21,1.055,1.055,1.05,1.05,1.05,3472.0
2012-02-22,1.06,1.06,1.06,1.06,1.06,73550.0
2012-02-23,1.06,1.06,1.045,1.045,1.045,13444.0
2012-02-26,1.055,1.055,1.055,1.055,1.055,2000.0
2012-02-27,1.05,1.05,1.045,1.05,1.05,58237.0
2012-02-28,1.07,1.07,1.07,1.07,1.07,0.0
2012-02-29,1.06,1.06,1.05,1.05,1.05,15830.0
2012-03-01,1.07,1.07,1.07,1.07,1.07,0.0
2012-03-04,1.055,1.055,1.055,1.055,1.055,13699.0
2012-03-05,1.055,1.055,1.05,1.05,1.05,10000.0
2012-03-06,1.07,1.07,1.07,1.07,1.07,0.0
2012-03-07,1.055,1.06,1.055,1.06,1.06,35490.0
2012-03-08,1.05,1.05,1.05,1.05,1.05,0.0
2012-03-11,1.05,1.05,1.05,1.05,1.05,0.0
2012-03-12,1.05,1.05,1.05,1.05,1.05,37000.0
2012-03-13,1.05,1.055,1.05,1.055,1.055,67311.0
2012-03-14,1.05,1.05,1.05,1.05,1.05,0.0
2012-03-15,1.055,1.07,1.055,1.055,1.055,28900.0
2012-03-18,1.06,1.08,1.05,1.075,1.075,99000.0
2012-03-19,1.08,1.08,1.08,1.08,1.08,10472.0
2012-03-20,1.08,1.08,1.065,1.065,1.065,12400.0
2012-03-21,1.065,1.065,1.055,1.055,1.055,12886.0
2012-03-22,1.07,1.07,1.05,1.05,1.05,37202.0
2012-03-25,1.09,1.09,1.09,1.09,1.09,0.0
2012-03-26,1.07,1.075,1.055,1.06,1.06,61714.0
2012-03-27,1.06,1.07,1.06,1.07,1.07,4246.0
2012-03-28,1.09,1.09,1.09,1.09,1.09,0.0
2012-03-29,1.06,1.08,1.06,1.08,1.08,19475.0
2012-04-02,1.09,1.125,1.09,1.125,1.125,27759.0
2012-04-03,1.08,1.08,1.08,1.08,1.08,17278.0
2012-04-04,1.08,1.08,1.08,1.08,1.08,2000.0
2012-04-05,1.1,1.1,1.1,1.1,1.1,0.0
2012-04-10,1.06,1.06,1.06,1.06,1.06,15000.0
2012-04-11,1.09,1.09,1.09,1.09,1.09,0.0
2012-04-12,1.07,1.07,1.06,1.06,1.06,1784.0
2012-04-13,1.08,1.08,1.08,1.08,1.08,0.0
2012-04-16,1.07,1.07,1.06,1.07,1.07,13000.0
2012-04-17,1.07,1.07,1.06,1.07,1.07,22735.0
2012-04-18,1.07,1.07,1.07,1.07,1.07,500.0
2012-04-19,1.09,1.09,1.09,1.09,1.09,90000.0
2012-04-20,1.09,1.09,1.08,1.08,1.08,62226.0
2012-04-23,1.09,1.1,1.09,1.1,1.1,27002.0
2012-04-24,1.1,1.1,1.1,1.1,1.1,65748.0
2012-04-26,1.12,1.12,1.12,1.12,1.12,548.0
2012-04-27,1.1,1.1,1.07,1.07,1.07,9000.0
2012-04-30,1.11,1.11,1.11,1.11,1.11,0.0
2012-05-01,1.08,1.12,1.08,1.12,1.12,16750.0
2012-05-02,1.12,1.12,1.12,1.12,1.12,1760.0
2012-05-03,1.12,1.12,1.12,1.12,1.12,20381.0
2012-05-04,1.11,1.11,1.11,1.11,1.11,0.0
2012-05-07,1.12,1.12,1.1,1.1,1.1,13298.0
2012-05-08,1.09,1.09,1.09,1.09,1.09,10810.0
2012-05-09,1.08,1.08,1.08,1.08,1.08,8000.0
2012-05-10,1.1,1.1,1.1,1.1,1.1,7177.0
2012-05-11,1.08,1.08,1.08,1.08,1.08,19000.0
2012-05-14,1.09,1.09,1.065,1.065,1.065,117007.0
2012-05-15,1.06,1.065,1.05,1.05,1.05,20470.0
2012-05-16,1.05,1.05,1.04,1.04,1.04,95510.0
2012-05-17,1.04,1.04,1.03,1.03,1.03,108788.0
2012-05-18,1.03,1.03,1.03,1.03,1.03,10901.0
2012-05-21,1.04,1.04,1.03,1.03,1.03,94601.0
2012-05-22,1.03,1.07,1.03,1.07,1.07,72527.0
2012-05-23,1.04,1.04,1.04,1.04,1.04,1451.0
2012-05-24,1.01,1.01,1.01,1.01,1.01,0.0
2012-05-25,1.055,1.055,1.05,1.05,1.05,9500.0
2012-05-28,1.06,1.06,1.06,1.06,1.06,10000.0
2012-05-29,1.05,1.05,1.04,1.04,1.04,10882.0
2012-05-30,1.01,1.01,1.01,1.01,1.01,0.0
2012-05-31,1.01,1.01,1.01,1.01,1.01,0.0
2012-06-01,1.05,1.05,1.05,1.05,1.05,1085.0
2012-06-04,1.055,1.055,1.04,1.04,1.04,84329.0
2012-06-05,1.01,1.01,1.01,1.01,1.01,0.0
2012-06-06,1.01,1.01,1.01,1.01,1.01,0.0
2012-06-07,1.01,1.01,1.01,1.01,1.01,0.0
2012-06-08,1.02,1.02,1.02,1.02,1.02,0.0
2012-06-12,1.08,1.08,1.08,1.08,1.08,36670.0
2012-06-13,1.02,1.02,1.02,1.02,1.02,0.0
2012-06-14,1.08,1.08,1.07,1.07,1.07,8550.0
2012-06-15,1.055,1.055,1.055,1.055,1.055,5987.0
2012-06-18,1.055,1.055,1.05,1.05,1.05,8206.0
2012-06-19,1.05,1.05,1.025,1.025,1.025,34700.0
2012-06-20,1.04,1.04,1.03,1.03,1.03,11576.0
2012-06-21,1.02,1.02,1.02,1.02,1.02,0.0
2012-06-22,0.97,0.97,0.97,0.97,0.97,0.0
2012-06-25,1.05,1.05,1.05,1.05,1.05,9570.0
2012-06-26,1.0,1.0,0.98,0.98,0.98,389400.0
2012-06-27,0.99,1.0,0.98,0.99,0.99,159827.0
2012-06-28,0.99,1.0,0.99,0.99,0.99,50773.0
2012-06-29,0.995,0.995,0.98,0.995,0.995,136800.0
2012-07-02,1.02,1.03,1.015,1.02,1.02,42000.0
2012-07-03,1.03,1.03,0.995,1.02,1.02,37099.0
2012-07-04,1.01,1.015,1.005,1.015,1.015,135000.0
2012-07-05,1.005,1.005,1.005,1.005,1.005,155433.0
2012-07-06,1.01,1.01,1.01,1.01,1.01,352771.0
2012-07-09,1.0,1.0,0.995,0.995,0.995,10000.0
2012-07-10,1.0,1.01,0.995,0.995,0.995,37000.0
2012-07-11,1.01,1.01,1.0,1.0,1.0,7300.0
2012-07-12,1.0,1.0,1.0,1.0,1.0,20800.0
