Date,Open,High,Low,Close,Adj Close,Volume
2014-12-09,2.06306,2.06306,2.04341,2.06306,1.49834,326010.0
2014-12-10,2.04341,2.06306,2.04341,2.04341,1.484069,31046.0
2014-12-11,2.04341,2.04341,2.04341,2.04341,1.484069,10682.0
2014-12-14,2.04341,2.04341,2.0139400000000003,2.03359,1.4769370000000002,231283.0
2014-12-15,2.04341,2.04341,2.0237700000000003,2.0237700000000003,1.469805,204629.0
2014-12-16,2.0237700000000003,2.03359,2.0237700000000003,2.0237700000000003,1.469805,28647.0
2014-12-17,2.04341,2.06306,2.04341,2.06306,1.49834,341835.0
2014-12-18,2.07289,2.07289,2.05324,2.07289,1.505479,125487.0
2014-12-21,2.05324,2.07289,2.04341,2.07289,1.505479,35324.0
2014-12-22,2.06306,2.06306,2.06306,2.06306,1.49834,18052.0
2014-12-23,2.06306,2.06306,2.06306,2.06306,1.49834,36.0
2014-12-28,2.08271,2.08271,2.06306,2.06306,1.49834,5887.0
2014-12-29,2.06306,2.06306,2.06306,2.06306,1.49834,0.0
2014-12-30,2.06306,2.06306,2.06306,2.06306,1.49834,0.0
2015-01-01,2.08271,2.08271,2.05324,2.05324,1.491208,9670.0
2015-01-04,2.07289,2.07289,2.06306,2.06306,1.49834,30028.0
2015-01-05,2.08271,2.08271,2.08271,2.08271,1.512612,20358.0
2015-01-06,2.08271,2.08271,2.08271,2.08271,1.512612,28247.0
2015-01-07,2.08271,2.08271,2.08271,2.08271,1.512612,0.0
2015-01-08,2.08271,2.08271,2.08271,2.08271,1.512612,161183.0
2015-01-11,2.08271,2.08271,2.08271,2.08271,1.512612,7566.0
2015-01-12,2.06306,2.06306,2.05324,2.05324,1.491208,26373.0
2015-01-13,2.06306,2.08271,2.06306,2.08271,1.512612,4835.0
2015-01-14,2.05324,2.05324,2.05324,2.05324,1.491208,2545.0
2015-01-15,2.06306,2.08271,2.06306,2.06306,1.49834,56178.0
2015-01-18,2.06306,2.08271,2.06306,2.08271,1.512612,119170.0
2015-01-19,2.08271,2.08271,2.07289,2.07289,1.505479,18322.0
2015-01-20,2.07289,2.08271,2.06306,2.06306,1.49834,86013.0
2015-01-21,2.06306,2.06306,2.06306,2.06306,1.49834,0.0
2015-01-22,2.09253,2.09253,2.09253,2.09253,1.519743,11903.0
2015-01-26,2.09253,2.10236,2.09253,2.09253,1.519743,45099.0
2015-01-27,2.10236,2.10236,2.10236,2.10236,1.526883,164900.0
2015-01-28,2.10236,2.11218,2.10236,2.11218,1.534014,16286.0
2015-01-29,2.13183,2.14166,2.13183,2.13183,1.548286,22908.0
2015-02-01,2.1613,2.1613,2.1613,2.1613,1.569689,40716.0
2015-02-02,2.19078,2.19078,2.17113,2.17113,1.576828,15535.0
2015-02-03,2.17113,2.18095,2.1613,2.18095,1.58396,40959.0
2015-02-04,2.18095,2.19078,2.1613,2.1613,1.569689,23963.0
2015-02-05,2.17113,2.17113,2.17113,2.17113,1.576828,7125.0
2015-02-08,2.17113,2.19078,2.17113,2.19078,1.591099,18740.0
2015-02-09,2.21042,2.21042,2.21042,2.21042,1.605363,1018.0
2015-02-10,2.19078,2.19078,2.17113,2.17113,1.576828,5276.0
2015-02-11,2.18095,2.18095,2.17113,2.17113,1.576828,35222.0
2015-02-12,2.2006,2.21042,2.2006,2.21042,1.605363,7999.0
2015-02-15,2.34796,2.34796,2.32831,2.32831,1.690984,5514.0
2015-02-16,2.31849,2.34796,2.31849,2.31849,1.6838509999999998,33336.0
2015-02-17,2.2890200000000003,2.2890200000000003,2.2595400000000003,2.2791900000000003,1.655309,34863.0
2015-02-18,2.2890200000000003,2.31849,2.2890200000000003,2.29884,1.6695799999999998,5374.0
2015-02-19,2.2890200000000003,2.2890200000000003,2.2890200000000003,2.2890200000000003,1.662449,15370.0
2015-02-22,2.2890200000000003,2.2890200000000003,2.26937,2.2890200000000003,1.662449,34463.0
2015-02-23,2.26937,2.26937,2.2595400000000003,2.2595400000000003,1.641038,19727.0
2015-02-24,2.2595400000000003,2.2595400000000003,2.21042,2.2595400000000003,1.641038,19766.0
2015-02-25,2.22025,2.22025,2.2006,2.2006,1.598231,75964.0
2015-02-26,2.21042,2.22025,2.2006,2.2006,1.598231,28662.0
2015-03-01,2.2006,2.2595400000000003,2.2006,2.2595400000000003,1.641038,37453.0
2015-03-02,2.2399,2.2399,2.21042,2.21042,1.605363,11064.0
2015-03-03,2.21042,2.21042,2.21042,2.21042,1.605363,16940.0
2015-03-04,2.21042,2.2399,2.21042,2.21042,1.605363,27241.0
2015-03-05,2.23007,2.23007,2.23007,2.23007,1.619635,10179.0
2015-03-08,2.23007,2.23007,2.21042,2.22025,1.612503,35627.0
2015-03-09,2.22025,2.2399,2.22025,2.2399,1.626774,26982.0
2015-03-10,2.22025,2.2399,2.21042,2.2399,1.626774,36163.0
2015-03-11,2.2399,2.2399,2.2399,2.2399,1.626774,3054.0
2015-03-12,2.2399,2.2399,2.2399,2.2399,1.626774,0.0
2015-03-15,2.2399,2.2399,2.19078,2.19078,1.591099,109348.0
2015-03-16,2.2006,2.2006,2.2006,2.2006,1.598231,302826.0
2015-03-17,2.21042,2.21042,2.21042,2.21042,1.605363,33921.0
2015-03-18,2.21042,2.21042,2.21042,2.21042,1.605363,0.0
2015-03-19,2.21042,2.21042,2.21042,2.21042,1.605363,0.0
2015-03-22,2.21042,2.21042,2.21042,2.21042,1.605363,0.0
2015-03-23,2.23007,2.23007,2.21042,2.21042,1.605363,185065.0
2015-03-24,2.21042,2.21042,2.18095,2.18095,1.58396,187957.0
2015-03-25,2.19078,2.19078,2.17604,2.17604,1.580394,36654.0
2015-03-26,2.1613,2.1613,2.1613,2.1613,1.569689,22616.0
2015-03-29,2.18095,2.18095,2.18095,2.18095,1.58396,5090.0
2015-03-30,2.17113,2.17113,2.17113,2.17113,1.576828,21610.0
2015-03-31,2.17113,2.17113,2.1613,2.1613,1.569689,11714.0
2015-04-01,2.1613,2.17113,2.1613,2.1613,1.569689,23683.0
2015-04-07,2.1613,2.1613,2.14166,2.14166,1.555425,12716.0
2015-04-08,2.18095,2.18095,2.18095,2.18095,1.58396,407.0
2015-04-09,2.14166,2.14166,2.14166,2.14166,1.555425,10179.0
