Date,Open,High,Low,Close,Adj Close,Volume
2018-11-25,12.84,13.3,12.72,13.11,13.11,5085525.0
2018-11-26,13.05,13.13,12.75,12.89,12.89,6747945.0
2018-11-27,12.12,12.74,12.06,12.7,12.7,10082053.0
2018-11-28,12.56,12.66,12.25,12.39,12.39,8038728.0
2018-11-29,12.02,12.17,11.71,11.71,11.71,15507962.0
2018-12-02,11.53,11.64,11.26,11.62,11.62,7041600.0
2018-12-03,11.4,11.59,11.4,11.49,11.49,10601215.0
2018-12-04,11.35,12.08,11.34,11.82,11.82,8646218.0
2018-12-05,11.55,12.13,11.55,12.1,12.1,4583350.0
2018-12-06,12.05,12.78,12.03,12.6,12.6,9192109.0
2018-12-09,12.46,12.585,12.33,12.49,12.49,5910984.0
2018-12-10,12.27,12.415,12.1,12.41,12.41,5395786.0
2018-12-11,12.37,12.45,12.1,12.23,12.23,7801056.0
2018-12-12,12.22,12.3,11.99,12.1,12.1,3975657.0
2018-12-13,11.81,11.89,11.71,11.72,11.72,5113674.0
2018-12-16,11.65,12.09,11.61,11.93,11.93,4120952.0
2018-12-17,11.78,12.035,11.71,11.72,11.72,3725823.0
2018-12-18,11.61,11.835,11.56,11.82,11.82,4364977.0
2018-12-19,12.0,12.28,11.85,12.05,12.05,6923134.0
2018-12-20,12.0,12.125,11.46,11.61,11.61,6351418.0
2018-12-23,11.49,11.7,11.34,11.7,11.7,1445445.0
2018-12-26,11.8,11.84,11.65,11.77,11.77,2216127.0
2018-12-27,11.7,12.0,11.7,12.0,12.0,1605489.0
2018-12-30,12.0,12.04,11.74,11.74,11.74,1333311.0
2019-01-01,11.75,11.88,11.71,11.71,11.71,1098216.0
2019-01-02,11.71,12.0,11.71,11.99,11.99,1599882.0
2019-01-03,11.81,11.88,11.71,11.81,11.81,2127786.0
2019-01-06,11.91,11.98,11.65,11.71,11.71,2266452.0
2019-01-07,11.6,11.77,11.46,11.72,11.72,3262339.0
2019-01-08,11.76,11.85,11.67,11.85,11.85,3009235.0
2019-01-09,11.92,11.95,11.57,11.66,11.66,4299196.0
2019-01-10,11.6,11.68,11.5,11.53,11.53,3018688.0
2019-01-13,11.53,11.89,11.5,11.89,11.89,2914418.0
2019-01-14,11.78,11.83,11.6,11.76,11.76,3237995.0
2019-01-15,11.75,11.99,11.7,11.88,11.88,2658982.0
2019-01-16,11.83,12.1,11.79,12.08,12.08,3841166.0
2019-01-17,12.05,12.36,12.05,12.32,12.32,3555168.0
2019-01-20,12.48,12.695,12.45,12.66,12.66,3098029.0
2019-01-21,12.6,12.79,12.51,12.74,12.74,2082084.0
2019-01-22,12.73,12.74,12.51,12.59,12.59,4244315.0
