Date,Open,High,Low,Close,Adj Close,Volume
2018-05-24,,,,,,
2018-05-25,0.245,0.245,0.18,0.21,0.21,3976451.0
2018-05-28,0.21,0.21,0.185,0.185,0.185,1149950.0
2018-05-29,0.185,0.2,0.185,0.1975,0.1975,232641.0
2018-05-30,0.195,0.195,0.18,0.18,0.18,819378.0
2018-05-31,0.185,0.185,0.16,0.17,0.17,657845.0
2018-06-01,0.17,0.18,0.15,0.16,0.16,219400.0
2018-06-04,0.165,0.17,0.16,0.17,0.17,394144.0
2018-06-05,0.16,0.17,0.15,0.16,0.16,88306.0
2018-06-06,0.15,0.17,0.15,0.17,0.17,78632.0
2018-06-07,0.16,0.16,0.15,0.15,0.15,143631.0
2018-06-08,0.15,0.155,0.15,0.15,0.15,98333.0
2018-06-12,0.15,0.155,0.14,0.14,0.14,161901.0
2018-06-13,0.14,0.15,0.14,0.15,0.15,152993.0
2018-06-14,0.15,0.15,0.13,0.145,0.145,332811.0
2018-06-15,0.14,0.14,0.13,0.14,0.14,169926.0
2018-06-18,0.145,0.145,0.14,0.14,0.14,17450.0
2018-06-19,0.14,0.15,0.14,0.14,0.14,217182.0
2018-06-20,0.14,0.14,0.135,0.135,0.135,95535.0
2018-06-21,0.13,0.135,0.12,0.135,0.135,196272.0
2018-06-22,0.135,0.135,0.135,0.135,0.135,684.0
2018-06-25,0.135,0.135,0.11,0.125,0.125,400642.0
2018-06-26,0.12,0.125,0.115,0.12,0.12,258000.0
2018-06-27,0.125,0.155,0.125,0.15,0.15,1295235.0
2018-06-28,0.155,0.195,0.155,0.19,0.19,2521126.0
2018-06-29,0.205,0.22,0.19,0.195,0.195,2085379.0
2018-07-02,0.195,0.2,0.195,0.195,0.195,386590.0
2018-07-03,0.195,0.2,0.18,0.185,0.185,292860.0
2018-07-04,0.185,0.185,0.17,0.17,0.17,601402.0
2018-07-05,0.175,0.205,0.175,0.205,0.205,608885.0
2018-07-06,0.2,0.28,0.195,0.28,0.28,2551538.0
2018-07-09,0.3,0.375,0.3,0.33,0.33,5316805.0
2018-07-10,0.335,0.345,0.29,0.305,0.305,2130821.0
2018-07-11,0.31,0.33,0.305,0.31,0.31,949347.0
2018-07-12,0.31,0.32,0.295,0.305,0.305,1102442.0
2018-07-13,0.31,0.38,0.31,0.38,0.38,1345860.0
2018-07-16,0.425,0.455,0.395,0.405,0.405,2867578.0
2018-07-17,0.405,0.425,0.395,0.4,0.4,1460183.0
2018-07-18,0.43,0.46,0.325,0.33,0.33,4917833.0
2018-07-19,0.345,0.38,0.335,0.36,0.36,1583342.0
2018-07-20,0.35,0.355,0.335,0.345,0.345,483321.0
2018-07-23,0.365,0.385,0.345,0.345,0.345,2012481.0
2018-07-24,0.36,0.36,0.32,0.32,0.32,777916.0
2018-07-25,0.315,0.33,0.31,0.32,0.32,1222724.0
2018-07-26,0.32,0.335,0.32,0.32,0.32,446402.0
2018-07-27,0.33,0.34,0.32,0.335,0.335,348983.0
2018-07-30,0.34,0.34,0.32,0.33,0.33,853161.0
2018-07-31,0.32,0.32,0.28,0.28,0.28,2099304.0
2018-08-01,0.285,0.3,0.275,0.275,0.275,681454.0
2018-08-02,0.275,0.285,0.24,0.25,0.25,1057525.0
2018-08-03,0.255,0.325,0.235,0.325,0.325,2134106.0
2018-08-06,0.32,0.325,0.29,0.29,0.29,438420.0
2018-08-07,0.3,0.32,0.3,0.305,0.305,189949.0
2018-08-08,0.305,0.315,0.295,0.295,0.295,55200.0
2018-08-09,0.295,0.305,0.295,0.3,0.3,206133.0
2018-08-10,0.31,0.35,0.31,0.345,0.345,1066559.0
2018-08-13,0.335,0.365,0.335,0.355,0.355,879676.0
2018-08-14,0.355,0.37,0.34,0.36,0.36,926499.0
2018-08-15,0.35,0.37,0.345,0.365,0.365,524277.0
2018-08-16,0.35,0.365,0.345,0.35,0.35,281933.0
2018-08-17,0.345,0.345,0.315,0.315,0.315,424568.0
2018-08-20,0.335,0.355,0.32,0.325,0.325,948674.0
2018-08-21,0.325,0.33,0.315,0.325,0.325,575784.0
2018-08-22,0.32,0.33,0.315,0.315,0.315,256516.0
2018-08-23,0.315,0.325,0.315,0.315,0.315,472069.0
2018-08-24,0.32,0.345,0.32,0.33,0.33,613644.0
2018-08-27,0.335,0.34,0.325,0.335,0.335,297999.0
2018-08-28,0.34,0.365,0.34,0.365,0.365,699331.0
2018-08-29,0.375,0.39,0.365,0.37,0.37,728724.0
2018-08-30,0.37,0.38,0.33,0.35,0.35,578886.0
2018-08-31,0.345,0.35,0.34,0.35,0.35,235546.0
2018-09-03,0.35,0.38,0.345,0.375,0.375,902465.0
2018-09-04,0.375,0.435,0.37,0.435,0.435,2796921.0
2018-09-05,0.445,0.455,0.39,0.4,0.4,2053152.0
2018-09-06,0.395,0.42,0.375,0.395,0.395,1346550.0
2018-09-07,0.4,0.455,0.385,0.44,0.44,1017823.0
2018-09-10,0.45,0.495,0.45,0.485,0.485,1869311.0
2018-09-11,0.51,0.575,0.505,0.565,0.565,4392182.0
2018-09-12,0.59,0.605,0.495,0.58,0.58,5047986.0
2018-09-13,0.58,0.59,0.535,0.585,0.585,1518120.0
2018-09-14,0.575,0.67,0.56,0.66,0.66,2379685.0
2018-09-17,0.67,0.77,0.66,0.76,0.76,3363639.0
2018-09-18,0.765,0.83,0.665,0.665,0.665,4141876.0
2018-09-19,0.685,0.705,0.64,0.665,0.665,1470496.0
2018-09-20,0.685,0.72,0.65,0.72,0.72,1027064.0
2018-09-21,0.72,0.72,0.54,0.545,0.545,3984003.0
2018-09-24,0.525,0.535,0.465,0.485,0.485,4221560.0
2018-09-25,0.485,0.57,0.485,0.54,0.54,2632964.0
2018-09-26,0.53,0.565,0.525,0.53,0.53,1091005.0
2018-09-27,0.545,0.545,0.515,0.53,0.53,318702.0
2018-09-28,0.54,0.59,0.525,0.57,0.57,645238.0
2018-10-01,0.57,0.58,0.54,0.54,0.54,439412.0
2018-10-02,0.54,0.55,0.535,0.535,0.535,333777.0
2018-10-03,0.54,0.54,0.515,0.52,0.52,261009.0
2018-10-04,0.52,0.52,0.48,0.495,0.495,889164.0
2018-10-05,0.49,0.49,0.43,0.455,0.455,1213064.0
2018-10-07,0.46,0.485,0.445,0.475,0.475,233736.0
2018-10-08,0.48,0.48,0.445,0.455,0.455,237050.0
2018-10-09,0.455,0.49,0.455,0.48,0.48,303928.0
2018-10-10,0.455,0.455,0.4,0.42,0.42,842369.0
2018-10-11,0.42,0.445,0.385,0.405,0.405,1067245.0
2018-10-14,0.4,0.405,0.36,0.37,0.37,519111.0
2018-10-15,0.35,0.365,0.33,0.35,0.35,1527680.0
2018-10-16,0.36,0.41,0.355,0.4,0.4,831446.0
2018-10-17,0.395,0.395,0.37,0.37,0.37,333792.0
2018-10-18,0.37,0.395,0.365,0.375,0.375,214535.0
2018-10-21,0.39,0.39,0.375,0.385,0.385,73979.0
2018-10-22,0.395,0.4,0.365,0.365,0.365,346528.0
2018-10-23,0.38,0.385,0.355,0.355,0.355,244486.0
2018-10-24,0.34,0.34,0.305,0.325,0.325,519527.0
2018-10-25,0.335,0.365,0.335,0.35,0.35,200776.0
2018-10-28,0.35,0.38,0.35,0.37,0.37,347793.0
2018-10-29,0.355,0.365,0.335,0.365,0.365,143369.0
2018-10-30,0.36,0.36,0.325,0.325,0.325,421550.0
2018-10-31,0.34,0.375,0.33,0.355,0.355,514525.0
2018-11-01,0.36,0.365,0.34,0.34,0.34,200243.0
2018-11-04,0.34,0.34,0.335,0.335,0.335,61940.0
2018-11-05,0.345,0.365,0.345,0.355,0.355,134168.0
2018-11-06,0.365,0.365,0.355,0.36,0.36,118465.0
2018-11-07,0.39,0.39,0.34,0.345,0.345,419369.0
