Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.215,0.215,0.205,0.21,0.21,184000.0
2012-01-03,0.215,0.225,0.215,0.225,0.225,715849.0
2012-01-04,0.225,0.23,0.22,0.22,0.22,120451.0
2012-01-05,0.225,0.225,0.22,0.22,0.22,276100.0
2012-01-08,0.22,0.225,0.215,0.225,0.225,338700.0
2012-01-09,0.225,0.225,0.22,0.22,0.22,195600.0
2012-01-10,0.22,0.23,0.22,0.23,0.23,359000.0
2012-01-11,0.225,0.225,0.22,0.225,0.225,215704.0
2012-01-12,0.225,0.225,0.225,0.225,0.225,0.0
2012-01-15,0.225,0.225,0.225,0.225,0.225,223880.0
2012-01-16,0.225,0.235,0.225,0.235,0.235,672808.0
2012-01-17,0.235,0.235,0.23,0.23,0.23,196342.0
2012-01-18,0.235,0.24,0.235,0.24,0.24,227858.0
2012-01-19,0.24,0.245,0.235,0.235,0.235,343000.0
2012-01-22,0.24,0.245,0.235,0.235,0.235,132604.0
2012-01-23,0.24,0.25,0.24,0.245,0.245,775377.0
2012-01-24,0.24,0.245,0.235,0.245,0.245,398677.0
2012-01-26,0.245,0.245,0.24,0.24,0.24,218800.0
2012-01-29,0.24,0.24,0.24,0.24,0.24,98968.0
2012-01-30,0.24,0.245,0.24,0.245,0.245,370069.0
2012-01-31,0.245,0.25,0.24,0.245,0.245,374724.0
2012-02-01,0.245,0.26,0.245,0.26,0.26,738066.0
2012-02-02,0.26,0.265,0.26,0.26,0.26,772698.0
2012-02-05,0.26,0.265,0.25,0.25,0.25,701301.0
2012-02-06,0.245,0.26,0.24,0.255,0.255,1279507.0
2012-02-07,0.265,0.285,0.265,0.285,0.285,2767226.0
2012-02-08,0.285,0.29,0.28,0.28,0.28,868560.0
2012-02-09,0.28,0.285,0.27,0.275,0.275,430253.0
2012-02-12,0.275,0.28,0.255,0.26,0.26,1080919.0
2012-02-13,0.265,0.275,0.265,0.275,0.275,515723.0
2012-02-14,0.28,0.285,0.27,0.28,0.28,943816.0
2012-02-15,0.28,0.285,0.275,0.28,0.28,468200.0
2012-02-16,0.285,0.295,0.285,0.29,0.29,1075474.0
2012-02-19,0.295,0.31,0.295,0.31,0.31,1703131.0
2012-02-20,0.31,0.31,0.3,0.3,0.3,294770.0
2012-02-21,0.305,0.32,0.305,0.305,0.305,2005746.0
2012-02-22,0.305,0.31,0.3,0.3,0.3,215181.0
2012-02-23,0.305,0.315,0.305,0.31,0.31,1750392.0
2012-02-26,0.315,0.32,0.315,0.315,0.315,713317.0
2012-02-27,0.315,0.315,0.305,0.31,0.31,745741.0
2012-02-28,0.31,0.315,0.3,0.305,0.305,835795.0
2012-02-29,0.305,0.305,0.29,0.29,0.29,235937.0
2012-03-01,0.295,0.3,0.285,0.295,0.295,744236.0
2012-03-04,0.295,0.295,0.285,0.29,0.29,205932.0
2012-03-05,0.29,0.295,0.285,0.285,0.285,186859.0
2012-03-06,0.28,0.28,0.27,0.275,0.275,363939.0
2012-03-07,0.28,0.285,0.275,0.28,0.28,271938.0
2012-03-08,0.285,0.295,0.28,0.28,0.28,530769.0
2012-03-11,0.285,0.29,0.275,0.28,0.28,385564.0
2012-03-12,0.275,0.275,0.27,0.275,0.275,472400.0
2012-03-13,0.28,0.28,0.275,0.275,0.275,246685.0
2012-03-14,0.275,0.28,0.275,0.28,0.28,228130.0
2012-03-15,0.275,0.285,0.27,0.285,0.285,1036234.0
