Date,Open,High,Low,Close,Adj Close,Volume
2018-01-14,0.3,0.35,0.3,0.3,0.3,1058184
2018-01-15,0.31,0.35,0.31,0.345,0.345,769650
2018-01-16,0.34,0.36,0.32,0.325,0.325,772591
2018-01-17,0.33,0.33,0.32,0.32,0.32,191000
2018-01-18,0.32,0.32,0.3,0.3,0.3,240181
2018-01-21,0.31,0.31,0.28,0.28,0.28,95906
2018-01-22,0.3,0.3,0.28,0.3,0.3,97050
2018-01-23,0.29,0.3,0.29,0.295,0.295,209650
2018-01-24,0.295,0.32,0.295,0.32,0.32,235968
2018-01-28,0.325,0.325,0.325,0.325,0.325,78737
2018-01-29,0.325,0.325,0.32,0.32,0.32,42450
2018-01-30,0.32,0.32,0.31,0.31,0.31,55000
2018-01-31,0.31,0.31,0.29,0.29,0.29,210000
2018-02-01,0.295,0.295,0.295,0.295,0.295,9000
2018-02-04,0.29,0.29,0.28,0.28,0.28,153698
2018-02-05,0.26,0.27,0.25,0.26,0.26,348728
2018-02-06,0.27,0.27,0.27,0.27,0.27,19100
2018-02-07,0.27,0.27,0.27,0.27,0.27,4900
2018-02-08,0.26,0.3,0.26,0.3,0.3,264202
2018-02-11,0.28,0.28,0.28,0.28,0.28,37000
2018-02-12,0.28,0.28,0.28,0.28,0.28,16789
2018-02-13,0.28,0.29,0.28,0.29,0.29,17500
2018-02-14,0.28,0.28,0.27,0.28,0.28,66000
2018-02-15,0.28,0.28,0.255,0.26,0.26,163041
2018-02-18,0.265,0.27,0.265,0.27,0.27,58400
2018-02-19,0.285,0.285,0.28,0.28,0.28,5500
2018-02-20,0.28,0.28,0.28,0.28,0.28,0
2018-02-21,0.36,0.375,0.305,0.37,0.37,1986987
2018-02-22,0.37,0.37,0.36,0.36,0.36,237400
2018-02-25,0.35,0.35,0.32,0.325,0.325,278267
2018-02-26,0.33,0.335,0.33,0.335,0.335,44399
2018-02-27,0.34,0.34,0.34,0.34,0.34,59578
2018-02-28,0.35,0.35,0.325,0.325,0.325,37000
2018-03-01,0.35,0.35,0.35,0.35,0.35,1500
2018-03-04,0.345,0.345,0.325,0.325,0.325,80917
2018-03-05,0.325,0.325,0.32,0.32,0.32,10000
2018-03-06,0.32,0.335,0.29,0.29,0.29,290212
2018-03-07,0.29,0.29,0.27,0.27,0.27,68731
2018-03-08,0.28,0.3,0.28,0.3,0.3,40500
2018-03-11,0.3,0.3,0.285,0.285,0.285,63520
2018-03-12,0.285,0.285,0.26,0.26,0.26,124856
2018-03-13,0.255,0.26,0.25,0.26,0.26,93948
2018-03-14,0.26,0.26,0.23,0.26,0.26,101167
2018-03-15,0.26,0.26,0.24,0.245,0.245,67000
2018-03-18,0.24,0.24,0.24,0.24,0.24,20000
2018-03-19,0.24,0.24,0.21,0.225,0.225,348697
2018-03-20,0.225,0.225,0.2,0.2,0.2,59075
2018-03-21,0.2,0.21,0.2,0.205,0.205,84817
2018-03-22,0.205,0.205,0.2,0.205,0.205,74470
2018-03-25,0.21,0.215,0.21,0.21,0.21,11756
2018-03-26,0.21,0.23,0.205,0.22,0.22,118227
2018-03-27,0.22,0.23,0.22,0.22,0.22,169883
2018-03-28,0.22,0.235,0.22,0.22,0.22,165183
2018-04-03,0.22,0.22,0.22,0.22,0.22,118334
2018-04-04,0.225,0.23,0.225,0.23,0.23,9700
2018-04-05,0.225,0.225,0.22,0.22,0.22,172800
2018-04-06,0.22,0.22,0.22,0.22,0.22,15000
2018-04-09,0.2,0.2,0.2,0.2,0.2,50000
2018-04-10,0.2,0.2,0.2,0.2,0.2,16000
2018-04-11,0.2,0.2,0.19,0.19,0.19,45300
2018-04-12,0.19,0.19,0.19,0.19,0.19,39934
2018-04-13,0.19,0.19,0.19,0.19,0.19,10000
2018-04-16,0.19,0.2,0.19,0.2,0.2,91000
2018-04-17,0.19,0.2,0.19,0.2,0.2,91000
2018-04-18,0.2,0.2,0.2,0.2,0.2,0
2018-04-19,0.2,0.2,0.2,0.2,0.2,5450
2018-04-20,0.2,0.2,0.2,0.2,0.2,5450
2018-04-23,0.2,0.2,0.2,0.2,0.2,0
2018-04-24,0.21,0.215,0.21,0.215,0.215,48560
2018-04-26,0.215,0.215,0.2,0.2,0.2,12914
2018-04-27,0.2,0.2,0.2,0.2,0.2,2000
2018-04-30,0.2,0.2,0.2,0.2,0.2,10486
2018-05-01,0.2,0.2,0.2,0.2,0.2,0
2018-05-02,0.19,0.2,0.19,0.2,0.2,20000
2018-05-03,0.2,0.2,0.2,0.2,0.2,0
2018-05-04,0.175,0.19,0.175,0.19,0.19,11000
2018-05-07,0.19,0.2,0.19,0.2,0.2,36870
2018-05-08,0.19,0.2,0.19,0.2,0.2,36870
2018-05-09,0.19,0.2,0.19,0.2,0.2,10000
2018-05-10,0.18,0.18,0.175,0.175,0.175,8000
2018-05-11,0.175,0.175,0.175,0.175,0.175,18
2018-05-14,0.175,0.175,0.175,0.175,0.175,18
2018-05-15,0.175,0.18,0.175,0.18,0.18,25010
2018-05-16,0.175,0.175,0.175,0.175,0.175,1000
2018-05-17,0.19,0.19,0.19,0.19,0.19,5000
2018-05-18,0.18,0.18,0.16,0.16,0.16,21158
2018-05-21,0.175,0.175,0.175,0.175,0.175,4610
2018-05-22,0.175,0.185,0.175,0.185,0.185,95390
2018-05-23,0.175,0.185,0.175,0.185,0.185,95390
2018-05-24,0.175,0.19,0.175,0.19,0.19,40000
2018-05-25,0.175,0.19,0.175,0.19,0.19,40000
2018-05-28,0.185,0.185,0.185,0.185,0.185,20000
2018-05-29,0.175,0.175,0.17,0.17,0.17,50000
2018-05-30,0.175,0.175,0.17,0.17,0.17,50000
2018-05-31,0.17,0.175,0.16,0.16,0.16,237016
2018-06-01,0.19,0.2,0.19,0.2,0.2,25000
2018-06-04,0.17,0.17,0.17,0.17,0.17,12000
2018-06-05,0.17,0.17,0.16,0.17,0.17,66933
2018-06-06,0.165,0.165,0.165,0.165,0.165,4133
2018-06-07,0.17,0.17,0.17,0.17,0.17,50000
2018-06-08,0.165,0.165,0.11,0.115,0.115,444022
2018-06-12,0.125,0.13,0.11,0.13,0.13,472700
2018-06-13,0.12,0.12,0.099,0.11,0.11,342176
2018-06-14,0.11,0.115,0.1,0.1,0.1,288295
2018-06-15,0.105,0.11,0.1,0.105,0.105,533623
2018-06-18,0.12,0.12,0.115,0.115,0.115,149070
2018-06-19,0.115,0.125,0.115,0.115,0.115,75770
2018-06-20,0.115,0.13,0.115,0.13,0.13,206900
2018-06-21,0.12,0.125,0.12,0.12,0.12,425716
2018-06-22,0.115,0.115,0.115,0.115,0.115,154721
2018-06-25,0.115,0.115,0.11,0.11,0.11,52426
2018-06-26,0.115,0.12,0.115,0.115,0.115,249016
2018-06-27,0.115,0.125,0.115,0.12,0.12,75000
2018-06-28,0.12,0.12,0.12,0.12,0.12,327164
2018-06-29,0.12,0.14,0.12,0.135,0.135,299158
2018-07-02,0.13,0.13,0.12,0.12,0.12,122000
2018-07-03,0.13,0.13,0.12,0.12,0.12,110673
2018-07-04,0.11,0.11,0.11,0.11,0.11,380500
2018-07-05,0.11,0.11,0.11,0.11,0.11,31380
2018-07-06,0.12,0.12,0.115,0.115,0.115,62500
2018-07-09,0.115,0.115,0.11,0.11,0.11,39999
2018-07-10,0.115,0.115,0.11,0.11,0.11,100000
2018-07-11,0.11,0.11,0.105,0.105,0.105,55000
2018-07-12,0.11,0.11,0.11,0.11,0.11,75000
2018-07-13,0.11,0.11,0.11,0.11,0.11,0
2018-07-16,0.105,0.105,0.105,0.105,0.105,50000
2018-07-17,0.105,0.105,0.105,0.105,0.105,100000
2018-07-18,0.105,0.105,0.105,0.105,0.105,0
2018-07-19,0.105,0.105,0.105,0.105,0.105,0
2018-07-20,0.105,0.105,0.105,0.105,0.105,97882
2018-07-23,0.105,0.11,0.105,0.105,0.105,199930
2018-07-24,0.105,0.105,0.092,0.092,0.092,245326
2018-07-25,0.105,0.105,0.092,0.092,0.092,245326
2018-07-26,0.093,0.095,0.092,0.092,0.092,28000
2018-07-27,0.092,0.092,0.092,0.092,0.092,25000
2018-07-30,0.092,0.092,0.092,0.092,0.092,0
2018-07-31,0.092,0.092,0.092,0.092,0.092,50000
2018-08-01,0.092,0.092,0.092,0.092,0.092,0
2018-08-02,0.092,0.092,0.092,0.092,0.092,0
2018-08-03,0.092,0.092,0.092,0.092,0.092,0
2018-08-06,0.092,0.092,0.092,0.092,0.092,0
2018-08-07,0.093,0.093,0.093,0.093,0.093,25000
2018-08-08,0.093,0.093,0.093,0.093,0.093,25000
2018-08-09,0.092,0.092,0.092,0.092,0.092,6901
2018-08-10,0.092,0.092,0.08900000000000001,0.08900000000000001,0.08900000000000001,122449
2018-08-13,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,0.08900000000000001,29551
