Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-03,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-04,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-05,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-08,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-09,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-10,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-11,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-12,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-15,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-16,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-17,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-18,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-19,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-22,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-23,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-24,17.3333,17.3333,17.3333,17.3333,17.3333,0.0
2012-01-26,10.6667,10.6667,10.6667,10.6667,10.6667,375.0
2012-01-29,7.66667,7.66667,7.0,7.0,7.0,1517.0
2012-01-30,7.33333,7.33333,6.0,6.66667,6.66667,3797.0
2012-01-31,6.33333,6.33333,6.0,6.0,6.0,2572.0
2012-02-01,6.0,7.33333,5.66667,7.33333,7.33333,21487.0
2012-02-02,8.0,8.66667,7.66667,8.66667,8.66667,4649.0
2012-02-05,9.33333,9.33333,7.33333,9.33333,9.33333,10220.0
2012-02-06,9.33333,10.0,8.66667,8.66667,8.66667,1420.0
2012-02-07,8.0,8.0,7.33333,8.0,8.0,1624.0
2012-02-08,8.0,8.0,8.0,8.0,8.0,968.0
2012-02-09,8.33333,9.33333,8.33333,8.66667,8.66667,5205.0
2012-02-12,9.0,9.33333,8.66667,8.66667,8.66667,758.0
2012-02-13,8.0,8.33333,8.0,8.33333,8.33333,495.0
2012-02-14,8.0,8.0,7.66667,7.66667,7.66667,1605.0
