Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,3.8,3.98,3.69,3.69,3.574005,8998338.0
2017-11-16,3.78,3.79,3.67,3.68,3.5643199999999995,3032252.0
2017-11-19,3.7,3.7,3.53,3.54,3.42872,1724906.0
2017-11-20,3.56,3.6,3.38,3.42,3.312493,2114133.0
2017-11-21,3.44,3.62,3.41,3.57,3.457778,4290768.0
2017-11-22,3.5,3.57,3.47,3.5,3.389978,2158341.0
2017-11-23,3.53,3.55,3.47,3.52,3.409349,1241434.0
2017-11-26,3.52,3.52,3.44,3.44,3.331864,1047062.0
2017-11-27,3.45,3.49,3.4,3.45,3.34155,3514066.0
2017-11-28,3.46,3.48,3.38,3.41,3.302807,2410354.0
2017-11-29,3.41,3.48,3.335,3.48,3.370607,1993662.0
2017-11-30,3.47,3.49,3.41,3.47,3.360921,723133.0
2017-12-03,3.48,3.48,3.41,3.43,3.322178,559949.0
2017-12-04,3.47,3.48,3.395,3.41,3.302807,15133080.0
2017-12-05,3.4,3.46,3.39,3.39,3.283436,1419541.0
2017-12-06,3.39,3.41,3.36,3.38,3.27375,1867750.0
2017-12-07,3.38,3.53,3.37,3.53,3.419035,1588984.0
2017-12-10,3.55,3.61,3.52,3.55,3.438406,2507608.0
2017-12-11,3.54,3.55,3.49,3.49,3.380292,1545211.0
2017-12-12,3.5,3.5,3.45,3.49,3.380292,3168490.0
2017-12-13,3.49,3.55,3.45,3.52,3.409349,1057405.0
2017-12-14,3.55,3.63,3.45,3.55,3.438406,2009291.0
2017-12-17,3.6,3.7,3.57,3.58,3.4674629999999995,1177543.0
2017-12-18,3.62,3.64,3.55,3.56,3.448092,1016141.0
2017-12-19,3.58,3.58,3.49,3.51,3.399664,1286387.0
2017-12-20,3.47,3.54,3.45,3.49,3.380292,940174.0
2017-12-21,3.48,3.53,3.46,3.46,3.351235,720941.0
2017-12-26,3.47,3.5,3.39,3.39,3.283436,600654.0
2017-12-27,3.39,3.44,3.37,3.42,3.312493,477432.0
2017-12-28,3.43,3.49,3.4,3.43,3.322178,568516.0
2018-01-01,3.44,3.49,3.43,3.47,3.360921,323175.0
2018-01-02,3.44,3.49,3.43,3.44,3.331864,308637.0
2018-01-03,3.48,3.49,3.44,3.46,3.351235,994774.0
2018-01-04,3.46,3.49,3.43,3.45,3.34155,572750.0
2018-01-07,3.46,3.48,3.44,3.46,3.351235,852323.0
2018-01-08,3.44,3.47,3.39,3.41,3.302807,1103868.0
2018-01-09,3.4,3.41,3.33,3.35,3.244693,1405587.0
2018-01-10,3.34,3.35,3.26,3.27,3.167208,1072714.0
2018-01-11,3.27,3.28,3.19,3.22,3.11878,2536377.0
2018-01-14,3.26,3.31,3.22,3.28,3.176893,717152.0
2018-01-15,3.26,3.33,3.26,3.32,3.215636,1039678.0
2018-01-16,3.3,3.33,3.27,3.31,3.20595,1300217.0
