Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.008,0.008,0.008,0.008,0.008,0.0
2012-01-03,0.008,0.008,0.008,0.008,0.008,53000.0
2012-01-04,0.008,0.008,0.008,0.008,0.008,0.0
2012-01-05,0.008,0.008,0.008,0.008,0.008,0.0
2012-01-08,0.008,0.008,0.008,0.008,0.008,81300.0
2012-01-09,0.009,0.009,0.009,0.009,0.009,300000.0
2012-01-10,0.009,0.009,0.009,0.009,0.009,100000.0
2012-01-11,0.009,0.009,0.009,0.009,0.009,0.0
2012-01-12,0.009,0.009,0.009,0.009,0.009,0.0
2012-01-15,0.009,0.009,0.009,0.009,0.009,0.0
2012-01-16,0.009,0.009,0.009,0.009,0.009,0.0
2012-01-17,0.009,0.009,0.009,0.009,0.009,0.0
2012-01-18,0.008,0.009,0.008,0.009,0.009,1171950.0
2012-01-19,0.008,0.009,0.008,0.008,0.008,3082773.0
2012-01-22,0.009,0.01,0.009,0.01,0.01,1350000.0
2012-01-23,0.008,0.008,0.008,0.008,0.008,0.0
2012-01-24,0.008,0.008,0.008,0.008,0.008,0.0
2012-01-26,0.009,0.009,0.009,0.009,0.009,2512005.0
2012-01-29,0.009,0.009,0.009,0.009,0.009,272000.0
2012-01-30,0.009,0.009,0.009,0.009,0.009,11000.0
2012-01-31,0.009,0.009,0.009,0.009,0.009,10001.0
2012-02-01,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-02,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-05,0.009,0.009,0.009,0.009,0.009,200000.0
2012-02-06,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-07,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-08,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-09,0.009,0.009,0.009,0.009,0.009,27800.0
2012-02-12,0.009,0.009,0.009,0.009,0.009,12000.0
2012-02-13,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-14,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-15,0.009,0.009,0.009,0.009,0.009,176796.0
2012-02-16,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-19,0.009,0.009,0.009,0.009,0.009,46000.0
2012-02-20,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-21,0.009,0.009,0.009,0.009,0.009,10000.0
2012-02-22,0.009,0.009,0.009,0.009,0.009,10000.0
2012-02-23,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-26,0.01,0.01,0.009,0.009,0.009,40000.0
2012-02-27,0.009,0.009,0.009,0.009,0.009,0.0
2012-02-28,0.01,0.01,0.01,0.01,0.01,110000.0
2012-02-29,0.01,0.01,0.01,0.01,0.01,0.0
2012-03-01,0.009,0.01,0.009,0.01,0.01,340350.0
2012-03-04,0.009,0.009,0.009,0.009,0.009,2000.0
2012-03-05,0.01,0.01,0.01,0.01,0.01,0.0
2012-03-06,0.009,0.009,0.009,0.009,0.009,2000.0
2012-03-07,0.009,0.009,0.009,0.009,0.009,4000.0
2012-03-08,0.01,0.01,0.01,0.01,0.01,0.0
2012-03-11,0.01,0.01,0.01,0.01,0.01,0.0
2012-03-12,0.009,0.009,0.008,0.008,0.008,2857144.0
2012-03-13,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-14,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-15,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-18,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-19,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-20,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-21,0.008,0.008,0.008,0.008,0.008,17000.0
2012-03-22,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-25,0.008,0.008,0.008,0.008,0.008,7150.0
2012-03-26,0.008,0.008,0.008,0.008,0.008,0.0
2012-03-27,0.009,0.009,0.009,0.009,0.009,750000.0
2012-03-28,0.009,0.009,0.009,0.009,0.009,1786000.0
2012-03-29,0.009,0.009,0.009,0.009,0.009,0.0
2012-04-02,0.009,0.009,0.009,0.009,0.009,14000.0
2012-04-03,0.008,0.008,0.008,0.008,0.008,134200.0
2012-04-04,0.008,0.008,0.008,0.008,0.008,0.0
2012-04-05,0.008,0.008,0.008,0.008,0.008,0.0
2012-04-10,0.008,0.008,0.008,0.008,0.008,0.0
2012-04-11,0.008,0.008,0.008,0.008,0.008,375000.0
2012-04-12,0.008,0.008,0.008,0.008,0.008,12098.0
2012-04-13,0.008,0.008,0.008,0.008,0.008,0.0
2012-04-16,0.009,0.009,0.009,0.009,0.009,110000.0
2012-04-17,0.009,0.009,0.009,0.009,0.009,6050.0
2012-04-18,0.01,0.01,0.009,0.009,0.009,115000.0
2012-04-19,0.009,0.009,0.009,0.009,0.009,0.0
2012-04-20,0.009,0.009,0.009,0.009,0.009,0.0
2012-04-23,0.009,0.009,0.009,0.009,0.009,501050.0
2012-04-24,0.009,0.009,0.009,0.009,0.009,2600.0
2012-04-26,0.009,0.009,0.009,0.009,0.009,82180.0
2012-04-27,0.009,0.009,0.009,0.009,0.009,0.0
2012-04-30,0.009,0.009,0.009,0.009,0.009,316149.0
2012-05-01,0.009,0.009,0.009,0.009,0.009,0.0
2012-05-02,0.009,0.009,0.009,0.009,0.009,0.0
2012-05-03,0.009,0.009,0.008,0.008,0.008,66888.0
2012-05-04,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-07,0.008,0.008,0.008,0.008,0.008,1500000.0
2012-05-08,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-09,0.008,0.008,0.008,0.008,0.008,104400.0
2012-05-10,0.008,0.008,0.008,0.008,0.008,4180.0
2012-05-11,0.008,0.008,0.008,0.008,0.008,60000.0
2012-05-14,0.008,0.008,0.008,0.008,0.008,170000.0
2012-05-15,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-16,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-17,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-18,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-21,0.008,0.008,0.008,0.008,0.008,0.0
2012-05-22,0.007,0.007,0.007,0.007,0.007,350.0
2012-05-23,0.007,0.007,0.007,0.007,0.007,56400.0
2012-05-24,0.007,0.007,0.007,0.007,0.007,0.0
2012-05-25,0.007,0.007,0.007,0.007,0.007,0.0
2012-05-28,0.007,0.007,0.007,0.007,0.007,0.0
2012-05-29,0.007,0.007,0.007,0.007,0.007,0.0
2012-05-30,0.007,0.007,0.007,0.007,0.007,954545.0
2012-05-31,0.007,0.007,0.007,0.007,0.007,38798.0
2012-06-01,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-04,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-05,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-06,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-07,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-08,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-12,0.007,0.007,0.007,0.007,0.007,181668.0
2012-06-13,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-14,0.007,0.007,0.007,0.007,0.007,0.0
2012-06-15,0.006,0.006,0.006,0.006,0.006,9000.0
2012-06-18,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-19,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-20,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-21,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-22,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-25,0.006,0.006,0.006,0.006,0.006,417400.0
2012-06-26,0.006,0.006,0.006,0.006,0.006,1298719.0
2012-06-27,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-28,0.006,0.006,0.006,0.006,0.006,0.0
2012-06-29,0.006,0.006,0.005,0.005,0.005,522000.0
2012-07-02,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-03,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-04,0.006,0.006,0.006,0.006,0.006,27000.0
2012-07-05,0.006,0.006,0.006,0.006,0.006,520719.0
2012-07-06,0.006,0.006,0.006,0.006,0.006,0.0
2012-07-09,0.006,0.006,0.006,0.006,0.006,0.0
2012-07-10,0.006,0.006,0.006,0.006,0.006,0.0
2012-07-11,0.006,0.006,0.006,0.006,0.006,1000.0
2012-07-12,0.006,0.006,0.006,0.006,0.006,51281.0
2012-07-13,0.006,0.006,0.006,0.006,0.006,0.0
2012-07-16,0.006,0.006,0.006,0.006,0.006,0.0
2012-07-17,0.005,0.005,0.005,0.005,0.005,51000.0
2012-07-18,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-19,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-20,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-23,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-24,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-25,0.005,0.005,0.005,0.005,0.005,0.0
2012-07-26,0.006,0.006,0.006,0.006,0.006,80000.0
2012-07-27,0.006,0.007,0.006,0.007,0.007,2000000.0
2012-07-30,0.007,0.007,0.007,0.007,0.007,0.0
2012-07-31,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-01,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-02,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-03,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-06,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-07,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-08,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-09,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-10,0.007,0.007,0.007,0.007,0.007,0.0
2012-08-13,0.005,0.005,0.005,0.005,0.005,700.0
2012-08-14,0.005,0.005,0.005,0.005,0.005,0.0
2012-08-15,0.005,0.005,0.005,0.005,0.005,0.0
2012-08-16,0.005,0.005,0.005,0.005,0.005,0.0
2012-08-17,0.006,0.006,0.006,0.006,0.006,300000.0
2012-08-20,0.006,0.006,0.006,0.006,0.006,0.0
2012-08-21,0.006,0.006,0.006,0.006,0.006,0.0
2012-08-22,0.006,0.006,0.006,0.006,0.006,0.0
2012-08-23,0.006,0.006,0.006,0.006,0.006,200000.0
2012-08-24,0.006,0.006,0.006,0.006,0.006,0.0
2012-08-27,0.006,0.006,0.006,0.006,0.006,0.0
2012-08-28,0.005,0.005,0.005,0.005,0.005,90000.0
2012-08-29,0.005,0.005,0.005,0.005,0.005,0.0
2012-08-30,0.005,0.005,0.005,0.005,0.005,0.0
2012-08-31,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-03,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-04,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-05,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-06,0.005,0.005,0.005,0.005,0.005,13333.0
2012-09-07,0.005,0.005,0.005,0.005,0.005,16800.0
2012-09-10,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-11,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-12,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-13,0.005,0.005,0.005,0.005,0.005,280000.0
2012-09-14,0.005,0.005,0.005,0.005,0.005,660.0
2012-09-17,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-18,0.005,0.005,0.005,0.005,0.005,68000.0
2012-09-19,0.005,0.005,0.005,0.005,0.005,215277.0
2012-09-20,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-21,0.005,0.005,0.005,0.005,0.005,0.0
2012-09-24,0.006,0.006,0.006,0.006,0.006,43000.0
2012-09-25,0.006,0.006,0.006,0.006,0.006,0.0
2012-09-26,0.006,0.006,0.006,0.006,0.006,0.0
2012-09-27,0.005,0.005,0.005,0.005,0.005,1632000.0
2012-09-28,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-01,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-02,0.005,0.005,0.005,0.005,0.005,5323.0
2012-10-03,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-04,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-05,0.005,0.005,0.005,0.005,0.005,2000.0
2012-10-07,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-08,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-09,0.005,0.005,0.005,0.005,0.005,1.0
2012-10-10,0.005,0.005,0.005,0.005,0.005,17500.0
2012-10-11,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-14,0.005,0.005,0.005,0.005,0.005,12000.0
2012-10-15,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-16,0.005,0.005,0.005,0.005,0.005,4733.0
2012-10-17,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-18,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-21,0.005,0.005,0.005,0.005,0.005,0.0
2012-10-22,0.005,0.005,0.005,0.005,0.005,173500.0
