Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.92,2.93,2.86,2.91,2.224049,418373.0
2012-01-03,2.91,3.01,2.9,2.97,2.269905,1342291.0
2012-01-04,2.97,2.98,2.9,2.94,2.246977,831669.0
2012-01-05,2.92,2.94,2.87,2.87,2.193478,522831.0
2012-01-08,2.95,2.96,2.89,2.93,2.239335,885052.0
2012-01-09,2.92,2.97,2.91,2.97,2.269905,1302360.0
2012-01-10,2.97,3.04,2.92,2.92,2.231692,1771178.0
2012-01-11,2.95,2.98,2.92,2.94,2.246977,809960.0
2012-01-12,3.0,3.02,2.97,2.99,2.285191,1269909.0
2012-01-15,2.93,2.96,2.92,2.94,2.246977,478390.0
2012-01-16,2.94,2.98,2.92,2.98,2.277548,1004973.0
2012-01-17,2.97,3.0,2.94,2.97,2.269905,726073.0
2012-01-18,3.0,3.0,2.94,2.97,2.269905,1087679.0
2012-01-19,2.99,3.0,2.97,2.98,2.277548,1011962.0
2012-01-22,2.98,2.98,2.93,2.95,2.25462,1328638.0
2012-01-23,2.96,2.98,2.94,2.94,2.246977,1399402.0
2012-01-24,2.94,2.99,2.935,2.96,2.262262,1554746.0
2012-01-26,2.96,2.97,2.89,2.89,2.2087630000000003,887775.0
2012-01-29,2.89,2.93,2.89,2.89,2.2087630000000003,466874.0
2012-01-30,2.87,2.89,2.85,2.85,2.178192,671752.0
2012-01-31,2.85,2.89,2.85,2.88,2.20112,1187422.0
2012-02-01,2.94,2.95,2.89,2.89,2.2087630000000003,2257353.0
2012-02-02,2.89,2.92,2.89,2.9,2.216406,641280.0
2012-02-05,2.96,2.96,2.92,2.93,2.239335,707778.0
2012-02-06,2.94,2.94,2.91,2.92,2.231692,1374116.0
2012-02-07,2.93,2.93,2.88,2.89,2.2087630000000003,655915.0
2012-02-08,2.91,2.95,2.9,2.94,2.246977,1712924.0
2012-02-09,2.92,2.93,2.89,2.9,2.216406,603614.0
2012-02-12,2.91,2.93,2.89,2.92,2.231692,491402.0
2012-02-13,2.9,2.92,2.85,2.85,2.178192,639726.0
2012-02-14,2.83,2.91,2.8,2.9,2.216406,1295442.0
2012-02-15,2.9,2.9,2.82,2.86,2.185835,768217.0
2012-02-16,2.88,2.92,2.86,2.9,2.216406,426588.0
2012-02-19,2.92,2.93,2.89,2.93,2.239335,571160.0
2012-02-20,2.9,3.0,2.9,2.99,2.285191,732216.0
2012-02-21,2.96,3.01,2.94,2.98,2.277548,1226005.0
2012-02-22,2.98,3.0,2.94,2.97,2.269905,671822.0
2012-02-23,2.99,3.04,2.96,3.03,2.315762,1755677.0
