Date,Open,High,Low,Close,Adj Close,Volume
2019-03-06,,,,,,
2019-03-07,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-10,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-11,0.003,0.003,0.003,0.003,0.003,800.0
2019-03-12,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-13,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-14,0.003,0.003,0.003,0.003,0.003,100000.0
2019-03-17,0.003,0.003,0.003,0.003,0.003,5000.0
2019-03-18,0.003,0.003,0.003,0.003,0.003,342000.0
2019-03-19,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-20,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-21,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-24,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-25,0.003,0.003,0.003,0.003,0.003,0.0
2019-03-26,0.002,0.002,0.002,0.0025,0.0025,655010.0
2019-03-27,0.002,0.002,0.002,0.002,0.002,37142.0
2019-03-28,0.002,0.002,0.002,0.002,0.002,0.0
2019-03-31,0.002,0.002,0.002,0.002,0.002,0.0
2019-04-01,0.002,0.002,0.002,0.002,0.002,0.0
2019-04-02,0.002,0.002,0.002,0.002,0.002,140000.0
2019-04-03,0.003,0.004,0.003,0.004,0.004,3280009.0
2019-04-04,0.004,0.004,0.004,0.004,0.004,0.0
2019-04-08,0.004,0.004,0.004,0.004,0.004,0.0
2019-04-09,0.004,0.004,0.004,0.004,0.004,750000.0
2019-04-10,0.004,0.004,0.004,0.004,0.004,0.0
2019-04-11,0.004,0.004,0.004,0.004,0.004,0.0
2019-04-12,0.004,0.004,0.004,0.004,0.004,0.0
2019-04-15,0.003,0.003,0.003,0.003,0.003,83325.0
2019-04-16,0.004,0.004,0.004,0.004,0.004,120000.0
2019-04-17,0.003,0.003,0.003,0.003,0.003,4000.0
2019-04-18,0.003,0.003,0.003,0.003,0.003,0.0
2019-04-23,0.004,0.004,0.004,0.004,0.004,226750.0
2019-04-24,0.004,0.004,0.004,0.004,0.004,569143.0
2019-04-26,0.004,0.004,0.004,0.004,0.004,0.0
2019-04-29,0.003,0.003,0.003,0.003,0.003,90100.0
2019-04-30,0.004,0.004,0.003,0.004,0.004,1046664.0
2019-05-01,0.004,0.004,0.004,0.004,0.004,25000.0
2019-05-02,0.004,0.004,0.004,0.004,0.004,0.0
2019-05-03,0.004,0.004,0.004,0.004,0.004,125000.0
2019-05-06,0.003,0.003,0.003,0.003,0.003,25528.0
2019-05-07,0.003,0.003,0.003,0.003,0.003,1000000.0
2019-05-08,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-09,0.003,0.003,0.003,0.003,0.003,525000.0
2019-05-10,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-13,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-14,0.003,0.003,0.003,0.003,0.003,1000000.0
2019-05-15,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-16,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-17,0.003,0.004,0.003,0.004,0.004,4531348.0
2019-05-20,0.004,0.004,0.004,0.004,0.004,2000000.0
2019-05-21,0.004,0.004,0.004,0.004,0.004,2000000.0
2019-05-22,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-23,0.003,0.003,0.003,0.003,0.003,0.0
2019-05-24,0.003,0.003,0.003,0.003,0.003,662176.0
2019-05-27,0.004,0.004,0.004,0.004,0.004,2493763.0
2019-05-28,0.004,0.004,0.004,0.004,0.004,4802189.0
2019-05-29,0.004,0.004,0.004,0.004,0.004,1920000.0
2019-05-30,0.004,0.004,0.004,0.004,0.004,2485011.0
2019-05-31,0.004,0.004,0.004,0.004,0.004,100000.0
2019-06-03,0.004,0.004,0.003,0.003,0.003,2935150.0
2019-06-04,0.004,0.004,0.004,0.004,0.004,337500.0
2019-06-05,0.004,0.004,0.004,0.004,0.004,0.0
