Date,Open,High,Low,Close,Adj Close,Volume
2013-01-03,0.215,0.215,0.2,0.205,0.205,90410.0
2013-01-06,0.21,0.21,0.2,0.2,0.2,355293.0
2013-01-07,0.2,0.2,0.195,0.2,0.2,798250.0
2013-01-08,0.2,0.2,0.2,0.2,0.2,45750.0
2013-01-09,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-10,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-13,0.195,0.195,0.19,0.19,0.19,205689.0
2013-01-14,0.19,0.19,0.19,0.19,0.19,1416.0
2013-01-15,0.19,0.19,0.19,0.19,0.19,0.0
2013-01-16,0.19,0.2,0.19,0.19,0.19,221500.0
2013-01-17,0.19,0.19,0.19,0.19,0.19,40000.0
2013-01-20,0.195,0.195,0.18,0.19,0.19,27750.0
2013-01-21,0.19,0.195,0.19,0.195,0.195,41210.0
2013-01-22,0.19,0.19,0.19,0.19,0.19,40000.0
2013-01-23,0.19,0.19,0.19,0.19,0.19,0.0
2013-01-24,0.19,0.19,0.19,0.19,0.19,80000.0
2013-01-28,0.19,0.19,0.19,0.19,0.19,60000.0
2013-01-29,0.19,0.19,0.185,0.185,0.185,136105.0
2013-01-30,0.18,0.18,0.18,0.18,0.18,115000.0
2013-01-31,0.18,0.18,0.18,0.18,0.18,249783.0
2013-02-03,0.18,0.18,0.17,0.17,0.17,37125.0
2013-02-04,0.18,0.18,0.18,0.18,0.18,63000.0
2013-02-05,0.17,0.175,0.17,0.175,0.175,224857.0
2013-02-06,0.17,0.17,0.17,0.17,0.17,75000.0
2013-02-07,0.17,0.17,0.17,0.17,0.17,0.0
2013-02-10,0.17,0.17,0.17,0.17,0.17,0.0
2013-02-11,0.17,0.17,0.17,0.17,0.17,0.0
2013-02-12,0.17,0.17,0.17,0.17,0.17,0.0
2013-02-13,0.18,0.185,0.18,0.185,0.185,106486.0
2013-02-14,0.185,0.185,0.185,0.185,0.185,0.0
2013-02-17,0.185,0.185,0.185,0.185,0.185,0.0
2013-02-18,0.185,0.185,0.185,0.185,0.185,0.0
2013-02-19,0.17,0.17,0.17,0.17,0.17,164395.0
2013-02-20,0.17,0.185,0.17,0.185,0.185,65000.0
2013-02-21,0.185,0.185,0.185,0.185,0.185,0.0
2013-02-24,0.185,0.185,0.185,0.185,0.185,35000.0
2013-02-25,0.18,0.18,0.18,0.18,0.18,13000.0
2013-02-26,0.18,0.18,0.18,0.18,0.18,51479.0
2013-02-27,0.18,0.18,0.18,0.18,0.18,0.0
2013-02-28,0.175,0.175,0.175,0.175,0.175,60000.0
2013-03-03,0.175,0.175,0.17,0.17,0.17,38857.0
2013-03-04,0.175,0.175,0.175,0.175,0.175,42500.0
2013-03-05,0.17,0.17,0.17,0.17,0.17,200882.0
2013-03-06,0.17,0.17,0.17,0.17,0.17,0.0
2013-03-07,0.17,0.17,0.17,0.17,0.17,0.0
2013-03-10,0.16,0.16,0.15,0.15,0.15,13160.0
2013-03-11,0.17,0.17,0.15,0.15,0.15,11540.0
2013-03-12,0.17,0.17,0.17,0.17,0.17,15600.0
2013-03-13,0.16,0.17,0.155,0.17,0.17,149000.0
2013-03-14,0.17,0.17,0.17,0.17,0.17,90000.0
2013-03-17,0.17,0.17,0.17,0.17,0.17,78522.0
2013-03-18,0.17,0.17,0.17,0.17,0.17,35500.0
2013-03-19,0.17,0.17,0.17,0.17,0.17,9987.0
2013-03-20,0.17,0.17,0.17,0.17,0.17,35991.0
2013-03-21,0.16,0.17,0.16,0.17,0.17,116070.0
2013-03-24,0.17,0.17,0.17,0.17,0.17,0.0
2013-03-25,0.17,0.17,0.17,0.17,0.17,0.0
2013-03-26,0.17,0.17,0.17,0.17,0.17,0.0
2013-03-27,0.17,0.17,0.17,0.17,0.17,7500.0
2013-04-01,0.17,0.17,0.17,0.17,0.17,65000.0
2013-04-02,0.17,0.17,0.17,0.17,0.17,0.0
2013-04-03,0.17,0.17,0.155,0.155,0.155,198750.0
2013-04-04,0.155,0.155,0.155,0.155,0.155,0.0
2013-04-08,0.16,0.16,0.16,0.16,0.16,37000.0
2013-04-09,0.155,0.155,0.155,0.155,0.155,30000.0
2013-04-10,0.155,0.155,0.155,0.155,0.155,3180.0
2013-04-11,0.155,0.155,0.155,0.155,0.155,3500.0
2013-04-12,0.155,0.155,0.155,0.155,0.155,14320.0
2013-04-15,0.155,0.155,0.155,0.155,0.155,0.0
2013-04-16,0.16,0.16,0.16,0.16,0.16,19680.0
2013-04-17,0.15,0.15,0.15,0.15,0.15,320.0
2013-04-18,0.15,0.15,0.15,0.15,0.15,50000.0
2013-04-19,0.15,0.15,0.15,0.15,0.15,0.0
2013-04-22,0.16,0.16,0.15,0.15,0.15,20000.0
2013-04-23,0.15,0.15,0.15,0.15,0.15,0.0
2013-04-24,0.15,0.15,0.15,0.15,0.15,12000.0
2013-04-26,0.15,0.15,0.15,0.15,0.15,0.0
2013-04-29,0.15,0.15,0.15,0.15,0.15,0.0
2013-04-30,0.15,0.15,0.15,0.15,0.15,0.0
2013-05-01,0.15,0.15,0.15,0.15,0.15,0.0
2013-05-02,0.15,0.15,0.15,0.15,0.15,0.0
2013-05-03,0.15,0.15,0.15,0.15,0.15,0.0
2013-05-06,0.17,0.17,0.17,0.17,0.17,20000.0
2013-05-07,0.185,0.185,0.17,0.17,0.17,100000.0
2013-05-08,0.17,0.17,0.17,0.17,0.17,0.0
2013-05-09,0.17,0.17,0.17,0.17,0.17,50000.0
2013-05-10,0.175,0.175,0.17,0.17,0.17,25000.0
2013-05-13,0.17,0.17,0.17,0.17,0.17,0.0
2013-05-14,0.17,0.17,0.17,0.17,0.17,0.0
2013-05-15,0.17,0.17,0.17,0.17,0.17,0.0
2013-05-16,0.17,0.17,0.17,0.17,0.17,0.0
2013-05-17,0.17,0.17,0.17,0.17,0.17,0.0
2013-05-20,0.18,0.18,0.18,0.18,0.18,5555.0
2013-05-21,0.18,0.18,0.18,0.18,0.18,0.0
2013-05-22,0.18,0.18,0.18,0.18,0.18,0.0
2013-05-23,0.17,0.17,0.17,0.17,0.17,322.0
2013-05-24,0.14,0.14,0.13,0.13,0.13,75000.0
2013-05-27,0.13,0.13,0.13,0.13,0.13,21250.0
2013-05-28,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-29,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-30,0.13,0.13,0.13,0.13,0.13,0.0
2013-05-31,0.135,0.135,0.13,0.13,0.13,73750.0
2013-06-03,0.13,0.13,0.1,0.1,0.1,32250.0
2013-06-04,0.1,0.1,0.1,0.1,0.1,0.0
2013-06-05,0.12,0.14,0.12,0.14,0.14,64234.0
2013-06-06,0.15,0.16,0.15,0.15,0.15,91713.0
2013-06-07,0.15,0.15,0.15,0.15,0.15,44445.0
2013-06-11,0.15,0.15,0.15,0.15,0.15,0.0
2013-06-12,0.15,0.15,0.15,0.15,0.15,0.0
2013-06-13,0.15,0.15,0.15,0.15,0.15,0.0
2013-06-14,0.15,0.15,0.15,0.15,0.15,35000.0
2013-06-17,0.15,0.15,0.145,0.145,0.145,15000.0
2013-06-18,0.15,0.15,0.15,0.15,0.15,80000.0
2013-06-19,0.15,0.15,0.15,0.15,0.15,50000.0
2013-06-20,0.15,0.15,0.15,0.15,0.15,80000.0
2013-06-21,0.15,0.15,0.15,0.15,0.15,0.0
2013-06-24,0.15,0.15,0.145,0.145,0.145,17847.0
2013-06-25,0.145,0.145,0.145,0.145,0.145,0.0
2013-06-26,0.15,0.15,0.15,0.15,0.15,3455.0
2013-06-27,0.15,0.15,0.15,0.15,0.15,0.0
2013-06-28,0.15,0.15,0.15,0.15,0.15,16545.0
2013-07-01,0.15,0.15,0.15,0.15,0.15,13205.0
2013-07-02,0.15,0.15,0.15,0.15,0.15,66666.0
2013-07-03,0.15,0.15,0.15,0.15,0.15,10000.0
2013-07-04,0.15,0.15,0.145,0.145,0.145,30129.0
2013-07-05,0.15,0.15,0.15,0.15,0.15,2783.0
2013-07-08,0.15,0.15,0.15,0.15,0.15,1235.0
2013-07-09,0.16,0.16,0.16,0.16,0.16,45000.0
2013-07-10,0.16,0.16,0.16,0.16,0.16,0.0
2013-07-11,0.16,0.16,0.16,0.16,0.16,0.0
2013-07-12,0.16,0.16,0.16,0.16,0.16,0.0
2013-07-15,0.16,0.16,0.15,0.15,0.15,20000.0
2013-07-16,0.15,0.15,0.15,0.15,0.15,4000.0
2013-07-17,0.15,0.15,0.15,0.15,0.15,0.0
2013-07-18,0.15,0.15,0.15,0.15,0.15,0.0
2013-07-19,0.15,0.15,0.15,0.15,0.15,0.0
2013-07-22,0.15,0.15,0.15,0.15,0.15,0.0
2013-07-23,0.15,0.15,0.15,0.15,0.15,4018.0
2013-07-24,0.15,0.15,0.15,0.15,0.15,17000.0
2013-07-25,0.15,0.15,0.15,0.15,0.15,0.0
2013-07-26,0.16,0.16,0.15,0.15,0.15,17182.0
2013-07-29,0.145,0.15,0.145,0.15,0.15,6224.0
2013-07-30,0.15,0.15,0.15,0.15,0.15,10000.0
2013-07-31,0.15,0.15,0.15,0.15,0.15,0.0
2013-08-01,0.135,0.135,0.12,0.125,0.125,110555.0
2013-08-02,0.125,0.14,0.125,0.14,0.14,43445.0
2013-08-05,0.135,0.135,0.13,0.13,0.13,62500.0
2013-08-06,0.125,0.125,0.125,0.125,0.125,100000.0
2013-08-07,0.115,0.115,0.115,0.115,0.115,19200.0
2013-08-08,0.12,0.125,0.12,0.125,0.125,5055.0
2013-08-09,0.135,0.135,0.135,0.135,0.135,10000.0
2013-08-12,0.135,0.135,0.135,0.135,0.135,10000.0
2013-08-13,0.135,0.135,0.135,0.135,0.135,3142.0
2013-08-14,0.135,0.135,0.135,0.135,0.135,11858.0
2013-08-15,0.135,0.135,0.135,0.135,0.135,0.0
2013-08-16,0.135,0.135,0.135,0.135,0.135,0.0
2013-08-19,0.13,0.13,0.13,0.13,0.13,8142.0
2013-08-20,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-21,0.13,0.13,0.13,0.13,0.13,0.0
2013-08-22,0.145,0.145,0.145,0.145,0.145,53110.0
2013-08-23,0.145,0.145,0.145,0.145,0.145,0.0
2013-08-26,0.145,0.145,0.145,0.145,0.145,0.0
2013-08-27,0.145,0.145,0.145,0.145,0.145,0.0
2013-08-28,0.145,0.145,0.145,0.145,0.145,0.0
2013-08-29,0.145,0.145,0.145,0.145,0.145,0.0
2013-08-30,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-02,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-03,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-04,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-05,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-06,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-09,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-10,0.145,0.145,0.145,0.145,0.145,0.0
2013-09-11,0.135,0.135,0.135,0.135,0.135,12125.0
2013-09-12,0.135,0.135,0.135,0.135,0.135,11000.0
2013-09-13,0.135,0.135,0.135,0.135,0.135,0.0
2013-09-16,0.135,0.135,0.135,0.135,0.135,0.0
2013-09-17,0.135,0.135,0.135,0.135,0.135,0.0
2013-09-18,0.135,0.135,0.135,0.135,0.135,0.0
2013-09-19,0.135,0.135,0.13,0.13,0.13,70320.0
2013-09-20,0.13,0.13,0.13,0.13,0.13,91108.0
2013-09-23,0.13,0.13,0.13,0.13,0.13,116000.0
2013-09-24,0.13,0.13,0.13,0.13,0.13,0.0
2013-09-25,0.13,0.13,0.13,0.13,0.13,0.0
