Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,,,,,,
2018-10-02,0.3,0.325,0.28,0.32,0.32,470645.0
2018-10-03,0.325,0.33,0.3,0.3,0.3,70500.0
2018-10-04,0.3,0.3,0.28,0.28,0.28,380755.0
2018-10-05,0.27,0.28,0.265,0.28,0.28,261500.0
2018-10-07,0.28,0.28,0.26,0.26,0.26,454434.0
2018-10-08,0.26,0.26,0.245,0.25,0.25,390470.0
2018-10-09,0.245,0.245,0.225,0.225,0.225,182263.0
2018-10-10,0.21,0.225,0.21,0.225,0.225,201933.0
2018-10-11,0.225,0.245,0.21,0.245,0.245,392000.0
2018-10-14,0.23,0.23,0.22,0.22,0.22,216067.0
2018-10-15,0.21,0.21,0.205,0.205,0.205,52631.0
2018-10-16,0.21,0.21,0.205,0.205,0.205,369794.0
2018-10-17,0.2,0.2,0.19,0.2,0.2,674394.0
2018-10-18,0.22,0.22,0.2,0.2,0.2,195688.0
2018-10-21,0.22,0.22,0.2,0.2,0.2,195688.0
2018-10-22,0.2,0.21,0.2,0.2,0.2,252105.0
2018-10-23,0.2,0.2,0.19,0.19,0.19,404396.0
2018-10-24,0.2,0.2,0.185,0.185,0.185,36150.0
2018-10-25,0.185,0.185,0.18,0.18,0.18,152961.0
2018-10-28,0.185,0.185,0.18,0.18,0.18,152961.0
2018-10-29,0.18,0.18,0.18,0.18,0.18,0.0
2018-10-30,0.18,0.18,0.18,0.18,0.18,0.0
2018-10-31,0.18,0.18,0.18,0.18,0.18,0.0
2018-11-01,0.205,0.21,0.2,0.21,0.21,50000.0
2018-11-04,0.21,0.21,0.2,0.21,0.21,319405.0
2018-11-05,0.2,0.2,0.2,0.2,0.2,104500.0
2018-11-06,0.21,0.21,0.21,0.21,0.21,9452.0
2018-11-07,0.2,0.22,0.2,0.2,0.2,88421.0
2018-11-08,0.2,0.2,0.2,0.2,0.2,0.0
2018-11-11,0.21,0.24,0.205,0.205,0.205,127774.0
2018-11-12,0.21,0.21,0.205,0.205,0.205,144249.0
2018-11-13,0.195,0.2,0.195,0.195,0.195,180000.0
2018-11-14,0.195,0.195,0.195,0.195,0.195,0.0
2018-11-15,0.19,0.19,0.175,0.175,0.175,176972.0
2018-11-18,0.175,0.175,0.175,0.175,0.175,0.0
2018-11-19,0.175,0.175,0.17,0.17,0.17,88462.0
2018-11-20,0.175,0.2,0.17,0.2,0.2,310525.0
2018-11-21,0.205,0.23,0.19,0.21,0.21,206809.0
2018-11-22,0.21,0.21,0.21,0.21,0.21,15159.0
2018-11-25,0.21,0.21,0.19,0.19,0.19,230807.0
2018-11-26,0.195,0.2,0.195,0.2,0.2,100000.0
2018-11-27,0.2,0.21,0.2,0.21,0.21,264509.0
2018-11-28,0.22,0.28,0.22,0.27,0.27,445498.0
2018-11-29,0.25,0.26,0.235,0.26,0.26,450055.0
2018-12-02,0.26,0.26,0.26,0.26,0.26,8449.0
2018-12-03,0.26,0.265,0.24,0.26,0.26,133767.0
2018-12-04,0.25,0.25,0.225,0.225,0.225,313792.0
2018-12-05,0.235,0.235,0.23,0.23,0.23,91859.0
2018-12-06,0.23,0.23,0.23,0.23,0.23,0.0
2018-12-09,0.235,0.245,0.235,0.245,0.245,111883.0
2018-12-10,0.245,0.25,0.225,0.225,0.225,279330.0
2018-12-11,0.23,0.23,0.19,0.19,0.19,175917.0
2018-12-12,0.19,0.235,0.19,0.23,0.23,180070.0
2018-12-13,0.19,0.235,0.19,0.23,0.23,180070.0
2018-12-16,0.19,0.19,0.19,0.19,0.19,29991.0
2018-12-17,0.19,0.19,0.175,0.175,0.175,94853.0
2018-12-18,0.175,0.175,0.175,0.175,0.175,20242.0
2018-12-19,0.175,0.175,0.175,0.175,0.175,1320.0
2018-12-20,0.175,0.175,0.175,0.175,0.175,0.0
2018-12-23,0.175,0.175,0.175,0.175,0.175,0.0
2018-12-26,0.19,0.23,0.19,0.23,0.23,12000.0
2018-12-27,0.22,0.225,0.16,0.225,0.225,298700.0
2018-12-30,0.225,0.235,0.225,0.23,0.23,133095.0
2019-01-01,0.235,0.24,0.235,0.24,0.24,33300.0
2019-01-02,0.24,0.24,0.24,0.24,0.24,0.0
2019-01-03,0.24,0.24,0.24,0.24,0.24,0.0
2019-01-06,0.235,0.24,0.235,0.24,0.24,50000.0
2019-01-07,0.225,0.225,0.225,0.225,0.225,70000.0
2019-01-08,0.21,0.21,0.2,0.2,0.2,63603.0
2019-01-09,0.21,0.21,0.19,0.19,0.19,15000.0
2019-01-10,0.19,0.19,0.19,0.19,0.19,0.0
2019-01-13,0.21,0.245,0.21,0.245,0.245,51964.0
2019-01-14,0.24,0.25,0.24,0.25,0.25,95000.0
2019-01-15,0.25,0.265,0.25,0.265,0.265,213000.0
2019-01-16,0.26,0.3,0.26,0.3,0.3,646319.0
2019-01-17,0.3,0.3,0.3,0.3,0.3,0.0
2019-01-20,0.285,0.285,0.285,0.285,0.285,185000.0
2019-01-21,0.285,0.285,0.285,0.285,0.285,0.0
2019-01-22,0.265,0.265,0.26,0.26,0.26,69662.0
2019-01-23,0.26,0.26,0.26,0.26,0.26,0.0
2019-01-24,0.26,0.26,0.26,0.26,0.26,0.0
2019-01-28,0.25,0.25,0.235,0.235,0.235,69230.0
2019-01-29,0.25,0.255,0.24,0.24,0.24,211416.0
2019-01-30,0.255,0.265,0.255,0.26,0.26,133217.0
2019-01-31,0.265,0.31,0.265,0.31,0.31,250867.0
2019-02-03,0.295,0.3,0.295,0.3,0.3,7933.0
2019-02-04,0.3,0.3,0.285,0.285,0.285,88082.0
2019-02-05,0.27,0.285,0.26,0.285,0.285,202754.0
2019-02-06,0.285,0.285,0.265,0.285,0.285,39090.0
2019-02-07,0.29,0.33,0.285,0.32,0.32,562623.0
2019-02-10,0.29,0.31,0.29,0.3,0.3,444347.0
2019-02-11,0.3,0.3,0.285,0.3,0.3,87286.0
2019-02-12,0.3,0.3,0.3,0.3,0.3,231500.0
2019-02-13,0.3,0.3,0.27,0.27,0.27,143940.0
2019-02-14,0.295,0.295,0.295,0.295,0.295,29102.0
2019-02-17,0.295,0.295,0.275,0.275,0.275,62046.0
2019-02-18,0.275,0.275,0.265,0.265,0.265,116617.0
2019-02-19,0.265,0.265,0.265,0.265,0.265,0.0
2019-02-20,0.265,0.265,0.25,0.25,0.25,173048.0
2019-02-21,0.265,0.265,0.25,0.25,0.25,173048.0
2019-02-24,0.25,0.255,0.25,0.255,0.255,193709.0
2019-02-25,0.255,0.255,0.255,0.255,0.255,0.0
2019-02-26,0.28,0.28,0.255,0.27,0.27,219964.0
2019-02-27,0.255,0.28,0.255,0.27,0.27,157329.0
2019-02-28,0.285,0.285,0.285,0.285,0.285,802959.0
2019-03-03,0.285,0.285,0.285,0.285,0.285,0.0
2019-03-04,0.27,0.275,0.27,0.27,0.27,40862.0
2019-03-05,0.275,0.275,0.27,0.27,0.27,16324.0
2019-03-06,0.275,0.275,0.25,0.25,0.25,26083.0
2019-03-07,0.25,0.25,0.24,0.24,0.24,88462.0
2019-03-10,0.24,0.24,0.24,0.24,0.24,0.0
2019-03-11,0.24,0.24,0.24,0.24,0.24,0.0
2019-03-12,0.24,0.24,0.24,0.24,0.24,0.0
2019-03-13,0.25,0.25,0.24,0.24,0.24,83417.0
2019-03-14,0.26,0.265,0.26,0.265,0.265,59500.0
2019-03-17,0.26,0.265,0.26,0.265,0.265,59500.0
2019-03-18,0.265,0.265,0.265,0.265,0.265,0.0
2019-03-19,0.255,0.255,0.25,0.25,0.25,72893.0
2019-03-20,0.25,0.27,0.24,0.25,0.25,308600.0
2019-03-21,0.265,0.265,0.265,0.265,0.265,9430.0
2019-03-24,0.255,0.255,0.255,0.255,0.255,8874.0
2019-03-25,0.245,0.255,0.245,0.255,0.255,78000.0
2019-03-26,0.255,0.265,0.255,0.265,0.265,190025.0
2019-03-27,0.255,0.28,0.25,0.28,0.28,135202.0
2019-03-28,0.26,0.26,0.255,0.26,0.26,335785.0
2019-03-31,0.25,0.25,0.25,0.25,0.25,19231.0
2019-04-01,0.25,0.25,0.25,0.25,0.25,19231.0
2019-04-02,0.25,0.25,0.25,0.25,0.25,34407.0
2019-04-03,0.25,0.26,0.25,0.26,0.26,48000.0
2019-04-04,0.25,0.26,0.25,0.26,0.26,91913.0
2019-04-08,0.24,0.24,0.24,0.24,0.24,13535.0
2019-04-09,0.225,0.24,0.225,0.24,0.24,55402.0
2019-04-10,0.24,0.24,0.24,0.24,0.24,0.0
2019-04-11,0.26,0.26,0.26,0.26,0.26,65000.0
2019-04-12,0.26,0.26,0.26,0.26,0.26,823396.0
2019-04-15,0.26,0.26,0.26,0.26,0.26,0.0
2019-04-16,0.24,0.27,0.24,0.26,0.26,198546.0
2019-04-17,0.26,0.265,0.26,0.26,0.26,49195.0
2019-04-18,0.245,0.245,0.235,0.235,0.235,136065.0
2019-04-23,0.21,0.21,0.21,0.21,0.21,135690.0
2019-04-24,0.205,0.21,0.205,0.21,0.21,303369.0
2019-04-26,0.225,0.23,0.225,0.23,0.23,73077.0
2019-04-29,0.215,0.235,0.205,0.235,0.235,84917.0
2019-04-30,0.24,0.24,0.23,0.23,0.23,334848.0
2019-05-01,0.22,0.22,0.22,0.22,0.22,126768.0
2019-05-02,0.21,0.21,0.185,0.205,0.205,402846.0
2019-05-03,0.235,0.235,0.235,0.235,0.235,5010.0
2019-05-06,0.235,0.235,0.235,0.235,0.235,0.0
2019-05-07,0.22,0.23,0.22,0.23,0.23,36147.0
2019-05-08,0.23,0.23,0.23,0.23,0.23,0.0
2019-05-09,0.235,0.235,0.235,0.235,0.235,25000.0
2019-05-10,0.235,0.235,0.235,0.235,0.235,0.0
2019-05-15,0.205,0.205,0.205,0.205,0.205,18461.0
2019-05-16,0.205,0.205,0.205,0.205,0.205,0.0
2019-05-17,0.235,0.235,0.235,0.235,0.235,97422.0
2019-05-20,0.24,0.24,0.215,0.215,0.215,247186.0
2019-05-21,0.22,0.22,0.215,0.215,0.215,101501.0
2019-05-22,0.215,0.215,0.215,0.215,0.215,0.0
2019-05-23,0.215,0.215,0.215,0.215,0.215,0.0
2019-05-24,0.215,0.215,0.215,0.215,0.215,0.0
2019-05-27,0.22,0.22,0.22,0.22,0.22,10.0
2019-05-28,0.22,0.22,0.22,0.22,0.22,0.0
2019-05-29,0.22,0.22,0.19,0.2,0.2,37362.0
2019-05-30,0.21,0.21,0.21,0.21,0.21,42279.0
2019-05-31,0.22,0.22,0.22,0.22,0.22,100000.0
2019-06-03,0.225,0.225,0.22,0.22,0.22,14216.0
2019-06-04,0.225,0.225,0.22,0.22,0.22,29899.0
2019-06-05,0.22,0.22,0.22,0.22,0.22,306.0
