Date,Open,High,Low,Close,Adj Close,Volume
2014-12-04,1.0,1.02,1.0,1.015,0.861287,10567013.0
2014-12-07,1.0,1.0,0.98,0.99,0.840073,118235.0
2014-12-08,0.985,0.985,0.985,0.985,0.83583,42300.0
2014-12-09,0.97,0.975,0.97,0.972,0.824799,7609000.0
2014-12-10,0.98,0.985,0.98,0.98,0.8315870000000001,391678.0
2014-12-11,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2014-12-14,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2014-12-15,0.98,0.985,0.98,0.985,0.83583,472500.0
2014-12-16,0.985,0.985,0.985,0.985,0.83583,0.0
2014-12-17,0.985,0.985,0.985,0.985,0.83583,0.0
2014-12-18,0.985,0.985,0.985,0.985,0.83583,0.0
2014-12-21,0.99,1.0,0.99,1.0,0.848558,46000.0
2014-12-22,1.0,1.0,1.0,1.0,0.848558,0.0
2014-12-23,1.0,1.0,1.0,1.0,0.848558,0.0
2014-12-28,1.0,1.0,1.0,1.0,0.848558,0.0
2014-12-29,1.0,1.0,1.0,1.0,0.848558,0.0
2014-12-30,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-01,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-04,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-05,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-06,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-07,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-08,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-11,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-12,1.0,1.0,1.0,1.0,0.848558,0.0
2015-01-13,0.99,0.99,0.99,0.99,0.840073,102500.0
2015-01-14,0.99,0.99,0.99,0.99,0.840073,0.0
2015-01-15,0.98,0.98,0.98,0.98,0.8315870000000001,15000.0
2015-01-18,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-19,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-20,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-21,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-22,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-26,0.98,0.98,0.98,0.98,0.8315870000000001,130.0
2015-01-27,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-28,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-01-29,0.99,0.99,0.98,0.98,0.8315870000000001,170000.0
2015-02-01,0.99,1.0,0.99,1.0,0.848558,4600.0
2015-02-02,1.0,1.0,0.98,0.99,0.840073,15500.0
2015-02-03,0.99,0.99,0.99,0.99,0.840073,312879.0
2015-02-04,0.99,0.99,0.99,0.99,0.840073,10000.0
2015-02-05,0.99,0.99,0.99,0.99,0.840073,0.0
2015-02-08,0.99,0.99,0.99,0.99,0.840073,0.0
2015-02-09,1.0,1.02,1.0,1.02,0.8655290000000001,10300.0
2015-02-10,1.02,1.02,1.02,1.02,0.8655290000000001,0.0
2015-02-11,1.02,1.02,1.02,1.02,0.8655290000000001,0.0
2015-02-12,1.03,1.03,1.03,1.03,0.874015,15000.0
2015-02-15,1.05,1.1,1.05,1.1,0.933414,1055000.0
2015-02-16,1.1,1.1,1.1,1.1,0.933414,0.0
2015-02-17,1.1,1.1,1.1,1.1,0.933414,0.0
2015-02-18,1.075,1.075,1.075,1.075,0.9122,354852.0
2015-02-19,1.075,1.075,1.075,1.075,0.9122,0.0
2015-02-22,1.075,1.075,1.075,1.075,0.9122,0.0
2015-02-23,1.08,1.08,1.08,1.08,0.916443,29765.0
2015-02-24,1.1,1.1,1.1,1.1,0.933414,18500.0
2015-02-25,1.1,1.1,1.1,1.1,0.933414,22000.0
2015-02-26,1.09,1.095,1.09,1.095,0.929171,208000.0
2015-03-01,1.08,1.08,1.08,1.08,0.916443,12000.0
2015-03-02,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-03,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-04,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-05,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-08,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-09,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-10,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-11,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-12,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-15,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-16,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-17,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-18,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-19,1.06,1.06,1.06,1.06,0.8994719999999999,500.0
2015-03-22,1.06,1.06,1.06,1.06,0.8994719999999999,0.0
2015-03-23,1.06,1.06,1.06,1.06,0.8994719999999999,0.0
2015-03-24,1.06,1.06,1.06,1.06,0.8994719999999999,0.0
2015-03-25,1.08,1.08,1.08,1.08,0.916443,1000.0
2015-03-26,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-29,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-30,1.08,1.08,1.08,1.08,0.916443,0.0
2015-03-31,1.08,1.08,1.08,1.08,0.916443,0.0
2015-04-01,1.07,1.07,1.05,1.05,0.8909860000000001,22360.0
2015-04-07,0.99,0.99,0.99,0.99,0.840073,3966.0
2015-04-08,0.99,0.99,0.99,0.99,0.840073,26500.0
2015-04-09,0.975,0.975,0.975,0.975,0.8273440000000001,650.0
2015-04-10,0.975,0.975,0.975,0.975,0.8273440000000001,0.0
2015-04-13,0.975,0.975,0.975,0.975,0.8273440000000001,0.0
2015-04-14,0.975,0.975,0.975,0.975,0.8273440000000001,0.0
2015-04-15,0.975,0.975,0.975,0.975,0.8273440000000001,0.0
2015-04-16,1.04,1.04,1.04,1.04,0.882501,6000.0
2015-04-17,1.04,1.04,1.04,1.04,0.882501,0.0
2015-04-20,1.04,1.04,1.04,1.04,0.882501,0.0
2015-04-21,1.045,1.045,1.045,1.045,0.8867430000000001,500.0
2015-04-22,1.045,1.045,1.045,1.045,0.8867430000000001,0.0
2015-04-23,1.045,1.045,1.045,1.045,0.8867430000000001,0.0
2015-04-24,1.035,1.035,1.035,1.035,0.878258,2000.0
2015-04-27,1.035,1.035,1.035,1.035,0.878258,0.0
2015-04-28,1.035,1.035,1.035,1.035,0.878258,0.0
2015-04-29,1.035,1.035,1.035,1.035,0.878258,0.0
2015-04-30,1.0,1.0,1.0,1.0,0.848558,137100.0
2015-05-01,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-04,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-05,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-06,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-07,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-08,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-11,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-12,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-13,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-14,1.0,1.0,1.0,1.0,0.848558,0.0
2015-05-15,1.0,1.01,0.99,0.99,0.840073,2175.0
2015-05-18,0.99,0.99,0.99,0.99,0.840073,0.0
2015-05-19,0.99,0.99,0.99,0.99,0.840073,0.0
2015-05-20,0.99,0.99,0.99,0.99,0.840073,0.0
2015-05-21,0.99,0.99,0.99,0.99,0.840073,0.0
2015-05-22,0.99,0.99,0.99,0.99,0.840073,0.0
2015-05-25,0.96,0.96,0.96,0.96,0.814616,200000.0
2015-05-26,0.96,0.96,0.96,0.96,0.814616,0.0
2015-05-27,0.99,0.99,0.95,0.95,0.80613,111000.0
2015-05-28,0.99,0.995,0.99,0.995,0.844316,47899.0
2015-05-29,0.99,0.99,0.98,0.98,0.8315870000000001,55881.0
2015-06-01,0.98,0.98,0.98,0.98,0.8315870000000001,0.0
2015-06-02,1.0,1.0,1.0,1.0,0.848558,130000.0
2015-06-03,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-04,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-05,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-09,1.02,1.02,1.02,1.02,0.8655290000000001,271110.0
2015-06-10,1.02,1.02,1.02,1.02,0.8655290000000001,0.0
2015-06-11,1.0,1.0,1.0,1.0,0.848558,3196.0
2015-06-12,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-15,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-16,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-17,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-18,1.0,1.0,1.0,1.0,0.848558,0.0
2015-06-19,0.955,0.955,0.955,0.955,0.810373,150000.0
2015-06-22,0.96,0.96,0.96,0.96,0.814616,42238.0
2015-06-23,0.96,0.96,0.96,0.96,0.814616,0.0
2015-06-24,0.96,0.96,0.96,0.96,0.814616,0.0
2015-06-25,0.96,0.96,0.96,0.96,0.814616,0.0
2015-06-26,0.95,0.95,0.95,0.92,0.780674,31000.0
2015-06-29,0.9,0.9,0.9,0.9,0.763702,72436.0
2015-06-30,0.9,0.9,0.9,0.9,0.763702,279000.0
2015-07-01,0.9,0.9,0.9,0.9,0.763702,0.0
2015-07-02,0.88,0.88,0.88,0.88,0.746731,11700.0
2015-07-03,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-06,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-07,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-08,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-09,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-10,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-13,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-14,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-15,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-16,0.88,0.88,0.88,0.88,0.746731,0.0
2015-07-17,0.85,0.85,0.85,0.85,0.721275,10000.0
2015-07-20,0.85,0.85,0.85,0.85,0.721275,0.0
2015-07-21,0.89,0.89,0.89,0.89,0.755217,700.0
2015-07-22,0.84,0.84,0.84,0.84,0.712789,55000.0
2015-07-23,0.84,0.84,0.84,0.84,0.712789,0.0
2015-07-24,0.84,0.84,0.84,0.84,0.712789,0.0
