Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,5.62,5.62,5.56,5.56,4.032651,27532.0
2012-01-03,5.59,5.73,5.56,5.7,4.134193,16656.0
2012-01-04,5.7,5.73,5.6,5.6,4.061664,11165.0
2012-01-05,5.6,5.6,5.6,5.6,4.061664,0.0
2012-01-08,5.62,5.78,5.62,5.78,4.192216,7077.0
2012-01-09,5.77,5.8,5.77,5.8,4.206723,6427.0
2012-01-10,5.79,5.91,5.79,5.85,4.242987,2709.0
2012-01-11,5.72,5.84,5.72,5.81,4.2139760000000015,44299.0
2012-01-12,5.82,5.88,5.8,5.88,4.264747,4336.0
2012-01-15,5.9,6.2,5.88,6.1,4.424313,14494.0
2012-01-16,6.09,6.09,6.0,6.09,4.417059,3939.0
2012-01-17,6.08,6.09,6.0,6.0,4.351782,12721.0
2012-01-18,6.0,6.0,5.88,5.88,4.264747,1924.0
2012-01-19,5.9,6.0,5.9,5.9,4.279252,5724.0
2012-01-22,5.9,6.0,5.88,5.9,4.279252,6423.0
2012-01-23,5.8,6.0,5.8,5.81,4.2139760000000015,90031.0
2012-01-24,5.81,5.97,5.81,5.85,4.242987,6125.0
2012-01-26,5.85,5.85,5.83,5.83,4.228482,5329.0
2012-01-29,5.9,6.0,5.9,6.0,4.351782,5027.0
2012-01-30,5.98,5.98,5.8,5.81,4.2139760000000015,116323.0
2012-01-31,5.9,5.99,5.9,5.99,4.3445290000000005,3933.0
2012-02-01,5.95,6.0,5.85,5.98,4.337276,8784.0
2012-02-02,5.98,6.0,5.81,6.0,4.351782,22596.0
2012-02-05,5.82,5.99,5.82,5.84,4.235735,1712.0
2012-02-06,5.84,5.99,5.84,5.99,4.3445290000000005,4028.0
2012-02-07,5.99,5.99,5.91,5.99,4.3445290000000005,6068.0
2012-02-08,6.0,6.05,5.93,5.99,4.3445290000000005,10806.0
2012-02-09,6.04,6.05,6.0,6.05,4.388047,22506.0
2012-02-12,5.93,6.01,5.93,5.93,4.301012,2208.0
2012-02-13,5.94,5.99,5.94,5.97,4.3300230000000015,7024.0
2012-02-14,5.99,6.08,5.99,6.08,4.409806,12622.0
2012-02-15,6.08,6.08,5.99,6.03,4.373542,5808.0
2012-02-16,6.0,6.0,6.0,6.0,4.351782,4317.0
