Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-03,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-04,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-05,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-08,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-09,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-10,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-11,1.18,1.18,1.15,1.15,1.15,16590.0
2012-01-12,1.19,1.19,1.16,1.19,1.19,20000.0
2012-01-15,1.2,1.2,1.19,1.2,1.2,1090784.0
2012-01-16,1.2,1.2,1.2,1.2,1.2,8800.0
2012-01-17,1.2,1.2,1.2,1.2,1.2,13760.0
2012-01-18,1.2,1.2,1.2,1.2,1.2,78300.0
2012-01-19,1.25,1.25,1.25,1.25,1.25,5065.0
2012-01-22,1.26,1.26,1.26,1.26,1.26,5600.0
2012-01-23,1.3,1.3,1.3,1.3,1.3,32399.0
2012-01-24,1.35,1.35,1.35,1.35,1.35,1495.0
2012-01-26,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-29,1.275,1.275,1.275,1.275,1.275,0.0
2012-01-30,1.297,1.297,1.297,1.297,1.297,0.0
2012-01-31,1.3,1.3,1.3,1.3,1.3,1.0
2012-02-01,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-02,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-05,1.2,1.2,1.2,1.2,1.2,6416.0
2012-02-06,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-07,1.2,1.2,1.16,1.16,1.16,16784.0
2012-02-08,1.2,1.2,1.16,1.16,1.16,19340.0
2012-02-09,1.2,1.2,1.2,1.2,1.2,16632.0
2012-02-12,1.2,1.2,1.2,1.2,1.2,21724.0
2012-02-13,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-14,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-15,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-16,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-19,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-20,1.16,1.16,1.16,1.16,1.16,50.0
2012-02-21,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-22,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-23,1.15,1.15,1.15,1.15,1.15,15000.0
2012-02-26,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-27,1.297,1.297,1.297,1.297,1.297,0.0
2012-02-28,1.311,1.311,1.311,1.311,1.311,0.0
2012-02-29,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-01,1.2,1.2,1.2,1.2,1.2,5000.0
2012-03-04,1.2,1.2,1.2,1.2,1.2,26821.0
2012-03-05,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-06,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-07,1.2,1.2,1.15,1.15,1.15,13450.0
2012-03-08,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-11,1.18,1.18,1.15,1.18,1.18,15500.0
2012-03-12,1.18,1.18,1.16,1.16,1.16,10000.0
2012-03-13,1.2,1.2,1.2,1.2,1.2,10000.0
2012-03-14,1.2,1.2,1.2,1.2,1.2,10000.0
2012-03-15,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-18,1.2,1.2,1.2,1.2,1.2,5000.0
2012-03-19,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-20,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-21,1.2,1.2,1.2,1.2,1.2,5050.0
2012-03-22,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-25,1.2,1.2,1.2,1.2,1.2,1667.0
2012-03-26,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-27,1.311,1.311,1.311,1.311,1.311,0.0
2012-03-28,1.2,1.2,1.16,1.16,1.16,13655.0
2012-03-29,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-02,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-03,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-04,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-05,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-10,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-11,1.2,1.2,1.2,1.2,1.2,1000.0
2012-04-12,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-13,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-16,1.2,1.2,1.2,1.2,1.2,5000.0
2012-04-17,1.2,1.2,1.2,1.2,1.2,5000.0
2012-04-18,1.335,1.335,1.335,1.335,1.335,0.0
2012-04-19,1.2,1.2,1.2,1.2,1.2,5000.0
2012-04-20,1.2,1.2,1.15,1.2,1.2,5881.0
2012-04-23,1.2,1.2,1.2,1.2,1.2,2500.0
2012-04-24,1.2,1.2,1.15,1.15,1.15,7060.0
2012-04-26,1.15,1.15,1.12,1.12,1.12,3100.0
2012-04-27,1.15,1.15,1.15,1.15,1.15,819.0
2012-04-30,1.351,1.351,1.351,1.351,1.351,0.0
2012-05-01,1.351,1.351,1.351,1.351,1.351,0.0
2012-05-02,1.2,1.2,1.2,1.2,1.2,2501.0
2012-05-03,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-04,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-07,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-08,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-09,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-10,1.19,1.19,1.1,1.1,1.1,19900.0
2012-05-11,1.125,1.125,1.125,1.125,1.125,20220.0
2012-05-14,1.12,1.12,1.11,1.11,1.11,10880.0
2012-05-15,1.175,1.175,1.1,1.1,1.1,6000.0
2012-05-16,1.175,1.175,1.175,1.175,1.175,2500.0
2012-05-17,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-18,1.19,1.19,1.105,1.105,1.105,5500.0
2012-05-21,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-22,1.19,1.19,1.19,1.19,1.19,2500.0
2012-05-23,1.2,1.2,1.2,1.2,1.2,2500.0
2012-05-24,1.2,1.2,1.2,1.2,1.2,2500.0
2012-05-25,1.2,1.2,1.15,1.15,1.15,103400.0
2012-05-28,1.18,1.18,1.18,1.18,1.18,2475.0
2012-05-29,1.18,1.18,1.15,1.18,1.18,167000.0
2012-05-30,1.351,1.351,1.351,1.351,1.351,0.0
2012-05-31,1.294,1.294,1.294,1.294,1.294,0.0
2012-06-01,1.294,1.294,1.294,1.294,1.294,0.0
2012-06-04,1.294,1.294,1.294,1.294,1.294,0.0
2012-06-05,1.14,1.14,1.14,1.14,1.14,2500.0
2012-06-06,1.14,1.14,1.14,1.14,1.14,7500.0
2012-06-07,1.14,1.14,1.14,1.14,1.14,2500.0
2012-06-08,1.14,1.14,1.14,1.14,1.14,2500.0
2012-06-12,1.14,1.14,1.1,1.1,1.1,26440.0
2012-06-13,1.14,1.14,1.09,1.09,1.09,70174.0
2012-06-14,1.09,1.09,1.07,1.07,1.07,6333.0
2012-06-15,1.09,1.1,1.07,1.07,1.07,40000.0
2012-06-18,1.294,1.294,1.294,1.294,1.294,0.0
2012-06-19,1.145,1.145,1.14,1.14,1.14,8799.0
2012-06-20,1.14,1.14,1.08,1.08,1.08,9953.0
2012-06-21,1.294,1.294,1.294,1.294,1.294,0.0
2012-06-22,1.14,1.14,1.14,1.14,1.14,2500.0
2012-06-25,1.14,1.14,1.14,1.14,1.14,2500.0
2012-06-26,1.14,1.14,1.14,1.14,1.14,5000.0
2012-06-27,1.14,1.14,1.14,1.14,1.14,5000.0
2012-06-28,1.07,1.07,1.07,1.07,1.07,16680.0
2012-06-29,1.1,1.1,1.06,1.1,1.1,30000.0
2012-07-02,1.14,1.14,1.14,1.14,1.14,2500.0
2012-07-03,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-04,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-05,1.16,1.16,1.16,1.16,1.16,2500.0
2012-07-06,1.16,1.16,1.16,1.16,1.16,5000.0
2012-07-09,1.16,1.16,1.1,1.1,1.1,12500.0
2012-07-10,1.1,1.1,1.1,1.1,1.1,8500.0
2012-07-11,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-12,1.11,1.11,1.11,1.11,1.11,3500.0
2012-07-13,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-16,1.11,1.11,1.07,1.07,1.07,12000.0
2012-07-17,1.1,1.1,1.1,1.1,1.1,54850.0
2012-07-18,1.06,1.06,1.06,1.06,1.06,1300.0
2012-07-19,1.06,1.06,1.05,1.05,1.05,10000.0
2012-07-20,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-23,1.055,1.055,1.05,1.05,1.05,4711.0
2012-07-24,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-25,1.07,1.07,1.05,1.05,1.05,133918.0
2012-07-26,1.06,1.06,1.05,1.05,1.05,2667.0
2012-07-27,1.05,1.05,1.02,1.04,1.04,147000.0
2012-07-30,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,1.3019999999999998,0.0
2012-07-31,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-01,1.07,1.07,1.07,1.07,1.07,12000.0
2012-08-02,1.07,1.08,1.07,1.08,1.08,17892.0
2012-08-03,1.08,1.08,1.08,1.08,1.08,108.0
2012-08-06,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-07,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-08,1.12,1.12,1.1,1.1,1.1,6564.0
2012-08-09,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-10,1.1,1.1,1.1,1.1,1.1,5000.0
2012-08-13,1.1,1.1,1.1,1.1,1.1,15000.0
2012-08-14,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-15,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-16,1.314,1.314,1.314,1.314,1.314,0.0
2012-08-17,1.16,1.17,1.16,1.17,1.17,21900.0
2012-08-20,1.15,1.15,1.15,1.15,1.15,13600.0
2012-08-21,1.15,1.15,1.15,1.15,1.15,10900.0
2012-08-22,1.15,1.15,1.15,1.15,1.15,5000.0
2012-08-23,1.15,1.15,1.1,1.13,1.13,42500.0
2012-08-24,1.13,1.13,1.13,1.13,1.13,25000.0
2012-08-27,1.13,1.13,1.1,1.1,1.1,86474.0
2012-08-28,1.13,1.13,1.12,1.13,1.13,13128.0
2012-08-29,1.12,1.13,1.11,1.12,1.12,76370.0
2012-08-30,1.12,1.12,1.12,1.12,1.12,5000.0
2012-08-31,1.335,1.335,1.335,1.335,1.335,0.0
2012-09-03,1.13,1.13,1.13,1.13,1.13,5000.0
2012-09-04,1.335,1.335,1.335,1.335,1.335,0.0
2012-09-05,1.13,1.13,1.1,1.1,1.1,112825.0
2012-09-06,1.1,1.1,1.1,1.1,1.1,7012.0
2012-09-07,1.335,1.335,1.335,1.335,1.335,0.0
2012-09-10,1.14,1.14,1.14,1.14,1.14,6000.0
2012-09-11,1.14,1.14,1.14,1.14,1.14,1596.0
2012-09-12,1.15,1.15,1.15,1.15,1.15,5000.0
2012-09-13,1.16,1.16,1.16,1.16,1.16,5000.0
2012-09-14,1.16,1.16,1.16,1.16,1.16,8965.0
2012-09-17,,,,,,
2012-09-18,1.16,1.16,1.15,1.15,1.15,9798.0
2012-09-19,1.15,1.16,1.15,1.16,1.16,5000.0
2012-09-20,1.16,1.16,1.15,1.15,1.15,5000.0
2012-09-21,1.15,1.15,1.15,1.15,1.15,13000.0
2012-09-24,,,,,,
2012-09-25,1.13,1.13,1.12,1.12,1.12,6000.0
2012-09-26,1.12,1.12,1.12,1.12,1.12,5000.0
2012-09-27,1.12,1.12,1.08,1.08,1.08,135000.0
2012-09-28,1.1,1.1,1.1,1.1,1.1,1500.0
2012-10-01,1.12,1.12,1.12,1.12,1.12,5000.0
2012-10-02,1.12,1.12,1.1,1.1,1.1,22166.0
2012-10-03,1.105,1.105,1.105,1.105,1.105,19920.0
2012-10-04,1.11,1.11,1.1,1.1,1.1,78414.0
2012-10-05,1.1,1.1,1.09,1.09,1.09,66074.0
2012-10-07,,,,,,
2012-10-08,,,,,,
2012-10-09,,,,,,
2012-10-10,1.105,1.105,1.09,1.09,1.09,32060.0
2012-10-11,1.095,1.095,1.095,1.095,1.095,1500.0
2012-10-14,,,,,,
2012-10-15,1.095,1.1,1.095,1.1,1.1,2742.0
2012-10-16,1.12,1.13,1.12,1.12,1.12,29550.0
2012-10-17,1.13,1.13,1.13,1.13,1.13,5000.0
2012-10-18,1.13,1.15,1.13,1.15,1.15,6598.0
2012-10-21,,,,,,
2012-10-22,,,,,,
2012-10-23,,,,,,
2012-10-24,1.17,1.17,1.17,1.17,1.17,25683.0
2012-10-25,1.17,1.17,1.17,1.17,1.17,5000.0
2012-10-28,,,,,,
2012-10-29,,,,,,
2012-10-30,1.379,1.379,1.379,1.379,1.379,0.0
2012-10-31,,,,,,
2012-11-01,,,,,,
2012-11-04,,,,,,
2012-11-05,,,,,,
2012-11-06,,,,,,
2012-11-07,,,,,,
2012-11-08,,,,,,
2012-11-11,,,,,,
2012-11-12,,,,,,
2012-11-13,,,,,,
2012-11-14,,,,,,
2012-11-15,,,,,,
2012-11-18,1.19,1.19,1.19,1.19,1.19,5000.0
2012-11-19,,,,,,
2012-11-20,1.19,1.2,1.19,1.2,1.2,12500.0
2012-11-21,,,,,,
2012-11-22,,,,,,
2012-11-25,,,,,,
2012-11-26,,,,,,
2012-11-27,1.15,1.15,1.15,1.15,1.15,63000.0
2012-11-28,1.15,1.15,1.15,1.15,1.15,10300.0
2012-11-29,1.401,1.401,1.401,1.401,1.401,0.0
2012-12-02,,,,,,
2012-12-03,1.18,1.2,1.18,1.2,1.2,25500.0
2012-12-04,1.2,1.2,1.18,1.18,1.18,12391.0
2012-12-05,,,,,,
2012-12-06,1.17,1.17,1.17,1.17,1.17,5000.0
2012-12-09,1.18,1.2,1.18,1.2,1.2,75130.0
2012-12-10,1.2,1.2,1.18,1.18,1.18,5000.0
2012-12-11,1.18,1.19,1.18,1.19,1.19,27439.0
2012-12-12,1.2,1.2,1.2,1.2,1.2,5000.0
2012-12-13,1.2,1.2,1.2,1.2,1.2,16134.0
2012-12-16,,,,,,
2012-12-17,1.205,1.205,1.18,1.18,1.18,32700.0
2012-12-18,1.2,1.2,1.19,1.19,1.19,33100.0
2012-12-19,1.19,1.2,1.18,1.18,1.18,16500.0
2012-12-20,1.19,1.19,1.18,1.18,1.18,24500.0
2012-12-23,,,,,,
2012-12-26,1.22,1.22,1.22,1.22,1.22,17000.0
2012-12-27,,,,,,
2012-12-30,1.4269999999999998,1.4269999999999998,1.4269999999999998,1.4269999999999998,1.4269999999999998,0.0
2013-01-01,1.25,1.25,1.25,1.25,1.25,1300.0
2013-01-02,,,,,,
2013-01-03,,,,,,
2013-01-06,1.235,1.235,1.23,1.235,1.235,50434.0
2013-01-07,1.23,1.25,1.23,1.25,1.25,100489.0
2013-01-08,1.295,1.295,1.295,1.295,1.295,1622.0
2013-01-09,,,,,,
2013-01-10,,,,,,
2013-01-13,1.25,1.25,1.25,1.25,1.25,10900.0
2013-01-14,1.25,1.25,1.25,1.25,1.25,10000.0
2013-01-15,1.235,1.235,1.235,1.235,1.235,6300.0
2013-01-16,1.245,1.245,1.24,1.24,1.24,10793.0
2013-01-17,1.24,1.24,1.24,1.24,1.24,5000.0
2013-01-20,,,,,,
2013-01-21,,,,,,
2013-01-22,1.27,1.27,1.24,1.24,1.24,18000.0
2013-01-23,1.28,1.28,1.28,1.28,1.28,5000.0
2013-01-24,1.28,1.29,1.28,1.29,1.29,26774.0
2013-01-28,1.29,1.31,1.29,1.29,1.29,72762.0
2013-01-29,1.265,1.29,1.265,1.265,1.265,19500.0
2013-01-30,1.517,1.517,1.517,1.517,1.517,0.0
2013-01-31,1.3,1.3,1.3,1.3,1.3,10000.0
2013-02-03,1.28,1.28,1.275,1.275,1.275,12600.0
2013-02-04,1.3,1.31,1.3,1.3,1.3,103800.0
2013-02-05,1.3,1.3,1.3,1.3,1.3,114000.0
2013-02-06,1.3,1.3,1.3,1.3,1.3,34166.0
2013-02-07,1.3,1.305,1.3,1.305,1.305,70000.0
2013-02-10,1.3,1.3,1.3,1.3,1.3,35000.0
2013-02-11,,,,,,
2013-02-12,1.3,1.3,1.3,1.3,1.3,95045.0
2013-02-13,1.31,1.31,1.31,1.31,1.31,40000.0
2013-02-14,1.31,1.31,1.31,1.31,1.31,75000.0
2013-02-17,1.32,1.32,1.32,1.32,1.32,20000.0
2013-02-18,,,,,,
2013-02-19,1.33,1.33,1.33,1.33,1.33,8000.0
2013-02-20,1.33,1.33,1.33,1.33,1.33,15450.0
2013-02-21,1.32,1.32,1.32,1.32,1.32,5186.0
2013-02-24,,,,,,
2013-02-25,,,,,,
2013-02-26,1.33,1.33,1.315,1.315,1.315,38000.0
2013-02-27,1.565,1.565,1.565,1.565,1.565,0.0
2013-02-28,,,,,,
2013-03-03,,,,,,
2013-03-04,1.315,1.315,1.315,1.315,1.315,20000.0
2013-03-05,1.34,1.35,1.315,1.35,1.35,110600.0
2013-03-06,,,,,,
2013-03-07,1.36,1.36,1.36,1.36,1.36,533.0
2013-03-10,1.36,1.37,1.36,1.37,1.37,133949.0
2013-03-11,1.36,1.37,1.36,1.37,1.37,44191.0
2013-03-12,1.34,1.37,1.34,1.37,1.37,67400.0
2013-03-13,1.34,1.36,1.34,1.36,1.36,27275.0
2013-03-14,,,,,,
2013-03-17,,,,,,
2013-03-18,1.36,1.36,1.36,1.36,1.36,5185.0
2013-03-19,,,,,,
2013-03-20,,,,,,
2013-03-21,,,,,,
2013-03-24,1.315,1.315,1.3,1.3,1.3,14885.0
2013-03-25,,,,,,
2013-03-26,,,,,,
2013-03-27,1.28,1.28,1.28,1.28,1.28,418.0
2013-04-01,1.28,1.28,1.28,1.28,1.28,6000.0
2013-04-02,,,,,,
2013-04-03,,,,,,
2013-04-04,1.3,1.3,1.3,1.3,1.3,1000.0
2013-04-08,1.3,1.3,1.3,1.3,1.3,16947.0
2013-04-09,1.3,1.34,1.3,1.34,1.34,11053.0
2013-04-10,1.34,1.34,1.34,1.34,1.34,5500.0
2013-04-11,1.34,1.34,1.34,1.34,1.34,8626.0
2013-04-12,1.34,1.34,1.34,1.34,1.34,10874.0
2013-04-15,1.34,1.34,1.31,1.31,1.31,45000.0
2013-04-16,1.32,1.32,1.3,1.3,1.3,14334.0
2013-04-17,1.315,1.33,1.31,1.33,1.33,24194.0
2013-04-18,1.33,1.33,1.31,1.31,1.31,7000.0
2013-04-19,1.315,1.33,1.315,1.33,1.33,8918.0
2013-04-22,,,,,,
2013-04-23,1.33,1.33,1.3,1.31,1.31,155342.0
2013-04-24,1.34,1.35,1.34,1.35,1.35,4257.0
2013-04-26,1.34,1.34,1.34,1.34,1.34,5000.0
2013-04-29,1.33,1.33,1.33,1.33,1.33,5000.0
2013-04-30,1.6130000000000002,1.6130000000000002,1.6130000000000002,1.6130000000000002,1.6130000000000002,0.0
2013-05-01,1.34,1.34,1.34,1.34,1.34,42500.0
2013-05-02,1.34,1.34,1.33,1.34,1.34,5000.0
2013-05-03,1.36,1.36,1.36,1.36,1.36,37878.0
2013-05-06,1.37,1.37,1.34,1.36,1.36,21772.0
2013-05-07,1.36,1.36,1.35,1.35,1.35,5500.0
2013-05-08,1.34,1.34,1.34,1.34,1.34,2000.0
2013-05-09,,,,,,
2013-05-10,1.37,1.38,1.37,1.38,1.38,102409.0
2013-05-13,1.38,1.38,1.38,1.38,1.38,6005.0
2013-05-14,1.39,1.39,1.39,1.39,1.39,5427.0
2013-05-15,1.4,1.4,1.39,1.39,1.39,44569.0
2013-05-16,1.39,1.39,1.39,1.39,1.39,156953.0
2013-05-17,,,,,,
2013-05-20,1.4,1.4,1.39,1.4,1.4,11385.0
2013-05-21,1.4,1.4,1.39,1.4,1.4,66164.0
2013-05-22,,,,,,
2013-05-23,1.4,1.4,1.39,1.39,1.39,10639.0
2013-05-24,1.39,1.39,1.38,1.38,1.38,11015.0
2013-05-27,1.38,1.38,1.38,1.38,1.38,28221.0
2013-05-28,,,,,,
2013-05-29,1.38,1.38,1.38,1.38,1.38,1807.0
2013-05-30,1.38,1.38,1.38,1.38,1.38,235.0
2013-05-31,1.556,1.556,1.556,1.556,1.556,0.0
2013-06-03,1.38,1.38,1.38,1.38,1.38,5000.0
