Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,0.16,0.16,0.14,0.14,0.14,8891326.0
2017-05-11,0.145,0.17,0.145,0.165,0.165,4038783.0
2017-05-12,0.165,0.165,0.15,0.15,0.15,1782206.0
2017-05-15,0.155,0.155,0.155,0.155,0.155,580438.0
2017-05-16,0.155,0.17,0.155,0.165,0.165,1271936.0
2017-05-17,0.17,0.19,0.17,0.19,0.19,1689516.0
2017-05-18,0.19,0.19,0.19,0.19,0.19,0.0
2017-05-19,0.19,0.19,0.19,0.19,0.19,0.0
2017-05-22,0.185,0.185,0.16,0.17,0.17,3729154.0
2017-05-23,0.17,0.17,0.165,0.17,0.17,490928.0
2017-05-24,0.165,0.165,0.155,0.155,0.155,1100877.0
2017-05-25,0.155,0.155,0.145,0.15,0.15,1382438.0
2017-05-26,0.155,0.165,0.15,0.155,0.155,1947072.0
2017-05-29,0.165,0.17,0.155,0.155,0.155,494435.0
2017-05-30,0.155,0.155,0.15,0.155,0.155,487598.0
2017-05-31,0.155,0.155,0.15,0.15,0.15,98496.0
2017-06-01,0.155,0.16,0.155,0.16,0.16,96156.0
2017-06-02,0.155,0.155,0.15,0.15,0.15,460355.0
2017-06-05,0.15,0.155,0.15,0.15,0.15,1138539.0
2017-06-06,0.145,0.145,0.135,0.135,0.135,888581.0
2017-06-07,0.13,0.14,0.12,0.13,0.13,1029347.0
2017-06-08,0.135,0.135,0.135,0.135,0.135,122098.0
2017-06-09,0.14,0.145,0.14,0.145,0.145,249233.0
2017-06-13,0.145,0.155,0.14,0.15,0.15,710954.0
2017-06-14,0.15,0.15,0.15,0.15,0.15,59000.0
2017-06-15,0.145,0.145,0.14,0.14,0.14,210148.0
2017-06-16,0.135,0.135,0.135,0.135,0.135,217152.0
2017-06-19,0.14,0.14,0.135,0.135,0.135,98066.0
2017-06-20,0.145,0.15,0.14,0.145,0.145,778500.0
2017-06-21,0.14,0.14,0.14,0.14,0.14,106541.0
2017-06-22,0.14,0.145,0.135,0.145,0.145,172733.0
2017-06-23,0.145,0.145,0.145,0.145,0.145,29000.0
2017-06-26,0.14,0.14,0.135,0.135,0.135,328719.0
2017-06-27,0.135,0.135,0.135,0.135,0.135,139333.0
2017-06-28,0.14,0.155,0.14,0.15,0.15,1220937.0
2017-06-29,0.15,0.16,0.15,0.16,0.16,812388.0
2017-06-30,0.165,0.175,0.165,0.17,0.17,613797.0
2017-07-03,0.17,0.17,0.165,0.17,0.17,594581.0
2017-07-04,0.165,0.165,0.16,0.16,0.16,286031.0
2017-07-05,0.16,0.16,0.16,0.16,0.16,174658.0
2017-07-06,0.16,0.16,0.155,0.155,0.155,175588.0
2017-07-07,0.16,0.16,0.145,0.145,0.145,173903.0
2017-07-10,0.145,0.145,0.145,0.145,0.145,0.0
2017-07-11,0.145,0.145,0.14,0.14,0.14,87276.0
2017-07-12,0.14,0.14,0.14,0.14,0.14,47370.0
2017-07-13,0.145,0.145,0.14,0.14,0.14,33050.0
2017-07-14,0.145,0.145,0.145,0.145,0.145,3000.0
2017-07-17,0.145,0.145,0.14,0.145,0.145,312264.0
2017-07-18,0.14,0.14,0.14,0.14,0.14,134574.0
2017-07-19,0.145,0.165,0.145,0.165,0.165,980923.0
2017-07-20,0.165,0.17,0.165,0.17,0.17,1044863.0
2017-07-21,0.17,0.185,0.17,0.18,0.18,1901642.0
2017-07-24,0.185,0.185,0.175,0.18,0.18,871083.0
2017-07-25,0.18,0.185,0.175,0.175,0.175,911596.0
2017-07-26,0.175,0.175,0.175,0.175,0.175,0.0
2017-07-27,0.235,0.24,0.2,0.205,0.205,11252464.0
2017-07-28,0.205,0.22,0.195,0.215,0.215,3244371.0
2017-07-31,0.22,0.235,0.21,0.22,0.22,1777237.0
2017-08-01,0.23,0.265,0.225,0.265,0.265,4464879.0
2017-08-02,0.265,0.275,0.25,0.255,0.255,3025924.0
2017-08-03,0.265,0.265,0.25,0.25,0.25,1882464.0
2017-08-04,0.255,0.255,0.235,0.24,0.24,1058413.0
2017-08-07,0.24,0.31,0.235,0.295,0.295,7550717.0
2017-08-08,0.3,0.315,0.265,0.27,0.27,4923790.0
2017-08-09,0.27,0.29,0.265,0.275,0.275,2410123.0
2017-08-10,0.275,0.3,0.27,0.27,0.27,2627086.0
2017-08-11,0.265,0.27,0.25,0.255,0.255,1467328.0
2017-08-14,0.265,0.28,0.26,0.26,0.26,1653458.0
2017-08-15,0.26,0.28,0.26,0.28,0.28,983843.0
2017-08-16,0.29,0.31,0.285,0.3,0.3,1874727.0
2017-08-17,0.305,0.305,0.275,0.275,0.275,1644388.0
2017-08-18,0.29,0.29,0.27,0.275,0.275,754879.0
2017-08-21,0.285,0.35,0.28,0.345,0.345,3482045.0
2017-08-22,0.36,0.395,0.345,0.37,0.37,4400100.0
2017-08-23,0.36,0.385,0.345,0.365,0.365,1655812.0
2017-08-24,0.37,0.395,0.355,0.37,0.37,1213520.0
2017-08-25,0.375,0.395,0.355,0.39,0.39,896638.0
2017-08-28,0.395,0.445,0.39,0.44,0.44,3828579.0
2017-08-29,0.43,0.46,0.35,0.39,0.39,6417355.0
2017-08-30,0.395,0.41,0.37,0.39,0.39,3160988.0
2017-08-31,0.39,0.45,0.37,0.43,0.43,2903620.0
2017-09-01,0.44,0.46,0.44,0.445,0.445,915568.0
2017-09-04,0.48,0.5,0.42,0.445,0.445,7463857.0
2017-09-05,0.445,0.445,0.39,0.39,0.39,2702615.0
2017-09-06,0.4,0.41,0.375,0.39,0.39,1814817.0
2017-09-07,0.38,0.39,0.36,0.36,0.36,1175649.0
2017-09-08,0.365,0.405,0.365,0.39,0.39,1052576.0
2017-09-11,0.395,0.4,0.375,0.385,0.385,597183.0
2017-09-12,0.4,0.43,0.375,0.43,0.43,1024772.0
2017-09-13,0.435,0.445,0.41,0.42,0.42,958203.0
2017-09-14,0.43,0.435,0.415,0.42,0.42,894978.0
2017-09-15,0.43,0.43,0.395,0.4,0.4,533585.0
2017-09-18,0.41,0.415,0.38,0.385,0.385,1046833.0
2017-09-19,0.395,0.395,0.38,0.385,0.385,332729.0
2017-09-20,0.385,0.385,0.345,0.355,0.355,1140180.0
2017-09-21,0.355,0.355,0.325,0.345,0.345,758022.0
2017-09-22,0.345,0.36,0.315,0.36,0.36,2568988.0
2017-09-25,0.355,0.385,0.345,0.375,0.375,440523.0
2017-09-26,0.385,0.4,0.375,0.38,0.38,771467.0
2017-09-27,0.37,0.38,0.36,0.365,0.365,505502.0
