Date,Open,High,Low,Close,Adj Close,Volume
2018-12-10,,,,,,
2018-12-11,0.2,0.205,0.18,0.18,0.18,4424750.0
2018-12-12,0.19,0.195,0.18,0.19,0.19,589882.0
2018-12-13,0.18,0.205,0.18,0.205,0.205,630117.0
2018-12-16,0.195,0.2,0.19,0.19,0.19,379880.0
2018-12-17,0.19,0.195,0.185,0.185,0.185,23610.0
2018-12-18,0.17,0.195,0.17,0.19,0.19,293995.0
2018-12-19,0.185,0.185,0.18,0.18,0.18,41683.0
2018-12-20,0.18,0.18,0.18,0.18,0.18,0.0
2018-12-23,0.18,0.18,0.15,0.155,0.155,23500.0
2018-12-26,0.17,0.17,0.17,0.17,0.17,3000.0
2018-12-27,0.17,0.17,0.16,0.16,0.16,20000.0
2018-12-30,0.16,0.16,0.16,0.16,0.16,100000.0
2019-01-01,0.17,0.175,0.17,0.175,0.175,30717.0
2019-01-02,0.18,0.18,0.17,0.17,0.17,20000.0
2019-01-03,0.17,0.17,0.17,0.17,0.17,5000.0
2019-01-06,0.17,0.17,0.15,0.15,0.15,97166.0
2019-01-07,0.16,0.175,0.16,0.175,0.175,32320.0
2019-01-08,0.175,0.175,0.16,0.165,0.165,410100.0
2019-01-09,0.165,0.165,0.165,0.165,0.165,0.0
2019-01-10,0.17,0.18,0.17,0.18,0.18,162414.0
2019-01-13,0.195,0.195,0.18,0.18,0.18,88000.0
2019-01-14,0.18,0.19,0.18,0.19,0.19,75000.0
2019-01-15,0.19,0.19,0.18,0.18,0.18,163579.0
2019-01-16,0.18,0.18,0.18,0.18,0.18,0.0
2019-01-17,0.175,0.175,0.175,0.175,0.175,97154.0
2019-01-20,0.175,0.185,0.175,0.18,0.18,222870.0
2019-01-21,0.175,0.18,0.17,0.18,0.18,297095.0
2019-01-22,0.18,0.18,0.175,0.175,0.175,290314.0
2019-01-23,0.175,0.175,0.17,0.17,0.17,73491.0
2019-01-24,0.175,0.175,0.175,0.175,0.175,148000.0
2019-01-28,0.175,0.175,0.175,0.175,0.175,33400.0
2019-01-29,0.175,0.175,0.175,0.175,0.175,0.0
2019-01-30,0.175,0.175,0.175,0.175,0.175,0.0
2019-01-31,0.175,0.175,0.175,0.175,0.175,0.0
2019-02-03,0.175,0.175,0.175,0.175,0.175,0.0
2019-02-04,0.17,0.17,0.17,0.17,0.17,35000.0
2019-02-05,0.17,0.17,0.17,0.17,0.17,5000.0
2019-02-06,0.17,0.175,0.17,0.175,0.175,141653.0
2019-02-07,0.175,0.19,0.175,0.18,0.18,263986.0
2019-02-10,0.19,0.23,0.19,0.23,0.23,515572.0
2019-02-11,0.23,0.245,0.22,0.245,0.245,335857.0
2019-02-12,0.245,0.245,0.23,0.24,0.24,120904.0
2019-02-13,0.24,0.25,0.24,0.245,0.245,379829.0
2019-02-14,0.245,0.245,0.22,0.22,0.22,130222.0
2019-02-17,0.22,0.22,0.22,0.22,0.22,36000.0
2019-02-18,0.22,0.22,0.22,0.22,0.22,54081.0
2019-02-19,0.225,0.23,0.225,0.23,0.23,52863.0
2019-02-20,0.23,0.23,0.23,0.23,0.23,174780.0
2019-02-21,0.23,0.235,0.23,0.235,0.235,125884.0
2019-02-24,0.235,0.235,0.22,0.22,0.22,124920.0
2019-02-25,0.225,0.225,0.215,0.215,0.215,82500.0
2019-02-26,0.215,0.23,0.215,0.23,0.23,349276.0
2019-02-27,0.23,0.235,0.23,0.235,0.235,115579.0
2019-02-28,0.235,0.24,0.235,0.24,0.24,26100.0
2019-03-03,0.24,0.26,0.24,0.26,0.26,247500.0
2019-03-04,0.27,0.295,0.26,0.26,0.26,302764.0
2019-03-05,0.27,0.27,0.265,0.27,0.27,67592.0
2019-03-06,0.27,0.285,0.27,0.27,0.27,146059.0
2019-03-07,0.28,0.285,0.28,0.285,0.285,26304.0
2019-03-10,0.285,0.3,0.285,0.29,0.29,305469.0
2019-03-11,0.305,0.31,0.305,0.305,0.305,568125.0
2019-03-12,0.31,0.33,0.3,0.3,0.3,445241.0
2019-03-13,0.305,0.32,0.3,0.3,0.3,102123.0
2019-03-14,0.305,0.305,0.3,0.3,0.3,148860.0
2019-03-17,0.3,0.3,0.285,0.285,0.285,138519.0
2019-03-18,0.28,0.28,0.275,0.275,0.275,77758.0
2019-03-19,0.275,0.275,0.27,0.27,0.27,153348.0
2019-03-20,0.27,0.27,0.27,0.27,0.27,67000.0
2019-03-21,0.27,0.27,0.265,0.265,0.265,130435.0
2019-03-24,0.265,0.265,0.26,0.26,0.26,179489.0
2019-03-25,0.25,0.255,0.25,0.255,0.255,99525.0
2019-03-26,0.26,0.265,0.255,0.255,0.255,260238.0
2019-03-27,0.255,0.26,0.255,0.26,0.26,100000.0
2019-03-28,0.265,0.265,0.265,0.265,0.265,2200.0
2019-03-31,0.27,0.27,0.265,0.265,0.265,38796.0
2019-04-01,0.255,0.255,0.255,0.255,0.255,54383.0
2019-04-02,0.255,0.255,0.255,0.255,0.255,24591.0
