Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-03,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-04,1.17,1.17,1.17,1.17,1.148225,2893.0
2012-01-05,1.26,1.26,1.17,1.17,1.148225,12608.0
2012-01-08,1.17,1.17,1.17,1.17,1.148225,0.0
2012-01-09,1.17,1.17,1.17,1.17,1.148225,5846.0
2012-01-10,1.17,1.17,1.17,1.17,1.148225,0.0
2012-01-11,1.17,1.17,1.08,1.08,1.0599,3113.0
2012-01-12,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-15,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-16,1.17,1.17,1.17,1.17,1.148225,9102.0
2012-01-17,1.17,1.17,1.17,1.17,1.148225,5400.0
2012-01-18,1.17,1.17,1.17,1.17,1.148225,0.0
2012-01-19,1.17,1.17,1.17,1.17,1.148225,0.0
2012-01-22,1.17,1.17,1.17,1.17,1.148225,0.0
2012-01-23,1.08,1.08,1.08,1.08,1.0599,5091.0
2012-01-24,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-26,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-29,,,,,,
2012-01-30,1.08,1.08,1.08,1.08,1.0599,0.0
2012-01-31,1.08,1.08,1.08,1.08,1.0599,0.0
2012-02-01,1.08,1.08,1.08,1.08,1.0599,0.0
2012-02-02,1.17,1.17,1.17,1.17,1.148225,811.0
2012-02-05,1.17,1.17,1.17,1.17,1.148225,0.0
2012-02-06,1.17,1.17,1.17,1.17,1.148225,0.0
2012-02-07,1.17,1.17,1.17,1.17,1.148225,0.0
2012-02-08,1.08,1.08,0.99,0.99,0.971575,143.0
2012-02-09,0.99,0.99,0.99,0.99,0.971575,0.0
2012-02-12,0.99,0.99,0.99,0.99,0.971575,0.0
2012-02-13,0.99,0.99,0.99,0.99,0.971575,4722.0
2012-02-14,0.99,0.99,0.99,0.99,0.971575,0.0
2012-02-15,0.99,0.99,0.99,0.99,0.971575,0.0
2012-02-16,0.9,0.9,0.9,0.9,0.88325,5556.0
2012-02-19,1.08,1.26,1.08,1.17,1.148225,43024.0
2012-02-20,1.08,1.08,1.08,1.08,1.0599,12778.0
2012-02-21,1.08,1.17,1.08,1.17,1.148225,7991.0
2012-02-22,1.08,1.08,1.08,1.08,1.0599,11111.0
2012-02-23,1.08,1.08,1.08,1.08,1.0599,0.0
2012-02-26,1.08,1.08,1.08,1.08,1.0599,0.0
2012-02-27,1.08,1.08,1.08,1.08,1.0599,0.0
2012-02-28,1.08,1.08,1.08,1.08,1.0599,0.0
2012-02-29,1.08,1.08,0.99,0.99,0.971575,6480.0
2012-03-01,0.99,0.99,0.99,0.99,0.971575,0.0
2012-03-04,0.99,0.99,0.99,0.99,0.971575,0.0
2012-03-05,0.99,0.99,0.99,0.99,0.971575,13723.0
2012-03-06,0.99,0.99,0.99,0.99,0.971575,0.0
2012-03-07,1.08,1.08,1.08,1.08,1.0599,1344.0
