Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1.88,1.99,1.88,1.99,1.864451,402198.0
2012-01-03,1.97,2.07,1.97,1.99,1.864451,782477.0
2012-01-04,1.94,2.03,1.94,2.0,1.873821,610900.0
2012-01-05,1.98,2.01,1.97,1.99,1.864451,340006.0
2012-01-08,2.0,2.05,1.945,1.99,1.864451,660319.0
2012-01-09,1.96,2.01,1.955,2.01,1.88319,1192181.0
2012-01-10,2.01,2.04,2.0,2.01,1.88319,883373.0
2012-01-11,2.01,2.02,1.985,1.995,1.869136,910598.0
2012-01-12,2.0,2.01,1.99,2.0,1.873821,544388.0
2012-01-15,1.93,2.0,1.93,1.985,1.859767,230479.0
2012-01-16,1.985,2.01,1.985,2.0,1.873821,929785.0
2012-01-17,2.0,2.1,1.99,2.03,1.901928,1697759.0
2012-01-18,2.1,2.11,1.995,2.03,1.901928,2337931.0
2012-01-19,2.07,2.07,2.01,2.03,1.901928,736026.0
2012-01-22,2.1,2.11,2.05,2.1,1.967512,837216.0
2012-01-23,2.13,2.14,2.1,2.13,1.995619,456005.0
2012-01-24,2.13,2.19,2.13,2.17,2.033095,1942620.0
2012-01-26,2.18,2.22,2.17,2.21,2.0705720000000003,1161962.0
2012-01-29,2.22,2.22,2.18,2.18,2.042464,540877.0
2012-01-30,2.18,2.19,2.14,2.15,2.014357,386959.0
2012-01-31,2.16,2.18,2.09,2.1,1.967512,807280.0
2012-02-01,2.07,2.17,2.07,2.16,2.023726,1803231.0
2012-02-02,2.16,2.21,2.13,2.2,2.061203,745353.0
2012-02-05,2.2,2.34,2.19,2.31,2.164263,1549636.0
2012-02-06,2.33,2.33,2.29,2.31,2.164263,524049.0
2012-02-07,2.28,2.32,2.28,2.32,2.173632,474912.0
2012-02-08,2.32,2.35,2.31,2.35,2.201739,1370214.0
2012-02-09,2.38,2.38,2.28,2.29,2.145525,413809.0
2012-02-12,2.28,2.29,2.25,2.29,2.145525,239115.0
2012-02-13,2.3,2.31,2.17,2.26,2.117417,772306.0
2012-02-14,2.27,2.27,2.23,2.25,2.108048,290740.0
2012-02-15,2.24,2.26,2.21,2.26,2.117417,1155735.0
2012-02-16,2.25,2.3,2.24,2.27,2.126786,354170.0
2012-02-19,2.3,2.39,2.29,2.35,2.201739,728014.0
2012-02-20,2.37,2.4,2.34,2.39,2.239216,1328794.0
2012-02-21,2.42,2.48,2.39,2.44,2.286061,1263169.0
2012-02-22,2.43,2.53,2.43,2.5,2.342276,1507212.0
2012-02-23,2.5,2.53,2.47,2.52,2.361014,1157621.0
2012-02-26,2.55,2.55,2.48,2.5,2.342276,2250969.0
2012-02-27,2.5,2.63,2.5,2.6,2.435967,1210249.0
2012-02-28,2.6,2.72,2.6,2.68,2.51092,1943040.0
2012-02-29,2.65,2.7,2.65,2.68,2.51092,1339428.0
2012-03-01,2.7,2.75,2.66,2.68,2.51092,2266005.0
