Date,Open,High,Low,Close,Adj Close,Volume
2013-04-30,0.43,0.43,0.32,0.35,0.35,169463.0
2013-05-01,0.34,0.35,0.325,0.325,0.325,86750.0
2013-05-02,0.3,0.33,0.3,0.32,0.32,122000.0
2013-05-03,0.3,0.315,0.3,0.31,0.31,39000.0
2013-05-06,0.3,0.3,0.3,0.3,0.3,21282.0
2013-05-07,0.3,0.3,0.26,0.26,0.26,55000.0
2013-05-08,0.25,0.27,0.235,0.27,0.27,186950.0
2013-05-09,0.27,0.27,0.27,0.27,0.27,29000.0
2013-05-10,0.27,0.27,0.27,0.27,0.27,2000.0
2013-05-13,0.27,0.27,0.27,0.27,0.27,100000.0
2013-05-14,0.25,0.25,0.25,0.25,0.25,37000.0
2013-05-15,0.25,0.26,0.25,0.26,0.26,55750.0
2013-05-16,0.255,0.255,0.245,0.245,0.245,95250.0
2013-05-17,0.24,0.24,0.22,0.22,0.22,148000.0
2013-05-20,0.22,0.22,0.22,0.22,0.22,194000.0
2013-05-21,0.25,0.255,0.24,0.24,0.24,259769.0
2013-05-22,0.25,0.25,0.24,0.25,0.25,152000.0
2013-05-23,0.25,0.25,0.245,0.25,0.25,180750.0
2013-05-24,0.25,0.25,0.25,0.25,0.25,54250.0
2013-05-27,0.25,0.25,0.25,0.25,0.25,6000.0
2013-05-28,0.25,0.25,0.25,0.25,0.25,321166.0
2013-05-29,0.25,0.25,0.25,0.25,0.25,127500.0
2013-05-30,0.25,0.25,0.25,0.25,0.25,64500.0
2013-05-31,0.25,0.25,0.25,0.25,0.25,80000.0
2013-06-03,0.245,0.245,0.245,0.245,0.245,10000.0
2013-06-04,0.245,0.245,0.245,0.245,0.245,0.0
2013-06-05,0.245,0.25,0.24,0.24,0.24,50000.0
2013-06-06,0.24,0.24,0.24,0.24,0.24,0.0
2013-06-07,0.24,0.25,0.24,0.25,0.25,50326.0
2013-06-11,0.25,0.25,0.25,0.25,0.25,4000.0
2013-06-12,0.25,0.25,0.24,0.24,0.24,77000.0
2013-06-13,0.245,0.25,0.23,0.23,0.23,206000.0
2013-06-14,0.23,0.23,0.23,0.23,0.23,0.0
2013-06-17,0.245,0.245,0.245,0.245,0.245,2500.0
2013-06-18,0.245,0.245,0.24,0.245,0.245,18400.0
2013-06-19,0.245,0.25,0.245,0.25,0.25,4800.0
2013-06-20,0.25,0.25,0.25,0.25,0.25,55550.0
2013-06-21,0.24,0.24,0.24,0.24,0.24,47400.0
2013-06-24,0.24,0.24,0.24,0.24,0.24,0.0
2013-06-25,0.24,0.24,0.23,0.23,0.23,39400.0
2013-06-26,0.23,0.23,0.23,0.23,0.23,0.0
2013-06-27,0.24,0.245,0.24,0.24,0.24,28021.0
2013-06-28,0.24,0.25,0.24,0.25,0.25,373720.0
2013-07-01,0.25,0.25,0.25,0.25,0.25,120000.0
2013-07-02,0.25,0.25,0.25,0.25,0.25,10000.0
2013-07-03,0.25,0.25,0.25,0.25,0.25,0.0
2013-07-04,0.23,0.245,0.23,0.245,0.245,44200.0
2013-07-05,0.245,0.25,0.245,0.25,0.25,80000.0
2013-07-08,0.245,0.245,0.245,0.245,0.245,25000.0
2013-07-09,0.24,0.24,0.24,0.24,0.24,25000.0
2013-07-10,0.24,0.24,0.24,0.24,0.24,20000.0
2013-07-11,0.24,0.24,0.24,0.24,0.24,0.0
2013-07-12,0.245,0.245,0.245,0.245,0.245,2100.0
2013-07-15,0.245,0.245,0.24,0.24,0.24,14555.0
2013-07-16,0.24,0.24,0.24,0.24,0.24,0.0
2013-07-17,0.24,0.24,0.24,0.24,0.24,0.0
2013-07-18,0.245,0.25,0.245,0.25,0.25,234941.0
2013-07-19,0.25,0.25,0.25,0.25,0.25,244500.0
2013-07-22,0.25,0.25,0.25,0.25,0.25,49240.0
2013-07-23,0.25,0.25,0.245,0.245,0.245,28333.0
2013-07-24,0.24,0.24,0.235,0.235,0.235,154084.0
2013-07-25,0.235,0.235,0.235,0.235,0.235,0.0
2013-07-26,0.235,0.235,0.235,0.235,0.235,0.0
2013-07-29,0.25,0.25,0.245,0.25,0.25,46297.0
2013-07-30,0.245,0.25,0.245,0.25,0.25,36716.0
2013-07-31,0.25,0.25,0.25,0.25,0.25,25000.0
2013-08-01,0.25,0.25,0.25,0.25,0.25,0.0
2013-08-02,0.24,0.24,0.24,0.24,0.24,18937.0
2013-08-05,0.24,0.24,0.23,0.23,0.23,42000.0
2013-08-06,0.24,0.24,0.24,0.24,0.24,33000.0
2013-08-07,0.24,0.25,0.24,0.25,0.25,11063.0
2013-08-08,0.25,0.25,0.25,0.25,0.25,42000.0
2013-08-09,0.25,0.25,0.245,0.245,0.245,102050.0
2013-08-12,0.25,0.25,0.25,0.25,0.25,218940.0
2013-08-13,0.25,0.26,0.25,0.26,0.26,122205.0
2013-08-14,0.255,0.255,0.255,0.255,0.255,24500.0
2013-08-15,0.255,0.26,0.25,0.25,0.25,117000.0
2013-08-16,0.255,0.27,0.255,0.26,0.26,131865.0
2013-08-19,0.26,0.26,0.26,0.26,0.26,0.0
2013-08-20,0.26,0.26,0.26,0.26,0.26,10000.0
2013-08-21,0.26,0.26,0.26,0.26,0.26,47250.0
2013-08-22,0.25,0.25,0.25,0.25,0.25,92000.0
2013-08-23,0.25,0.25,0.245,0.25,0.25,59439.0
2013-08-26,0.25,0.26,0.25,0.26,0.26,87311.0
2013-08-27,0.26,0.26,0.26,0.26,0.26,0.0
2013-08-28,0.26,0.26,0.26,0.26,0.26,0.0
2013-08-29,0.25,0.265,0.25,0.26,0.26,128000.0
2013-08-30,0.26,0.26,0.26,0.26,0.26,0.0
2013-09-02,0.255,0.255,0.245,0.255,0.255,57865.0
2013-09-03,0.255,0.255,0.255,0.255,0.255,59765.0
2013-09-04,0.265,0.27,0.265,0.27,0.27,425000.0
2013-09-05,0.28,0.31,0.28,0.31,0.31,1899448.0
2013-09-06,0.305,0.325,0.3,0.31,0.31,431320.0
2013-09-09,0.31,0.33,0.3,0.32,0.32,930070.0
2013-09-10,0.31,0.32,0.305,0.305,0.305,539677.0
2013-09-11,0.305,0.325,0.305,0.305,0.305,62246.0
2013-09-12,0.29,0.295,0.27,0.295,0.295,235900.0
2013-09-13,0.28,0.29,0.28,0.29,0.29,35000.0
2013-09-16,0.28,0.28,0.275,0.275,0.275,51000.0
2013-09-17,0.27,0.29,0.27,0.29,0.29,73500.0
2013-09-18,0.28,0.295,0.28,0.295,0.295,84301.0
2013-09-19,0.295,0.295,0.295,0.295,0.295,61700.0
2013-09-20,0.28,0.28,0.275,0.275,0.275,15000.0
2013-09-23,0.28,0.295,0.28,0.295,0.295,70814.0
2013-09-24,0.28,0.28,0.28,0.28,0.28,5000.0
2013-09-25,0.28,0.28,0.28,0.28,0.28,25000.0
2013-09-26,0.295,0.35,0.295,0.35,0.35,152039.0
