Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.53527,0.5839300000000001,0.53527,0.5839300000000001,0.5839300000000001,162657.0
2012-01-03,0.60826,0.6228600000000001,0.60339,0.6228600000000001,0.6228600000000001,271022.0
2012-01-04,0.6228600000000001,0.6228600000000001,0.60339,0.60339,0.60339,22927.0
2012-01-05,0.60339,0.60339,0.60339,0.60339,0.60339,0.0
2012-01-08,0.60339,0.60339,0.5839300000000001,0.5839300000000001,0.5839300000000001,55286.0
2012-01-09,0.5839300000000001,0.5887899999999999,0.5839300000000001,0.5887899999999999,0.5887899999999999,110590.0
2012-01-10,0.5887899999999999,0.5887899999999999,0.5887899999999999,0.5887899999999999,0.5887899999999999,0.0
2012-01-11,0.5887899999999999,0.5887899999999999,0.5839300000000001,0.5839300000000001,0.5839300000000001,7430.0
2012-01-12,0.5839300000000001,0.5839300000000001,0.5839300000000001,0.5839300000000001,0.5839300000000001,0.0
2012-01-15,0.5839300000000001,0.5839300000000001,0.5839300000000001,0.5839300000000001,0.5839300000000001,0.0
2012-01-16,0.5936600000000001,0.5936600000000001,0.57906,0.57906,0.57906,22862.0
2012-01-17,0.5839300000000001,0.6179899999999999,0.5839300000000001,0.6179899999999999,0.6179899999999999,10070.0
2012-01-18,0.6179899999999999,0.6179899999999999,0.6179899999999999,0.6179899999999999,0.6179899999999999,0.0
2012-01-19,0.5644600000000001,0.5839300000000001,0.5644600000000001,0.5839300000000001,0.5839300000000001,51923.0
2012-01-22,0.5839300000000001,0.5839300000000001,0.5644600000000001,0.5644600000000001,0.5644600000000001,51327.0
2012-01-23,0.5742,0.5742,0.5644600000000001,0.5742,0.5742,11677.0
2012-01-24,0.5742,0.5742,0.52554,0.5304,0.5304,57716.0
2012-01-26,0.545,0.545,0.545,0.545,0.545,0.0
2012-01-29,0.53527,0.5742,0.53527,0.54987,0.54987,17428.0
2012-01-30,0.5547300000000001,0.5547300000000001,0.5158,0.52554,0.52554,91446.0
2012-01-31,0.53527,0.53527,0.53527,0.53527,0.53527,31545.0
2012-02-01,0.5304,0.545,0.5304,0.545,0.545,154548.0
