Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,0.29,0.29,0.26,0.26,0.26,56333
2017-03-09,0.24,0.275,0.19,0.275,0.275,253135
2017-03-12,0.29,0.29,0.285,0.285,0.285,10272
2017-03-13,0.285,0.285,0.285,0.285,0.285,0
2017-03-14,0.29,0.295,0.27,0.27,0.27,134773
2017-03-15,0.27,0.285,0.27,0.285,0.285,7000
2017-03-16,0.285,0.285,0.285,0.285,0.285,0
2017-03-19,0.285,0.285,0.285,0.285,0.285,0
2017-03-20,0.285,0.285,0.285,0.285,0.285,0
2017-03-21,0.285,0.285,0.285,0.285,0.285,0
2017-03-22,0.285,0.285,0.285,0.285,0.285,0
2017-03-23,0.26,0.26,0.26,0.26,0.26,30000
2017-03-26,0.26,0.26,0.26,0.26,0.26,0
2017-03-27,0.26,0.26,0.26,0.26,0.26,0
2017-03-28,0.26,0.26,0.26,0.26,0.26,7690
2017-03-29,0.25,0.25,0.25,0.25,0.25,21967
2017-03-30,0.25,0.25,0.25,0.25,0.25,0
2017-04-03,0.25,0.25,0.25,0.25,0.25,0
2017-04-04,0.25,0.25,0.25,0.25,0.25,0
2017-04-05,0.25,0.25,0.25,0.25,0.25,0
2017-04-06,0.25,0.25,0.25,0.25,0.25,0
2017-04-07,0.25,0.25,0.25,0.25,0.25,0
2017-04-10,0.25,0.25,0.25,0.25,0.25,0
2017-04-11,0.25,0.25,0.25,0.25,0.25,0
2017-04-12,0.25,0.25,0.25,0.25,0.25,0
2017-04-13,0.25,0.25,0.25,0.25,0.25,0
2017-04-18,0.25,0.25,0.25,0.25,0.25,0
2017-04-19,0.25,0.25,0.25,0.25,0.25,0
2017-04-20,0.25,0.25,0.25,0.25,0.25,0
2017-04-21,0.25,0.25,0.25,0.25,0.25,0
2017-04-24,0.25,0.25,0.25,0.25,0.25,0
2017-04-26,0.25,0.25,0.25,0.25,0.25,0
2017-04-27,0.25,0.25,0.25,0.25,0.25,0
2017-04-28,0.25,0.25,0.25,0.25,0.25,0
2017-05-01,0.25,0.25,0.25,0.25,0.25,0
2017-05-02,0.25,0.25,0.25,0.25,0.25,0
2017-05-03,0.25,0.25,0.25,0.25,0.25,0
2017-05-04,0.25,0.25,0.25,0.25,0.25,0
2017-05-05,0.25,0.25,0.25,0.25,0.25,0
2017-05-08,0.18,0.18,0.16,0.175,0.175,48075
2017-05-09,0.175,0.175,0.175,0.175,0.175,6667
2017-05-10,0.18,0.18,0.175,0.175,0.175,23334
2017-05-11,0.175,0.175,0.175,0.175,0.175,0
2017-05-12,0.185,0.185,0.18,0.18,0.18,104185
2017-05-15,0.18,0.18,0.18,0.18,0.18,20000
2017-05-16,0.18,0.18,0.18,0.18,0.18,0
2017-05-17,0.18,0.18,0.18,0.18,0.18,16334
2017-05-18,0.18,0.18,0.18,0.18,0.18,32310
2017-05-19,0.18,0.18,0.18,0.18,0.18,16719
