Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,1.4,1.4,1.315,1.33,1.289389,460278.0
2012-01-03,1.34,1.38,1.33,1.365,1.323321,494280.0
2012-01-04,1.365,1.365,1.33,1.35,1.308779,151949.0
2012-01-05,1.35,1.35,1.33,1.35,1.308779,197639.0
2012-01-08,1.35,1.36,1.33,1.34,1.299084,131429.0
2012-01-09,1.32,1.33,1.32,1.33,1.289389,301585.0
2012-01-10,1.33,1.33,1.3,1.31,1.27,499480.0
2012-01-11,1.31,1.325,1.295,1.3,1.260305,155516.0
2012-01-12,1.305,1.33,1.3,1.315,1.2748469999999998,410798.0
2012-01-15,1.325,1.33,1.3,1.3,1.260305,231780.0
2012-01-16,1.305,1.33,1.305,1.315,1.2748469999999998,136869.0
2012-01-17,1.315,1.33,1.31,1.33,1.289389,255344.0
2012-01-18,1.335,1.36,1.33,1.35,1.308779,219982.0
2012-01-19,1.37,1.39,1.36,1.39,1.347557,268584.0
2012-01-22,1.385,1.385,1.355,1.365,1.323321,121380.0
2012-01-23,1.35,1.37,1.325,1.325,1.284542,114169.0
2012-01-24,1.325,1.36,1.325,1.34,1.299084,196633.0
2012-01-26,1.4,1.46,1.39,1.46,1.41542,1958259.0
2012-01-29,1.48,1.495,1.44,1.445,1.400878,202374.0
2012-01-30,1.44,1.45,1.41,1.41,1.366947,233570.0
2012-01-31,1.415,1.42,1.395,1.405,1.362099,268512.0
2012-02-01,1.405,1.405,1.39,1.395,1.352405,2078301.0
2012-02-02,1.405,1.415,1.395,1.4,1.357252,470547.0
2012-02-05,1.39,1.42,1.385,1.41,1.366947,392990.0
2012-02-06,1.415,1.43,1.405,1.425,1.381489,444752.0
2012-02-07,1.43,1.44,1.415,1.415,1.371794,142857.0
2012-02-08,1.405,1.405,1.385,1.39,1.347557,264018.0
2012-02-09,1.38,1.38,1.335,1.345,1.303931,399151.0
2012-02-12,1.335,1.34,1.33,1.33,1.289389,227285.0
2012-02-13,1.33,1.33,1.31,1.32,1.279695,383149.0
2012-02-14,1.31,1.32,1.3,1.305,1.265153,492840.0
2012-02-15,1.305,1.31,1.295,1.295,1.255458,344521.0
2012-02-16,1.3,1.31,1.3,1.3,1.260305,395408.0
2012-02-19,1.3,1.35,1.3,1.32,1.279695,128092.0
