Date,Open,High,Low,Close,Adj Close,Volume
2018-07-17,,,,,,
2018-07-18,0.26,0.375,0.25,0.36,0.36,53774992.0
2018-07-19,0.36,0.375,0.315,0.315,0.315,14910976.0
2018-07-20,0.325,0.385,0.315,0.38,0.38,25719881.0
2018-07-23,0.39,0.405,0.355,0.355,0.355,14848059.0
2018-07-24,0.36,0.365,0.335,0.335,0.335,5099906.0
2018-07-25,0.34,0.385,0.335,0.335,0.335,13226871.0
2018-07-26,0.34,0.345,0.325,0.325,0.325,3593143.0
2018-07-27,0.335,0.335,0.325,0.33,0.33,1662928.0
2018-07-30,0.325,0.345,0.325,0.33,0.33,1773551.0
2018-07-31,0.335,0.335,0.32,0.32,0.32,1748111.0
2018-08-01,0.32,0.33,0.31,0.31,0.31,1696158.0
2018-08-02,0.315,0.32,0.28,0.28,0.28,3320310.0
2018-08-03,0.29,0.295,0.285,0.29,0.29,1101849.0
2018-08-06,0.295,0.305,0.29,0.295,0.295,835104.0
2018-08-07,0.295,0.3,0.285,0.3,0.3,899053.0
2018-08-08,0.3,0.31,0.297,0.305,0.305,972176.0
2018-08-09,0.31,0.325,0.31,0.315,0.315,1611166.0
2018-08-10,0.315,0.315,0.305,0.31,0.31,760489.0
2018-08-13,0.315,0.315,0.3,0.315,0.315,890890.0
2018-08-14,0.315,0.335,0.31,0.335,0.335,1827879.0
2018-08-15,0.34,0.35,0.325,0.325,0.325,3454891.0
2018-08-16,0.325,0.335,0.325,0.335,0.335,409862.0
2018-08-17,0.335,0.345,0.335,0.345,0.345,696915.0
2018-08-20,0.35,0.36,0.35,0.355,0.355,1674035.0
2018-08-21,0.35,0.355,0.34,0.345,0.345,482647.0
2018-08-22,0.35,0.392,0.35,0.37,0.37,5810464.0
2018-08-23,0.375,0.395,0.35,0.355,0.355,3310078.0
2018-08-24,0.36,0.365,0.355,0.36,0.36,780387.0
2018-08-27,0.365,0.37,0.36,0.36,0.36,780200.0
2018-08-28,0.36,0.365,0.355,0.365,0.365,784252.0
2018-08-29,0.365,0.375,0.36,0.375,0.375,1163709.0
2018-08-30,0.375,0.435,0.375,0.435,0.435,6095067.0
2018-08-31,0.45,0.475,0.45,0.47,0.47,3612916.0
2018-09-03,0.47,0.47,0.425,0.435,0.435,3293595.0
2018-09-04,0.44,0.58,0.44,0.58,0.58,7805599.0
2018-09-05,0.58,0.645,0.56,0.57,0.57,14043155.0
2018-09-06,0.545,0.575,0.52,0.535,0.535,4999514.0
2018-09-07,0.545,0.62,0.535,0.605,0.605,5434085.0
2018-09-10,0.62,0.685,0.62,0.66,0.66,6079958.0
2018-09-11,0.665,0.78,0.665,0.78,0.78,7755583.0
2018-09-12,0.835,0.87,0.69,0.73,0.73,16933743.0
2018-09-13,0.69,0.725,0.66,0.675,0.675,5399573.0
2018-09-14,0.675,0.77,0.675,0.75,0.75,4464235.0
2018-09-17,0.745,0.82,0.725,0.78,0.78,6755936.0
2018-09-18,0.785,0.825,0.7,0.705,0.705,5778666.0
2018-09-19,0.74,0.755,0.715,0.725,0.725,2932349.0
2018-09-20,0.745,0.75,0.685,0.69,0.69,2016925.0
2018-09-21,0.69,0.69,0.555,0.58,0.58,7065966.0
2018-09-24,0.57,0.6,0.53,0.58,0.58,3210282.0
2018-09-25,0.58,0.59,0.545,0.545,0.545,1364628.0
2018-09-26,0.55,0.56,0.5,0.5,0.5,2288772.0
2018-09-27,0.55,0.635,0.52,0.615,0.615,8560745.0
2018-09-28,0.615,0.665,0.595,0.63,0.63,3968176.0
2018-10-01,0.63,0.67,0.615,0.645,0.645,1194833.0
2018-10-02,0.64,0.655,0.615,0.625,0.625,869685.0
2018-10-03,0.61,0.61,0.565,0.59,0.59,1728965.0
2018-10-04,0.58,0.59,0.57,0.59,0.59,270196.0
