Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.029,0.029,0.029,0.029,0.029,0.0
2012-01-03,0.028,0.028,0.028,0.028,0.028,158200.0
2012-01-04,0.028,0.028,0.027000000000000003,0.027000000000000003,0.027000000000000003,518673.0
2012-01-05,0.027000000000000003,0.027000000000000003,0.026,0.026,0.026,1108129.0
2012-01-08,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,623971.0
2012-01-09,0.027000000000000003,0.028,0.026,0.028,0.028,1991792.0
2012-01-10,0.029,0.03,0.028,0.029,0.029,3469331.0
2012-01-11,0.029,0.03,0.028,0.028,0.028,1426240.0
2012-01-12,0.029,0.029,0.029,0.029,0.029,950620.0
2012-01-15,0.029,0.029,0.029,0.029,0.029,0.0
2012-01-16,0.028,0.028,0.028,0.028,0.028,846900.0
2012-01-17,0.028,0.03,0.028,0.029,0.029,1929624.0
2012-01-18,0.028,0.031,0.028,0.031,0.031,6162256.0
2012-01-19,0.03,0.031,0.029,0.029,0.029,15398000.0
2012-01-22,0.029,0.03,0.028,0.028,0.028,7484777.0
2012-01-23,0.028,0.029,0.028,0.028,0.028,584550.0
2012-01-24,0.028,0.029,0.028,0.028,0.028,2457600.0
2012-01-26,0.028,0.028,0.027000000000000003,0.027000000000000003,0.027000000000000003,549000.0
2012-01-29,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,1169000.0
2012-01-30,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,996290.0
2012-01-31,0.027000000000000003,0.027000000000000003,0.026,0.026,0.026,1877000.0
2012-02-01,0.027000000000000003,0.027000000000000003,0.026,0.027000000000000003,0.027000000000000003,1480888.0
2012-02-02,0.027000000000000003,0.027000000000000003,0.026,0.027000000000000003,0.027000000000000003,2627012.0
2012-02-05,0.027000000000000003,0.027000000000000003,0.026,0.026,0.026,1760000.0
2012-02-06,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,120450.0
2012-02-07,0.026,0.026,0.026,0.026,0.026,3775000.0
2012-02-08,0.026,0.027000000000000003,0.026,0.026,0.026,2355470.0
2012-02-09,0.027000000000000003,0.027000000000000003,0.026,0.026,0.026,617959.0
2012-02-12,0.026,0.027000000000000003,0.026,0.027000000000000003,0.027000000000000003,3775001.0
2012-02-13,0.026,0.027000000000000003,0.026,0.027000000000000003,0.027000000000000003,1065000.0
2012-02-14,0.026,0.026,0.025,0.025,0.025,6414177.0
2012-02-15,0.027000000000000003,0.029,0.026,0.026,0.026,32890502.0
2012-02-16,0.026,0.026,0.025,0.025,0.025,8499333.0
2012-02-19,0.025,0.025,0.024,0.025,0.025,8869178.0
2012-02-20,0.026,0.026,0.025,0.025,0.025,5655627.0
2012-02-21,0.025,0.025,0.024,0.024,0.024,9282139.0
2012-02-22,0.024,0.024,0.023,0.023,0.023,18525586.0
2012-02-23,0.023,0.023,0.022,0.022,0.022,6385000.0
2012-02-26,0.023,0.023,0.022,0.023,0.023,12337533.0
2012-02-27,0.023,0.023,0.021,0.022,0.022,8612312.0
2012-02-28,0.023,0.023,0.022,0.022,0.022,3750913.0
2012-02-29,0.022,0.022,0.022,0.022,0.022,2950000.0
2012-03-01,0.022,0.023,0.022,0.023,0.023,1504666.0
2012-03-04,0.022,0.023,0.022,0.023,0.023,1970500.0
2012-03-05,0.023,0.023,0.022,0.022,0.022,795000.0
2012-03-06,0.023,0.023,0.023,0.023,0.023,0.0
2012-03-07,0.023,0.023,0.023,0.023,0.023,813477.0
2012-03-08,0.023,0.023,0.022,0.022,0.022,768116.0
2012-03-11,0.022,0.024,0.022,0.024,0.024,12513983.0
2012-03-12,0.024,0.025,0.024,0.025,0.025,9802101.0
