Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,5.96,5.96,5.92,5.92,4.219588,11121.0
2012-01-03,5.92,6.0,5.9,5.9,4.205334,19010.0
2012-01-04,5.9,5.9,5.9,5.9,4.205334,0.0
2012-01-05,5.9,5.9,5.9,5.9,4.205334,360.0
2012-01-08,5.91,5.91,5.91,5.91,4.212461,300.0
2012-01-09,5.91,5.91,5.91,5.91,4.212461,0.0
2012-01-10,5.91,5.91,5.91,5.91,4.212461,300.0
2012-01-11,5.91,5.91,5.9,5.91,4.212461,3109.0
2012-01-12,5.91,6.0,5.91,6.0,4.27661,9100.0
2012-01-15,6.0,6.04,6.0,6.04,4.30512,7014.0
2012-01-16,6.0,6.04,6.0,6.04,4.30512,6000.0
2012-01-17,6.01,6.04,5.95,6.04,4.30512,4359.0
2012-01-18,6.1,6.2,6.1,6.2,4.419163,13778.0
2012-01-19,6.2,6.2,6.19,6.2,4.419163,8350.0
2012-01-22,6.19,6.2,6.19,6.2,4.419163,4225.0
2012-01-23,6.2,6.22,6.19,6.2,4.419163,16055.0
2012-01-24,6.22,6.27,6.22,6.27,4.469057,3798.0
2012-01-26,6.27,6.27,6.27,6.27,4.469057,1200.0
2012-01-29,6.32,6.32,6.3,6.3,4.4904410000000015,1257.0
2012-01-30,6.28,6.28,6.27,6.27,4.469057,7800.0
2012-01-31,6.25,6.25,6.19,6.19,4.412036,6950.0
2012-02-01,6.19,6.25,6.19,6.25,4.454801,7040.0
2012-02-02,6.25,6.25,6.25,6.25,4.454801,0.0
2012-02-05,6.25,6.25,6.25,6.25,4.454801,2475.0
2012-02-06,6.2,6.25,6.2,6.2,4.419163,11300.0
2012-02-07,6.2,6.2,6.2,6.2,4.419163,4699.0
2012-02-08,6.25,6.32,6.25,6.32,4.504696,5246.0
2012-02-09,6.34,6.4,6.34,6.35,4.526079,11010.0
2012-02-12,6.35,6.49,6.35,6.49,4.625866,10931.0
2012-02-13,6.45,6.51,6.45,6.51,4.640122,36506.0
2012-02-14,6.5,6.91,6.5,6.91,4.925229,25625.0
2012-02-15,6.55,6.9,6.5,6.77,4.825442,17899.0
2012-02-16,6.77,6.8,6.77,6.8,4.846824,4137.0
2012-02-19,6.79,6.8,6.79,6.8,4.846824,16851.0
2012-02-20,6.8,7.0,6.8,7.0,4.989378,6233.0
2012-02-21,7.0,7.07,6.96,7.06,5.032145,21586.0
2012-02-22,7.55,7.59,7.1,7.1,5.060656,30000.0
2012-02-23,7.2,7.2,6.9,6.94,4.946612,25031.0
2012-02-26,6.94,6.97,6.94,6.95,4.953741,13071.0
2012-02-27,6.97,7.0,6.9,6.9,4.918101,12037.0
2012-02-28,6.95,7.0,6.91,7.0,4.989378,11501.0
2012-02-29,6.9,7.02,6.9,7.0,4.989378,61576.0
2012-03-01,7.1,7.25,7.1,7.25,5.167571,10001.0
2012-03-04,7.23,7.3,7.2,7.2,5.131931,12125.0
2012-03-05,7.3,7.3,7.14,7.14,5.089165,9317.0
2012-03-06,7.16,7.17,7.1,7.15,5.096293,47326.0
2012-03-07,7.16,7.16,7.12,7.12,5.074911,19939.0
2012-03-08,7.12,7.19,7.05,7.05,5.025017,24600.0
2012-03-11,7.1,7.1,7.1,7.1,5.060656,14685.0
2012-03-12,7.1,7.1,7.07,7.07,5.039272,25631.0
2012-03-13,7.15,7.15,7.07,7.08,5.046399,124313.0
2012-03-14,7.12,7.16,7.12,7.15,5.096293,45500.0
2012-03-15,7.18,7.23,7.15,7.22,5.146187,40562.0
2012-03-18,7.23,7.29,7.22,7.22,5.146187,14495.0
2012-03-19,7.23,7.28,7.23,7.23,5.153315,11853.0
2012-03-20,7.23,7.25,7.23,7.25,5.167571,16231.0
2012-03-21,7.28,7.31,7.24,7.25,5.167571,216937.0
2012-03-22,7.23,7.33,7.2,7.33,5.2245919999999995,735189.0
2012-03-25,7.33,7.48,7.16,7.16,5.103421,57432.0
2012-03-26,7.21,7.39,7.21,7.39,5.357142,24459.0
2012-03-27,7.38,7.47,7.3,7.47,5.415135,64455.0
2012-03-28,7.41,7.41,7.31,7.31,5.299149,2950.0
2012-03-29,7.31,7.31,7.31,7.31,5.299149,0.0
2012-04-02,7.42,7.49,7.4,7.49,5.429634,41903.0
2012-04-03,7.49,7.5,7.49,7.5,5.436883,36290.0
2012-04-04,7.49,7.49,7.38,7.4,5.364392,18151.0
2012-04-05,7.4,7.4,7.31,7.38,5.349894,5833.0
2012-04-10,7.31,7.39,7.31,7.38,5.349894,5726.0
2012-04-11,7.38,7.44,7.38,7.44,5.393388,151500.0
2012-04-12,7.39,7.39,7.15,7.25,5.255654,21445.0
2012-04-13,7.16,7.17,7.08,7.12,5.161416,14231.0
2012-04-16,7.12,7.19,7.12,7.19,5.212159,2613.0
2012-04-17,7.2,7.2,7.17,7.19,5.212159,4688.0
2012-04-18,7.3,7.3,7.28,7.28,5.277401,2949.0
2012-04-19,7.28,7.28,7.26,7.26,5.262903,7902.0
2012-04-20,7.26,7.28,7.18,7.2,5.219407,9355.0
2012-04-23,7.24,7.34,7.24,7.34,5.320896,9940.0
2012-04-24,7.28,7.34,7.28,7.34,5.320896,2014.0
2012-04-26,7.32,7.33,7.3,7.32,5.306399,11778.0
2012-04-27,7.32,7.32,7.29,7.32,5.306399,7749.0
2012-04-30,7.3,7.32,7.2,7.2,5.219407,4666.0
2012-05-01,7.21,7.32,7.21,7.32,5.306399,3512.0
2012-05-02,7.32,7.32,7.32,7.32,5.306399,2486.0
2012-05-03,7.26,7.26,7.26,7.26,5.262903,3573.0
2012-05-04,7.23,7.23,7.01,7.08,5.132417,34884.0
2012-05-07,7.01,7.09,6.65,6.68,4.8424510000000005,80041.0
2012-05-08,6.72,6.79,6.61,6.61,4.791707,15552.0
2012-05-09,6.61,6.62,6.35,6.35,4.603228,32912.0
2012-05-10,6.35,6.36,6.34,6.35,4.603228,34473.0
2012-05-11,6.35,6.46,6.34,6.46,4.68297,40656.0
2012-05-14,6.46,6.49,6.35,6.35,4.603228,6127.0
2012-05-15,6.44,6.75,6.43,6.55,4.748211,27582.0
2012-05-16,6.62,6.67,6.49,6.55,4.748211,26120.0
2012-05-17,6.55,6.6,6.5,6.55,4.748211,28376.0
2012-05-18,6.51,6.51,6.3,6.31,4.574232,37790.0
2012-05-21,6.4,6.43,6.29,6.3,4.566982,42179.0
2012-05-22,6.32,6.4,6.32,6.4,4.639474,38677.0
2012-05-23,6.4,6.4,6.4,6.4,4.639474,5170.0
2012-05-24,6.35,6.4,6.3,6.4,4.639474,19166.0
2012-05-25,6.4,6.4,6.4,6.4,4.639474,2600.0
2012-05-28,6.4,6.55,6.4,6.5,4.711965,13804.0
2012-05-29,6.55,6.58,6.5,6.55,4.748211,12309.0
2012-05-30,6.55,6.57,6.5,6.55,4.748211,39035.0
2012-05-31,6.55,6.55,6.4,6.4,4.639474,3645.0
2012-06-01,6.45,6.45,6.41,6.42,4.6539730000000015,758.0
2012-06-04,6.41,6.43,6.36,6.36,4.6104769999999995,32980.0
2012-06-05,6.4,6.4,6.35,6.35,4.603228,7287.0
2012-06-06,6.35,6.4,6.3,6.4,4.639474,7682.0
2012-06-07,6.4,6.55,6.4,6.55,4.748211,26207.0
2012-06-08,6.55,6.55,6.54,6.55,4.748211,280579.0
2012-06-12,6.56,6.9,6.56,6.83,4.951188,5101.0
2012-06-13,6.83,6.9,6.79,6.89,4.994683,37328.0
2012-06-14,6.95,7.11,6.84,6.87,4.980185,23885.0
2012-06-15,6.85,6.9,6.8,6.8,4.9294410000000015,5596.0
2012-06-18,6.81,6.81,6.75,6.75,4.8931949999999995,7308.0
2012-06-19,6.75,6.75,6.71,6.71,4.864199,5706.0
2012-06-20,6.66,6.71,6.65,6.71,4.864199,14461.0
2012-06-21,6.71,6.71,6.7,6.7,4.856949,2887.0
2012-06-22,6.65,6.74,6.65,6.74,4.8859449999999995,8600.0
2012-06-25,6.71,6.71,6.65,6.65,4.820704,5601.0
2012-06-26,6.61,6.64,6.6,6.63,4.806204,11369.0
2012-06-27,6.63,6.65,6.56,6.65,4.820704,10730.0
2012-06-28,6.65,6.65,6.65,6.65,4.820704,0.0
2012-06-29,6.67,6.67,6.65,6.67,4.8352010000000005,2669.0
2012-07-02,6.74,6.99,6.74,6.99,5.067175,12039.0
2012-07-03,6.99,6.99,6.99,6.99,5.067175,0.0
2012-07-04,6.87,7.01,6.87,7.0,5.074424,8576.0
2012-07-05,7.01,7.05,7.01,7.04,5.103422,14302.0
2012-07-06,7.05,7.1,7.0,7.0,5.074424,8033.0
2012-07-09,7.05,7.07,7.0,7.0,5.074424,6080.0
2012-07-10,6.99,7.1,6.99,7.1,5.146916,2100.0
2012-07-11,7.09,7.09,7.06,7.06,5.11792,2225.0
2012-07-12,7.0,7.0,6.92,6.92,5.0164300000000015,86304.0
2012-07-13,6.95,7.0,6.87,6.93,5.0236800000000015,14623.0
2012-07-16,6.95,6.95,6.9,6.9,5.001933,4430.0
2012-07-17,6.92,7.0,6.87,6.91,5.009182,6731.0
2012-07-18,6.9,6.92,6.9,6.91,5.009182,4610.0
2012-07-19,6.87,6.87,6.76,6.85,4.965686,21164.0
2012-07-20,6.91,7.0,6.91,7.0,5.074424,10210.0
2012-07-23,6.8,6.8,6.77,6.8,4.9294410000000015,8333.0
2012-07-24,6.77,6.77,6.7,6.7,4.856949,16503.0
2012-07-25,6.7,6.8,6.62,6.74,4.8859449999999995,10512.0
2012-07-26,6.61,6.8,6.61,6.7,4.856949,6107.0
2012-07-27,6.7,6.7,6.7,6.7,4.856949,289.0
2012-07-30,6.75,6.75,6.7,6.7,4.856949,6000.0
2012-07-31,6.8,6.8,6.65,6.65,4.820704,12284.0
2012-08-01,6.65,6.65,6.6,6.6,4.784457,20604.0
2012-08-02,6.63,6.79,6.6,6.75,4.8931949999999995,25213.0
2012-08-03,6.79,6.8,6.7,6.7,4.856949,9646.0
2012-08-06,6.98,6.98,6.98,6.98,5.059926,1000.0
2012-08-07,6.8,6.84,6.79,6.8,4.9294410000000015,13843.0
2012-08-08,6.95,6.95,6.79,6.79,4.922192,4150.0
2012-08-09,6.8,6.81,6.8,6.81,4.9366900000000005,200924.0
2012-08-10,6.81,6.81,6.81,6.81,4.9366900000000005,0.0
2012-08-13,6.86,6.87,6.85,6.85,4.965686,12436.0
2012-08-14,6.9,7.0,6.9,6.98,5.059926,9347.0
2012-08-15,6.98,7.0,6.9,6.9,5.001933,9485.0
2012-08-16,6.94,6.99,6.9,6.9,5.001933,6679.0
2012-08-17,6.92,6.92,6.87,6.9,5.001933,8429.0
2012-08-20,6.99,7.03,6.95,7.02,5.088923,3103.0
2012-08-21,6.95,7.02,6.95,7.02,5.088923,4810.0
2012-08-22,7.02,7.02,7.02,7.02,5.088923,5305.0
2012-08-23,7.04,7.13,7.04,7.13,5.168664,10292.0
2012-08-24,7.14,7.14,6.95,7.0,5.074424,19930.0
2012-08-27,7.07,7.18,7.0,7.0,5.074424,14319.0
2012-08-28,7.0,7.05,7.0,7.03,5.096171,14690.0
2012-08-29,7.05,7.15,7.02,7.1,5.146916,23269.0
2012-08-30,7.02,7.05,6.95,7.05,5.110671,29615.0
2012-08-31,7.0,7.0,6.88,6.92,5.0164300000000015,21654.0
2012-09-03,6.95,6.95,6.82,6.86,4.972936,22410.0
2012-09-04,6.79,6.79,6.76,6.76,4.9004449999999995,5336.0
2012-09-05,6.73,6.73,5.75,6.02,4.3640050000000015,138494.0
2012-09-06,6.05,6.19,6.03,6.19,4.487241,46467.0
2012-09-07,6.23,6.45,6.2,6.34,4.595979,73521.0
2012-09-10,6.34,6.64,6.32,6.64,4.813454,29881.0
2012-09-11,6.64,6.64,6.46,6.47,4.690217,31306.0
2012-09-12,6.55,6.55,6.49,6.55,4.748211,27447.0
2012-09-13,6.54,6.7,6.54,6.57,4.76271,32252.0
2012-09-14,6.6,6.62,6.5,6.5,4.711965,37182.0
2012-09-17,6.49,6.55,6.41,6.45,4.675719,20606.0
2012-09-18,6.47,6.56,6.42,6.5,4.711965,15617.0
2012-09-19,6.54,6.56,6.51,6.51,4.719214,15420.0
2012-09-20,6.55,6.65,6.55,6.58,4.769958,60059.0
2012-09-21,6.58,6.6,6.52,6.52,4.726463,158370.0
2012-09-24,6.58,6.6,6.51,6.55,4.748211,27128.0
2012-09-25,6.47,6.47,6.39,6.39,4.785657,5796.0
2012-09-26,6.39,6.39,6.28,6.3,4.718254,23521.0
2012-09-27,6.3,6.3,6.25,6.25,4.680808,3470.0
2012-09-28,6.25,6.25,6.12,6.19,4.635872,20183.0
2012-10-01,6.15,6.2,6.15,6.19,4.635872,29438.0
2012-10-02,6.17,6.19,6.0,6.0,4.651376,72110.0
2012-10-03,6.01,6.03,5.83,5.98,4.635872,71909.0
2012-10-04,5.98,6.19,5.95,6.19,4.7986699999999995,20670.0
2012-10-05,6.19,6.37,6.1,6.37,4.938211,17740.0
2012-10-07,6.3,6.37,6.17,6.37,4.938211,3624.0
2012-10-08,6.35,6.35,6.35,6.35,4.922707,3333.0
2012-10-09,6.25,6.35,6.25,6.35,4.922707,6280.0
2012-10-10,6.34,6.34,6.2,6.2,4.806422,89793.0
2012-10-11,6.12,6.3,6.03,6.05,4.690138,36207.0
2012-10-14,6.05,6.05,5.87,5.89,4.5661010000000015,97360.0
2012-10-15,5.89,6.02,5.89,5.99,4.643624,61192.0
2012-10-16,5.99,6.1,5.98,6.0,4.651376,57929.0
2012-10-17,6.0,6.05,5.98,6.05,4.690138,27181.0
2012-10-18,6.0,6.03,5.98,5.98,4.635872,62430.0
2012-10-21,5.97,6.0,5.95,5.99,4.643624,48823.0
2012-10-22,5.99,6.0,5.99,6.0,4.651376,90992.0
2012-10-23,5.99,6.0,5.98,5.99,4.643624,24193.0
2012-10-24,5.98,6.0,5.97,5.99,4.643624,12746.0
2012-10-25,6.0,6.08,6.0,6.08,4.7133949999999984,13675.0
2012-10-28,6.15,6.25,6.12,6.15,4.767661,31199.0
2012-10-29,6.14,6.15,6.11,6.15,4.767661,14812.0
2012-10-30,6.13,6.15,6.1,6.13,4.752155,12235.0
2012-10-31,6.06,6.11,6.03,6.1,4.7289,14222.0
2012-11-01,6.07,6.12,6.07,6.1,4.7289,32345.0
2012-11-04,6.07,6.1,6.0,6.05,4.690138,25090.0
2012-11-05,6.1,6.19,6.1,6.13,4.752155,10655.0
2012-11-06,6.16,6.3,6.16,6.29,4.876193,18296.0
