Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-03,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-04,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-05,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-08,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-09,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-10,0.08,0.08,0.08,0.08,0.08,98500.0
2012-01-11,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-12,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-15,0.07,0.07,0.07,0.07,0.07,10839.0
2012-01-16,0.07,0.07,0.07,0.07,0.07,0.0
2012-01-17,0.08,0.08,0.08,0.08,0.08,123000.0
2012-01-18,0.08,0.08,0.08,0.08,0.08,8661.0
2012-01-19,0.08,0.08,0.08,0.08,0.08,0.0
2012-01-22,0.075,0.075,0.075,0.075,0.075,78705.0
2012-01-23,0.08,0.08,0.08,0.08,0.08,25000.0
2012-01-24,0.075,0.075,0.075,0.075,0.075,0.0
2012-01-26,0.075,0.075,0.075,0.075,0.075,21295.0
2012-01-29,,,,,,
2012-01-30,0.07,0.075,0.07,0.07,0.07,108705.0
2012-01-31,0.07,0.07,0.07,0.07,0.07,0.0
2012-02-01,0.07,0.07,0.07,0.07,0.07,0.0
2012-02-02,0.07,0.07,0.07,0.07,0.07,0.0
2012-02-05,0.07,0.07,0.07,0.07,0.07,100000.0
2012-02-06,0.07,0.07,0.07,0.07,0.07,60000.0
2012-02-07,0.075,0.075,0.075,0.075,0.075,11428.0
2012-02-08,0.075,0.075,0.075,0.075,0.075,80000.0
2012-02-09,0.075,0.075,0.075,0.075,0.075,0.0
2012-02-12,0.075,0.075,0.075,0.075,0.075,13572.0
2012-02-13,0.075,0.075,0.075,0.075,0.075,0.0
2012-02-14,0.07400000000000001,0.07400000000000001,0.07,0.07,0.07,119970.0
2012-02-15,0.07,0.07,0.07,0.07,0.07,0.0
2012-02-16,0.07,0.07,0.06,0.06,0.06,120030.0
2012-02-19,0.062,0.065,0.062,0.065,0.065,100000.0
2012-02-20,0.065,0.065,0.064,0.064,0.064,55000.0
2012-02-21,0.064,0.064,0.064,0.064,0.064,65000.0
2012-02-22,0.064,0.064,0.064,0.064,0.064,0.0
2012-02-23,0.066,0.066,0.066,0.066,0.066,15000.0
2012-02-26,0.066,0.066,0.065,0.065,0.065,50000.0
2012-02-27,0.065,0.065,0.065,0.065,0.065,0.0
2012-02-28,0.066,0.07,0.066,0.07,0.07,246000.0
2012-02-29,0.07,0.07,0.066,0.066,0.066,387940.0
2012-03-01,0.066,0.066,0.066,0.066,0.066,0.0
2012-03-04,0.065,0.065,0.065,0.065,0.065,50000.0
2012-03-05,0.066,0.066,0.066,0.066,0.066,0.0
2012-03-06,0.065,0.065,0.06,0.06,0.06,75000.0
2012-03-07,0.061,0.061,0.056,0.056,0.056,250000.0
2012-03-08,0.056,0.056,0.056,0.056,0.056,0.0
2012-03-11,0.056,0.056,0.056,0.056,0.056,0.0
2012-03-12,0.06,0.063,0.06,0.063,0.063,150000.0
2012-03-13,0.06,0.06,0.06,0.06,0.06,100000.0
2012-03-14,0.06,0.06,0.06,0.06,0.06,250000.0
2012-03-15,0.063,0.063,0.063,0.063,0.063,0.0
2012-03-18,0.059,0.059,0.059,0.059,0.059,200000.0
2012-03-19,0.063,0.063,0.063,0.063,0.063,0.0
2012-03-20,0.063,0.063,0.063,0.063,0.063,0.0
2012-03-21,0.063,0.063,0.063,0.063,0.063,137000.0
2012-03-22,0.063,0.063,0.063,0.063,0.063,0.0
2012-03-25,0.063,0.063,0.063,0.063,0.063,0.0
2012-03-26,0.065,0.068,0.065,0.068,0.068,73182.0
2012-03-27,0.07,0.07,0.07,0.07,0.07,196488.0
2012-03-28,0.07,0.07,0.07,0.07,0.07,198000.0
2012-03-29,0.07,0.07,0.07,0.07,0.07,300000.0
2012-04-02,0.07,0.07,0.069,0.07,0.07,161791.0
2012-04-03,0.07,0.07,0.07,0.07,0.07,0.0
2012-04-04,0.07,0.07,0.07,0.07,0.07,107000.0
2012-04-05,0.07,0.07,0.07,0.07,0.07,14000.0
2012-04-10,0.07,0.07,0.07,0.07,0.07,0.0
2012-04-11,0.07,0.07,0.07,0.07,0.07,0.0
2012-04-12,0.07,0.07,0.07,0.07,0.07,7000.0
2012-04-13,0.069,0.069,0.068,0.069,0.069,100000.0
2012-04-16,0.069,0.069,0.069,0.069,0.069,50000.0
2012-04-17,0.069,0.069,0.069,0.069,0.069,0.0
2012-04-18,0.069,0.069,0.069,0.069,0.069,28424.0
2012-04-19,0.065,0.065,0.061,0.061,0.061,100000.0
2012-04-20,0.061,0.061,0.061,0.061,0.061,0.0
2012-04-23,0.061,0.061,0.061,0.061,0.061,0.0
2012-04-24,0.061,0.061,0.061,0.061,0.061,0.0
2012-04-26,0.061,0.061,0.061,0.061,0.061,50000.0
2012-04-27,0.065,0.069,0.065,0.065,0.065,79183.0
2012-04-30,0.065,0.065,0.065,0.065,0.065,0.0
2012-05-01,0.065,0.065,0.065,0.065,0.065,75000.0
2012-05-02,0.065,0.065,0.065,0.065,0.065,1924.0
2012-05-03,0.065,0.065,0.065,0.065,0.065,0.0
2012-05-04,0.065,0.065,0.065,0.065,0.065,0.0
2012-05-07,0.059,0.059,0.059,0.059,0.059,305000.0
2012-05-08,0.059,0.059,0.059,0.059,0.059,0.0
2012-05-09,0.059,0.059,0.059,0.059,0.059,0.0
2012-05-10,0.057,0.057,0.052000000000000005,0.052000000000000005,0.052000000000000005,159960.0
2012-05-11,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.0
2012-05-14,0.053,0.053,0.053,0.053,0.053,25000.0
2012-05-15,0.052000000000000005,0.053,0.051,0.051,0.051,125000.0
2012-05-16,0.051,0.051,0.051,0.051,0.051,0.0
2012-05-17,0.05,0.05,0.05,0.05,0.05,100000.0
2012-05-18,0.05,0.05,0.05,0.05,0.05,0.0
2012-05-21,0.05,0.05,0.05,0.05,0.05,0.0
2012-05-22,0.05,0.05,0.05,0.05,0.05,50000.0
2012-05-23,0.05,0.05,0.05,0.05,0.05,148040.0
2012-05-24,0.05,0.05,0.05,0.05,0.05,176960.0
2012-05-25,0.05,0.05,0.05,0.05,0.05,0.0
2012-05-28,0.055,0.055,0.055,0.055,0.055,25000.0
2012-05-29,0.06,0.06,0.06,0.06,0.06,150000.0
2012-05-30,0.062,0.062,0.062,0.062,0.062,50000.0
2012-05-31,0.065,0.07,0.065,0.07,0.07,248076.0
2012-06-01,0.069,0.07,0.069,0.07,0.07,298399.0
2012-06-04,0.07,0.07,0.07,0.07,0.07,0.0
2012-06-05,0.07400000000000001,0.079,0.07400000000000001,0.079,0.079,500000.0
2012-06-06,0.08,0.08,0.08,0.08,0.08,420000.0
2012-06-07,0.08,0.08,0.08,0.08,0.08,0.0
2012-06-08,0.08,0.08,0.08,0.08,0.08,0.0
2012-06-12,0.08,0.08,0.08,0.08,0.08,0.0
2012-06-13,0.08,0.08,0.08,0.08,0.08,0.0
2012-06-14,0.065,0.065,0.065,0.065,0.065,100000.0
2012-06-15,0.065,0.065,0.065,0.065,0.065,0.0
2012-06-18,0.065,0.065,0.065,0.065,0.065,0.0
2012-06-19,0.07,0.07,0.065,0.065,0.065,171000.0
2012-06-20,0.066,0.066,0.066,0.066,0.066,25000.0
2012-06-21,0.066,0.066,0.066,0.066,0.066,0.0
2012-06-22,0.066,0.066,0.066,0.066,0.066,0.0
2012-06-25,0.065,0.065,0.065,0.065,0.065,314230.0
2012-06-26,0.065,0.065,0.065,0.065,0.065,454580.0
2012-06-27,0.065,0.065,0.06,0.065,0.065,215000.0
2012-06-28,0.065,0.065,0.06,0.065,0.065,498000.0
2012-06-29,0.065,0.065,0.065,0.065,0.065,155000.0
2012-07-02,0.07,0.07,0.07,0.07,0.07,100000.0
2012-07-03,0.07,0.07,0.07,0.07,0.07,50000.0
2012-07-04,0.07,0.07,0.07,0.07,0.07,50000.0
