Date,Open,High,Low,Close,Adj Close,Volume
2016-11-29,1.0,1.18,1.0,1.15,0.981151,1418845.0
2016-11-30,1.12,1.12,1.08,1.1,0.938493,172768.0
2016-12-01,1.1,1.1,1.07,1.08,0.921429,124890.0
2016-12-04,1.05,1.05,0.99,1.0,0.853175,239717.0
2016-12-05,0.99,1.0,0.99,1.0,0.853175,147671.0
2016-12-06,1.0,1.02,1.0,1.0,0.853175,170678.0
2016-12-07,1.04,1.04,1.02,1.03,0.87877,48703.0
2016-12-08,1.04,1.06,1.03,1.06,0.904366,36247.0
2016-12-11,1.08,1.08,1.08,1.08,0.921429,20240.0
2016-12-12,1.06,1.07,1.05,1.05,0.895834,50000.0
2016-12-13,1.04,1.08,1.03,1.08,0.921429,173020.0
2016-12-14,1.07,1.07,1.07,1.07,0.912897,4315.0
2016-12-15,1.07,1.07,1.07,1.07,0.912897,72702.0
2016-12-18,1.07,1.07,1.07,1.07,0.912897,25298.0
2016-12-19,1.06,1.07,1.06,1.07,0.912897,30000.0
2016-12-20,1.055,1.055,1.055,1.055,0.9001,2500.0
2016-12-21,1.04,1.04,1.04,1.04,0.887302,3133.0
2016-12-22,1.05,1.05,1.05,1.05,0.895834,17017.0
2016-12-27,1.05,1.05,1.05,1.05,0.895834,50500.0
2016-12-28,1.04,1.08,1.04,1.08,0.921429,35021.0
2016-12-29,1.04,1.06,1.04,1.06,0.904366,30000.0
2017-01-02,1.04,1.04,1.03,1.03,0.87877,75400.0
2017-01-03,1.025,1.05,1.01,1.05,0.895834,36071.0
2017-01-04,1.02,1.045,1.02,1.04,0.887302,106099.0
2017-01-05,1.06,1.06,1.06,1.06,0.904366,11800.0
2017-01-08,1.06,1.06,1.06,1.06,0.904366,850.0
2017-01-09,1.06,1.06,1.06,1.06,0.904366,1117.0
2017-01-10,1.05,1.05,1.03,1.03,0.87877,81073.0
2017-01-11,1.015,1.015,1.015,1.015,0.865973,27000.0
2017-01-12,1.02,1.03,1.015,1.02,0.870239,63927.0
