Date,Open,High,Low,Close,Adj Close,Volume
2017-10-30,1.5393,1.5393,1.5393,1.5393,1.5393,0.0
2017-10-31,,,,,,
2017-11-01,,,,,,
2017-11-02,,,,,,
2017-11-05,,,,,,
2017-11-06,,,,,,
2017-11-07,,,,,,
2017-11-08,,,,,,
2017-11-09,,,,,,
2017-11-12,,,,,,
2017-11-13,,,,,,
2017-11-14,,,,,,
2017-11-15,,,,,,
2017-11-16,,,,,,
2017-11-19,,,,,,
2017-11-20,,,,,,
2017-11-21,,,,,,
2017-11-22,,,,,,
2017-11-23,,,,,,
2017-11-26,,,,,,
2017-11-27,,,,,,
2017-11-28,,,,,,
2017-11-29,1.5621,1.5621,1.5621,1.5621,1.5621,0.0
2017-11-30,,,,,,
2017-12-03,,,,,,
2017-12-04,,,,,,
2017-12-05,,,,,,
2017-12-06,,,,,,
2017-12-07,,,,,,
2017-12-10,,,,,,
2017-12-11,,,,,,
2017-12-12,,,,,,
2017-12-13,,,,,,
2017-12-14,,,,,,
2017-12-17,,,,,,
2017-12-18,,,,,,
2017-12-19,,,,,,
2017-12-20,,,,,,
2017-12-21,,,,,,
2017-12-26,,,,,,
2017-12-27,,,,,,
2017-12-28,1.535,1.535,1.535,1.535,1.535,0.0
2018-01-01,,,,,,
2018-01-02,,,,,,
2018-01-03,,,,,,
2018-01-04,,,,,,
2018-01-07,,,,,,
2018-01-08,,,,,,
2018-01-09,,,,,,
2018-01-10,,,,,,
2018-01-11,,,,,,
2018-01-14,,,,,,
2018-01-15,,,,,,
2018-01-16,,,,,,
2018-01-17,,,,,,
2018-01-18,,,,,,
2018-01-21,,,,,,
2018-01-22,,,,,,
2018-01-23,,,,,,
2018-01-24,,,,,,
2018-01-28,,,,,,
2018-01-29,,,,,,
2018-01-30,1.5926,1.5926,1.5926,1.5926,1.5926,0.0
2018-01-31,,,,,,
2018-02-01,,,,,,
2018-02-04,,,,,,
2018-02-05,,,,,,
2018-02-06,,,,,,
2018-02-07,,,,,,
2018-02-08,,,,,,
2018-02-11,,,,,,
2018-02-12,,,,,,
2018-02-13,,,,,,
2018-02-14,,,,,,
2018-02-15,,,,,,
2018-02-18,,,,,,
2018-02-19,,,,,,
2018-02-20,,,,,,
2018-02-21,,,,,,
2018-02-22,,,,,,
2018-02-25,,,,,,
2018-02-26,,,,,,
2018-02-27,1.5883,1.5883,1.5883,1.5883,1.5883,0.0
2018-02-28,,,,,,
2018-03-01,,,,,,
2018-03-04,,,,,,
2018-03-05,,,,,,
2018-03-06,,,,,,
2018-03-07,1.51,1.52,1.5,1.51,1.51,678265.0
2018-03-08,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
2018-03-11,1.525,1.535,1.5,1.515,1.515,701292.0
2018-03-12,1.515,1.545,1.515,1.535,1.535,765891.0
2018-03-13,1.54,1.55,1.535,1.55,1.55,1107925.0
2018-03-14,1.55,1.55,1.54,1.55,1.55,672308.0
2018-03-15,1.555,1.555,1.53,1.54,1.54,731986.0
2018-03-18,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
2018-03-19,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
2018-03-20,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
2018-03-21,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
2018-03-22,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
2018-03-25,1.5503,1.5503,1.5503,1.5503,1.5503,0.0
