Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.926,2.926,2.9,2.92,2.92,7455.0
2012-01-03,2.926,2.96,2.926,2.96,2.96,56225.0
2012-01-04,2.96,2.978,2.96,2.966,2.966,23280.0
2012-01-05,2.966,2.98,2.966,2.972,2.972,36130.0
2012-01-08,2.978,2.99,2.942,2.942,2.942,66015.0
2012-01-09,2.946,2.97,2.946,2.96,2.96,82990.0
2012-01-10,2.968,3.0,2.968,3.0,3.0,148140.0
2012-01-11,2.994,3.0,2.992,2.994,2.994,74250.0
2012-01-12,3.0,3.0,2.968,2.994,2.994,42135.0
2012-01-15,2.964,2.984,2.944,2.96,2.96,90340.0
2012-01-16,2.96,2.98,2.96,2.98,2.98,123390.0
2012-01-17,2.97,2.9760000000000004,2.96,2.96,2.96,95190.0
2012-01-18,2.962,2.97,2.944,2.944,2.944,45915.0
2012-01-19,2.94,2.96,2.94,2.95,2.95,155445.0
2012-01-22,2.948,2.96,2.94,2.94,2.94,119165.0
2012-01-23,2.942,2.966,2.942,2.962,2.962,245180.0
2012-01-24,2.96,3.0,2.96,3.0,3.0,265740.0
2012-01-26,2.994,3.028,2.98,3.0,3.0,87310.0
2012-01-29,2.998,3.04,2.998,3.04,3.04,58645.0
2012-01-30,3.04,3.044,3.01,3.024,3.024,81700.0
2012-01-31,3.026,3.054,3.026,3.05,3.05,105375.0
2012-02-01,3.05,3.1,3.042,3.1,3.1,174460.0
2012-02-02,3.09,3.138,3.09,3.136,3.136,64250.0
2012-02-05,3.18,3.198,3.138,3.138,3.138,145495.0
2012-02-06,3.148,3.16,3.1,3.16,3.16,98415.0
2012-02-07,3.1660000000000004,3.1660000000000004,3.14,3.156,3.156,156835.0
2012-02-08,3.094,3.094,3.0,3.036,3.036,105795.0
2012-02-09,3.002,3.0380000000000003,2.98,3.0380000000000003,3.0380000000000003,107385.0
2012-02-12,3.028,3.028,2.99,2.9960000000000004,2.9960000000000004,74480.0
2012-02-13,3.0,3.028,2.99,3.006,3.006,47310.0
2012-02-14,3.0,3.0,2.984,3.0,3.0,49010.0
2012-02-15,3.0,3.0,3.0,3.0,3.0,62775.0
2012-02-16,2.99,3.02,2.97,2.98,2.98,61290.0
