Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,1.25,1.27,1.13,1.195,1.195,1861009
2018-07-03,1.2,1.2,1.02,1.1,1.1,1222018
2018-07-04,1.12,1.15,1.1,1.15,1.15,378533
2018-07-05,1.17,1.19,1.14,1.15,1.15,101558
2018-07-06,1.15,1.15,1.145,1.15,1.15,250786
2018-07-09,1.15,1.15,1.14,1.15,1.15,97475
2018-07-10,1.155,1.17,1.14,1.16,1.16,221137
2018-07-11,1.16,1.17,1.15,1.17,1.17,348677
2018-07-12,1.185,1.33,1.185,1.3,1.3,429729
2018-07-13,1.3,1.33,1.285,1.325,1.325,610598
2018-07-16,1.35,1.35,1.28,1.3,1.3,36751
2018-07-17,1.3,1.32,1.29,1.2925,1.2925,356879
2018-07-18,1.29,1.3,1.28,1.3,1.3,246628
2018-07-19,1.29,1.3,1.27,1.3,1.3,276466
2018-07-20,1.295,1.3,1.28,1.29,1.29,200127
2018-07-23,1.3,1.34,1.285,1.29,1.29,55328
2018-07-24,1.285,1.285,1.285,1.285,1.285,1701
2018-07-25,1.26,1.265,1.25,1.26,1.26,97789
2018-07-26,1.26,1.3,1.22,1.3,1.3,549605
2018-07-27,1.32,1.35,1.3,1.35,1.35,228951
2018-07-30,1.35,1.35,1.305,1.34,1.34,65318
2018-07-31,1.35,1.36,1.31,1.34,1.34,74966
2018-08-01,1.32,1.35,1.305,1.35,1.35,64424
2018-08-02,1.325,1.325,1.25,1.3,1.3,103960
2018-08-03,1.3,1.3,1.2,1.21,1.21,19579
2018-08-06,1.235,1.24,1.2,1.21,1.21,169727
2018-08-07,1.2,1.2,1.1,1.2,1.2,522027
2018-08-08,1.16,1.18,1.15,1.155,1.155,38296
2018-08-09,1.125,1.15,1.07,1.15,1.15,124766
2018-08-10,1.15,1.175,1.105,1.15,1.15,104366
2018-08-13,1.15,1.15,1.105,1.15,1.15,77758
2018-08-14,1.15,1.15,1.15,1.15,1.15,3157
2018-08-15,1.15,1.15,1.145,1.15,1.15,9978
2018-08-16,1.12,1.15,1.115,1.15,1.15,34852
2018-08-17,1.12,1.15,1.115,1.15,1.15,34852
2018-08-20,1.1,1.1,1.05,1.1,1.1,246780
2018-08-21,1.1,1.1,1.055,1.1,1.1,54549
2018-08-22,1.055,1.1,1.055,1.055,1.055,41207
2018-08-23,1.05,1.05,1.005,1.05,1.05,25700
2018-08-24,1.01,1.01,0.97,1.0,1.0,146727
2018-08-27,0.97,0.97,0.94,0.95,0.95,52747
2018-08-28,0.99,0.99,0.9,0.95,0.95,158791
2018-08-29,0.945,0.995,0.945,0.95,0.95,78301
2018-08-30,0.96,1.0,0.925,0.955,0.955,648683
2018-08-31,0.98,0.99,0.95,0.95,0.95,3244614
2018-09-03,0.965,0.965,0.88,0.88,0.88,55550
2018-09-04,0.96,0.96,0.88,0.92,0.92,101415
2018-09-05,0.95,1.0,0.92,1.0,1.0,221709
2018-09-06,0.96,0.96,0.95,0.95,0.95,6704
2018-09-07,0.935,1.0,0.935,0.95,0.95,114363
2018-09-10,0.97,0.97,0.97,0.97,0.97,20000
2018-09-11,0.97,1.0,0.95,0.995,0.995,131655
2018-09-12,0.995,1.03,0.975,1.03,1.03,90343
2018-09-13,1.05,1.06,1.03,1.05,1.05,40536
2018-09-14,1.05,1.06,1.03,1.06,1.06,117500
2018-09-17,1.06,1.06,1.06,1.06,1.06,33099
2018-09-18,1.075,1.08,1.03,1.06,1.06,125128
2018-09-19,1.06,1.08,1.03,1.055,1.055,28141
2018-09-20,1.055,1.075,1.02,1.075,1.075,770414
2018-09-21,1.055,1.06,1.02,1.05,1.05,575420
2018-09-24,1.06,1.06,1.04,1.05,1.05,60550
2018-09-25,1.03,1.05,1.02,1.05,1.05,31481
2018-09-26,1.07,1.1,1.05,1.07,1.07,216417
2018-09-27,1.07,1.09,1.07,1.09,1.09,461786
2018-09-28,1.09,1.09,1.07,1.08,1.08,107120
2018-10-01,1.07,1.07,1.02,1.05,1.05,29471
2018-10-02,1.05,1.07,1.02,1.07,1.07,61436
2018-10-03,1.07,1.07,1.07,1.07,1.07,22016
2018-10-04,1.07,1.07,1.07,1.07,1.07,0
2018-10-05,1.07,1.07,1.07,1.07,1.07,0
2018-10-07,1.07,1.07,1.02,1.02,1.02,51139
2018-10-08,1.025,1.035,1.02,1.03,1.03,26220
2018-10-09,1.022,1.025,1.02,1.02,1.02,100277
2018-10-10,1.02,1.02,1.02,1.02,1.02,49444
2018-10-11,1.02,1.02,1.02,1.02,1.02,0
2018-10-14,1.02,1.02,1.02,1.02,1.02,0
2018-10-15,1.02,1.02,1.02,1.02,1.02,0
2018-10-16,1.02,1.02,1.02,1.02,1.02,1475000
2018-10-17,1.035,1.035,1.0,1.0,1.0,590
2018-10-18,1.035,1.035,1.0,1.0,1.0,590
2018-10-21,0.9,0.975,0.895,0.975,0.975,23638
2018-10-22,1.005,1.045,1.0,1.015,1.015,5931
2018-10-23,1.0,1.0,1.0,1.0,1.0,6977
2018-10-24,1.0,1.0,1.0,1.0,1.0,5555
2018-10-25,1.0,1.0,0.98,0.98,0.98,2556
2018-10-28,0.98,0.98,0.98,0.98,0.98,6381
2018-10-29,0.9,0.98,0.9,0.935,0.935,147852
2018-10-30,0.9,0.9,0.85,0.85,0.85,4276120
2018-10-31,0.875,0.875,0.85,0.85,0.85,4028022
2018-11-01,0.805,0.805,0.79,0.79,0.79,60665
2018-11-04,0.755,0.79,0.755,0.79,0.79,10000
2018-11-05,0.785,0.785,0.785,0.785,0.785,759
2018-11-06,0.705,0.705,0.7,0.7,0.7,83989
2018-11-07,0.655,0.655,0.655,0.655,0.655,16818
2018-11-08,0.66,0.66,0.565,0.565,0.565,113784
2018-11-11,0.58,0.58,0.56,0.56,0.56,137382
2018-11-12,0.535,0.54,0.5,0.5,0.5,68381
2018-11-13,0.5,0.52,0.49,0.52,0.52,54188
2018-11-14,0.54,0.545,0.5,0.5,0.5,68329
2018-11-15,0.505,0.51,0.5,0.5,0.5,39268
2018-11-18,0.5,0.5,0.5,0.5,0.5,0
2018-11-19,0.52,0.53,0.505,0.525,0.525,98643
2018-11-20,0.5,0.52,0.49,0.52,0.52,107956
2018-11-21,0.5,0.52,0.49,0.52,0.52,107956
2018-11-22,0.52,0.52,0.52,0.52,0.52,0
2018-11-25,0.52,0.52,0.52,0.52,0.52,0
2018-11-26,0.52,0.52,0.52,0.52,0.52,0
2018-11-27,0.495,0.495,0.495,0.495,0.495,1887
2018-11-28,0.495,0.495,0.495,0.495,0.495,0
2018-11-29,0.495,0.495,0.495,0.495,0.495,0
2018-12-02,0.49,0.495,0.48,0.48700000000000004,0.48700000000000004,24019
2018-12-03,0.48,0.48,0.475,0.48,0.48,15246
2018-12-04,0.48,0.48,0.45,0.45,0.45,41859
2018-12-05,0.48,0.48,0.45,0.45,0.45,41859
2018-12-06,0.42,0.45,0.42,0.45,0.45,14093
2018-12-09,0.45,0.45,0.45,0.45,0.45,0
2018-12-10,0.45,0.45,0.45,0.45,0.45,0
2018-12-11,0.45,0.45,0.45,0.45,0.45,0
2018-12-12,0.45,0.45,0.45,0.45,0.45,0
2018-12-13,0.405,0.41,0.4,0.41,0.41,22793
2018-12-16,0.42,0.42,0.395,0.395,0.395,7001
2018-12-17,0.395,0.395,0.395,0.395,0.395,0
2018-12-18,0.395,0.395,0.395,0.395,0.395,0
2018-12-19,0.395,0.395,0.395,0.395,0.395,0
2018-12-20,0.395,0.41,0.395,0.41,0.41,28990
2018-12-23,0.44,0.44,0.44,0.44,0.44,1000
2018-12-26,0.44,0.44,0.44,0.44,0.44,0
2018-12-27,0.44,0.44,0.44,0.44,0.44,0
2018-12-30,0.44,0.45,0.44,0.45,0.45,23529
2019-01-01,0.4,0.4,0.4,0.4,0.4,759
2019-01-02,0.4,0.4,0.4,0.4,0.4,759
2019-01-03,0.4,0.4,0.395,0.395,0.395,284955
2019-01-06,0.395,0.4,0.39,0.39,0.39,9341
2019-01-07,0.39,0.39,0.39,0.39,0.39,0
2019-01-08,0.37,0.45,0.345,0.385,0.385,146877
2019-01-09,0.38,0.38,0.35,0.35,0.35,762376
2019-01-10,0.35,0.37,0.34,0.35,0.35,46659
2019-01-13,0.3720000000000001,0.375,0.35,0.35,0.35,106493
2019-01-14,0.35,0.35,0.35,0.35,0.35,203922
2019-01-15,0.355,0.36,0.35,0.36,0.36,415708
2019-01-16,0.36,0.36,0.36,0.36,0.36,85915
2019-01-17,0.36,0.365,0.35,0.365,0.365,179310
2019-01-20,0.365,0.375,0.365,0.375,0.375,10467
2019-01-21,0.4,0.4,0.375,0.375,0.375,7409
2019-01-22,0.395,0.4,0.375,0.375,0.375,139149
2019-01-23,0.375,0.375,0.375,0.375,0.375,0
2019-01-24,0.45,0.475,0.45,0.475,0.475,41328
2019-01-28,0.475,0.56,0.475,0.56,0.56,193990
2019-01-29,0.6,0.61,0.56,0.57,0.57,157639
2019-01-30,0.6,0.62,0.56,0.59,0.59,994108
2019-01-31,0.59,0.59,0.57,0.57,0.57,166464
2019-02-03,0.57,0.57,0.49,0.51,0.51,81118
2019-02-04,0.51,0.51,0.51,0.51,0.51,0
2019-02-05,0.5,0.51,0.5,0.51,0.51,16729
2019-02-06,0.51,0.51,0.5,0.5,0.5,19865
2019-02-07,0.5,0.51,0.5,0.51,0.51,6404
2019-02-10,0.525,0.525,0.5,0.5,0.5,33660
2019-02-11,0.5,0.5,0.49,0.49,0.49,12795
2019-02-12,0.49,0.5,0.45,0.495,0.495,392658
2019-02-13,0.5,0.515,0.48,0.485,0.485,59690
2019-02-14,0.495,0.5,0.49,0.49,0.49,47994
2019-02-17,0.5,0.5,0.49,0.49,0.49,146615
2019-02-18,0.49,0.49,0.49,0.49,0.49,0
2019-02-19,0.49,0.4920000000000001,0.47,0.4920000000000001,0.4920000000000001,156599
2019-02-20,0.495,0.5,0.495,0.5,0.5,40460
2019-02-21,0.5,0.5,0.5,0.5,0.5,5931
2019-02-24,0.5,0.5,0.5,0.5,0.5,0
2019-02-25,0.525,0.525,0.495,0.495,0.495,1403608
2019-02-26,0.495,0.495,0.495,0.495,0.495,0
2019-02-27,0.53,0.53,0.495,0.495,0.495,16912
2019-02-28,0.475,0.475,0.475,0.475,0.475,110
2019-03-03,0.495,0.495,0.475,0.475,0.475,6168
2019-03-04,0.475,0.475,0.465,0.465,0.465,27664
2019-03-05,0.475,0.495,0.445,0.45,0.45,88112
2019-03-06,0.45,0.45,0.45,0.45,0.45,0
2019-03-07,0.45,0.45,0.45,0.45,0.45,0
2019-03-10,0.45,0.45,0.43,0.43,0.43,4176
2019-03-11,0.435,0.44,0.435,0.44,0.44,50
2019-03-12,0.495,0.495,0.495,0.495,0.495,3138
2019-03-13,0.5,0.505,0.48,0.48,0.48,39828
2019-03-14,0.5,0.505,0.48,0.48,0.48,39828
2019-03-17,0.48,0.48,0.48,0.48,0.48,0
2019-03-18,0.51,0.51,0.48,0.48,0.48,22809
2019-03-19,0.485,0.485,0.46,0.465,0.465,30603
2019-03-20,0.46,0.48,0.46,0.46,0.46,6337
2019-03-21,0.46,0.46,0.455,0.455,0.455,8037
2019-03-24,0.455,0.455,0.455,0.455,0.455,0
2019-03-25,0.46,0.46,0.46,0.46,0.46,8428
2019-03-26,0.46,0.46,0.46,0.46,0.46,3767
2019-03-27,0.47,0.47,0.46,0.46,0.46,5154
2019-03-28,0.46,0.46,0.425,0.425,0.425,5156
2019-03-31,0.43,0.445,0.425,0.425,0.425,10548
2019-04-01,0.46,0.46,0.455,0.46,0.46,2453
2019-04-02,0.46,0.46,0.45,0.45,0.45,2935
2019-04-03,0.45,0.45,0.45,0.45,0.45,11362
2019-04-04,0.45,0.45,0.45,0.45,0.45,0
2019-04-08,0.45,0.45,0.45,0.45,0.45,0
2019-04-09,0.41,0.41,0.41,0.41,0.41,1409
2019-04-10,0.42,0.42,0.41,0.41,0.41,9032
2019-04-11,0.395,0.415,0.395,0.415,0.415,10526
2019-04-12,0.415,0.415,0.39,0.39,0.39,40057
2019-04-15,0.39,0.39,0.39,0.39,0.39,0
2019-04-16,0.39,0.39,0.39,0.39,0.39,19399
2019-04-17,0.385,0.385,0.385,0.385,0.385,2564
2019-04-18,0.385,0.385,0.385,0.385,0.385,0
2019-04-23,0.39,0.39,0.385,0.385,0.385,78816
2019-04-24,0.385,0.385,0.38,0.38,0.38,29426
2019-04-26,0.38,0.38,0.38,0.38,0.38,3521
2019-04-29,0.405,0.41,0.385,0.4,0.4,193430
2019-04-30,0.42,0.43,0.417,0.425,0.425,867824
2019-05-01,0.425,0.445,0.42,0.425,0.425,31596
2019-05-02,0.42,0.46,0.415,0.46,0.46,165433
2019-05-03,0.46,0.465,0.46,0.465,0.465,34929
2019-05-06,0.465,0.465,0.465,0.465,0.465,0
2019-05-07,0.465,0.465,0.465,0.465,0.465,0
2019-05-08,0.44,0.44,0.44,0.44,0.44,35000
2019-05-09,0.445,0.445,0.44,0.44,0.44,31005
2019-05-10,0.44,0.44,0.44,0.44,0.44,0
2019-05-15,0.47,0.48,0.45,0.45,0.45,15109
2019-05-16,0.45,0.45,0.43,0.43,0.43,17476
2019-05-17,0.45,0.45,0.45,0.45,0.45,20674
2019-05-20,0.45,0.45,0.45,0.45,0.45,0
2019-05-21,0.45,0.45,0.45,0.45,0.45,0
2019-05-22,0.46,0.46,0.445,0.46,0.46,106441
2019-05-23,0.48,0.48,0.475,0.48,0.48,56746
2019-05-24,0.47,0.495,0.47,0.495,0.495,12277
2019-05-27,0.495,0.495,0.495,0.495,0.495,0
2019-05-28,0.475,0.475,0.46,0.46,0.46,358643
2019-05-29,0.46,0.485,0.43,0.435,0.435,43563
2019-05-30,0.45,0.47,0.45,0.47,0.47,766192
2019-05-31,0.47,0.47,0.47,0.47,0.47,40000
2019-06-03,0.47,0.47,0.445,0.445,0.445,22000
2019-06-04,0.43,0.43,0.43,0.43,0.43,16703
2019-06-05,0.43,0.445,0.43,0.445,0.445,34883
