Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,2.06,2.07,2.06,2.07,2.07,206521
2019-05-07,2.07,2.07,2.06,2.06,2.06,177467
2019-05-08,2.06,2.06,2.05,2.06,2.06,367608
2019-05-09,2.06,2.06,2.05,2.05,2.05,98627
2019-05-10,2.06,2.08,2.05,2.08,2.08,248176
2019-05-13,2.07,2.07,2.065,2.07,2.07,43616
2019-05-14,2.06,2.07,2.04,2.05,2.05,420141
2019-05-15,2.05,2.05,2.05,2.06,2.06,163083
2019-05-16,2.07,2.07,2.05,2.05,2.05,121461
2019-05-17,2.06,2.06,2.05,2.05,2.05,107863
2019-05-20,2.06,2.06,2.05,2.05,2.05,112846
2019-05-21,2.05,2.06,2.04,2.06,2.06,147244
2019-05-22,2.0086,2.0086,2.0086,2.0086,2.0086,0
2019-05-27,2.05,2.05,2.04,2.04,2.04,68218
2019-05-28,2.05,2.05,2.04,2.04,2.04,142496
2019-05-29,2.04,2.045,2.02,2.02,2.02,731283
2019-05-30,2.03,2.04,2.03,2.035,2.035,146223
2019-05-31,2.035,2.04,2.03,2.04,2.04,176680
2019-06-03,2.03,2.05,2.03,2.04,2.04,168896
2019-06-04,2.04,2.04,2.03,2.04,2.04,275941
2019-06-05,2.04,2.05,2.03,2.04,2.04,93161
