Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,4.05,4.08,4.01,4.02,2.926498,1226400.0
2012-01-03,4.03,4.11,4.03,4.11,2.9920169999999997,1446745.0
2012-01-04,4.05,4.1,4.04,4.08,2.970177,1480274.0
2012-01-05,4.1,4.14,4.07,4.12,2.9992959999999997,2297610.0
2012-01-08,4.12,4.14,4.07,4.1,2.984737,1402542.0
2012-01-09,4.1,4.15,4.075,4.15,3.0211360000000003,3749854.0
2012-01-10,4.13,4.19,4.13,4.16,3.028416,2026790.0
2012-01-11,4.12,4.14,4.06,4.06,2.9556169999999997,2106314.0
2012-01-12,4.07,4.12,4.06,4.06,2.9556169999999997,1584121.0
2012-01-15,4.06,4.08,4.04,4.05,2.948337,1600036.0
2012-01-16,4.09,4.11,4.06,4.09,2.977457,1357852.0
2012-01-17,4.07,4.1,4.05,4.08,2.970177,1696927.0
2012-01-18,4.1,4.1,4.05,4.05,2.948337,1423587.0
2012-01-19,4.09,4.09,4.03,4.08,2.970177,1965250.0
2012-01-22,4.09,4.12,4.08,4.1,2.984737,2537048.0
2012-01-23,4.12,4.12,4.06,4.1,2.984737,2155352.0
2012-01-24,4.1,4.12,4.05,4.05,2.948337,2549476.0
2012-01-26,4.06,4.12,4.06,4.08,2.970177,2259136.0
2012-01-29,4.09,4.1,4.05,4.06,2.9556169999999997,1252621.0
2012-01-30,4.08,4.08,4.04,4.04,2.9410580000000004,3642701.0
2012-01-31,4.06,4.07,4.02,4.03,2.9337779999999998,2452726.0
2012-02-01,4.06,4.07,4.01,4.01,2.919218,2821880.0
2012-02-02,4.01,4.03,3.99,3.99,2.904658,3409141.0
2012-02-05,4.03,4.04,4.01,4.01,2.919218,3662061.0
2012-02-06,4.01,4.04,4.0,4.03,2.9337779999999998,3175649.0
2012-02-07,4.03,4.05,4.0,4.01,2.919218,1759440.0
2012-02-08,4.02,4.05,4.0,4.0,2.911938,2775621.0
2012-02-09,4.03,4.03,3.99,4.0,2.911938,5023094.0
2012-02-12,4.03,4.07,4.01,4.07,2.962898,2542735.0
2012-02-13,4.08,4.1,4.04,4.06,2.9556169999999997,3235147.0
2012-02-14,4.08,4.1,4.07,4.08,2.970177,1774788.0
2012-02-15,4.1,4.1,4.03,4.03,2.9337779999999998,2674265.0
2012-02-16,4.05,4.07,4.02,4.07,2.962898,2249057.0
2012-02-19,4.09,4.1,4.045,4.09,2.977457,1899588.0
2012-02-20,4.1,4.14,4.08,4.12,2.9992959999999997,1799284.0
2012-02-21,4.11,4.14,4.1,4.14,3.013856,2326490.0
2012-02-22,4.14,4.18,4.12,4.16,3.028416,2617893.0
2012-02-23,4.18,4.21,4.15,4.2,3.0575349999999997,2248455.0
2012-02-26,4.2,4.22,4.18,4.18,3.042975,2830738.0
2012-02-27,4.2,4.24,4.19,4.24,3.0866540000000002,3859593.0
2012-02-28,4.25,4.3,4.21,4.24,3.0866540000000002,3933961.0
2012-02-29,4.21,4.21,4.15,4.17,3.0356959999999997,3040785.0
2012-03-01,4.17,4.2,4.13,4.15,3.0211360000000003,1883748.0
2012-03-04,4.15,4.2,4.15,4.17,3.0356959999999997,1411852.0
2012-03-05,4.19,4.2,4.15,4.15,3.0211360000000003,2387742.0
2012-03-06,4.15,4.18,4.11,4.12,2.9992959999999997,2602370.0
2012-03-07,4.12,4.14,4.055,4.07,2.962898,2870487.0
2012-03-08,4.11,4.11,4.04,4.06,2.9556169999999997,2381770.0
2012-03-11,4.07,4.09,4.045,4.06,2.9556169999999997,2936567.0
2012-03-12,4.09,4.11,4.07,4.11,2.9920169999999997,1964001.0
2012-03-13,4.11,4.13,4.09,4.11,2.9920169999999997,2016137.0
2012-03-14,4.08,4.11,4.065,4.11,2.9920169999999997,3721285.0
2012-03-15,4.13,4.15,4.09,4.09,2.977457,3004397.0
2012-03-18,4.09,4.135,4.085,4.12,2.9992959999999997,3346168.0
2012-03-19,4.1,4.13,4.08,4.1,2.984737,1951813.0
2012-03-20,4.1,4.15,4.07,4.12,2.9992959999999997,2060355.0
2012-03-21,4.11,4.18,4.11,4.15,3.0211360000000003,3031254.0
2012-03-22,4.12,4.18,4.11,4.16,3.028416,3233843.0
2012-03-25,4.18,4.19,4.16,4.16,3.028416,1968444.0
2012-03-26,4.2,4.25,4.17,4.23,3.079375,3984913.0
2012-03-27,4.25,4.29,4.24,4.28,3.115774,4789968.0
2012-03-28,4.24,4.32,4.24,4.3,3.130334,4930522.0
2012-03-29,4.3,4.3,4.3,4.3,3.130334,0.0
2012-04-02,4.3,4.3,4.3,4.3,3.130334,0.0
2012-04-03,4.12,4.2,4.065,4.1,2.984737,13533178.0
2012-04-04,4.04,4.05,4.0,4.02,2.926498,7210607.0
2012-04-05,4.0,4.01,3.98,3.99,2.904658,5897437.0
2012-04-10,3.97,3.98,3.9,3.91,2.84642,6023426.0
2012-04-11,3.88,3.9,3.86,3.88,2.82458,9916716.0
2012-04-12,3.89,3.91,3.87,3.91,2.84642,16970456.0
2012-04-13,3.94,3.94,3.91,3.92,2.8537,4390968.0
2012-04-16,3.9,3.925,3.9,3.9,2.83914,4188038.0
2012-04-17,3.91,3.92,3.88,3.88,2.82458,5645477.0
2012-04-18,3.91,3.94,3.895,3.92,2.8537,5802335.0
2012-04-19,3.93,4.01,3.91,3.99,2.904658,8288691.0
2012-04-20,3.99,4.0,3.94,3.99,2.904658,2753667.0
2012-04-23,3.96,3.995,3.955,3.98,2.897378,1921835.0
2012-04-24,3.96,4.0,3.95,3.96,2.882819,4650743.0
2012-04-26,4.01,4.01,3.98,4.0,2.911938,3960737.0
2012-04-27,4.0,4.02,3.98,3.98,2.897378,2902209.0
2012-04-30,3.99,4.02,3.96,3.96,2.882819,2643851.0
2012-05-01,3.99,4.04,3.98,4.02,2.926498,3566286.0
2012-05-02,4.02,4.03,3.995,4.02,2.926498,3247399.0
2012-05-03,4.04,4.04,4.01,4.04,2.9410580000000004,2323173.0
2012-05-04,4.02,4.06,4.01,4.02,2.926498,3696065.0
2012-05-07,4.02,4.03,3.99,3.99,2.904658,1880904.0
2012-05-08,4.0,4.08,3.98,4.07,2.962898,2937321.0
2012-05-09,4.03,4.11,4.02,4.05,2.948337,2532472.0
2012-05-10,4.08,4.11,4.03,4.06,2.9556169999999997,2363049.0
2012-05-11,4.03,4.05,4.0,4.0,2.911938,2758316.0
2012-05-14,4.04,4.05,3.98,3.98,2.897378,4152947.0
2012-05-15,4.01,4.01,3.96,3.96,2.882819,3039611.0
2012-05-16,3.98,3.99,3.9,3.91,2.84642,4151475.0
2012-05-17,4.0,4.0,3.9,3.91,2.84642,2996074.0
2012-05-18,3.9,3.96,3.9,3.93,2.860979,2102230.0
2012-05-21,3.93,3.95,3.91,3.92,2.8537,1449405.0
2012-05-22,3.95,4.01,3.93,4.01,2.919218,2877953.0
2012-05-23,3.98,4.0,3.92,3.92,2.8537,1811874.0
2012-05-24,3.92,3.96,3.89,3.95,2.875539,2665444.0
2012-05-25,3.95,3.96,3.89,3.93,2.860979,1908226.0
2012-05-28,3.95,3.95,3.9,3.93,2.860979,1945647.0
2012-05-29,3.93,3.95,3.9,3.95,2.875539,2045800.0
2012-05-30,3.92,3.96,3.9,3.93,2.860979,2608644.0
2012-05-31,3.91,3.92,3.82,3.82,2.7809009999999996,7605637.0
2012-06-01,3.83,3.94,3.83,3.85,2.802741,5403167.0
2012-06-04,3.82,3.91,3.81,3.87,2.8173,4078958.0
2012-06-05,3.91,3.94,3.87,3.88,2.82458,1672790.0
2012-06-06,3.92,3.96,3.9,3.93,2.860979,2430640.0
2012-06-07,3.95,4.01,3.93,3.98,2.897378,2926576.0
2012-06-08,4.02,4.02,3.95,3.99,2.904658,7079752.0
2012-06-12,3.99,4.05,3.99,4.05,2.948337,5114908.0
2012-06-13,4.05,4.09,4.02,4.07,2.962898,3685954.0
2012-06-14,4.07,4.07,3.99,4.0,2.911938,3920544.0
2012-06-15,4.0,4.03,3.97,3.98,2.897378,2691254.0
2012-06-18,4.01,4.05,3.99,4.02,2.926498,3127863.0
2012-06-19,4.0,4.01,3.97,3.97,2.890099,1955138.0
2012-06-20,3.98,4.0,3.765,3.82,2.7809009999999996,10063996.0
2012-06-21,3.78,3.85,3.77,3.78,2.7517810000000003,10764271.0
2012-06-22,3.77,3.81,3.76,3.78,2.7517810000000003,3018098.0
2012-06-25,3.82,3.82,3.75,3.78,2.7517810000000003,2674689.0
2012-06-26,3.76,3.78,3.72,3.74,2.7226619999999997,3712690.0
2012-06-27,3.73,3.75,3.71,3.74,2.7226619999999997,1932412.0
2012-06-28,3.74,3.74,3.74,3.74,2.7226619999999997,0.0
2012-06-29,3.48,3.48,3.305,3.37,2.4533080000000003,21704740.0
2012-07-02,3.44,3.46,3.38,3.43,2.496987,9564002.0
2012-07-03,3.34,3.34,3.28,3.3,2.5237540000000003,4973467.0
2012-07-04,3.31,3.36,3.31,3.32,2.53905,6040087.0
2012-07-05,3.34,3.35,3.14,3.22,2.462572,14823476.0
2012-07-06,3.2,3.21,3.12,3.19,2.439629,12990961.0
2012-07-09,3.2,3.26,3.2,3.24,2.477868,4750597.0
2012-07-10,3.27,3.28,3.16,3.2,2.447277,5782201.0
2012-07-11,3.18,3.21,3.15,3.19,2.439629,4647805.0
2012-07-12,3.18,3.19,3.14,3.17,2.424334,4265367.0
2012-07-13,3.17,3.21,3.15,3.17,2.424334,3237901.0
2012-07-16,3.21,3.22,3.18,3.2,2.447277,1931990.0
2012-07-17,3.22,3.28,3.21,3.28,2.508458,4828717.0
2012-07-18,3.28,3.32,3.2,3.24,2.477868,5090297.0
2012-07-19,3.3,3.3,3.23,3.24,2.477868,5300357.0
2012-07-20,3.24,3.25,3.21,3.22,2.462572,6359009.0
2012-07-23,3.21,3.24,3.2,3.2,2.447277,3562731.0
2012-07-24,3.21,3.25,3.2,3.22,2.462572,2538022.0
2012-07-25,3.21,3.23,3.17,3.2,2.447277,2932522.0
2012-07-26,3.19,3.24,3.17,3.23,2.47022,5939717.0
2012-07-27,3.25,3.32,3.25,3.3,2.5237540000000003,10532807.0
2012-07-30,3.34,3.35,3.31,3.35,2.561993,4297852.0
2012-07-31,3.35,3.42,3.33,3.41,2.607879,8653702.0
2012-08-01,3.44,3.44,3.34,3.35,2.561993,4683849.0
2012-08-02,3.35,3.38,3.34,3.37,2.577289,2770632.0
2012-08-03,3.4,3.44,3.35,3.4,2.600232,4628347.0
2012-08-06,3.43,3.45,3.41,3.44,2.630823,2155803.0
2012-08-07,3.45,3.45,3.39,3.41,2.607879,3260204.0
2012-08-08,3.44,3.48,3.42,3.43,2.623175,3681114.0
2012-08-09,3.44,3.47,3.44,3.45,2.63847,2569301.0
2012-08-10,3.46,3.51,3.45,3.47,2.653766,5445033.0
2012-08-13,3.48,3.51,3.47,3.5,2.6767090000000002,2939789.0
2012-08-14,3.49,3.5,3.45,3.47,2.653766,4935777.0
2012-08-15,3.47,3.47,3.42,3.43,2.623175,4324582.0
2012-08-16,3.46,3.51,3.44,3.5,2.6767090000000002,5839328.0
2012-08-17,3.5,3.5,3.46,3.49,2.669061,5898623.0
2012-08-20,3.49,3.57,3.48,3.53,2.699652,4468592.0
2012-08-21,3.54,3.59,3.53,3.55,2.714947,3057491.0
2012-08-22,3.59,3.62,3.565,3.62,2.768482,4200761.0
2012-08-23,3.64,3.65,3.56,3.6,2.753186,4524132.0
2012-08-24,3.6,3.655,3.59,3.63,2.776129,2959296.0
2012-08-27,3.63,3.64,3.59,3.6,2.753186,2505401.0
2012-08-28,3.61,3.66,3.61,3.63,2.776129,2384817.0
2012-08-29,3.63,3.7,3.625,3.66,2.799073,2582361.0
2012-08-30,3.66,3.74,3.64,3.65,2.791425,7646569.0
2012-08-31,3.66,3.72,3.65,3.66,2.799073,6322723.0
2012-09-03,3.66,3.7,3.63,3.7,2.8296639999999997,4775192.0
2012-09-04,3.7,3.71,3.65,3.68,2.814368,4899695.0
2012-09-05,3.65,3.67,3.625,3.66,2.799073,4121353.0
2012-09-06,3.68,3.71,3.66,3.71,2.837312,4183719.0
2012-09-07,3.74,3.75,3.71,3.71,2.837312,4916346.0
2012-09-10,3.74,3.74,3.7,3.7,2.8296639999999997,2333246.0
2012-09-11,3.7,3.7,3.62,3.63,2.776129,3017927.0
2012-09-12,3.66,3.69,3.65,3.65,2.791425,3324699.0
2012-09-13,3.63,3.71,3.63,3.69,2.822016,2680608.0
2012-09-14,3.71,3.71,3.63,3.64,2.783777,3416005.0
2012-09-17,3.63,3.64,3.56,3.57,2.730243,4530903.0
2012-09-18,3.57,3.6,3.57,3.59,2.7455380000000003,2176972.0
2012-09-19,3.58,3.62,3.58,3.6,2.753186,3514753.0
2012-09-20,3.57,3.59,3.55,3.56,2.722595,4976848.0
2012-09-21,3.62,3.62,3.55,3.59,2.7455380000000003,3822067.0
2012-09-24,3.58,3.62,3.56,3.6,2.753186,2086661.0
2012-09-25,3.58,3.61,3.57,3.61,2.760834,2785319.0
2012-09-26,3.6,3.65,3.58,3.65,2.791425,2621765.0
2012-09-27,3.63,3.63,3.5,3.57,2.730243,6547616.0
2012-09-28,3.58,3.58,3.54,3.54,2.7073,3219302.0
