Date,Open,High,Low,Close,Adj Close,Volume
2013-02-25,0.98,1.0,0.98,1.0,1.0,135000.0
2013-02-26,0.98,0.985,0.98,0.985,0.985,186000.0
2013-02-27,0.99,0.99,0.99,0.99,0.99,0.0
2013-02-28,0.97,0.975,0.97,0.975,0.975,115000.0
2013-03-03,0.975,0.975,0.955,0.97,0.97,436874.0
2013-03-04,0.97,0.97,0.97,0.97,0.97,125000.0
2013-03-05,0.97,0.97,0.97,0.97,0.97,40000.0
2013-03-06,0.97,0.97,0.97,0.97,0.97,0.0
2013-03-07,0.97,0.975,0.97,0.975,0.975,60626.0
2013-03-10,0.97,0.975,0.935,0.935,0.935,62440.0
2013-03-11,0.95,0.97,0.95,0.965,0.965,18459.0
2013-03-12,0.965,0.965,0.965,0.965,0.965,0.0
2013-03-13,0.965,0.965,0.965,0.965,0.965,0.0
2013-03-14,0.965,0.965,0.965,0.965,0.965,0.0
2013-03-17,0.965,0.965,0.965,0.965,0.965,0.0
2013-03-18,0.965,0.965,0.965,0.965,0.965,0.0
2013-03-19,0.94,0.94,0.94,0.94,0.94,100000.0
2013-03-20,0.94,0.94,0.94,0.94,0.94,0.0
2013-03-21,0.97,0.97,0.97,0.97,0.97,8000.0
2013-03-24,0.945,0.945,0.945,0.945,0.945,800000.0
2013-03-25,0.97,0.97,0.97,0.97,0.97,3635.0
2013-03-26,0.97,0.97,0.97,0.97,0.97,0.0
2013-03-27,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-01,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-02,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-03,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-04,0.97,0.97,0.97,0.97,0.97,10000.0
2013-04-08,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-09,0.97,0.97,0.97,0.97,0.97,4000.0
2013-04-10,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-11,0.96,0.97,0.96,0.97,0.97,8000.0
2013-04-12,0.97,0.97,0.97,0.97,0.97,0.0
2013-04-15,0.965,0.965,0.96,0.96,0.96,5000.0
2013-04-16,0.96,0.96,0.96,0.96,0.96,0.0
2013-04-17,0.96,0.96,0.96,0.96,0.96,0.0
2013-04-18,0.955,0.955,0.94,0.94,0.94,6640.0
2013-04-19,0.93,0.93,0.93,0.93,0.93,3360.0
2013-04-22,0.99,0.99,0.99,0.99,0.99,0.0
2013-04-23,0.94,0.94,0.94,0.94,0.94,0.0
2013-04-24,0.94,0.94,0.94,0.94,0.94,0.0
2013-04-26,0.94,0.94,0.94,0.94,0.94,0.0
2013-04-29,0.94,0.94,0.94,0.94,0.94,0.0
2013-04-30,1.05,1.05,1.05,1.05,1.05,0.0
2013-05-01,0.94,0.94,0.94,0.94,0.94,0.0
2013-05-02,0.96,0.96,0.95,0.95,0.95,20000.0
2013-05-03,0.95,0.95,0.95,0.95,0.95,0.0
2013-05-06,0.95,0.95,0.95,0.95,0.95,0.0
