Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.125,0.125,0.125,0.125,0.125,40983.0
2012-01-03,0.13,0.135,0.13,0.135,0.135,64500.0
2012-01-04,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-05,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-08,0.13,0.13,0.13,0.13,0.13,15000.0
2012-01-09,0.13,0.13,0.13,0.13,0.13,0.0
2012-01-10,0.13,0.13,0.13,0.13,0.13,0.0
2012-01-11,0.125,0.125,0.125,0.125,0.125,22099.0
2012-01-12,0.125,0.125,0.125,0.125,0.125,16600.0
2012-01-15,0.125,0.125,0.125,0.125,0.125,0.0
2012-01-16,0.125,0.125,0.125,0.125,0.125,0.0
2012-01-17,0.135,0.145,0.135,0.145,0.145,100000.0
2012-01-18,0.145,0.145,0.145,0.145,0.145,91737.0
2012-01-19,0.145,0.145,0.145,0.145,0.145,0.0
2012-01-22,0.145,0.145,0.145,0.145,0.145,8263.0
2012-01-23,0.145,0.145,0.145,0.145,0.145,0.0
2012-01-24,0.135,0.135,0.13,0.13,0.13,8698.0
2012-01-26,0.135,0.135,0.135,0.135,0.135,5000.0
2012-01-29,0.135,0.135,0.135,0.135,0.135,45262.0
2012-01-30,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-31,0.13,0.13,0.13,0.13,0.13,28305.0
2012-02-01,0.13,0.145,0.13,0.145,0.145,123175.0
2012-02-02,0.13,0.13,0.13,0.13,0.13,10000.0
2012-02-05,0.135,0.135,0.135,0.135,0.135,70000.0
2012-02-06,0.135,0.135,0.135,0.135,0.135,0.0
2012-02-07,0.13,0.13,0.13,0.13,0.13,29353.0
2012-02-08,0.13,0.13,0.13,0.13,0.13,39523.0
2012-02-09,0.13,0.13,0.13,0.13,0.13,22219.0
2012-02-12,0.13,0.13,0.13,0.13,0.13,82073.0
2012-02-13,0.13,0.13,0.125,0.125,0.125,49332.0
2012-02-14,0.12,0.12,0.12,0.12,0.12,27027.0
2012-02-15,0.12,0.12,0.12,0.12,0.12,0.0
2012-02-16,0.12,0.12,0.12,0.12,0.12,0.0
2012-02-19,0.12,0.12,0.12,0.12,0.12,0.0
2012-02-20,0.12,0.12,0.12,0.12,0.12,0.0
2012-02-21,0.12,0.12,0.12,0.12,0.12,0.0
2012-02-22,0.13,0.13,0.13,0.13,0.13,5000.0
2012-02-23,0.13,0.13,0.13,0.13,0.13,0.0
2012-02-26,0.13,0.13,0.11,0.11,0.11,106400.0
2012-02-27,0.115,0.115,0.115,0.115,0.115,5500.0
2012-02-28,0.115,0.115,0.115,0.115,0.115,0.0
2012-02-29,0.115,0.12,0.115,0.12,0.12,51600.0
2012-03-01,0.135,0.14,0.135,0.14,0.14,125000.0
2012-03-04,0.14,0.14,0.14,0.14,0.14,0.0
2012-03-05,0.125,0.125,0.125,0.125,0.125,4000.0
2012-03-06,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-07,0.13,0.13,0.13,0.13,0.13,25000.0
2012-03-08,0.13,0.13,0.13,0.13,0.13,0.0
2012-03-11,0.13,0.13,0.13,0.13,0.13,0.0
2012-03-12,0.125,0.125,0.125,0.125,0.125,50000.0
2012-03-13,0.125,0.125,0.125,0.125,0.125,18625.0
2012-03-14,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-15,0.125,0.125,0.12,0.12,0.12,23758.0
2012-03-18,0.12,0.12,0.12,0.12,0.12,0.0
2012-03-19,0.12,0.12,0.12,0.12,0.12,9800.0
2012-03-20,0.12,0.12,0.12,0.12,0.12,5000.0
2012-03-21,0.12,0.12,0.12,0.12,0.12,24200.0
2012-03-22,0.12,0.12,0.12,0.12,0.12,10000.0
2012-03-25,0.125,0.13,0.125,0.13,0.13,32000.0
2012-03-26,0.13,0.13,0.13,0.13,0.13,0.0
2012-03-27,0.13,0.13,0.13,0.13,0.13,0.0
2012-03-28,0.13,0.13,0.13,0.13,0.13,0.0
2012-03-29,0.13,0.13,0.13,0.13,0.13,0.0
2012-04-02,0.13,0.13,0.13,0.13,0.13,98900.0
2012-04-03,0.13,0.13,0.13,0.13,0.13,50000.0
2012-04-04,0.13,0.13,0.13,0.13,0.13,0.0
2012-04-05,0.13,0.13,0.13,0.13,0.13,0.0
2012-04-10,0.12,0.12,0.12,0.12,0.12,35000.0
2012-04-11,0.13,0.13,0.13,0.13,0.13,91017.0
2012-04-12,0.13,0.135,0.13,0.13,0.13,119228.0
2012-04-13,0.13,0.13,0.13,0.13,0.13,0.0
2012-04-16,0.13,0.13,0.13,0.13,0.13,0.0
2012-04-17,0.125,0.125,0.125,0.125,0.125,10000.0
2012-04-18,0.135,0.135,0.135,0.135,0.135,66000.0
2012-04-19,0.135,0.135,0.135,0.135,0.135,0.0
2012-04-20,0.13,0.13,0.13,0.13,0.13,75833.0
2012-04-23,0.13,0.13,0.13,0.13,0.13,0.0
2012-04-24,0.13,0.13,0.13,0.13,0.13,50000.0
2012-04-26,0.13,0.13,0.13,0.13,0.13,119737.0
2012-04-27,0.13,0.13,0.13,0.13,0.13,89000.0
2012-04-30,0.13,0.13,0.13,0.13,0.13,30264.0
2012-05-01,0.125,0.125,0.125,0.125,0.125,4200.0
2012-05-02,0.125,0.125,0.125,0.125,0.125,56700.0
2012-05-03,0.125,0.125,0.125,0.125,0.125,5112.0
2012-05-04,0.125,0.125,0.125,0.125,0.125,0.0
2012-05-07,0.125,0.125,0.125,0.125,0.125,12936.0
2012-05-08,0.125,0.13,0.125,0.13,0.13,68343.0
2012-05-09,0.13,0.13,0.13,0.13,0.13,0.0
2012-05-10,0.135,0.135,0.135,0.135,0.135,150000.0
2012-05-11,0.135,0.135,0.135,0.135,0.135,0.0
2012-05-14,0.135,0.135,0.135,0.135,0.135,0.0
2012-05-15,0.125,0.125,0.125,0.125,0.125,30245.0
2012-05-16,0.125,0.125,0.115,0.115,0.115,53578.0
2012-05-17,0.115,0.115,0.115,0.115,0.115,34000.0
2012-05-18,0.115,0.115,0.115,0.115,0.115,40000.0
2012-05-21,0.115,0.115,0.115,0.115,0.115,0.0
2012-05-22,0.115,0.115,0.115,0.115,0.115,0.0
2012-05-23,0.115,0.115,0.115,0.115,0.115,0.0
2012-05-24,0.115,0.115,0.115,0.115,0.115,0.0
2012-05-25,0.115,0.115,0.115,0.115,0.115,4196.0
2012-05-28,0.125,0.135,0.125,0.135,0.135,181233.0
2012-05-29,0.135,0.135,0.135,0.135,0.135,0.0
2012-05-30,0.135,0.135,0.135,0.135,0.135,0.0
2012-05-31,0.135,0.135,0.135,0.135,0.135,0.0
2012-06-01,0.13,0.135,0.13,0.135,0.135,35436.0
2012-06-04,0.135,0.135,0.135,0.135,0.135,0.0
2012-06-05,0.135,0.135,0.135,0.135,0.135,0.0
2012-06-06,0.135,0.135,0.135,0.135,0.135,0.0
2012-06-07,0.12,0.12,0.115,0.115,0.115,61300.0
2012-06-08,0.11,0.11,0.11,0.11,0.11,35000.0
2012-06-12,0.11,0.11,0.11,0.11,0.11,0.0
2012-06-13,0.11,0.11,0.11,0.11,0.11,0.0
2012-06-14,0.12,0.12,0.12,0.12,0.12,18500.0
2012-06-15,0.12,0.12,0.12,0.12,0.12,23000.0
2012-06-18,0.11,0.11,0.11,0.11,0.11,30000.0
2012-06-19,0.12,0.135,0.12,0.135,0.135,30000.0
2012-06-20,0.115,0.115,0.115,0.115,0.115,26316.0
2012-06-21,0.115,0.115,0.115,0.115,0.115,0.0
2012-06-22,0.115,0.115,0.115,0.115,0.115,0.0
2012-06-25,0.125,0.125,0.115,0.115,0.115,265196.0
2012-06-26,0.13,0.13,0.125,0.13,0.13,168208.0
2012-06-27,0.135,0.135,0.125,0.125,0.125,43500.0
2012-06-28,0.125,0.125,0.125,0.125,0.125,12000.0
2012-06-29,0.125,0.125,0.125,0.125,0.125,105000.0
2012-07-02,0.125,0.125,0.125,0.125,0.125,100000.0
2012-07-03,0.125,0.125,0.125,0.125,0.125,0.0
2012-07-04,0.125,0.125,0.11,0.11,0.11,87187.0
2012-07-05,0.11,0.11,0.11,0.11,0.11,0.0
2012-07-06,0.11,0.11,0.11,0.11,0.11,0.0
2012-07-09,0.11,0.11,0.11,0.11,0.11,0.0
2012-07-10,0.11,0.11,0.11,0.11,0.11,2500.0
2012-07-11,0.11,0.11,0.11,0.11,0.11,0.0
2012-07-12,0.125,0.125,0.125,0.125,0.125,8200.0
2012-07-13,0.125,0.125,0.125,0.125,0.125,16800.0
2012-07-16,0.125,0.125,0.125,0.125,0.125,0.0
2012-07-17,0.125,0.125,0.125,0.125,0.125,0.0
2012-07-18,0.125,0.125,0.125,0.125,0.125,0.0
2012-07-19,0.115,0.115,0.115,0.115,0.115,20000.0
2012-07-20,0.12,0.12,0.12,0.12,0.12,130000.0
2012-07-23,0.125,0.125,0.125,0.125,0.125,97808.0
2012-07-24,0.125,0.125,0.12,0.12,0.12,100000.0
2012-07-25,0.12,0.12,0.12,0.12,0.12,0.0
2012-07-26,0.12,0.12,0.12,0.12,0.12,0.0
2012-07-27,0.12,0.12,0.115,0.115,0.115,550000.0
2012-07-30,0.115,0.115,0.115,0.115,0.115,0.0
2012-07-31,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-01,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-02,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-03,0.115,0.115,0.115,0.115,0.115,10000.0
2012-08-06,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-07,0.115,0.115,0.11,0.11,0.11,50000.0
2012-08-08,0.11,0.12,0.11,0.12,0.12,28500.0
2012-08-09,0.12,0.12,0.12,0.12,0.12,0.0
2012-08-10,0.12,0.12,0.12,0.12,0.12,0.0
2012-08-13,0.11,0.11,0.11,0.11,0.11,275696.0
2012-08-14,0.11,0.11,0.11,0.11,0.11,0.0
2012-08-15,0.11,0.11,0.11,0.11,0.11,0.0
2012-08-16,0.11,0.11,0.11,0.11,0.11,0.0
2012-08-17,0.11,0.11,0.11,0.11,0.11,0.0
2012-08-20,0.11,0.11,0.11,0.11,0.11,55000.0
2012-08-21,0.115,0.115,0.115,0.115,0.115,34200.0
2012-08-22,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-23,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-24,0.115,0.12,0.115,0.12,0.12,105900.0
2012-08-27,0.115,0.125,0.115,0.115,0.115,114308.0
2012-08-28,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-29,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-30,0.115,0.115,0.115,0.115,0.115,0.0
2012-08-31,0.115,0.115,0.115,0.115,0.115,0.0
2012-09-03,0.115,0.115,0.115,0.115,0.115,56156.0
2012-09-04,0.115,0.12,0.115,0.12,0.12,278500.0
2012-09-05,0.115,0.115,0.11,0.11,0.11,26000.0
2012-09-06,0.11,0.11,0.11,0.11,0.11,10000.0
2012-09-07,0.11,0.11,0.11,0.11,0.11,0.0
2012-09-10,0.11,0.11,0.11,0.11,0.11,18200.0
2012-09-11,0.11,0.12,0.1,0.12,0.12,270000.0
2012-09-12,0.12,0.12,0.12,0.12,0.12,41667.0
2012-09-13,0.115,0.115,0.11,0.11,0.11,20000.0
2012-09-14,0.12,0.125,0.12,0.125,0.125,20000.0
2012-09-17,0.125,0.125,0.125,0.125,0.125,0.0
2012-09-18,0.11,0.11,0.11,0.11,0.11,20000.0
2012-09-19,0.11,0.11,0.11,0.11,0.11,0.0
2012-09-20,0.12,0.12,0.12,0.12,0.12,33000.0
2012-09-21,0.11,0.11,0.11,0.11,0.11,7500.0
2012-09-24,0.11,0.11,0.11,0.11,0.11,0.0
2012-09-25,0.11,0.11,0.11,0.11,0.11,0.0
2012-09-26,0.11,0.11,0.11,0.11,0.11,0.0
2012-09-27,0.11,0.11,0.11,0.11,0.11,0.0
2012-09-28,0.12,0.125,0.105,0.105,0.105,176000.0
2012-10-01,0.105,0.105,0.105,0.105,0.105,20000.0
2012-10-02,0.105,0.105,0.105,0.105,0.105,0.0
2012-10-03,0.12,0.16,0.12,0.13,0.13,607560.0
2012-10-04,0.13,0.13,0.13,0.13,0.13,67920.0
2012-10-05,0.135,0.135,0.135,0.135,0.135,1712.0
2012-10-07,0.135,0.135,0.135,0.135,0.135,0.0
2012-10-08,0.125,0.125,0.125,0.125,0.125,123000.0
2012-10-09,0.125,0.125,0.125,0.125,0.125,123000.0
2012-10-10,0.125,0.125,0.125,0.125,0.125,0.0
2012-10-11,0.125,0.125,0.125,0.125,0.125,20000.0
2012-10-14,0.125,0.125,0.125,0.125,0.125,52800.0
2012-10-15,0.125,0.13,0.125,0.13,0.13,117423.0
2012-10-16,0.13,0.13,0.13,0.13,0.13,5077.0
2012-10-17,0.125,0.125,0.125,0.125,0.125,30000.0
2012-10-18,0.125,0.125,0.125,0.125,0.125,102500.0
2012-10-21,0.125,0.125,0.125,0.125,0.125,0.0
2012-10-22,0.125,0.125,0.125,0.125,0.125,50000.0
2012-10-23,0.125,0.125,0.125,0.125,0.125,0.0
2012-10-24,0.125,0.125,0.125,0.125,0.125,10000.0
2012-10-25,0.125,0.125,0.125,0.125,0.125,38400.0
2012-10-28,0.125,0.13,0.125,0.13,0.13,25000.0
2012-10-29,0.125,0.125,0.125,0.125,0.125,0.0
2012-10-30,0.125,0.13,0.125,0.13,0.13,44741.0
2012-10-31,0.12,0.12,0.12,0.12,0.12,35894.0
2012-11-01,0.12,0.12,0.12,0.12,0.12,0.0
2012-11-04,0.115,0.115,0.115,0.115,0.115,145106.0
2012-11-05,0.115,0.115,0.115,0.115,0.115,0.0
2012-11-06,0.115,0.115,0.115,0.115,0.115,0.0
2012-11-07,0.115,0.115,0.115,0.115,0.115,0.0
2012-11-08,0.115,0.115,0.115,0.115,0.115,0.0
2012-11-11,0.115,0.115,0.115,0.115,0.115,0.0
2012-11-12,0.115,0.115,0.115,0.115,0.115,20000.0
2012-11-13,0.12,0.12,0.12,0.12,0.12,116000.0
2012-11-14,0.12,0.12,0.12,0.12,0.12,0.0
2012-11-15,0.13,0.14,0.13,0.14,0.14,200000.0
2012-11-18,0.14,0.14,0.14,0.14,0.14,0.0
2012-11-19,0.14,0.14,0.14,0.14,0.14,0.0
2012-11-20,0.14,0.14,0.14,0.14,0.14,0.0
2012-11-21,0.135,0.135,0.13,0.13,0.13,76100.0
2012-11-22,0.13,0.13,0.13,0.13,0.13,0.0
2012-11-25,0.13,0.13,0.13,0.13,0.13,90000.0
2012-11-26,0.13,0.13,0.13,0.13,0.13,0.0
2012-11-27,0.13,0.13,0.13,0.13,0.13,0.0
2012-11-28,0.13,0.13,0.13,0.13,0.13,0.0
2012-11-29,0.13,0.13,0.13,0.13,0.13,0.0
2012-12-02,0.13,0.13,0.13,0.13,0.13,31212.0
2012-12-03,0.13,0.13,0.13,0.13,0.13,0.0
2012-12-04,0.135,0.135,0.13,0.13,0.13,25000.0
2012-12-05,0.13,0.13,0.13,0.13,0.13,10000.0
2012-12-06,0.135,0.14,0.135,0.14,0.14,74691.0
2012-12-09,0.135,0.135,0.135,0.135,0.135,40000.0
2012-12-10,0.14,0.145,0.14,0.145,0.145,17891.0
2012-12-11,0.145,0.155,0.145,0.155,0.155,712200.0
2012-12-12,0.155,0.175,0.155,0.175,0.175,428000.0
2012-12-13,0.16,0.16,0.155,0.155,0.155,369200.0
2012-12-16,0.155,0.16,0.155,0.16,0.16,76197.0
2012-12-17,0.165,0.18,0.165,0.18,0.18,334668.0
2012-12-18,0.18,0.18,0.16,0.16,0.16,242303.0
2012-12-19,0.16,0.16,0.16,0.16,0.16,160000.0
2012-12-20,0.16,0.16,0.16,0.16,0.16,87375.0
2012-12-23,0.16,0.16,0.16,0.16,0.16,0.0
2012-12-26,0.16,0.16,0.16,0.16,0.16,20000.0
2012-12-27,0.16,0.16,0.16,0.16,0.16,20000.0
2012-12-30,0.16,0.16,0.16,0.16,0.16,60000.0
2013-01-01,0.16,0.175,0.16,0.16,0.16,247563.0
2013-01-02,0.18,0.19,0.18,0.185,0.185,227300.0
2013-01-03,0.185,0.215,0.185,0.21,0.21,769522.0
2013-01-06,0.21,0.225,0.19,0.19,0.19,361669.0
2013-01-07,0.19,0.19,0.19,0.19,0.19,132211.0
2013-01-08,0.19,0.19,0.19,0.19,0.19,0.0
2013-01-09,0.19,0.2,0.19,0.2,0.2,68000.0
2013-01-10,0.205,0.21,0.2,0.2,0.2,171719.0
2013-01-13,0.21,0.215,0.2,0.2,0.2,37000.0
2013-01-14,0.2,0.2,0.2,0.2,0.2,0.0
2013-01-15,0.205,0.205,0.19,0.19,0.19,17539.0
2013-01-16,0.19,0.2,0.18,0.2,0.2,161895.0
2013-01-17,0.2,0.2,0.2,0.2,0.2,40000.0
2013-01-20,0.2,0.205,0.2,0.2,0.2,85245.0
2013-01-21,0.205,0.205,0.2,0.205,0.205,114205.0
2013-01-22,,,,,,
2013-01-23,0.205,0.21,0.205,0.205,0.205,69984.0
2013-01-24,0.205,0.205,0.205,0.205,0.205,62600.0
2013-01-28,0.2,0.21,0.2,0.21,0.21,221500.0
2013-01-29,0.21,0.21,0.21,0.21,0.21,0.0
2013-01-30,0.21,0.225,0.21,0.225,0.225,369800.0
2013-01-31,0.225,0.235,0.225,0.225,0.225,382763.0
2013-02-03,0.225,0.245,0.225,0.24,0.24,238245.0
2013-02-04,0.24,0.24,0.24,0.24,0.24,0.0
2013-02-05,0.24,0.24,0.24,0.24,0.24,37900.0
2013-02-06,0.24,0.24,0.23,0.23,0.23,100109.0
2013-02-07,0.235,0.235,0.23,0.23,0.23,60000.0
2013-02-10,0.23,0.23,0.23,0.23,0.23,34000.0
2013-02-11,0.235,0.235,0.235,0.235,0.235,50000.0
2013-02-12,0.235,0.235,0.23,0.23,0.23,113368.0
2013-02-13,0.23,0.235,0.23,0.235,0.235,32808.0
2013-02-14,0.235,0.24,0.23,0.23,0.23,12500.0
2013-02-17,0.235,0.245,0.235,0.245,0.245,92256.0
2013-02-18,0.245,0.27,0.245,0.27,0.27,398226.0
2013-02-19,0.265,0.275,0.26,0.27,0.27,184037.0
2013-02-20,0.26,0.26,0.25,0.255,0.255,220000.0
2013-02-21,0.27,0.28,0.27,0.28,0.28,190000.0
2013-02-24,0.255,0.265,0.19,0.25,0.25,2523967.0
2013-02-25,0.25,0.25,0.25,0.25,0.25,140000.0
2013-02-26,0.24,0.24,0.22,0.22,0.22,190000.0
2013-02-27,0.22,0.22,0.22,0.22,0.22,69000.0
2013-02-28,0.225,0.225,0.22,0.22,0.22,35000.0
2013-03-03,0.22,0.22,0.22,0.22,0.22,11700.0
2013-03-04,0.22,0.22,0.22,0.22,0.22,22300.0
2013-03-05,0.2,0.2,0.2,0.2,0.2,15815.0
2013-03-06,0.21,0.225,0.21,0.225,0.225,10378.0
2013-03-07,0.23,0.23,0.23,0.23,0.23,20000.0
2013-03-10,0.23,0.24,0.23,0.24,0.24,21500.0
2013-03-11,0.25,0.25,0.24,0.24,0.24,207322.0
2013-03-12,0.245,0.26,0.245,0.245,0.245,408000.0
2013-03-13,0.24,0.26,0.24,0.26,0.26,360000.0
2013-03-14,0.25,0.25,0.25,0.25,0.25,22500.0
2013-03-17,0.25,0.26,0.25,0.26,0.26,52662.0
2013-03-18,0.26,0.26,0.245,0.245,0.245,29000.0
2013-03-19,0.245,0.245,0.245,0.245,0.245,24100.0
2013-03-20,0.25,0.25,0.245,0.245,0.245,4079.0
2013-03-21,0.245,0.245,0.245,0.245,0.245,26663.0
2013-03-24,0.24,0.24,0.24,0.24,0.24,30000.0
2013-03-25,0.24,0.24,0.24,0.24,0.24,15000.0
2013-03-26,0.24,0.24,0.24,0.24,0.24,0.0
2013-03-27,0.24,0.24,0.24,0.24,0.24,62375.0
2013-04-01,0.24,0.24,0.24,0.24,0.24,0.0
2013-04-02,0.24,0.24,0.24,0.24,0.24,25000.0
2013-04-03,0.24,0.24,0.24,0.24,0.24,188465.0
2013-04-04,0.24,0.24,0.24,0.24,0.24,20000.0
2013-04-08,0.24,0.24,0.24,0.24,0.24,71046.0
2013-04-09,0.24,0.24,0.24,0.24,0.24,74154.0
2013-04-10,0.24,0.24,0.24,0.24,0.24,0.0
2013-04-11,0.245,0.245,0.245,0.245,0.245,25245.0
2013-04-12,0.25,0.255,0.25,0.255,0.255,170460.0
2013-04-15,0.26,0.26,0.25,0.26,0.26,206307.0
2013-04-16,0.255,0.255,0.25,0.25,0.25,5000.0
2013-04-17,0.255,0.255,0.255,0.255,0.255,75000.0
2013-04-18,0.25,0.25,0.23,0.24,0.24,94500.0
2013-04-19,0.24,0.24,0.24,0.24,0.24,25000.0
2013-04-22,0.24,0.24,0.24,0.24,0.24,0.0
2013-04-23,0.225,0.225,0.225,0.225,0.225,3250.0
