Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.63,2.64,2.6,2.62,2.029659,429499.0
2012-01-03,2.63,2.74,2.62,2.69,2.083886,817825.0
2012-01-04,2.7,2.71,2.57,2.57,1.990925,790916.0
2012-01-05,2.56,2.6,2.53,2.58,1.9986720000000002,714500.0
2012-01-08,2.62,2.65,2.53,2.57,1.990925,474337.0
2012-01-09,2.58,2.59,2.54,2.55,1.975432,610157.0
2012-01-10,2.57,2.72,2.57,2.7,2.091634,1253522.0
2012-01-11,2.7,2.73,2.65,2.71,2.09938,658854.0
2012-01-12,2.75,2.76,2.72,2.74,2.122621,491934.0
2012-01-15,2.66,2.76,2.63,2.74,2.122621,772132.0
2012-01-16,2.73,2.8,2.67,2.8,2.169101,593217.0
2012-01-17,2.8,2.85,2.77,2.85,2.2078349999999998,1386802.0
2012-01-18,2.85,2.87,2.82,2.82,2.1845950000000003,1377133.0
2012-01-19,2.83,2.87,2.82,2.83,2.192342,735700.0
2012-01-22,2.82,2.85,2.8,2.83,2.192342,677066.0
2012-01-23,2.84,2.84,2.8,2.81,2.176848,566605.0
2012-01-24,2.84,2.94,2.81,2.91,2.2543159999999998,1397549.0
2012-01-26,2.92,3.15,2.91,3.1,2.401505,2249737.0
2012-01-29,3.16,3.18,3.015,3.05,2.362771,964486.0
2012-01-30,3.07,3.1,3.03,3.03,2.3472779999999998,567393.0
2012-01-31,3.08,3.08,3.01,3.01,2.331784,1521456.0
2012-02-01,3.12,3.13,3.05,3.09,2.393759,1871154.0
2012-02-02,3.1,3.24,3.08,3.17,2.4557330000000004,1399372.0
2012-02-05,3.25,3.32,3.24,3.26,2.525454,1403649.0
2012-02-06,3.28,3.42,3.26,3.27,2.533201,2420777.0
2012-02-07,3.3,3.31,3.19,3.24,2.50996,1894544.0
2012-02-08,3.29,3.3,3.18,3.23,2.5022130000000002,2058081.0
2012-02-09,3.22,3.25,3.22,3.23,2.5022130000000002,716497.0
2012-02-12,3.24,3.29,3.23,3.26,2.525454,1845589.0
2012-02-13,3.27,3.28,3.22,3.22,2.4944669999999998,1520872.0
2012-02-14,3.22,3.26,3.2,3.25,2.517707,781049.0
2012-02-15,3.25,3.26,3.14,3.16,2.447986,1979968.0
2012-02-16,3.2,3.24,3.19,3.21,2.48672,624824.0
2012-02-19,3.31,3.38,3.29,3.38,2.618415,498226.0
2012-02-20,3.39,3.45,3.37,3.45,2.672643,1297479.0
2012-02-21,3.49,3.565,3.48,3.52,2.726871,4209452.0
2012-02-22,3.57,3.6,3.54,3.6,2.7888450000000002,2223201.0
2012-02-23,3.7,3.71,3.51,3.56,2.757857,2211794.0
2012-02-26,3.61,3.75,3.6,3.67,2.8430720000000003,2856398.0
2012-02-27,3.68,3.71,3.67,3.7,2.866313,2287084.0
2012-02-28,3.7,3.87,3.69,3.83,2.967021,2005280.0
2012-02-29,3.78,3.79,3.66,3.75,2.967021,1789242.0
2012-03-01,3.77,3.84,3.73,3.82,3.022405,1552188.0
2012-03-04,3.86,4.03,3.86,3.93,3.109438,2516072.0
2012-03-05,3.92,3.93,3.75,3.79,2.998669,2846429.0
2012-03-06,3.67,3.67,3.53,3.53,2.792956,3877505.0
2012-03-07,3.56,3.74,3.56,3.74,2.959109,2458086.0
2012-03-08,3.84,3.88,3.74,3.79,2.998669,1514766.0
2012-03-11,3.77,3.91,3.76,3.85,3.046141,1170247.0
2012-03-12,3.87,4.0,3.83,3.94,3.11735,2172491.0
2012-03-13,4.0,4.03,3.96,3.98,3.1489979999999997,1473699.0
2012-03-14,4.0,4.08,3.99,4.03,3.188559,3470409.0
2012-03-15,4.09,4.17,4.09,4.14,3.275591,2473092.0
2012-03-18,4.16,4.29,4.14,4.26,3.370536,3524652.0
2012-03-19,4.26,4.36,4.2,4.25,3.362624,2015570.0
2012-03-20,4.22,4.25,4.18,4.19,3.315151,3463579.0
2012-03-21,4.19,4.29,4.16,4.25,3.362624,1396145.0
2012-03-22,4.22,4.22,4.06,4.06,3.212295,2677131.0
2012-03-25,4.07,4.17,4.07,4.13,3.2676790000000002,1393298.0
2012-03-26,4.17,4.17,4.13,4.14,3.275591,1062155.0
2012-03-27,4.1,4.12,4.04,4.1,3.2439430000000002,2712846.0
2012-03-28,4.13,4.15,4.07,4.12,3.2597669999999996,1206878.0
2012-03-29,4.14,4.19,4.14,4.15,3.283504,1277260.0
2012-04-02,4.2,4.2,4.11,4.12,3.2597669999999996,1577013.0
2012-04-03,4.11,4.2,4.1,4.17,3.299327,1517113.0
2012-04-04,4.15,4.2,4.1,4.15,3.283504,1973689.0
2012-04-05,4.11,4.11,3.91,4.03,3.188559,1538775.0
2012-04-10,4.0,4.04,3.94,4.0,3.164822,1023723.0
2012-04-11,3.9,4.0,3.78,3.86,3.0540540000000003,2553911.0
2012-04-12,3.82,4.02,3.82,3.97,3.141086,1873441.0
2012-04-13,4.05,4.11,4.01,4.05,3.204383,2341347.0
2012-04-16,4.07,4.1,4.01,4.06,3.212295,1730770.0
2012-04-17,4.05,4.13,4.02,4.08,3.228119,1040031.0
2012-04-18,4.15,4.17,4.075,4.1,3.2439430000000002,1380585.0
2012-04-19,4.16,4.16,4.02,4.05,3.204383,1359297.0
2012-04-20,4.1,4.24,4.08,4.24,3.354711,1448477.0
2012-04-23,4.24,4.24,4.11,4.11,3.251855,973399.0
2012-04-24,4.1,4.14,3.97,3.99,3.15691,2026926.0
2012-04-26,4.0,4.1,4.0,4.01,3.172734,1741540.0
2012-04-27,4.01,4.08,3.99,3.99,3.15691,1127145.0
2012-04-30,4.0,4.11,3.98,4.09,3.236031,1427673.0
2012-05-01,4.11,4.16,4.0,4.04,3.19647,1362009.0
2012-05-02,4.0,4.01,3.91,3.92,3.101526,2033094.0
2012-05-03,3.84,3.87,3.66,3.75,2.967021,5737918.0
2012-05-04,3.58,3.64,3.54,3.56,2.8166919999999998,5256790.0
2012-05-07,3.43,3.59,3.42,3.52,2.785043,5584546.0
2012-05-08,3.61,3.64,3.56,3.6,2.8483400000000003,2440818.0
2012-05-09,3.56,3.58,3.37,3.42,2.705923,3438351.0
2012-05-10,3.37,3.57,3.37,3.57,2.824604,2706216.0
2012-05-11,3.56,3.61,3.53,3.59,2.8404279999999997,1316461.0
2012-05-14,3.6,3.78,3.48,3.51,2.777132,2564896.0
2012-05-15,3.46,3.535,3.39,3.49,2.761307,2185372.0
2012-05-16,3.4,3.49,3.26,3.43,2.713835,2732141.0
2012-05-17,3.41,3.45,3.24,3.45,2.729659,3271490.0
2012-05-18,3.3,3.34,3.14,3.2,2.531857,2467336.0
2012-05-21,3.18,3.25,3.01,3.13,2.476473,3569490.0
2012-05-22,3.26,3.39,3.24,3.28,2.595155,5444870.0
2012-05-23,3.26,3.31,3.24,3.25,2.571418,3698497.0
2012-05-24,3.26,3.33,3.26,3.28,2.595155,3020847.0
2012-05-25,3.3,3.31,3.17,3.21,2.53977,938803.0
2012-05-28,3.18,3.23,3.15,3.23,2.5555939999999997,1180859.0
2012-05-29,3.24,3.4,3.18,3.37,2.666363,1676967.0
2012-05-30,3.37,3.38,3.28,3.35,2.650538,1519656.0
2012-05-31,3.31,3.45,3.25,3.34,2.642627,2123073.0
2012-06-01,3.3,3.34,3.13,3.16,2.50021,1567382.0
2012-06-04,3.08,3.09,2.935,2.95,2.334057,2407383.0
2012-06-05,2.98,3.13,2.98,3.1,2.452737,2210332.0
2012-06-06,3.1,3.12,3.02,3.05,2.413177,1861465.0
2012-06-07,3.12,3.15,2.99,2.99,2.3657049999999997,3083736.0
2012-06-08,3.03,3.05,2.96,2.96,2.3419689999999997,3338134.0
2012-06-12,2.97,3.0,2.94,2.95,2.334057,1497852.0
2012-06-13,2.94,2.94,2.855,2.9,2.294496,1610314.0
2012-06-14,2.9,2.92,2.86,2.91,2.3024080000000002,988267.0
2012-06-15,2.98,3.03,2.94,2.98,2.357793,2207830.0
2012-06-18,3.04,3.11,2.99,3.1,2.452737,2155591.0
2012-06-19,3.09,3.09,2.95,2.98,2.357793,826664.0
2012-06-20,3.02,3.02,2.92,2.99,2.3657049999999997,1929854.0
2012-06-21,3.0,3.02,2.95,2.95,2.334057,2551432.0
2012-06-22,2.9,2.93,2.83,2.92,2.31032,1392731.0
2012-06-25,2.93,2.93,2.77,2.85,2.2549360000000003,1196900.0
2012-06-26,2.8,2.875,2.78,2.86,2.262848,1356767.0
2012-06-27,2.83,2.9,2.8,2.89,2.286584,579028.0
2012-06-28,2.9,2.92,2.85,2.86,2.262848,612426.0
2012-06-29,2.86,3.03,2.83,3.02,2.389441,1289335.0
2012-07-02,3.08,3.18,3.08,3.13,2.476473,1181496.0
2012-07-03,3.15,3.17,3.1,3.1,2.452737,972941.0
