Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.14,0.14,0.14,0.14,0.14,3750.0
2012-01-03,0.14,0.14,0.14,0.14,0.14,6250.0
2012-01-04,0.135,0.135,0.135,0.135,0.135,30000.0
2012-01-05,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-08,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-09,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-10,0.135,0.135,0.135,0.135,0.135,0.0
2012-01-11,0.14,0.14,0.14,0.14,0.14,20000.0
2012-01-12,0.14,0.14,0.14,0.14,0.14,0.0
2012-01-15,0.14,0.14,0.14,0.14,0.14,0.0
2012-01-16,0.14,0.14,0.14,0.14,0.14,0.0
2012-01-17,0.15,0.15,0.14,0.14,0.14,20000.0
2012-01-18,0.14,0.14,0.14,0.14,0.14,0.0
2012-01-19,0.14,0.14,0.14,0.14,0.14,0.0
2012-01-22,0.14,0.14,0.14,0.14,0.14,0.0
2012-01-23,0.135,0.135,0.13,0.13,0.13,88500.0
2012-01-24,0.135,0.14,0.135,0.14,0.14,215000.0
2012-01-26,0.135,0.135,0.135,0.135,0.135,52500.0
2012-01-29,,,,,,
2012-01-30,0.135,0.135,0.13,0.13,0.13,216846.0
2012-01-31,0.13,0.13,0.13,0.13,0.13,0.0
2012-02-01,0.13,0.13,0.13,0.13,0.13,0.0
2012-02-02,0.125,0.125,0.125,0.125,0.125,18000.0
2012-02-05,0.13,0.13,0.125,0.125,0.125,75880.0
2012-02-06,0.13,0.13,0.13,0.13,0.13,65520.0
2012-02-07,0.13,0.13,0.13,0.13,0.13,0.0
2012-02-08,0.13,0.13,0.13,0.13,0.13,0.0
2012-02-09,0.12,0.12,0.12,0.12,0.12,63649.0
2012-02-12,0.125,0.125,0.125,0.125,0.125,20000.0
2012-02-13,0.125,0.125,0.125,0.125,0.125,0.0
2012-02-14,0.125,0.125,0.125,0.125,0.125,0.0
2012-02-15,0.125,0.125,0.105,0.105,0.105,694714.0
2012-02-16,0.105,0.11,0.105,0.11,0.11,316400.0
2012-02-19,0.11,0.11,0.11,0.11,0.11,10000.0
2012-02-20,0.115,0.125,0.11,0.125,0.125,1490676.0
2012-02-21,0.12,0.135,0.115,0.135,0.135,1198372.0
2012-02-22,0.125,0.125,0.125,0.125,0.125,187318.0
2012-02-23,0.125,0.13,0.12,0.12,0.12,1110460.0
2012-02-26,0.13,0.13,0.125,0.13,0.13,593500.0
2012-02-27,0.13,0.13,0.13,0.13,0.13,110000.0
2012-02-28,0.135,0.135,0.13,0.13,0.13,381207.0
2012-02-29,0.13,0.13,0.125,0.125,0.125,199470.0
2012-03-01,0.13,0.13,0.125,0.125,0.125,77208.0
2012-03-04,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-05,0.13,0.13,0.13,0.13,0.13,188652.0
2012-03-06,0.13,0.13,0.125,0.125,0.125,63348.0
2012-03-07,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-08,0.125,0.125,0.125,0.125,0.125,55083.0
2012-03-11,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-12,0.12,0.12,0.12,0.12,0.12,134917.0
2012-03-13,0.12,0.125,0.12,0.125,0.125,47000.0
2012-03-14,0.13,0.13,0.13,0.13,0.13,38462.0
2012-03-15,0.12,0.12,0.12,0.12,0.12,9000.0
2012-03-18,0.125,0.125,0.125,0.125,0.125,55000.0
2012-03-19,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-20,0.125,0.125,0.125,0.125,0.125,0.0
2012-03-21,0.125,0.125,0.125,0.125,0.125,60000.0
2012-03-22,0.11,0.11,0.11,0.11,0.11,34300.0
2012-03-25,0.11,0.11,0.105,0.105,0.105,150000.0
2012-03-26,0.12,0.12,0.12,0.12,0.12,40000.0
2012-03-27,0.12,0.13,0.12,0.13,0.13,120190.0
2012-03-28,0.125,0.125,0.125,0.125,0.125,170000.0
2012-03-29,0.125,0.125,0.125,0.125,0.125,48000.0
2012-04-02,0.125,0.125,0.125,0.125,0.125,0.0
2012-04-03,0.125,0.125,0.125,0.125,0.125,0.0
2012-04-04,0.125,0.125,0.125,0.125,0.125,110000.0
2012-04-05,0.125,0.125,0.12,0.12,0.12,136294.0
2012-04-10,0.12,0.12,0.11,0.11,0.11,264865.0
2012-04-11,0.11,0.11,0.1,0.105,0.105,384135.0
2012-04-12,0.105,0.115,0.105,0.115,0.115,107500.0
2012-04-13,0.115,0.115,0.115,0.115,0.115,0.0
2012-04-16,0.11,0.11,0.105,0.105,0.105,17480.0
2012-04-17,0.105,0.105,0.1,0.1,0.1,30952.0
2012-04-18,0.11,0.12,0.11,0.12,0.12,181670.0
2012-04-19,0.12,0.12,0.12,0.12,0.12,0.0
2012-04-20,0.12,0.12,0.12,0.12,0.12,0.0
2012-04-23,0.12,0.12,0.12,0.12,0.12,0.0
2012-04-24,0.105,0.105,0.105,0.105,0.105,46000.0
2012-04-26,0.105,0.105,0.105,0.105,0.105,17550.0
2012-04-27,0.105,0.105,0.105,0.105,0.105,36451.0
2012-04-30,0.105,0.105,0.105,0.105,0.105,42549.0
2012-05-01,0.11,0.11,0.11,0.11,0.11,20000.0
2012-05-02,0.11,0.11,0.11,0.11,0.11,22451.0
2012-05-03,0.11,0.11,0.11,0.11,0.11,14400.0
2012-05-04,0.11,0.11,0.11,0.11,0.11,0.0
2012-05-07,0.105,0.105,0.105,0.105,0.105,95000.0
2012-05-08,0.105,0.105,0.105,0.105,0.105,20000.0
2012-05-09,0.105,0.105,0.105,0.105,0.105,17500.0
2012-05-10,0.105,0.105,0.105,0.105,0.105,0.0
2012-05-11,0.105,0.105,0.105,0.105,0.105,0.0
2012-05-14,0.11,0.11,0.105,0.105,0.105,11149.0
2012-05-15,0.105,0.105,0.1,0.1,0.1,135308.0
2012-05-16,0.1,0.1,0.091,0.091,0.091,54692.0
2012-05-17,0.091,0.091,0.091,0.091,0.091,0.0
