Date,Open,High,Low,Close,Adj Close,Volume
2016-11-15,0.16,0.18,0.155,0.165,0.165,868214.0
2016-11-16,0.16,0.165,0.15,0.165,0.165,360200.0
2016-11-17,0.16,0.165,0.15,0.15,0.15,95792.0
2016-11-20,0.155,0.155,0.15,0.15,0.15,43851.0
2016-11-21,0.145,0.15,0.14,0.15,0.15,84000.0
2016-11-22,0.15,0.15,0.14,0.14,0.14,36200.0
2016-11-23,0.13,0.14,0.13,0.14,0.14,65000.0
2016-11-24,0.14,0.16,0.14,0.16,0.16,24135.0
2016-11-27,0.16,0.165,0.16,0.165,0.165,148000.0
2016-11-28,0.165,0.175,0.165,0.17,0.17,153071.0
2016-11-29,0.17,0.17,0.16,0.17,0.17,116400.0
2016-11-30,0.165,0.165,0.16,0.16,0.16,80091.0
2016-12-01,0.16,0.165,0.16,0.165,0.165,106000.0
2016-12-04,0.16,0.16,0.155,0.16,0.16,70000.0
2016-12-05,0.16,0.16,0.155,0.155,0.155,80475.0
2016-12-06,0.155,0.155,0.155,0.155,0.155,0.0
2016-12-07,0.155,0.16,0.15,0.155,0.155,156399.0
2016-12-08,0.155,0.155,0.14,0.14,0.14,26601.0
2016-12-11,0.14,0.14,0.14,0.14,0.14,0.0
2016-12-12,0.15,0.15,0.14,0.15,0.15,106200.0
2016-12-13,0.14,0.15,0.13,0.13,0.13,52800.0
2016-12-14,0.13,0.135,0.13,0.135,0.135,125000.0
2016-12-15,0.135,0.145,0.135,0.145,0.145,54850.0
2016-12-18,0.13,0.135,0.13,0.135,0.135,125000.0
2016-12-19,0.135,0.135,0.135,0.135,0.135,0.0
2016-12-20,0.135,0.135,0.135,0.135,0.135,10000.0
2016-12-21,0.14,0.14,0.14,0.14,0.14,50000.0
2016-12-22,0.14,0.14,0.14,0.14,0.14,31000.0
2016-12-27,0.14,0.14,0.135,0.135,0.135,201790.0
2016-12-28,0.135,0.135,0.135,0.135,0.135,0.0
2016-12-29,0.135,0.135,0.135,0.135,0.135,0.0
2017-01-02,0.135,0.14,0.135,0.14,0.14,6950.0
2017-01-03,0.14,0.145,0.14,0.145,0.145,70590.0
2017-01-04,0.145,0.145,0.145,0.145,0.145,48410.0
2017-01-05,0.15,0.15,0.15,0.15,0.15,65000.0
2017-01-08,0.145,0.145,0.145,0.145,0.145,18000.0
2017-01-09,0.145,0.145,0.14,0.145,0.145,172840.0
2017-01-10,0.14,0.14,0.14,0.14,0.14,66000.0
2017-01-11,0.14,0.14,0.14,0.14,0.14,120000.0
2017-01-12,0.135,0.135,0.13,0.13,0.13,25000.0
2017-01-15,0.13,0.13,0.13,0.13,0.13,50000.0
2017-01-16,0.13,0.145,0.13,0.145,0.145,63315.0
2017-01-17,0.14,0.14,0.135,0.135,0.135,335000.0
2017-01-18,0.145,0.145,0.145,0.145,0.145,405000.0
2017-01-19,0.135,0.14,0.12,0.14,0.14,127980.0
2017-01-22,0.14,0.14,0.14,0.14,0.14,0.0
2017-01-23,0.14,0.14,0.14,0.14,0.14,212100.0
2017-01-24,0.13,0.135,0.13,0.13,0.13,137000.0
2017-01-26,0.13,0.13,0.13,0.13,0.13,0.0
2017-01-29,0.13,0.13,0.13,0.13,0.13,0.0
2017-01-30,0.13,0.13,0.13,0.13,0.13,0.0
2017-01-31,0.13,0.13,0.13,0.13,0.13,0.0
2017-02-01,0.13,0.13,0.13,0.13,0.13,0.0
2017-02-02,0.13,0.13,0.13,0.13,0.13,0.0
2017-02-05,0.13,0.13,0.13,0.13,0.13,0.0
2017-02-06,0.13,0.13,0.13,0.13,0.13,0.0
2017-02-07,0.13,0.13,0.13,0.13,0.13,0.0
2017-02-08,0.13,0.14,0.13,0.14,0.14,319152.0
2017-02-09,0.14,0.145,0.14,0.145,0.145,359021.0
2017-02-12,0.15,0.16,0.15,0.16,0.16,195151.0
2017-02-13,0.16,0.17,0.16,0.165,0.165,279902.0
2017-02-14,0.17,0.17,0.16,0.17,0.17,139237.0
2017-02-15,0.16,0.17,0.16,0.17,0.17,257600.0
2017-02-16,0.17,0.17,0.17,0.17,0.17,0.0
2017-02-19,0.17,0.17,0.17,0.17,0.17,0.0
2017-02-20,0.165,0.165,0.16,0.16,0.16,65992.0
2017-02-21,0.16,0.16,0.16,0.16,0.16,0.0
2017-02-22,0.16,0.16,0.16,0.16,0.16,0.0
2017-02-23,0.15,0.15,0.15,0.15,0.15,159289.0
2017-02-26,0.15,0.15,0.15,0.15,0.15,0.0
2017-02-27,0.145,0.145,0.145,0.145,0.145,40000.0
2017-02-28,0.145,0.145,0.145,0.145,0.145,0.0
2017-03-01,0.14,0.145,0.14,0.145,0.145,34500.0
2017-03-02,0.145,0.145,0.145,0.145,0.145,0.0
2017-03-05,0.145,0.145,0.145,0.145,0.145,21000.0
2017-03-06,0.145,0.145,0.145,0.145,0.145,0.0
2017-03-07,0.155,0.16,0.155,0.16,0.16,80437.0
2017-03-08,0.16,0.165,0.16,0.165,0.165,270000.0
2017-03-09,0.17,0.17,0.165,0.165,0.165,85000.0
2017-03-12,0.17,0.175,0.165,0.165,0.165,223700.0
2017-03-13,0.165,0.17,0.165,0.17,0.17,52560.0
2017-03-14,0.165,0.165,0.16,0.165,0.165,161060.0
2017-03-15,0.16,0.16,0.155,0.16,0.16,115800.0
2017-03-16,0.16,0.16,0.16,0.16,0.16,0.0
2017-03-19,0.16,0.165,0.16,0.16,0.16,48513.0
2017-03-20,0.165,0.17,0.165,0.17,0.17,200065.0
2017-03-21,0.175,0.2,0.17,0.18,0.18,805664.0
2017-03-22,0.185,0.19,0.18,0.18,0.18,200166.0
2017-03-23,0.18,0.185,0.18,0.185,0.185,235611.0
2017-03-26,0.185,0.185,0.175,0.175,0.175,74000.0
2017-03-27,0.17,0.17,0.17,0.17,0.17,30000.0
2017-03-28,0.175,0.175,0.17,0.17,0.17,67692.0
2017-03-29,0.17,0.17,0.17,0.17,0.17,0.0
2017-03-30,0.17,0.175,0.165,0.175,0.175,95000.0
2017-04-03,0.17,0.17,0.17,0.17,0.17,10000.0
2017-04-04,0.17,0.17,0.165,0.165,0.165,118885.0
2017-04-05,0.165,0.165,0.15,0.155,0.155,140500.0
2017-04-06,0.16,0.16,0.16,0.16,0.16,4000.0
2017-04-07,0.165,0.165,0.165,0.165,0.165,10000.0
2017-04-10,0.165,0.165,0.165,0.165,0.165,0.0
2017-04-11,0.17,0.17,0.17,0.17,0.17,29450.0
2017-04-12,0.165,0.165,0.16,0.16,0.16,25000.0
2017-04-13,0.16,0.16,0.16,0.16,0.16,6605.0
2017-04-18,0.17,0.17,0.17,0.17,0.17,80000.0
2017-04-19,0.165,0.165,0.15,0.16,0.16,56795.0
2017-04-20,0.155,0.16,0.155,0.16,0.16,9700.0
2017-04-21,0.16,0.17,0.16,0.17,0.17,34550.0
2017-04-24,0.17,0.17,0.17,0.17,0.17,0.0
2017-04-26,0.17,0.17,0.17,0.17,0.17,0.0
2017-04-27,0.16,0.16,0.16,0.16,0.16,10000.0
2017-04-28,0.16,0.16,0.16,0.16,0.16,24606.0
2017-05-01,0.16,0.16,0.16,0.16,0.16,0.0
2017-05-02,0.16,0.16,0.16,0.16,0.16,15160.0
2017-05-03,0.155,0.155,0.15,0.15,0.15,33000.0
2017-05-04,0.15,0.15,0.15,0.15,0.15,10234.0
2017-05-05,0.15,0.15,0.145,0.145,0.145,29004.0
2017-05-08,0.145,0.145,0.145,0.145,0.145,0.0
2017-05-09,0.145,0.145,0.145,0.145,0.145,23000.0
2017-05-10,0.145,0.145,0.145,0.145,0.145,34480.0
2017-05-11,0.145,0.145,0.14,0.145,0.145,93016.0
2017-05-12,0.145,0.145,0.145,0.145,0.145,0.0
2017-05-15,0.145,0.145,0.145,0.145,0.145,70981.0
2017-05-16,0.14,0.14,0.13,0.14,0.14,190504.0
2017-05-17,0.14,0.14,0.14,0.14,0.14,7134.0
2017-05-18,0.135,0.135,0.135,0.135,0.135,50000.0
2017-05-19,0.14,0.14,0.135,0.135,0.135,84242.0
2017-05-22,0.13,0.145,0.13,0.145,0.145,66120.0
