Date,Open,High,Low,Close,Adj Close,Volume
2015-04-16,0.235,0.25,0.225,0.225,0.225,1130390.0
2015-04-17,0.225,0.23,0.22,0.22,0.22,512018.0
2015-04-20,0.21,0.21,0.19,0.19,0.19,524173.0
2015-04-21,0.205,0.21,0.195,0.195,0.195,95000.0
2015-04-22,0.195,0.205,0.19,0.205,0.205,55200.0
2015-04-23,0.215,0.22,0.205,0.205,0.205,142000.0
2015-04-24,0.205,0.21,0.2,0.2,0.2,142519.0
2015-04-27,0.2,0.205,0.2,0.205,0.205,254500.0
2015-04-28,0.22,0.235,0.22,0.225,0.225,429132.0
2015-04-29,0.23,0.235,0.215,0.235,0.235,294716.0
2015-04-30,0.22,0.22,0.22,0.22,0.22,29800.0
2015-05-01,0.22,0.22,0.215,0.215,0.215,45500.0
2015-05-04,0.21,0.21,0.21,0.21,0.21,58732.0
2015-05-05,0.21,0.21,0.21,0.21,0.21,2800.0
2015-05-06,0.21,0.215,0.205,0.21,0.21,115470.0
2015-05-07,0.205,0.205,0.205,0.205,0.205,15000.0
2015-05-08,0.2,0.2,0.2,0.2,0.2,90550.0
2015-05-11,0.2,0.2,0.19,0.2,0.2,60623.0
2015-05-12,0.195,0.195,0.185,0.185,0.185,122500.0
2015-05-13,0.185,0.195,0.185,0.195,0.195,48739.0
2015-05-14,0.195,0.195,0.195,0.195,0.195,5000.0
2015-05-15,0.2,0.2,0.2,0.2,0.2,2500.0
2015-05-18,0.2,0.2,0.2,0.2,0.2,0.0
2015-05-19,0.2,0.205,0.2,0.205,0.205,62599.0
2015-05-20,0.205,0.205,0.205,0.205,0.205,21500.0
2015-05-21,0.225,0.24,0.21,0.225,0.225,208056.0
2015-05-22,0.22,0.22,0.205,0.205,0.205,44044.0
2015-05-25,0.21,0.22,0.21,0.22,0.22,59500.0
2015-05-26,0.22,0.22,0.205,0.205,0.205,51456.0
2015-05-27,0.205,0.205,0.205,0.205,0.205,2000.0
2015-05-28,0.2,0.2,0.2,0.2,0.2,46364.0
2015-05-29,0.2,0.2,0.195,0.2,0.2,74606.0
2015-06-01,0.195,0.2,0.195,0.195,0.195,107400.0
2015-06-02,0.195,0.195,0.195,0.195,0.195,17750.0
2015-06-03,0.2,0.2,0.2,0.2,0.2,55000.0
2015-06-04,0.2,0.2,0.2,0.2,0.2,50000.0
2015-06-05,0.2,0.205,0.2,0.205,0.205,20000.0
2015-06-09,0.3,0.775,0.285,0.71,0.71,12311122.0
2015-06-10,0.6,0.725,0.51,0.55,0.55,8912575.0
2015-06-11,0.55,0.6,0.5,0.555,0.555,1615668.0
2015-06-12,0.56,0.625,0.55,0.575,0.575,1099258.0
2015-06-15,0.595,0.6,0.525,0.535,0.535,269555.0
2015-06-16,0.54,0.54,0.485,0.485,0.485,382107.0
2015-06-17,0.455,0.46,0.37,0.425,0.425,804506.0
2015-06-18,0.415,0.43,0.395,0.395,0.395,168457.0
2015-06-19,0.4,0.4,0.345,0.37,0.37,337504.0
2015-06-22,0.385,0.485,0.38,0.47,0.47,411472.0
2015-06-23,0.5,0.505,0.42,0.44,0.44,376338.0
2015-06-24,0.43,0.46,0.42,0.43,0.43,104050.0
2015-06-25,0.435,0.435,0.39,0.43,0.43,210982.0
2015-06-26,0.41,0.41,0.375,0.375,0.375,125207.0
2015-06-29,0.37,0.37,0.32,0.335,0.335,190999.0
2015-06-30,0.33,0.35,0.33,0.345,0.345,96400.0
2015-07-01,0.34,0.38,0.33,0.38,0.38,23000.0
2015-07-02,0.38,0.39,0.38,0.39,0.39,29317.0
2015-07-03,0.37,0.37,0.365,0.365,0.365,35650.0
2015-07-06,0.37,0.39,0.37,0.39,0.39,23000.0
2015-07-07,0.39,0.39,0.36,0.36,0.36,82541.0
2015-07-08,0.385,0.385,0.34,0.34,0.34,87629.0
2015-07-09,0.34,0.37,0.335,0.345,0.345,86333.0
2015-07-10,0.34,0.34,0.33,0.34,0.34,21843.0
2015-07-13,0.345,0.345,0.34,0.34,0.34,38950.0
2015-07-14,0.34,0.345,0.34,0.34,0.34,50000.0
2015-07-15,0.35,0.365,0.35,0.365,0.365,73500.0
2015-07-16,0.35,0.35,0.33,0.33,0.33,84889.0
2015-07-17,0.345,0.345,0.345,0.345,0.345,5000.0
2015-07-20,0.35,0.39,0.35,0.355,0.355,184401.0
2015-07-21,0.36,0.38,0.36,0.38,0.38,35300.0
2015-07-22,0.37,0.37,0.335,0.335,0.335,71350.0
2015-07-23,0.345,0.355,0.34,0.34,0.34,87588.0
2015-07-24,0.35,0.35,0.32,0.32,0.32,141668.0
2015-07-27,0.315,0.33,0.315,0.32,0.32,115001.0
2015-07-28,0.32,0.34,0.32,0.34,0.34,7985.0
2015-07-29,0.315,0.34,0.315,0.34,0.34,20500.0
2015-07-30,0.34,0.34,0.34,0.34,0.34,10000.0
2015-07-31,0.325,0.34,0.32,0.34,0.34,76000.0
2015-08-03,0.345,0.41,0.34,0.41,0.41,206665.0
2015-08-04,0.4,0.415,0.38,0.385,0.385,59561.0
2015-08-05,0.395,0.44,0.395,0.395,0.395,199079.0
2015-08-06,0.4,0.4,0.395,0.395,0.395,44250.0
2015-08-07,0.38,0.38,0.38,0.38,0.38,7000.0
2015-08-10,0.38,0.38,0.365,0.365,0.365,83432.0
2015-08-11,0.36,0.36,0.34,0.34,0.34,73197.0
2015-08-12,0.35,0.35,0.35,0.35,0.35,21299.0
2015-08-13,0.35,0.35,0.33,0.33,0.33,23696.0
2015-08-14,0.34,0.34,0.34,0.34,0.34,8000.0
2015-08-17,0.34,0.34,0.34,0.34,0.34,3000.0
2015-08-18,0.36,0.36,0.36,0.36,0.36,68613.0
2015-08-19,0.35,0.35,0.35,0.35,0.35,7500.0
2015-08-20,0.36,0.36,0.36,0.36,0.36,30000.0
2015-08-21,0.355,0.355,0.335,0.335,0.335,50190.0
2015-08-24,0.325,0.325,0.3,0.31,0.31,183270.0
2015-08-25,0.295,0.295,0.265,0.28,0.28,75800.0
