Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,0.31,0.32,0.28,0.3,0.3,1577719
2017-09-19,0.3,0.33,0.3,0.31,0.31,843099
2017-09-20,0.305,0.305,0.3,0.3,0.3,439368
2017-09-21,0.28,0.28,0.265,0.28,0.28,436600
2017-09-22,0.28,0.29,0.28,0.29,0.29,162000
2017-09-25,0.29,0.29,0.29,0.29,0.29,38924
2017-09-26,0.29,0.3,0.29,0.3,0.3,319960
2017-09-27,0.3,0.31,0.3,0.31,0.31,215000
2017-09-28,0.3,0.31,0.3,0.305,0.305,288733
2017-09-29,0.3,0.305,0.295,0.305,0.305,200000
2017-10-01,0.305,0.305,0.305,0.305,0.305,0
2017-10-02,0.305,0.305,0.305,0.305,0.305,0
2017-10-03,0.305,0.305,0.305,0.305,0.305,0
2017-10-04,0.305,0.305,0.305,0.305,0.305,0
2017-10-05,0.29,0.3,0.28,0.3,0.3,119865
2017-10-08,0.3,0.3,0.3,0.3,0.3,0
2017-10-09,0.3,0.3,0.3,0.3,0.3,105122
2017-10-10,0.3,0.3,0.28,0.29,0.29,137501
2017-10-11,0.29,0.3,0.29,0.295,0.295,152130
2017-10-12,0.3,0.32,0.3,0.32,0.32,632956
2017-10-15,0.315,0.345,0.315,0.34,0.34,575113
2017-10-16,0.335,0.335,0.315,0.32,0.32,312922
2017-10-17,0.325,0.33,0.32,0.32,0.32,295000
2017-10-18,0.325,0.33,0.32,0.33,0.33,514600
2017-10-19,0.33,0.35,0.33,0.35,0.35,407965
2017-10-22,0.35,0.35,0.33,0.335,0.335,270250
2017-10-23,0.33,0.33,0.32,0.32,0.32,355067
2017-10-24,0.32,0.33,0.32,0.32,0.32,191906
2017-10-25,0.32,0.32,0.315,0.315,0.315,50385
2017-10-26,0.32,0.335,0.315,0.335,0.335,224167
2017-10-29,0.335,0.34,0.33,0.335,0.335,443372
2017-10-30,0.325,0.325,0.32,0.32,0.32,191670
2017-10-31,0.32,0.325,0.32,0.32,0.32,155500
2017-11-01,0.32,0.325,0.31,0.31,0.31,167716
2017-11-02,0.315,0.315,0.305,0.315,0.315,88339
2017-11-05,0.32,0.32,0.31,0.31,0.31,211918
2017-11-06,0.31,0.31,0.305,0.31,0.31,243995
2017-11-07,0.31,0.31,0.305,0.31,0.31,187666
2017-11-08,0.31,0.31,0.305,0.31,0.31,122333
2017-11-09,0.31,0.31,0.3,0.3,0.3,166350
2017-11-12,0.29,0.3,0.29,0.3,0.3,124952
2017-11-13,0.3,0.3,0.29,0.29,0.29,137048
2017-11-14,0.29,0.305,0.29,0.305,0.305,95952
2017-11-15,0.305,0.305,0.305,0.305,0.305,0
2017-11-16,0.305,0.305,0.305,0.305,0.305,0
2017-11-19,0.295,0.3,0.295,0.3,0.3,113335
2017-11-20,0.3,0.3,0.3,0.3,0.3,0
2017-11-21,0.29,0.29,0.29,0.29,0.29,2500
2017-11-22,0.29,0.29,0.29,0.29,0.29,12500
2017-11-23,0.29,0.29,0.29,0.29,0.29,0
2017-11-26,0.26,0.28,0.26,0.27,0.27,19500
2017-11-27,0.27,0.27,0.27,0.27,0.27,0
2017-11-28,0.27,0.27,0.27,0.27,0.27,25000
2017-11-29,0.27,0.27,0.27,0.27,0.27,95508
2017-11-30,0.27,0.27,0.265,0.265,0.265,17492
2017-12-03,0.265,0.29,0.265,0.29,0.29,85842
2017-12-04,0.29,0.29,0.29,0.29,0.29,4492
2017-12-05,0.29,0.29,0.29,0.29,0.29,0
2017-12-06,0.265,0.275,0.265,0.275,0.275,54777
2017-12-07,0.27,0.27,0.27,0.27,0.27,75451
2017-12-10,0.27,0.28,0.27,0.28,0.28,132000
2017-12-11,0.275,0.275,0.275,0.275,0.275,10000
2017-12-12,0.29,0.29,0.29,0.29,0.29,50000
2017-12-13,0.27,0.28,0.27,0.28,0.28,56667
2017-12-14,0.29,0.3,0.29,0.29,0.29,52000
2017-12-17,0.27,0.28,0.27,0.28,0.28,34333
2017-12-18,0.29,0.3,0.29,0.3,0.3,190000
2017-12-19,0.3,0.32,0.3,0.32,0.32,1125185
2017-12-20,0.32,0.32,0.31,0.31,0.31,6662
2017-12-21,0.31,0.31,0.3,0.3,0.3,33203
2017-12-26,0.3,0.3,0.3,0.3,0.3,25000
2017-12-27,0.305,0.315,0.305,0.315,0.315,155333
2017-12-28,0.31,0.315,0.31,0.31,0.31,53165
2018-01-01,0.31,0.31,0.31,0.31,0.31,49999
2018-01-02,0.31,0.31,0.31,0.31,0.31,3469
2018-01-03,0.305,0.305,0.3,0.3,0.3,60000
2018-01-04,0.3,0.3,0.28,0.29,0.29,111381
2018-01-07,0.3,0.305,0.3,0.305,0.305,517666
2018-01-08,0.3,0.3,0.3,0.3,0.3,106728
