Date,Open,High,Low,Close,Adj Close,Volume
2018-11-25,,,,,,
2018-11-26,0.3,0.3,0.3,0.3,0.3,0.0
2018-11-27,0.25,0.25,0.25,0.25,0.25,4000.0
2018-11-28,0.25,0.25,0.25,0.25,0.25,0.0
2018-11-29,0.25,0.25,0.25,0.25,0.25,13400.0
2018-12-02,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-03,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-04,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-05,0.25,0.25,0.25,0.25,0.25,1334.0
2018-12-06,0.25,0.25,0.25,0.25,0.25,31000.0
2018-12-09,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-10,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-11,0.25,0.25,0.25,0.25,0.25,4266.0
2018-12-12,0.25,0.275,0.25,0.275,0.275,10317.0
2018-12-13,0.25,0.275,0.25,0.275,0.275,45910.0
2018-12-16,0.25,0.25,0.25,0.25,0.25,4544.0
2018-12-17,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-18,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-19,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-20,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-23,0.25,0.25,0.25,0.25,0.25,0.0
2018-12-26,0.25,0.25,0.25,0.25,0.25,1594.0
2018-12-27,0.25,0.25,0.25,0.25,0.25,5205.0
2018-12-30,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-01,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-02,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-03,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-06,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-07,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-08,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-09,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-10,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-13,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-14,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-15,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-16,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-17,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-20,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-21,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-22,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-23,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-24,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-28,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-29,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-30,0.25,0.25,0.25,0.25,0.25,0.0
2019-01-31,0.25,0.25,0.25,0.25,0.25,0.0
2019-02-03,0.25,0.25,0.25,0.25,0.25,0.0
2019-02-04,0.25,0.25,0.25,0.25,0.25,0.0
2019-02-05,0.25,0.25,0.25,0.25,0.25,0.0
2019-02-06,0.25,0.25,0.25,0.25,0.25,0.0
2019-02-07,0.25,0.25,0.25,0.25,0.25,0.0
2019-02-10,0.08,0.12,0.08,0.12,0.12,20000.0
2019-02-11,0.12,0.12,0.12,0.12,0.12,18167.0
2019-02-12,0.12,0.12,0.12,0.12,0.12,0.0
2019-02-13,0.12,0.12,0.12,0.12,0.12,0.0
2019-02-14,0.086,0.087,0.085,0.087,0.087,10381.0
2019-02-17,0.085,0.091,0.085,0.091,0.091,7239.0
2019-02-18,0.094,0.095,0.094,0.095,0.095,2455.0
2019-02-19,0.09699999999999999,0.09699999999999999,0.096,0.09699999999999999,0.09699999999999999,17954.0
2019-02-20,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.09699999999999999,0.0
2019-02-21,0.096,0.105,0.096,0.105,0.105,44496.0
2019-02-24,0.105,0.105,0.105,0.105,0.105,0.0
2019-02-25,0.105,0.105,0.105,0.105,0.105,0.0
2019-02-26,0.1,0.105,0.086,0.086,0.086,10311.0
2019-02-27,0.086,0.086,0.086,0.086,0.086,0.0
2019-02-28,0.086,0.086,0.086,0.086,0.086,0.0
2019-03-03,0.086,0.086,0.086,0.086,0.086,0.0
2019-03-04,0.087,0.087,0.086,0.087,0.087,13280.0
2019-03-05,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-06,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-07,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-10,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-11,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-12,0.087,0.087,0.087,0.087,0.087,50277.0
2019-03-13,0.087,0.087,0.087,0.087,0.087,50277.0
2019-03-14,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-17,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-18,0.087,0.087,0.087,0.087,0.087,0.0
2019-03-19,0.08800000000000001,0.09,0.08800000000000001,0.09,0.09,6719.0
2019-03-20,0.09,0.091,0.09,0.091,0.091,10261.0
2019-03-21,0.1,0.1,0.098,0.098,0.098,23020.0
2019-03-24,0.098,0.105,0.095,0.105,0.105,66132.0
2019-03-25,0.11,0.11,0.11,0.11,0.11,32793.0
2019-03-26,0.12,0.12,0.12,0.12,0.12,17207.0
2019-03-27,0.125,0.13,0.125,0.13,0.13,20000.0
2019-03-28,0.125,0.14,0.125,0.14,0.14,80000.0
2019-03-31,0.14,0.14,0.14,0.14,0.14,74241.0
2019-04-01,0.15,0.16,0.14,0.16,0.16,60000.0
2019-04-02,0.16,0.17,0.16,0.16,0.16,80000.0
2019-04-03,0.145,0.145,0.145,0.145,0.145,1686.0
2019-04-04,0.155,0.19,0.155,0.19,0.19,85000.0
2019-04-08,0.18,0.205,0.18,0.205,0.205,129855.0
2019-04-09,0.2,0.215,0.2,0.215,0.215,45530.0
2019-04-10,0.215,0.24,0.215,0.23,0.23,40106.0
2019-04-11,0.24,0.25,0.24,0.25,0.25,61153.0
2019-04-12,0.26,0.26,0.23,0.25,0.25,79718.0
2019-04-15,0.25,0.27,0.25,0.27,0.27,40702.0
2019-04-16,0.26,0.27,0.26,0.27,0.27,10000.0
2019-04-17,0.255,0.27,0.255,0.27,0.27,20775.0
2019-04-18,0.265,0.28,0.265,0.28,0.28,50000.0
2019-04-23,0.215,0.25,0.215,0.25,0.25,4807.0
2019-04-24,0.245,0.28,0.245,0.28,0.28,10000.0
2019-04-26,0.28,0.28,0.28,0.28,0.28,41.0
2019-04-29,0.28,0.28,0.28,0.28,0.28,0.0
2019-04-30,0.285,0.29,0.285,0.29,0.29,10000.0
2019-05-01,0.29,0.29,0.29,0.29,0.29,0.0
2019-05-02,0.29,0.29,0.29,0.29,0.29,0.0
2019-05-03,0.29,0.29,0.29,0.29,0.29,0.0
2019-05-08,0.29,0.29,0.29,0.29,0.29,0.0
2019-05-09,0.285,0.3,0.285,0.285,0.285,60199.0
2019-05-10,0.3,0.31,0.295,0.295,0.295,49373.0
2019-05-13,0.295,0.295,0.295,0.295,0.295,1048.0
2019-05-14,0.295,0.295,0.295,0.295,0.295,17920.0
2019-05-15,0.3,0.315,0.3,0.3,0.3,24424.0
2019-05-16,0.3,0.33,0.3,0.33,0.33,65300.0
2019-05-17,0.33,0.33,0.31,0.32,0.32,32644.0
2019-05-20,0.325,0.325,0.325,0.325,0.325,20524.0
2019-05-21,0.325,0.325,0.325,0.325,0.325,0.0
2019-05-22,0.325,0.325,0.325,0.325,0.325,25331.0
2019-05-23,0.325,0.325,0.325,0.325,0.325,24643.0
2019-05-24,0.325,0.325,0.325,0.325,0.325,0.0
2019-05-27,0.335,0.335,0.335,0.335,0.335,2876.0
2019-05-28,0.335,0.335,0.335,0.335,0.335,16600.0
2019-05-29,0.335,0.335,0.335,0.335,0.335,0.0
2019-05-30,0.335,0.335,0.335,0.335,0.335,0.0
2019-05-31,0.335,0.335,0.335,0.335,0.335,0.0
2019-06-03,0.335,0.335,0.335,0.335,0.335,1065.0
2019-06-04,0.335,0.335,0.335,0.335,0.335,0.0
2019-06-05,0.33,0.35,0.33,0.35,0.35,47841.0
