Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.53,2.54,2.48,2.52,1.650697,7165266.0
2012-01-03,2.53,2.57,2.52,2.57,1.6834490000000002,5153977.0
2012-01-04,2.56,2.56,2.5,2.53,1.6572470000000001,6471174.0
2012-01-05,2.54,2.54,2.5,2.53,1.6572470000000001,4820402.0
2012-01-08,2.51,2.55,2.5,2.55,1.670348,8007140.0
2012-01-09,2.57,2.59,2.55,2.58,1.6899990000000005,13431986.0
2012-01-10,2.56,2.6,2.55,2.55,1.670348,7041929.0
2012-01-11,2.56,2.61,2.55,2.57,1.6834490000000002,5353767.0
2012-01-12,2.58,2.58,2.56,2.58,1.6899990000000005,9269191.0
2012-01-15,2.55,2.56,2.52,2.53,1.6572470000000001,5379103.0
2012-01-16,2.53,2.57,2.51,2.57,1.6834490000000002,18727094.0
2012-01-17,2.53,2.55,2.51,2.52,1.650697,12733401.0
2012-01-18,2.54,2.54,2.46,2.48,1.624495,13621475.0
2012-01-19,2.5,2.51,2.45,2.49,1.631046,21735463.0
2012-01-22,2.48,2.48,2.43,2.44,1.598294,8035335.0
2012-01-23,2.46,2.5,2.45,2.47,1.617945,5865593.0
2012-01-24,2.49,2.51,2.47,2.5,1.6375959999999998,5090213.0
2012-01-26,2.48,2.5,2.48,2.5,1.6375959999999998,9202993.0
2012-01-29,2.51,2.55,2.5,2.53,1.6572470000000001,24411178.0
2012-01-30,2.51,2.55,2.5,2.53,1.6572470000000001,7007583.0
2012-01-31,2.54,2.55,2.49,2.49,1.631046,11068589.0
2012-02-01,2.52,2.53,2.49,2.49,1.631046,15707548.0
2012-02-02,2.5,2.51,2.49,2.5,1.6375959999999998,10318624.0
2012-02-05,2.51,2.52,2.5,2.51,1.644147,11916221.0
2012-02-06,2.51,2.55,2.5,2.51,1.644147,16911527.0
2012-02-07,2.54,2.54,2.51,2.52,1.650697,9254995.0
2012-02-08,2.45,2.46,2.4,2.42,1.6398549999999998,16054164.0
2012-02-09,2.43,2.43,2.4,2.4,1.6263020000000001,16844732.0
2012-02-12,2.42,2.42,2.36,2.38,1.61275,21593543.0
2012-02-13,2.37,2.39,2.34,2.35,1.5924209999999999,18281049.0
2012-02-14,2.4,2.45,2.38,2.41,1.6330790000000002,44620055.0
2012-02-15,2.42,2.425,2.38,2.39,1.619526,14093953.0
2012-02-16,2.4,2.43,2.39,2.42,1.6398549999999998,17982441.0
2012-02-19,2.45,2.47,2.44,2.47,1.6737360000000001,10991895.0
2012-02-20,2.47,2.48,2.45,2.48,1.680512,12439976.0
2012-02-21,2.46,2.48,2.43,2.44,1.653407,49600336.0
2012-02-22,2.44,2.45,2.41,2.41,1.6330790000000002,22245713.0
2012-02-23,2.43,2.46,2.42,2.46,1.6669599999999998,11082637.0
2012-02-26,2.44,2.47,2.43,2.46,1.6669599999999998,14821393.0
2012-02-27,2.47,2.5,2.46,2.5,1.6940650000000002,12714367.0
2012-02-28,2.49,2.52,2.475,2.51,1.700841,22059915.0
2012-02-29,2.51,2.52,2.49,2.51,1.700841,9036770.0
2012-03-01,2.53,2.53,2.5,2.5,1.6940650000000002,17092071.0
2012-03-04,2.51,2.52,2.49,2.5,1.6940650000000002,13337756.0
2012-03-05,2.51,2.51,2.48,2.5,1.6940650000000002,23790182.0
2012-03-06,2.48,2.52,2.46,2.46,1.6669599999999998,18968256.0
2012-03-07,2.48,2.48,2.45,2.45,1.660184,11076990.0
