Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,5.72,5.85,5.65,5.75,4.812782,277426.0
2012-01-03,5.79,5.97,5.75,5.86,4.904852,770795.0
2012-01-04,5.68,5.81,5.68,5.75,4.812782,741850.0
2012-01-05,5.7,5.85,5.65,5.73,4.796042,941887.0
2012-01-08,5.71,5.76,5.61,5.68,4.7541910000000005,632293.0
2012-01-09,5.69,5.74,5.67,5.68,4.7541910000000005,737979.0
2012-01-10,5.74,5.785,5.67,5.72,4.787671,956970.0
2012-01-11,5.72,5.73,5.64,5.67,4.745821,570907.0
2012-01-12,5.66,5.7,5.56,5.62,4.703971,1457979.0
2012-01-15,5.53,5.58,5.37,5.45,4.561681,895973.0
2012-01-16,5.44,5.58,5.42,5.52,4.62027,2298745.0
2012-01-17,5.54,5.63,5.54,5.58,4.670491,2765570.0
2012-01-18,5.58,5.62,5.48,5.49,4.59516,1349982.0
2012-01-19,5.55,5.57,5.47,5.5,4.60353,929203.0
2012-01-22,5.5,5.57,5.48,5.49,4.59516,558038.0
2012-01-23,5.47,5.52,5.26,5.29,4.427759,930578.0
2012-01-24,5.35,5.41,5.3,5.31,4.4444989999999995,907235.0
2012-01-26,5.26,5.37,5.24,5.36,4.48635,617193.0
2012-01-29,5.4,5.4,5.25,5.28,4.419389,415529.0
2012-01-30,5.3,5.34,5.25,5.26,4.402648999999999,1003341.0
2012-01-31,5.26,5.29,5.175,5.24,4.38591,1013787.0
2012-02-01,5.36,5.37,5.14,5.16,4.318948000000002,6067937.0
2012-02-02,5.16,5.26,5.08,5.2,4.352428,4502930.0
2012-02-05,5.29,5.43,5.26,5.41,4.528199,1604263.0
2012-02-06,5.44,5.45,5.34,5.39,4.511458999999999,1395760.0
2012-02-07,5.35,5.45,5.35,5.45,4.561681,1713647.0
2012-02-08,5.47,5.54,5.45,5.53,4.628641,1726427.0
2012-02-09,5.49,5.53,5.49,5.5,4.60353,821014.0
2012-02-12,5.51,5.55,5.49,5.5,4.60353,1384668.0
