Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.56,0.57,0.52,0.56,0.377276,3931531.0
2012-01-03,0.565,0.58,0.565,0.57,0.384013,3669731.0
2012-01-04,0.57,0.57,0.56,0.565,0.380644,1297469.0
2012-01-05,0.55,0.565,0.55,0.56,0.377276,2756576.0
2012-01-08,0.565,0.565,0.555,0.555,0.373907,2013274.0
2012-01-09,0.56,0.56,0.54,0.545,0.36717,2358698.0
2012-01-10,0.535,0.545,0.525,0.54,0.363802,4982546.0
2012-01-11,0.535,0.555,0.535,0.55,0.370539,3276093.0
2012-01-12,0.55,0.555,0.545,0.55,0.370539,881084.0
2012-01-15,0.55,0.555,0.54,0.54,0.363802,989390.0
2012-01-16,0.55,0.595,0.545,0.575,0.387381,4550093.0
2012-01-17,0.57,0.59,0.565,0.59,0.397487,2199109.0
2012-01-18,0.595,0.62,0.59,0.605,0.407593,4052601.0
2012-01-19,0.615,0.615,0.6,0.61,0.41096099999999997,1297219.0
2012-01-22,0.61,0.615,0.595,0.615,0.41433000000000003,1380584.0
2012-01-23,0.615,0.615,0.585,0.585,0.39411799999999997,709853.0
2012-01-24,0.6,0.605,0.585,0.6,0.40422399999999997,954496.0
2012-01-26,0.6,0.61,0.59,0.61,0.41096099999999997,757519.0
2012-01-29,0.605,0.6125,0.6,0.605,0.407593,894243.0
2012-01-30,0.61,0.615,0.6,0.6,0.40422399999999997,1196442.0
2012-01-31,0.595,0.6,0.57,0.575,0.387381,1833857.0
2012-02-01,0.585,0.597,0.58,0.59,0.397487,1229318.0
2012-02-02,0.58,0.59,0.575,0.59,0.397487,1483664.0
2012-02-05,0.59,0.595,0.58,0.595,0.400855,1079374.0
2012-02-06,0.595,0.6,0.58,0.58,0.39075,1322807.0
2012-02-07,0.59,0.59,0.575,0.585,0.39411799999999997,1124219.0
2012-02-08,0.59,0.595,0.585,0.595,0.400855,1444245.0
2012-02-09,0.585,0.605,0.585,0.6,0.40422399999999997,2252873.0
2012-02-12,0.605,0.635,0.6,0.635,0.427804,2646635.0
2012-02-13,0.63,0.65,0.63,0.635,0.427804,3086820.0
2012-02-14,0.645,0.645,0.635,0.64,0.431172,882337.0
2012-02-15,0.635,0.635,0.605,0.615,0.41433000000000003,2507250.0
2012-02-16,0.61,0.62,0.6,0.62,0.41769799999999996,1381207.0
2012-02-19,0.645,0.645,0.625,0.635,0.427804,863940.0
2012-02-20,0.63,0.65,0.63,0.65,0.437909,926874.0
2012-02-21,0.64,0.645,0.61,0.62,0.41769799999999996,5101976.0
2012-02-22,0.61,0.615,0.605,0.61,0.41096099999999997,2612628.0
2012-02-23,0.62,0.62,0.605,0.615,0.41433000000000003,922099.0
2012-02-26,0.62,0.6225,0.6,0.6,0.40422399999999997,595616.0
2012-02-27,0.6,0.61,0.595,0.605,0.407593,2791134.0
2012-02-28,0.605,0.615,0.6,0.61,0.41096099999999997,902977.0
