Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,2.6936,2.6936,2.6936,2.6936,1.870037,0.0
2012-01-03,2.7898,2.9341,2.7898,2.9341,2.0370049999999997,10166.0
2012-01-04,2.90524,2.90524,2.90524,2.90524,2.016969,780.0
2012-01-05,2.8763799999999997,2.8763799999999997,2.7898,2.7898,1.936824,3587.0
2012-01-08,2.8763799999999997,2.8763799999999997,2.8763799999999997,2.8763799999999997,1.996933,4383.0
2012-01-09,2.8763799999999997,2.8763799999999997,2.8763799999999997,2.8763799999999997,1.996933,0.0
2012-01-10,2.82828,2.8763799999999997,2.82828,2.8379,1.970218,66008.0
2012-01-11,2.8667599999999998,2.886,2.8667599999999998,2.886,2.0036110000000003,25987.0
2012-01-12,2.886,2.886,2.886,2.886,2.0036110000000003,0.0
2012-01-15,2.8379,2.8379,2.58778,2.72246,1.8900740000000005,16230.0
2012-01-16,2.7417,2.7417,2.7417,2.7417,1.90343,3118.0
2012-01-17,2.7898,2.7898,2.7898,2.7898,1.936824,6237.0
2012-01-18,2.7417,2.7898,2.7417,2.7898,1.936824,7420.0
2012-01-19,2.886,2.886,2.8763799999999997,2.8763799999999997,1.996933,42939.0
2012-01-22,2.886,2.886,2.7898,2.7898,1.936824,22322.0
2012-01-23,2.7898,2.7898,2.7898,2.7898,1.936824,0.0
2012-01-24,2.7898,2.7898,2.7898,2.7898,1.936824,0.0
2012-01-26,2.8379,2.8379,2.79942,2.79942,1.943503,6332.0
2012-01-29,,,,,,
2012-01-30,2.79942,2.79942,2.79942,2.79942,1.943503,0.0
2012-01-31,2.8379,2.886,2.82828,2.8571400000000002,1.983575,31185.0
2012-02-01,2.92448,2.92448,2.92448,2.92448,2.0303259999999996,29522.0
2012-02-02,2.92448,2.92448,2.92448,2.92448,2.0303259999999996,8784.0
2012-02-05,2.92448,2.9341,2.91486,2.92448,2.0303259999999996,26480.0
2012-02-06,2.91486,2.91486,2.91486,2.91486,2.023648,32.0
2012-02-07,2.92448,2.92448,2.92448,2.92448,2.0303259999999996,41580.0
2012-02-08,2.91486,2.91486,2.886,2.886,2.0036110000000003,15592.0
2012-02-09,2.92448,2.92448,2.92448,2.92448,2.0303259999999996,9252.0
2012-02-12,2.89562,2.92448,2.886,2.92448,2.0303259999999996,19283.0
2012-02-13,2.92448,2.92448,2.89562,2.92448,2.0303259999999996,11690.0
2012-02-14,2.92448,2.92448,2.92448,2.92448,2.0303259999999996,0.0
2012-02-15,2.89562,2.89562,2.89562,2.89562,2.0102900000000004,1299.0
2012-02-16,2.92448,2.92448,2.89562,2.89562,2.0102900000000004,7666.0
2012-02-19,2.89562,2.89562,2.8763799999999997,2.8763799999999997,1.996933,13513.0
2012-02-20,2.92448,2.92448,2.886,2.92448,2.0303259999999996,26195.0
2012-02-21,2.92448,2.9822,2.92448,2.9822,2.070398,74344.0
2012-02-22,3.03992,3.05916,2.99182,3.00144,2.083755,50803.0
2012-02-23,3.03992,3.09764,3.03992,3.09764,2.150543,59393.0
2012-02-26,2.9822,2.9822,2.9341,2.9822,2.135903,11746.0
2012-02-27,2.9822,3.01106,2.94372,3.01106,2.156574,7023.0
2012-02-28,3.0784,3.1265,3.0784,3.1265,2.2392529999999997,35758.0
2012-02-29,3.1265,3.1265,3.1265,3.1265,2.2392529999999997,0.0
2012-03-01,3.1746,3.1746,3.1746,3.1746,2.273704,2079.0
2012-03-04,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-05,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-06,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-07,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-08,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-11,3.1746,3.1746,3.1746,3.1746,2.273704,3118.0
2012-03-12,3.14574,3.14574,3.08802,3.08802,2.211694,5411.0
2012-03-13,3.1746,3.1842200000000003,3.1746,3.1746,2.273704,11074.0
2012-03-14,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-15,3.1746,3.1746,3.1746,3.1746,2.273704,0.0
2012-03-18,3.18115,3.18115,3.18115,3.18115,2.278395,2597.0
2012-03-19,3.13206,3.13206,3.13206,3.13206,2.243236,4736.0
2012-03-20,3.06333,3.06333,2.9946,3.00442,2.151818,14447.0
2012-03-21,3.0437,3.0437,3.0437,3.0437,2.179951,115.0
2012-03-22,3.0437,3.0437,3.03388,3.0437,2.179951,221765.0
2012-03-25,3.00442,3.0437,2.9946,3.0437,2.179951,37372.0
2012-03-26,3.0437,3.09279,2.9946,3.08297,2.2080759999999997,74800.0
2012-03-27,3.0535099999999997,3.08297,3.0437,3.08297,2.2080759999999997,25837.0
2012-03-28,3.0535099999999997,3.07315,3.0437,3.06333,2.19401,21938.0
2012-03-29,3.0437,3.07315,2.9946,3.0437,2.179951,10348.0
2012-04-02,2.9946,3.0437,2.9847900000000003,2.9946,2.144784,18648.0
2012-04-03,3.00442,3.0437,2.9946,3.00442,2.151818,37101.0
2012-04-04,3.00442,3.06333,3.00442,3.0437,2.179951,8213.0
2012-04-05,3.0437,3.0437,3.0437,3.0437,2.179951,156.0
2012-04-10,3.02406,3.0437,3.02406,3.0437,2.179951,3718.0
2012-04-11,3.01424,3.0437,3.00442,3.0437,2.179951,50738.0
2012-04-12,3.01424,3.02406,3.00442,3.00442,2.151818,13953.0
2012-04-13,3.0437,3.0437,3.0437,3.0437,2.179951,54151.0
2012-04-16,3.0437,3.0437,3.0437,3.0437,2.179951,12629.0
2012-04-17,3.03388,3.0437,3.01424,3.03388,2.172917,24699.0
2012-04-18,3.01424,3.02406,2.9946,2.9946,2.144784,60607.0
2012-04-19,3.03388,3.0535099999999997,3.00442,3.0535099999999997,2.186977,56044.0
2012-04-20,3.0437,3.0535099999999997,3.03388,3.0535099999999997,2.186977,48072.0
2012-04-23,3.0535099999999997,3.11242,3.0535099999999997,3.10261,2.222143,13430.0
2012-04-24,3.09279,3.11242,3.09279,3.11242,2.2291689999999997,16243.0
2012-04-26,3.10261,3.11242,3.10261,3.11242,2.2291689999999997,6734.0
2012-04-27,3.11242,3.14188,3.11242,3.14188,2.250269,30649.0
2012-04-30,3.14188,3.23025,3.14188,3.23025,2.313561,9966.0
2012-05-01,3.2400599999999997,3.2597,3.22043,3.2597,2.334653,17084.0
2012-05-02,3.26952,3.28916,3.26952,3.28916,2.355754,9174.0
2012-05-03,3.28916,3.35788,3.2793400000000004,3.2793400000000004,2.34872,26532.0
2012-05-04,3.2793400000000004,3.2793400000000004,3.2597,3.2597,2.334653,8827.0
2012-05-07,3.22043,3.2400599999999997,3.21061,3.22043,2.3065279999999997,19543.0
2012-05-08,3.2793400000000004,3.28916,3.2793400000000004,3.28916,2.355754,9166.0
2012-05-09,3.28916,3.28916,3.21061,3.21061,2.2994950000000003,33735.0
2012-05-10,3.23025,3.2400599999999997,3.23025,3.2400599999999997,2.3205869999999997,6960.0
2012-05-11,3.2400599999999997,3.2400599999999997,3.20079,3.20079,2.292461,38158.0
2012-05-14,3.18115,3.18115,3.09279,3.09279,2.2151099999999997,19469.0
2012-05-15,3.08297,3.08297,3.08297,3.08297,2.2080759999999997,11892.0
2012-05-16,3.08297,3.08297,3.0535099999999997,3.0535099999999997,2.186977,22688.0
2012-05-17,3.06333,3.06333,3.0535099999999997,3.0535099999999997,2.186977,12222.0
2012-05-18,3.06333,3.09279,3.06333,3.09279,2.2151099999999997,8596.0
2012-05-21,3.07315,3.07315,3.03388,3.03388,2.172917,6419.0
2012-05-22,3.03388,3.03388,3.03388,3.03388,2.172917,0.0
2012-05-23,3.09279,3.09279,3.08297,3.08297,2.2080759999999997,3055.0
2012-05-24,3.10261,3.10261,3.10261,3.10261,2.222143,4400.0
2012-05-25,3.08297,3.08297,3.08297,3.08297,2.2080759999999997,3616.0
2012-05-28,3.08297,3.08297,3.08297,3.08297,2.2080759999999997,92.0
2012-05-29,3.19097,3.20079,3.19097,3.20079,2.292461,1567.0
2012-05-30,3.19097,3.20079,3.19097,3.20079,2.292461,16398.0
2012-05-31,3.20079,3.20079,3.14188,3.14188,2.250269,9961.0
2012-06-01,3.16152,3.20079,3.16152,3.20079,2.292461,10862.0
2012-06-04,3.20079,3.20079,3.19097,3.20079,2.292461,9343.0
2012-06-05,3.19097,3.19097,3.1713400000000003,3.1713400000000003,2.271369,4494.0
2012-06-06,3.1713400000000003,3.1713400000000003,3.1713400000000003,3.1713400000000003,2.271369,0.0
2012-06-07,3.1517,3.1713400000000003,3.1517,3.1713400000000003,2.271369,4136.0
2012-06-08,3.19097,3.20079,3.1713400000000003,3.1713400000000003,2.271369,10694.0
2012-06-12,3.20079,3.20079,3.20079,3.20079,2.292461,815.0
2012-06-13,3.19097,3.19097,3.18115,3.18115,2.278395,2709.0
2012-06-14,3.20079,3.20079,3.20079,3.20079,2.292461,6111.0
2012-06-15,3.19097,3.19097,3.19097,3.19097,2.285428,917.0
2012-06-18,3.20079,3.20079,3.16152,3.16152,2.264335,134029.0
2012-06-19,3.16152,3.22043,3.16152,3.22043,2.3065279999999997,69446.0
2012-06-20,3.22043,3.24988,3.20079,3.2400599999999997,2.3205869999999997,24464.0
2012-06-21,3.2400599999999997,3.2400599999999997,3.14188,3.14188,2.250269,5160.0
2012-06-22,3.1517,3.2400599999999997,3.1517,3.2400599999999997,2.3205869999999997,1935.0
2012-06-25,3.2400599999999997,3.2400599999999997,3.2400599999999997,3.2400599999999997,2.3205869999999997,0.0
2012-06-26,3.2400599999999997,3.2400599999999997,3.1517,3.16152,2.264335,6286.0
2012-06-27,3.2400599999999997,3.2400599999999997,3.19097,3.20079,2.292461,73841.0
2012-06-28,3.19097,3.2989699999999997,3.19097,3.26952,2.341687,64914.0
2012-06-29,3.26952,3.26952,3.2597,3.26952,2.341687,25428.0
2012-07-02,3.2793400000000004,3.31861,3.2793400000000004,3.30879,2.369813,72579.0
2012-07-03,3.33825,3.33825,3.33825,3.33825,2.3909119999999997,2037.0
2012-07-04,3.38734,3.4266099999999997,3.33825,3.4069800000000003,2.440138,25664.0
2012-07-05,3.41679,3.41679,3.3775199999999996,3.3775199999999996,2.419038,17608.0
2012-07-06,3.4069800000000003,3.4069800000000003,3.33825,3.33825,2.3909119999999997,11132.0
2012-07-09,3.4069800000000003,3.4069800000000003,3.2793400000000004,3.2793400000000004,2.34872,36526.0
2012-07-10,3.2793400000000004,3.28916,3.2793400000000004,3.28916,2.355754,9405.0
2012-07-11,3.28916,3.28916,3.28916,3.28916,2.355754,7639.0
2012-07-12,3.28916,3.28916,3.28916,3.28916,2.355754,0.0
2012-07-13,3.3775199999999996,3.4069800000000003,3.3775199999999996,3.4069800000000003,2.440138,8907.0
2012-07-16,3.4069800000000003,3.4855199999999997,3.4069800000000003,3.4855199999999997,2.4963900000000003,18188.0
2012-07-17,3.4855199999999997,3.50516,3.4560699999999995,3.49534,2.503423,17009.0
2012-07-18,3.4658900000000004,3.4658900000000004,3.43643,3.43643,2.461231,6346.0
2012-07-19,3.43643,3.43643,3.43643,3.43643,2.461231,0.0
2012-07-20,3.4757,3.49534,3.43643,3.49534,2.503423,17034.0
2012-07-23,3.49534,3.49534,3.49534,3.49534,2.503423,6458.0
2012-07-24,3.4855199999999997,3.4855199999999997,3.43643,3.43643,2.461231,32251.0
2012-07-25,3.43643,3.43643,3.41679,3.43643,2.461231,25713.0
2012-07-26,3.4757,3.4855199999999997,3.4757,3.4757,2.489357,45449.0
2012-07-27,3.4757,3.49534,3.33825,3.39716,2.433105,19644.0
2012-07-30,3.39716,3.39716,3.39716,3.39716,2.433105,8749.0
2012-07-31,3.39716,3.4560699999999995,3.39716,3.43643,2.461231,8129.0
2012-08-01,3.43643,3.44625,3.43643,3.43643,2.461231,18958.0
2012-08-02,3.4560699999999995,3.4855199999999997,3.43643,3.4855199999999997,2.4963900000000003,5194.0
2012-08-03,3.4757,3.4855199999999997,3.43643,3.43643,2.461231,5788.0
2012-08-06,3.4560699999999995,3.4560699999999995,3.4560699999999995,3.4560699999999995,2.4752970000000003,1.0
2012-08-07,3.4658900000000004,3.49534,3.4658900000000004,3.4855199999999997,2.4963900000000003,34513.0
2012-08-08,3.4855199999999997,3.68189,3.4855199999999997,3.58371,2.5667150000000003,75952.0
2012-08-09,3.6328,3.6328,3.55425,3.58371,2.5667150000000003,54161.0
2012-08-10,3.58371,3.62298,3.58371,3.62298,2.594841,24150.0
2012-08-13,3.58371,3.7015300000000004,3.58371,3.68189,2.637033,37896.0
2012-08-14,3.6720699999999997,3.68189,3.6328,3.66225,2.6229669999999996,33246.0
2012-08-15,3.6720699999999997,3.7015300000000004,3.62298,3.62298,2.594841,23401.0
2012-08-16,3.62298,3.68189,3.62298,3.68189,2.637033,12168.0
2012-08-17,3.6328,3.8291699999999995,3.6131599999999997,3.8291699999999995,2.742518,24256.0
2012-08-20,3.73098,3.81935,3.73098,3.80953,2.7284509999999997,21441.0
2012-08-21,3.7408,3.7408,3.68189,3.68189,2.637033,16077.0
2012-08-22,3.6720699999999997,3.6720699999999997,3.6720699999999997,3.6720699999999997,2.630001,3189.0
2012-08-23,3.6720699999999997,3.73098,3.6720699999999997,3.72116,2.665159,12841.0
2012-08-24,3.72116,3.81935,3.72116,3.81935,2.7354849999999997,17165.0
2012-08-27,3.81935,3.8291699999999995,3.78007,3.7997099999999997,2.721418,16106.0
2012-08-28,3.8291699999999995,3.97644,3.8291699999999995,3.87826,2.777677,177302.0
2012-08-29,3.87826,3.95681,3.8586199999999997,3.91753,2.805803,34227.0
2012-08-30,3.92735,3.9371699999999996,3.8880800000000004,3.91753,2.805803,34251.0
2012-08-31,3.86844,3.90771,3.8389800000000003,3.90771,2.79877,28937.0
2012-09-03,3.8978900000000003,3.90771,3.8978900000000003,3.8978900000000003,2.791736,43350.0
2012-09-04,3.92735,4.025530000000002,3.92735,3.97644,2.847995,58238.0
2012-09-05,4.01572,4.025530000000002,3.92735,3.99608,2.862062,44121.0
2012-09-06,3.99608,4.03535,3.9862599999999997,4.03535,2.890188,20636.0
2012-09-07,4.04517,4.07463,4.025530000000002,4.07463,2.91832,68364.0
2012-09-10,3.87826,3.90771,3.8291699999999995,3.8291699999999995,2.843715,37799.0
2012-09-11,3.80953,3.96662,3.80953,3.94699,3.046578,316303.0
2012-09-12,4.05499,4.17281,4.05499,4.14335,3.1981439999999997,46875.0
2012-09-13,4.14335,4.17281,4.05499,4.05499,3.129941,42900.0
2012-09-14,4.12372,4.12372,4.09426,4.1139,3.1754119999999997,13586.0
2012-09-17,4.1040800000000015,4.1139,3.97644,3.9862599999999997,3.07689,18944.0
2012-09-18,3.9862599999999997,4.1139,3.9862599999999997,4.07463,3.1451,34142.0
2012-09-19,4.05499,4.13354,4.05499,4.12372,3.182992,35827.0
2012-09-20,4.12372,4.14335,4.07463,4.07463,3.1451,51882.0
2012-09-21,4.08444,4.1139,4.07463,4.1139,3.1754119999999997,14559.0
2012-09-24,4.05499,4.1040800000000015,4.05499,4.09426,3.160253,13889.0
2012-09-25,4.06481,4.06481,3.95681,3.9862599999999997,3.07689,33717.0
