Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.655,0.665,0.655,0.665,0.665,30000.0
2012-01-03,0.66,0.675,0.655,0.66,0.66,119208.0
2012-01-04,0.665,0.675,0.665,0.675,0.675,63524.0
2012-01-05,0.675,0.675,0.665,0.665,0.665,11443.0
2012-01-08,0.67,0.67,0.665,0.67,0.67,114319.0
2012-01-09,0.665,0.67,0.66,0.66,0.66,71981.0
2012-01-10,0.66,0.67,0.66,0.67,0.67,27270.0
2012-01-11,0.66,0.66,0.66,0.66,0.66,35136.0
2012-01-12,0.66,0.66,0.66,0.66,0.66,62980.0
2012-01-15,0.66,0.665,0.655,0.655,0.655,37260.0
2012-01-16,0.65,0.665,0.65,0.665,0.665,264700.0
2012-01-17,0.655,0.665,0.65,0.665,0.665,165824.0
2012-01-18,0.655,0.665,0.655,0.665,0.665,45548.0
2012-01-19,0.66,0.69,0.66,0.685,0.685,650343.0
2012-01-22,0.685,0.685,0.685,0.685,0.685,14580.0
2012-01-23,0.685,0.685,0.685,0.685,0.685,31588.0
2012-01-24,0.83,0.83,0.83,0.83,0.83,0.0
2012-01-26,0.665,0.665,0.665,0.665,0.665,59411.0
2012-01-29,0.66,0.675,0.66,0.66,0.66,50922.0
2012-01-30,0.84,0.84,0.84,0.84,0.84,0.0
2012-01-31,0.67,0.675,0.67,0.675,0.675,227068.0
2012-02-01,0.675,0.68,0.665,0.665,0.665,45216.0
2012-02-02,0.665,0.675,0.665,0.675,0.675,72908.0
2012-02-05,0.68,0.685,0.68,0.685,0.685,29950.0
2012-02-06,0.685,0.685,0.685,0.685,0.685,21890.0
2012-02-07,0.675,0.68,0.675,0.68,0.68,127618.0
2012-02-08,0.68,0.68,0.68,0.68,0.68,26784.0
2012-02-09,0.68,0.685,0.68,0.68,0.68,66285.0
2012-02-12,0.69,0.695,0.69,0.695,0.695,127400.0
2012-02-13,0.685,0.685,0.68,0.68,0.68,13589.0
2012-02-14,0.84,0.84,0.84,0.84,0.84,0.0
2012-02-15,0.68,0.69,0.68,0.68,0.68,44193.0
2012-02-16,0.68,0.705,0.68,0.705,0.705,58764.0
2012-02-19,0.71,0.71,0.68,0.68,0.68,128217.0
2012-02-20,0.685,0.715,0.685,0.7,0.7,118900.0
2012-02-21,0.7,0.7,0.68,0.695,0.695,213666.0
2012-02-22,0.695,0.695,0.68,0.695,0.695,74876.0
2012-02-23,0.69,0.69,0.68,0.68,0.68,47301.0
2012-02-26,0.68,0.68,0.675,0.675,0.675,130030.0
2012-02-27,0.685,0.69,0.685,0.685,0.685,76770.0
2012-02-28,0.87,0.87,0.87,0.87,0.87,0.0
2012-02-29,0.685,0.685,0.685,0.685,0.685,20350.0
2012-03-01,0.685,0.69,0.685,0.69,0.69,29952.0
2012-03-04,0.685,0.69,0.685,0.685,0.685,133738.0
2012-03-05,0.685,0.69,0.685,0.685,0.685,101986.0
2012-03-06,0.685,0.69,0.685,0.685,0.685,53848.0
2012-03-07,0.685,0.69,0.685,0.685,0.685,21085.0
2012-03-08,0.685,0.69,0.685,0.69,0.69,122925.0
2012-03-11,0.695,0.7,0.695,0.695,0.695,239105.0
2012-03-12,0.695,0.71,0.695,0.71,0.71,239591.0
2012-03-13,0.71,0.71,0.71,0.71,0.71,131208.0
2012-03-14,0.71,0.71,0.71,0.71,0.71,469593.0
