Date,Open,High,Low,Close,Adj Close,Volume
2017-05-04,0.33,0.415,0.305,0.405,0.405,25816736.0
2017-05-05,0.41,0.42,0.365,0.365,0.365,7751917.0
2017-05-08,0.375,0.4,0.34,0.385,0.385,6559940.0
2017-05-09,0.41,0.425,0.375,0.375,0.375,6383135.0
2017-05-10,0.38,0.38,0.34,0.345,0.345,3528756.0
2017-05-11,0.35,0.375,0.345,0.35,0.35,2113823.0
2017-05-12,0.355,0.36,0.33,0.34,0.34,2813311.0
2017-05-15,0.335,0.355,0.335,0.34,0.34,976122.0
2017-05-16,0.345,0.355,0.335,0.335,0.335,1078359.0
2017-05-17,0.345,0.345,0.335,0.345,0.345,937096.0
2017-05-18,0.34,0.34,0.31,0.315,0.315,2653109.0
2017-05-19,0.32,0.325,0.31,0.32,0.32,810656.0
2017-05-22,0.33,0.335,0.325,0.33,0.33,545764.0
2017-05-23,0.33,0.33,0.33,0.33,0.33,0.0
2017-05-24,0.36,0.36,0.31,0.33,0.33,2438457.0
2017-05-25,0.32,0.32,0.28,0.285,0.285,2056182.0
2017-05-26,0.275,0.3,0.275,0.3,0.3,1518817.0
2017-05-29,0.3,0.32,0.28,0.31,0.31,1164587.0
2017-05-30,0.305,0.315,0.28,0.305,0.305,330399.0
2017-05-31,0.305,0.31,0.28,0.305,0.305,344200.0
2017-06-01,0.295,0.3,0.29,0.295,0.295,151127.0
2017-06-02,0.295,0.3,0.285,0.295,0.295,365489.0
2017-06-05,0.29,0.3,0.29,0.3,0.3,182703.0
2017-06-06,0.3,0.3,0.29,0.29,0.29,70600.0
2017-06-07,0.295,0.3,0.29,0.29,0.29,66900.0
2017-06-08,0.295,0.305,0.295,0.295,0.295,376352.0
2017-06-09,0.295,0.3,0.29,0.29,0.29,177755.0
2017-06-13,0.29,0.29,0.28,0.28,0.28,306791.0
2017-06-14,0.28,0.29,0.28,0.29,0.29,118685.0
2017-06-15,0.285,0.285,0.275,0.275,0.275,161126.0
2017-06-16,0.275,0.285,0.275,0.28,0.28,254312.0
